=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6516
Mean Deletion AUC: 0.3687
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6939	0.1298
1-116765-A-41	0.5742	0.3496
1-19898-B-41	0.8832	0.0559
4-157611-B-41	0.5879	0.3121
3-118658-A-41	0.6998	0.0896
5-216370-B-41	0.6392	0.4133
5-222524-A-41	0.5129	0.3052
1-47250-A-41	0.7446	0.2389
2-68391-A-41	0.8450	0.0917
2-50667-B-41	0.8108	0.0998
2-77945-B-41	0.6230	0.5704
4-165823-A-41	0.6026	0.2920
4-169127-A-41	0.8060	0.0058
1-64398-B-41	0.8479	0.3960
2-50668-A-41	0.6762	0.0520
4-149294-B-41	0.8827	0.3060
5-171653-A-41	0.7896	0.0177
3-118972-B-41	0.7875	0.1642
5-170338-B-41	0.7153	0.3798
3-118657-B-41	0.8252	0.1410
5-216370-A-41	0.7489	0.1588
2-50667-A-41	0.7503	0.3336
1-19898-C-41	0.9084	0.3173
4-165823-B-41	0.8650	0.2905
1-47250-B-41	0.7276	0.3652
2-68391-B-41	0.7503	0.1616
5-185579-B-41	0.6997	0.2880
1-19898-A-41	0.2617	0.0530
3-165856-A-41	0.4255	0.1008
3-118658-B-41	0.8693	0.3116
4-157611-A-41	0.7709	0.3336
3-118657-A-41	0.2748	0.0054
4-149294-A-41	0.7500	0.3259
3-118656-A-41	0.8169	0.1571
5-170338-A-41	0.8114	0.0805
3-118972-A-41	0.7464	0.1462
2-77945-A-41	0.8086	0.2043
4-169127-B-41	0.7715	0.2425
2-50668-B-41	0.7519	0.2094
1-64398-A-41	0.7629	0.0713
3-170383-A-38	0.7131	0.3652
5-219342-A-38	0.7761	0.4736
5-209698-A-38	0.5663	0.5318
1-48413-A-38	0.8488	0.4599
2-131943-A-38	0.7763	0.5626
1-57163-A-38	0.7292	0.6469
1-62850-A-38	0.6277	0.4841
4-179984-A-38	0.5923	0.6273
3-150363-A-38	0.7241	0.3132
3-170377-A-38	0.7671	0.4421
2-88724-A-38	0.5531	0.6302
4-175945-A-38	0.5931	0.4973
4-181865-A-38	0.2341	0.4452
2-140147-A-38	0.7465	0.5848
2-135728-A-38	0.5096	0.2962
5-212181-A-38	0.6533	0.6477
5-209833-A-38	0.8111	0.4424
5-235671-A-38	0.4995	0.4137
2-119748-A-38	0.7004	0.5385
3-164688-A-38	0.8389	0.4604
4-191327-A-38	0.7082	0.5495
3-142593-A-38	0.1105	0.1896
4-194711-A-38	0.5267	0.1927
2-141584-A-38	0.4112	0.3219
4-181035-A-38	0.8571	0.5575
5-201194-A-38	0.7549	0.3523
1-35687-A-38	0.6965	0.5792
3-171041-A-38	0.5125	0.4234
5-210571-A-38	0.8398	0.3512
1-62849-A-38	0.7382	0.6452
1-42139-A-38	0.3815	0.4878
1-21935-A-38	0.7712	0.6686
1-21934-A-38	0.6748	0.4556
2-127108-A-38	0.6044	0.5524
4-188033-A-38	0.9748	0.6368
5-208624-A-38	0.8296	0.5950
3-143933-A-38	0.4002	0.2097
3-171012-A-38	0.5881	0.3156
2-134700-A-38	0.6182	0.4537
4-198965-A-38	0.8239	0.5007
4-171519-A-21	0.6669	0.6093
1-29680-A-21	0.6498	0.7913
5-187979-A-21	0.9891	0.1438
2-119102-A-21	0.7013	0.3419
3-148330-A-21	0.3690	0.6699
5-202220-A-21	0.8323	0.7152
5-220027-A-21	0.9040	0.4029
5-220026-A-21	0.8750	0.1208
1-47274-A-21	0.7675	0.6304
3-150231-A-21	0.8939	0.0500
5-221593-A-21	0.9558	0.0946
1-47273-A-21	0.9859	0.5203
3-142605-A-21	0.4261	0.3552
2-128631-A-21	0.4273	0.6544
4-167642-A-21	0.7394	0.4105
5-194533-A-21	0.9823	0.0732
5-201274-A-21	0.8622	0.3157
1-54505-A-21	0.7460	0.5745
3-156558-A-21	0.8959	0.0530
3-142601-A-21	0.6930	0.0547
4-156844-A-21	0.8649	0.6602
3-143119-A-21	0.9746	0.4770
1-59324-A-21	0.7915	0.2141
1-81883-A-21	0.9942	0.3045
2-82538-A-21	0.9831	0.4755
2-93030-A-21	0.9714	0.3585
2-130979-A-21	0.9504	0.2885
2-130978-A-21	0.7492	0.5476
5-221518-A-21	0.9719	0.5218
3-144692-A-21	0.9505	0.2513
2-109505-A-21	0.4021	0.6612
2-118104-A-21	0.9535	0.6981
4-185415-A-21	0.5261	0.4813
3-141684-A-21	0.9852	0.3014
1-26143-A-21	0.9965	0.3137
4-157297-A-21	0.9508	0.2398
4-185619-A-21	0.9791	0.2343
4-156843-A-21	0.5843	0.5099
4-184434-A-21	0.9916	0.1911
1-31748-A-21	0.6465	0.4586
3-157149-A-10	0.6899	0.0383
4-164206-A-10	0.5272	0.4859
1-56311-A-10	0.4549	0.4692
4-166661-A-10	0.3218	0.4534
1-63871-A-10	0.3869	0.1699
4-180380-A-10	0.4747	0.5956
5-188655-A-10	0.4154	0.4933
4-160999-A-10	0.2778	0.5673
5-202898-A-10	0.4714	0.4777
5-195710-A-10	0.4810	0.3666
4-161127-A-10	0.4305	0.4418
2-73260-A-10	0.2209	0.5414
4-181286-A-10	0.4075	0.5670
2-72970-A-10	0.5302	0.4502
1-17367-A-10	0.3895	0.3933
4-163264-A-10	0.3887	0.3171
3-142005-A-10	0.5389	0.2472
5-198321-A-10	0.4910	0.5351
2-117625-A-10	0.4615	0.4858
5-203739-A-10	0.5531	0.4805
1-54958-A-10	0.4011	0.4606
2-87781-A-10	0.2768	0.3253
1-21189-A-10	0.1473	0.2684
2-101676-A-10	0.3974	0.4605
3-140774-A-10	0.2293	0.2736
3-157487-A-10	0.2298	0.2468
5-193339-A-10	0.4851	0.5371
3-143929-A-10	0.0452	0.1007
2-82367-A-10	0.5501	0.5496
