=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7242
Mean Deletion AUC: 0.2717
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6487	0.0591
5-185579-A-41	0.6269	0.0826
1-116765-A-41	0.6735	0.2824
4-157611-B-41	0.6298	0.3464
1-19898-B-41	0.8658	0.1307
5-216370-B-41	0.4314	0.3619
5-222524-A-41	0.5893	0.2151
1-47250-A-41	0.7530	0.3728
2-68391-A-41	0.7779	0.1511
2-50667-B-41	0.8147	0.0583
4-165823-A-41	0.7865	0.4880
2-77945-B-41	0.7576	0.3546
4-169127-A-41	0.7258	0.0149
1-64398-B-41	0.8055	0.1297
2-50668-A-41	0.6701	0.1075
5-171653-A-41	0.8535	0.0117
4-149294-B-41	0.8787	0.1014
3-118972-B-41	0.8010	0.1039
5-170338-B-41	0.7735	0.1893
3-118657-B-41	0.8364	0.0853
5-216370-A-41	0.8284	0.0959
1-19898-C-41	0.8571	0.1754
2-50667-A-41	0.6015	0.2101
4-165823-B-41	0.7881	0.3496
1-47250-B-41	0.7423	0.3400
2-68391-B-41	0.6949	0.0983
5-185579-B-41	0.5864	0.0948
1-19898-A-41	0.1476	0.0431
3-165856-A-41	0.5299	0.0606
3-118658-B-41	0.8559	0.1239
4-157611-A-41	0.7322	0.2497
4-149294-A-41	0.8051	0.2048
3-118657-A-41	0.3594	0.0028
3-118656-A-41	0.7449	0.1904
5-170338-A-41	0.7950	0.0835
3-118972-A-41	0.7138	0.2194
2-77945-A-41	0.7794	0.0983
4-169127-B-41	0.8038	0.2830
2-50668-B-41	0.7196	0.2730
1-64398-A-41	0.8075	0.1814
3-170383-A-38	0.7955	0.2158
5-219342-A-38	0.8516	0.5834
1-48413-A-38	0.8511	0.5304
2-131943-A-38	0.7487	0.4415
5-209698-A-38	0.5754	0.3949
1-57163-A-38	0.6249	0.6064
1-62850-A-38	0.6653	0.4465
3-150363-A-38	0.8633	0.1859
4-179984-A-38	0.5991	0.4534
3-170377-A-38	0.9038	0.1387
2-88724-A-38	0.6726	0.3610
4-175945-A-38	0.6420	0.4654
4-181865-A-38	0.8068	0.2686
2-140147-A-38	0.6384	0.3596
2-135728-A-38	0.8572	0.2493
5-212181-A-38	0.9486	0.5103
5-209833-A-38	0.6487	0.3917
5-235671-A-38	0.8447	0.3863
2-119748-A-38	0.7611	0.4643
3-164688-A-38	0.7770	0.2111
4-191327-A-38	0.9314	0.1927
3-142593-A-38	0.4431	0.2209
4-194711-A-38	0.4925	0.2681
2-141584-A-38	0.8567	0.0748
4-181035-A-38	0.7866	0.5995
5-201194-A-38	0.4143	0.2056
1-35687-A-38	0.9228	0.6198
3-171041-A-38	0.4404	0.3044
5-210571-A-38	0.9480	0.4195
1-62849-A-38	0.8915	0.4628
1-42139-A-38	0.7733	0.3348
1-21935-A-38	0.7423	0.3736
1-21934-A-38	0.9002	0.2126
2-127108-A-38	0.6505	0.3374
4-188033-A-38	0.9705	0.3366
5-208624-A-38	0.6526	0.3730
3-143933-A-38	0.7568	0.0626
3-171012-A-38	0.9167	0.0761
2-134700-A-38	0.6874	0.2528
4-198965-A-38	0.9068	0.2305
4-171519-A-21	0.9841	0.0612
1-29680-A-21	0.9890	0.1061
3-148330-A-21	0.9783	0.0826
5-187979-A-21	0.9845	0.0950
2-119102-A-21	0.9762	0.0802
5-202220-A-21	0.9082	0.4549
5-220026-A-21	0.9408	0.0586
5-220027-A-21	0.9687	0.0611
1-47274-A-21	0.5768	0.1074
3-150231-A-21	0.8349	0.0435
1-47273-A-21	0.9826	0.2373
5-221593-A-21	0.9408	0.0212
3-142605-A-21	0.8090	0.1106
2-128631-A-21	0.9795	0.0964
4-167642-A-21	0.9620	0.0494
5-201274-A-21	0.9568	0.1002
5-194533-A-21	0.9140	0.0111
1-54505-A-21	0.9477	0.1375
3-156558-A-21	0.4974	0.0286
3-142601-A-21	0.5847	0.0279
4-156844-A-21	0.9316	0.2047
3-143119-A-21	0.9953	0.1241
1-59324-A-21	0.9518	0.0475
1-81883-A-21	0.9557	0.1890
2-82538-A-21	0.9757	0.1022
2-93030-A-21	0.9784	0.2370
2-130979-A-21	0.9623	0.1922
2-130978-A-21	0.9766	0.1011
5-221518-A-21	0.9460	0.2803
3-144692-A-21	0.7997	0.1449
2-109505-A-21	0.9745	0.0404
2-118104-A-21	0.9851	0.1266
4-185415-A-21	0.9697	0.0329
3-141684-A-21	0.9906	0.0657
1-26143-A-21	0.9852	0.0611
4-157297-A-21	0.9305	0.1773
4-185619-A-21	0.9339	0.2080
4-156843-A-21	0.9722	0.0483
4-184434-A-21	0.9778	0.1828
1-31748-A-21	0.9760	0.0112
4-166661-A-10	0.4938	0.3623
1-63871-A-10	0.4783	0.3697
4-164206-A-10	0.5071	0.4375
3-157149-A-10	0.5808	0.1452
1-56311-A-10	0.5012	0.4041
4-180380-A-10	0.5160	0.3638
5-188655-A-10	0.5148	0.3113
4-160999-A-10	0.5615	0.3662
5-202898-A-10	0.5628	0.4232
5-195710-A-10	0.5119	0.3535
4-161127-A-10	0.5586	0.4936
2-73260-A-10	0.5708	0.3275
4-181286-A-10	0.4840	0.4726
2-72970-A-10	0.4936	0.2893
1-17367-A-10	0.5306	0.4131
4-163264-A-10	0.5163	0.2880
3-142005-A-10	0.6722	0.3005
5-198321-A-10	0.4541	0.4273
2-117625-A-10	0.5037	0.4387
5-203739-A-10	0.4646	0.2543
1-54958-A-10	0.5758	0.4674
2-87781-A-10	0.5124	0.3351
1-21189-A-10	0.4198	0.2385
2-101676-A-10	0.4697	0.2163
3-140774-A-10	0.1922	0.1680
3-157487-A-10	0.3918	0.3621
5-193339-A-10	0.4121	0.4451
3-143929-A-10	0.1514	0.0514
2-82367-A-10	0.6711	0.4575
