=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7245
Mean Deletion AUC: 0.2627
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6721	0.0758
1-116765-A-41	0.6695	0.3060
1-19898-B-41	0.8787	0.0931
4-157611-B-41	0.6959	0.3083
3-118658-A-41	0.6965	0.0576
5-216370-B-41	0.7122	0.3838
5-222524-A-41	0.5725	0.2423
1-47250-A-41	0.7489	0.3515
2-68391-A-41	0.7701	0.1389
2-50667-B-41	0.8035	0.0586
2-77945-B-41	0.7385	0.1921
4-165823-A-41	0.8368	0.2813
4-169127-A-41	0.6974	0.0143
1-64398-B-41	0.7044	0.2007
2-50668-A-41	0.6764	0.1663
4-149294-B-41	0.8939	0.1423
5-171653-A-41	0.8386	0.0109
3-118972-B-41	0.7978	0.0924
5-170338-B-41	0.7654	0.1802
3-118657-B-41	0.8259	0.0885
5-216370-A-41	0.7582	0.1013
2-50667-A-41	0.6569	0.2778
1-19898-C-41	0.8543	0.1598
4-165823-B-41	0.8146	0.3420
1-47250-B-41	0.7375	0.3497
2-68391-B-41	0.7084	0.1027
5-185579-B-41	0.6793	0.1113
1-19898-A-41	0.1735	0.0335
3-165856-A-41	0.5195	0.0976
3-118658-B-41	0.8362	0.1063
4-157611-A-41	0.6787	0.3309
3-118657-A-41	0.3721	0.0059
4-149294-A-41	0.7913	0.1978
3-118656-A-41	0.7288	0.1658
5-170338-A-41	0.8019	0.0977
3-118972-A-41	0.7636	0.2559
2-77945-A-41	0.7809	0.1293
4-169127-B-41	0.7599	0.2923
2-50668-B-41	0.7706	0.2288
1-64398-A-41	0.8007	0.1405
3-170383-A-38	0.7763	0.1369
5-219342-A-38	0.8293	0.3040
5-209698-A-38	0.5497	0.3444
1-48413-A-38	0.8108	0.3523
2-131943-A-38	0.6983	0.3655
1-57163-A-38	0.6575	0.5169
1-62850-A-38	0.7023	0.4209
4-179984-A-38	0.6595	0.5486
3-150363-A-38	0.8223	0.2513
3-170377-A-38	0.9256	0.1531
2-88724-A-38	0.7092	0.2805
4-175945-A-38	0.5949	0.3792
4-181865-A-38	0.7016	0.2639
2-140147-A-38	0.6108	0.3964
2-135728-A-38	0.8956	0.3606
5-212181-A-38	0.9314	0.6315
5-209833-A-38	0.5041	0.3045
5-235671-A-38	0.8764	0.3955
2-119748-A-38	0.7604	0.6074
3-164688-A-38	0.7770	0.3573
4-191327-A-38	0.9061	0.1767
3-142593-A-38	0.4046	0.2225
4-194711-A-38	0.3576	0.3733
2-141584-A-38	0.8378	0.1138
4-181035-A-38	0.9106	0.5988
5-201194-A-38	0.4768	0.1670
1-35687-A-38	0.9212	0.4646
3-171041-A-38	0.3737	0.2315
5-210571-A-38	0.9356	0.3648
1-62849-A-38	0.8023	0.3843
1-42139-A-38	0.8511	0.5489
1-21935-A-38	0.7635	0.3818
1-21934-A-38	0.9150	0.2797
2-127108-A-38	0.6689	0.3511
4-188033-A-38	0.9802	0.5560
5-208624-A-38	0.6403	0.3364
3-143933-A-38	0.8017	0.1165
3-171012-A-38	0.9363	0.1229
2-134700-A-38	0.7339	0.3510
4-198965-A-38	0.7960	0.2215
4-171519-A-21	0.9843	0.0633
1-29680-A-21	0.9466	0.1904
5-187979-A-21	0.9767	0.0984
2-119102-A-21	0.9742	0.0712
3-148330-A-21	0.9305	0.1125
5-202220-A-21	0.8760	0.7503
5-220027-A-21	0.9709	0.0552
5-220026-A-21	0.9418	0.0600
1-47274-A-21	0.9365	0.1186
3-150231-A-21	0.9304	0.0348
5-221593-A-21	0.9150	0.0245
1-47273-A-21	0.9815	0.2123
3-142605-A-21	0.8145	0.1125
2-128631-A-21	0.9674	0.0997
4-167642-A-21	0.8686	0.0698
5-194533-A-21	0.9038	0.0146
5-201274-A-21	0.9544	0.1363
1-54505-A-21	0.9285	0.1897
3-156558-A-21	0.4212	0.0213
3-142601-A-21	0.6382	0.0217
4-156844-A-21	0.9289	0.1862
3-143119-A-21	0.9953	0.1584
1-59324-A-21	0.9559	0.0285
1-81883-A-21	0.9567	0.1895
2-82538-A-21	0.9675	0.0625
2-93030-A-21	0.9830	0.2729
2-130979-A-21	0.9621	0.2006
2-130978-A-21	0.9449	0.1123
5-221518-A-21	0.9720	0.1885
3-144692-A-21	0.8047	0.1907
2-109505-A-21	0.9113	0.0430
2-118104-A-21	0.9652	0.1465
4-185415-A-21	0.9313	0.0308
3-141684-A-21	0.9927	0.0385
1-26143-A-21	0.9902	0.0555
4-157297-A-21	0.9223	0.2171
4-185619-A-21	0.9656	0.2865
4-156843-A-21	0.9457	0.0686
4-184434-A-21	0.9635	0.1398
1-31748-A-21	0.8558	0.0671
3-157149-A-10	0.5740	0.1116
4-164206-A-10	0.4980	0.4453
1-56311-A-10	0.5502	0.3600
4-166661-A-10	0.5184	0.3275
1-63871-A-10	0.5461	0.4253
4-180380-A-10	0.5421	0.4071
5-188655-A-10	0.4566	0.3460
4-160999-A-10	0.6496	0.3105
5-202898-A-10	0.5969	0.5373
5-195710-A-10	0.5082	0.3269
4-161127-A-10	0.5836	0.4729
2-73260-A-10	0.5145	0.2860
4-181286-A-10	0.5246	0.4671
2-72970-A-10	0.4286	0.3252
1-17367-A-10	0.6053	0.2144
4-163264-A-10	0.5332	0.4375
3-142005-A-10	0.6803	0.3613
5-198321-A-10	0.4157	0.3545
2-117625-A-10	0.5145	0.4494
5-203739-A-10	0.4225	0.2540
1-54958-A-10	0.6201	0.4750
2-87781-A-10	0.5044	0.3614
1-21189-A-10	0.5068	0.1673
2-101676-A-10	0.4707	0.3373
3-140774-A-10	0.0944	0.0408
3-157487-A-10	0.4636	0.3339
5-193339-A-10	0.5513	0.3843
3-143929-A-10	0.2352	0.0358
2-82367-A-10	0.4678	0.3732
