=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7095
Mean Deletion AUC: 0.2809
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6523	0.0848
1-116765-A-41	0.6216	0.2566
1-19898-B-41	0.8610	0.1133
4-157611-B-41	0.5520	0.2617
3-118658-A-41	0.6924	0.0570
5-216370-B-41	0.6261	0.3516
5-222524-A-41	0.5725	0.1970
1-47250-A-41	0.7093	0.3516
2-68391-A-41	0.7678	0.1421
2-50667-B-41	0.8026	0.0671
2-77945-B-41	0.7250	0.3707
4-165823-A-41	0.8041	0.4015
4-169127-A-41	0.7142	0.0167
1-64398-B-41	0.7792	0.1298
2-50668-A-41	0.6607	0.1212
4-149294-B-41	0.8864	0.1119
5-171653-A-41	0.8430	0.0173
3-118972-B-41	0.8021	0.1028
5-170338-B-41	0.7726	0.1869
3-118657-B-41	0.8389	0.0827
5-216370-A-41	0.7958	0.1038
2-50667-A-41	0.6372	0.2097
1-19898-C-41	0.8683	0.1282
4-165823-B-41	0.8329	0.4343
1-47250-B-41	0.7233	0.3416
2-68391-B-41	0.6808	0.1103
5-185579-B-41	0.6850	0.1221
1-19898-A-41	0.1772	0.0424
3-165856-A-41	0.5733	0.0561
3-118658-B-41	0.7429	0.1292
4-157611-A-41	0.7077	0.2557
3-118657-A-41	0.4266	0.0052
4-149294-A-41	0.8005	0.2163
3-118656-A-41	0.7530	0.1862
5-170338-A-41	0.7998	0.0839
3-118972-A-41	0.7475	0.2415
2-77945-A-41	0.7617	0.1565
4-169127-B-41	0.7882	0.3543
2-50668-B-41	0.7248	0.2406
1-64398-A-41	0.8190	0.1588
3-170383-A-38	0.7594	0.1327
5-219342-A-38	0.6864	0.3570
5-209698-A-38	0.5372	0.4199
1-48413-A-38	0.8889	0.4928
2-131943-A-38	0.7422	0.3817
1-57163-A-38	0.6060	0.6483
1-62850-A-38	0.8326	0.4788
4-179984-A-38	0.6381	0.4155
3-150363-A-38	0.7765	0.1383
3-170377-A-38	0.8651	0.2749
2-88724-A-38	0.5673	0.4294
4-175945-A-38	0.5940	0.3332
4-181865-A-38	0.7073	0.3488
2-140147-A-38	0.6482	0.4631
2-135728-A-38	0.8309	0.1972
5-212181-A-38	0.8066	0.6171
5-209833-A-38	0.3534	0.3332
5-235671-A-38	0.8461	0.3368
2-119748-A-38	0.6056	0.6978
3-164688-A-38	0.7285	0.3419
4-191327-A-38	0.6030	0.4435
3-142593-A-38	0.1284	0.1638
4-194711-A-38	0.3522	0.2659
2-141584-A-38	0.4294	0.2075
4-181035-A-38	0.8458	0.6907
5-201194-A-38	0.4626	0.2338
1-35687-A-38	0.8785	0.5929
3-171041-A-38	0.4358	0.2717
5-210571-A-38	0.7992	0.3459
1-62849-A-38	0.7564	0.4718
1-42139-A-38	0.7013	0.3487
1-21935-A-38	0.7788	0.3853
1-21934-A-38	0.7466	0.3546
2-127108-A-38	0.7022	0.5720
4-188033-A-38	0.9640	0.4480
5-208624-A-38	0.7728	0.4436
3-143933-A-38	0.7203	0.1101
3-171012-A-38	0.8325	0.1123
2-134700-A-38	0.6371	0.4459
4-198965-A-38	0.7507	0.2301
4-171519-A-21	0.9838	0.0658
1-29680-A-21	0.9033	0.4721
5-187979-A-21	0.9820	0.0952
2-119102-A-21	0.9462	0.0732
3-148330-A-21	0.8791	0.1614
5-202220-A-21	0.8858	0.5210
5-220027-A-21	0.9711	0.0611
5-220026-A-21	0.9448	0.0552
1-47274-A-21	0.8859	0.1215
3-150231-A-21	0.7477	0.0469
5-221593-A-21	0.9439	0.0199
1-47273-A-21	0.9593	0.2158
3-142605-A-21	0.7994	0.1108
2-128631-A-21	0.9584	0.1305
4-167642-A-21	0.9112	0.0624
5-194533-A-21	0.8692	0.0581
5-201274-A-21	0.9533	0.1529
1-54505-A-21	0.9263	0.2445
3-156558-A-21	0.6979	0.0438
3-142601-A-21	0.6357	0.0215
4-156844-A-21	0.8933	0.2977
3-143119-A-21	0.9950	0.1418
1-59324-A-21	0.9528	0.0538
1-81883-A-21	0.9684	0.1449
2-82538-A-21	0.9699	0.0556
2-93030-A-21	0.9840	0.2406
2-130979-A-21	0.9598	0.1975
2-130978-A-21	0.9612	0.1004
5-221518-A-21	0.9495	0.2753
3-144692-A-21	0.8396	0.1954
2-109505-A-21	0.8825	0.0454
2-118104-A-21	0.9770	0.3185
4-185415-A-21	0.8584	0.0465
3-141684-A-21	0.9914	0.0504
1-26143-A-21	0.9896	0.0509
4-157297-A-21	0.9350	0.1851
4-185619-A-21	0.9280	0.2520
4-156843-A-21	0.8858	0.0710
4-184434-A-21	0.9785	0.2084
1-31748-A-21	0.7403	0.0415
3-157149-A-10	0.5968	0.1246
4-164206-A-10	0.4047	0.4825
1-56311-A-10	0.5343	0.3682
4-166661-A-10	0.5555	0.3490
1-63871-A-10	0.5132	0.4348
4-180380-A-10	0.5507	0.3879
5-188655-A-10	0.4009	0.3877
4-160999-A-10	0.5443	0.4337
5-202898-A-10	0.6370	0.4780
5-195710-A-10	0.5088	0.3936
4-161127-A-10	0.5214	0.4844
2-73260-A-10	0.5070	0.3789
4-181286-A-10	0.3458	0.4934
2-72970-A-10	0.4135	0.3513
1-17367-A-10	0.5516	0.2991
4-163264-A-10	0.4723	0.2462
3-142005-A-10	0.6955	0.3701
5-198321-A-10	0.3235	0.3585
2-117625-A-10	0.6047	0.4222
5-203739-A-10	0.4582	0.2570
1-54958-A-10	0.6233	0.4543
2-87781-A-10	0.5104	0.3663
1-21189-A-10	0.5143	0.1687
2-101676-A-10	0.4510	0.3309
3-140774-A-10	0.3256	0.0942
3-157487-A-10	0.4028	0.3456
5-193339-A-10	0.5264	0.5268
3-143929-A-10	0.1681	0.0348
2-82367-A-10	0.5626	0.5152
