=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7863
Mean Deletion AUC: 0.2292
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.7381	0.0636
5-185579-A-41	0.7016	0.1384
1-116765-A-41	0.6748	0.1998
4-157611-B-41	0.5250	0.1112
1-19898-B-41	0.9120	0.0216
5-216370-B-41	0.8228	0.2258
5-222524-A-41	0.5137	0.1674
1-47250-A-41	0.6942	0.2091
2-68391-A-41	0.8566	0.0498
2-50667-B-41	0.7618	0.0585
4-165823-A-41	0.8629	0.1637
2-77945-B-41	0.7685	0.1507
4-169127-A-41	0.8090	0.0065
1-64398-B-41	0.7511	0.3504
2-50668-A-41	0.7000	0.0337
5-171653-A-41	0.8031	0.0113
4-149294-B-41	0.8631	0.2441
3-118972-B-41	0.7595	0.1161
5-170338-B-41	0.7846	0.1154
3-118657-B-41	0.8349	0.0780
5-216370-A-41	0.8303	0.0737
1-19898-C-41	0.7775	0.0737
2-50667-A-41	0.6888	0.2764
4-165823-B-41	0.8957	0.1608
1-47250-B-41	0.6569	0.2359
2-68391-B-41	0.7299	0.2735
5-185579-B-41	0.6497	0.2265
1-19898-A-41	0.2396	0.0326
3-165856-A-41	0.5418	0.1348
3-118658-B-41	0.8215	0.1838
4-157611-A-41	0.7183	0.2195
4-149294-A-41	0.7535	0.1112
3-118657-A-41	0.2354	0.0018
3-118656-A-41	0.7832	0.1666
5-170338-A-41	0.8133	0.0718
3-118972-A-41	0.7143	0.1052
2-77945-A-41	0.7935	0.1265
4-169127-B-41	0.7108	0.1482
2-50668-B-41	0.7307	0.1841
1-64398-A-41	0.8472	0.0916
3-170383-A-38	0.8524	0.1295
5-219342-A-38	0.8303	0.5194
1-48413-A-38	0.8386	0.4653
2-131943-A-38	0.8494	0.7265
5-209698-A-38	0.6958	0.2527
1-57163-A-38	0.9112	0.7240
1-62850-A-38	0.7577	0.4353
3-150363-A-38	0.8966	0.0970
4-179984-A-38	0.6619	0.2637
3-170377-A-38	0.9662	0.3552
2-88724-A-38	0.7336	0.2885
4-175945-A-38	0.8299	0.6212
4-181865-A-38	0.4736	0.1975
2-140147-A-38	0.9092	0.6808
2-135728-A-38	0.8328	0.2481
5-212181-A-38	0.9194	0.7343
5-209833-A-38	0.7784	0.6897
5-235671-A-38	0.5144	0.2072
2-119748-A-38	0.7852	0.3093
3-164688-A-38	0.9524	0.6647
4-191327-A-38	0.9700	0.3390
3-142593-A-38	0.2493	0.1992
4-194711-A-38	0.6197	0.0986
2-141584-A-38	0.9072	0.1206
4-181035-A-38	0.8384	0.4636
5-201194-A-38	0.8986	0.6777
1-35687-A-38	0.7988	0.4647
3-171041-A-38	0.5223	0.2715
5-210571-A-38	0.9093	0.0942
1-62849-A-38	0.8807	0.8106
1-42139-A-38	0.6041	0.3563
1-21935-A-38	0.8205	0.4978
1-21934-A-38	0.8567	0.2386
2-127108-A-38	0.5686	0.4686
4-188033-A-38	0.9784	0.4837
5-208624-A-38	0.8889	0.7634
3-143933-A-38	0.8130	0.1143
3-171012-A-38	0.9616	0.3244
2-134700-A-38	0.4602	0.2172
4-198965-A-38	0.9053	0.4642
4-171519-A-21	0.9891	0.0639
1-29680-A-21	0.9924	0.1547
3-148330-A-21	0.9594	0.1172
5-187979-A-21	0.9932	0.0776
2-119102-A-21	0.9925	0.0603
5-202220-A-21	0.9308	0.3594
5-220026-A-21	0.9691	0.0817
5-220027-A-21	0.9944	0.0975
1-47274-A-21	0.9660	0.1028
3-150231-A-21	0.9097	0.0366
1-47273-A-21	0.9910	0.1602
5-221593-A-21	0.9830	0.0783
3-142605-A-21	0.7832	0.0583
2-128631-A-21	0.9828	0.1268
4-167642-A-21	0.9718	0.0528
5-201274-A-21	0.9761	0.0826
5-194533-A-21	0.9453	0.0262
1-54505-A-21	0.9715	0.0935
3-156558-A-21	0.9400	0.0286
3-142601-A-21	0.6461	0.0107
4-156844-A-21	0.9615	0.1242
3-143119-A-21	0.9968	0.1029
1-59324-A-21	0.9886	0.0728
1-81883-A-21	0.9968	0.0819
2-82538-A-21	0.9882	0.0810
2-93030-A-21	0.9847	0.1606
2-130979-A-21	0.9902	0.1459
2-130978-A-21	0.9871	0.0965
5-221518-A-21	0.9819	0.1501
3-144692-A-21	0.9522	0.1063
2-109505-A-21	0.9036	0.1042
2-118104-A-21	0.9899	0.1218
4-185415-A-21	0.9866	0.0276
3-141684-A-21	0.9907	0.0677
1-26143-A-21	0.9974	0.0834
4-157297-A-21	0.9816	0.1779
4-185619-A-21	0.9858	0.1448
4-156843-A-21	0.9948	0.0635
4-184434-A-21	0.9936	0.0905
1-31748-A-21	0.9693	0.0414
4-166661-A-10	0.5062	0.2646
1-63871-A-10	0.5591	0.3024
4-164206-A-10	0.4986	0.3182
3-157149-A-10	0.6899	0.0074
1-56311-A-10	0.5691	0.2360
4-180380-A-10	0.6018	0.4645
5-188655-A-10	0.5159	0.3413
4-160999-A-10	0.7049	0.1064
5-202898-A-10	0.6402	0.5068
5-195710-A-10	0.6140	0.3019
4-161127-A-10	0.6005	0.5023
2-73260-A-10	0.6025	0.3833
4-181286-A-10	0.5405	0.4905
2-72970-A-10	0.5397	0.3099
1-17367-A-10	0.6902	0.1727
4-163264-A-10	0.6339	0.1898
3-142005-A-10	0.7313	0.3672
5-198321-A-10	0.5157	0.3855
2-117625-A-10	0.5881	0.4720
5-203739-A-10	0.5640	0.3094
1-54958-A-10	0.5749	0.4486
2-87781-A-10	0.5586	0.2138
1-21189-A-10	0.5558	0.1556
2-101676-A-10	0.6310	0.4731
3-140774-A-10	0.8146	0.2590
3-157487-A-10	0.4950	0.3071
5-193339-A-10	0.5539	0.4077
3-143929-A-10	0.1933	0.0152
2-82367-A-10	0.6076	0.4813
