=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8074
Mean Deletion AUC: 0.2267
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6750	0.1327
1-116765-A-41	0.6704	0.2031
1-19898-B-41	0.8728	0.0571
4-157611-B-41	0.7081	0.2437
3-118658-A-41	0.7982	0.0479
5-216370-B-41	0.7351	0.2506
5-222524-A-41	0.6840	0.1433
1-47250-A-41	0.8126	0.2160
2-68391-A-41	0.8690	0.0347
2-50667-B-41	0.7945	0.0666
2-77945-B-41	0.7033	0.1603
4-165823-A-41	0.8342	0.1481
4-169127-A-41	0.8051	0.0134
1-64398-B-41	0.7280	0.2440
2-50668-A-41	0.7549	0.0256
4-149294-B-41	0.8663	0.2030
5-171653-A-41	0.7758	0.0115
3-118972-B-41	0.6987	0.0831
5-170338-B-41	0.7395	0.1215
3-118657-B-41	0.8423	0.0829
5-216370-A-41	0.7961	0.0917
2-50667-A-41	0.6454	0.2959
1-19898-C-41	0.7840	0.1035
4-165823-B-41	0.8818	0.1569
1-47250-B-41	0.7567	0.2962
2-68391-B-41	0.7888	0.0840
5-185579-B-41	0.6842	0.1369
1-19898-A-41	0.4080	0.0472
3-165856-A-41	0.5121	0.0443
3-118658-B-41	0.7813	0.0660
4-157611-A-41	0.7611	0.2427
3-118657-A-41	0.3475	0.0021
4-149294-A-41	0.7424	0.1313
3-118656-A-41	0.8145	0.1326
5-170338-A-41	0.7906	0.0268
3-118972-A-41	0.7269	0.1448
2-77945-A-41	0.8371	0.1117
4-169127-B-41	0.7180	0.1246
2-50668-B-41	0.7118	0.2145
1-64398-A-41	0.7799	0.1030
3-170383-A-38	0.8924	0.1148
5-219342-A-38	0.9286	0.6490
5-209698-A-38	0.7970	0.3851
1-48413-A-38	0.9475	0.4678
2-131943-A-38	0.8417	0.6024
1-57163-A-38	0.9249	0.7229
1-62850-A-38	0.8269	0.5237
4-179984-A-38	0.6541	0.5821
3-150363-A-38	0.9391	0.2082
3-170377-A-38	0.9800	0.3542
2-88724-A-38	0.6882	0.2362
4-175945-A-38	0.8561	0.5098
4-181865-A-38	0.9226	0.3694
2-140147-A-38	0.9267	0.5989
2-135728-A-38	0.9510	0.4596
5-212181-A-38	0.9392	0.5789
5-209833-A-38	0.8532	0.6993
5-235671-A-38	0.9141	0.2024
2-119748-A-38	0.9000	0.4493
3-164688-A-38	0.9370	0.6547
4-191327-A-38	0.9724	0.2487
3-142593-A-38	0.1539	0.1994
4-194711-A-38	0.6561	0.2781
2-141584-A-38	0.9662	0.1191
4-181035-A-38	0.9860	0.8112
5-201194-A-38	0.8714	0.6381
1-35687-A-38	0.9776	0.3165
3-171041-A-38	0.5020	0.2253
5-210571-A-38	0.9880	0.3393
1-62849-A-38	0.9815	0.5857
1-42139-A-38	0.9145	0.4236
1-21935-A-38	0.8822	0.5212
1-21934-A-38	0.9522	0.4323
2-127108-A-38	0.8053	0.6449
4-188033-A-38	0.9924	0.3613
5-208624-A-38	0.9232	0.7465
3-143933-A-38	0.9569	0.2501
3-171012-A-38	0.9776	0.3188
2-134700-A-38	0.8354	0.3607
4-198965-A-38	0.8489	0.3780
4-171519-A-21	0.9837	0.1011
1-29680-A-21	0.9778	0.1600
5-187979-A-21	0.9849	0.1158
2-119102-A-21	0.9890	0.0928
3-148330-A-21	0.9499	0.1166
5-202220-A-21	0.9378	0.3464
5-220027-A-21	0.9930	0.0989
5-220026-A-21	0.9501	0.0823
1-47274-A-21	0.9560	0.1279
3-150231-A-21	0.9392	0.0370
5-221593-A-21	0.9529	0.0306
1-47273-A-21	0.9925	0.1466
3-142605-A-21	0.7116	0.0854
2-128631-A-21	0.9623	0.1407
4-167642-A-21	0.9339	0.0662
5-194533-A-21	0.9696	0.0228
5-201274-A-21	0.9781	0.1185
1-54505-A-21	0.9632	0.1804
3-156558-A-21	0.6444	0.0285
3-142601-A-21	0.6090	0.0172
4-156844-A-21	0.9608	0.1171
3-143119-A-21	0.9962	0.1559
1-59324-A-21	0.9865	0.0757
1-81883-A-21	0.9943	0.1420
2-82538-A-21	0.9772	0.0818
2-93030-A-21	0.9834	0.2172
2-130979-A-21	0.9859	0.1762
2-130978-A-21	0.9811	0.1172
5-221518-A-21	0.9739	0.1317
3-144692-A-21	0.9357	0.1466
2-109505-A-21	0.9055	0.0673
2-118104-A-21	0.9926	0.1674
4-185415-A-21	0.9601	0.0281
3-141684-A-21	0.9855	0.0734
1-26143-A-21	0.9966	0.0826
4-157297-A-21	0.9780	0.2125
4-185619-A-21	0.9838	0.2323
4-156843-A-21	0.9866	0.0505
4-184434-A-21	0.9924	0.1076
1-31748-A-21	0.9291	0.0701
3-157149-A-10	0.7806	0.0075
4-164206-A-10	0.6979	0.3615
1-56311-A-10	0.6596	0.3121
4-166661-A-10	0.6060	0.2368
1-63871-A-10	0.6078	0.4328
4-180380-A-10	0.6471	0.4032
5-188655-A-10	0.5860	0.3331
4-160999-A-10	0.6946	0.2971
5-202898-A-10	0.7202	0.4748
5-195710-A-10	0.6814	0.4084
4-161127-A-10	0.6505	0.4671
2-73260-A-10	0.6742	0.3148
4-181286-A-10	0.6904	0.3128
2-72970-A-10	0.7836	0.3083
1-17367-A-10	0.7296	0.2214
4-163264-A-10	0.6433	0.2757
3-142005-A-10	0.6518	0.3226
5-198321-A-10	0.6692	0.3211
2-117625-A-10	0.6616	0.3454
5-203739-A-10	0.7536	0.2595
1-54958-A-10	0.7026	0.4406
2-87781-A-10	0.6455	0.2307
1-21189-A-10	0.6504	0.0965
2-101676-A-10	0.6269	0.3178
3-140774-A-10	0.7751	0.0330
3-157487-A-10	0.5362	0.3550
5-193339-A-10	0.6179	0.4792
3-143929-A-10	0.4245	0.0194
2-82367-A-10	0.6810	0.4236
