=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7365
Mean Deletion AUC: 0.2138
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6847	0.0851
1-116765-A-41	0.6612	0.2402
1-19898-B-41	0.8758	0.1076
4-157611-B-41	0.6689	0.2771
3-118658-A-41	0.6564	0.0554
5-216370-B-41	0.7223	0.3675
5-222524-A-41	0.5997	0.1551
1-47250-A-41	0.7965	0.3652
2-68391-A-41	0.7511	0.1536
2-50667-B-41	0.8033	0.0622
2-77945-B-41	0.7628	0.1408
4-165823-A-41	0.8392	0.2040
4-169127-A-41	0.6774	0.0113
1-64398-B-41	0.8444	0.1340
2-50668-A-41	0.6702	0.1291
4-149294-B-41	0.8917	0.1109
5-171653-A-41	0.8377	0.0123
3-118972-B-41	0.7695	0.0959
5-170338-B-41	0.7967	0.1799
3-118657-B-41	0.8416	0.0838
5-216370-A-41	0.8233	0.0952
2-50667-A-41	0.6673	0.2254
1-19898-C-41	0.8766	0.1358
4-165823-B-41	0.8754	0.2768
1-47250-B-41	0.7357	0.2755
2-68391-B-41	0.7388	0.0923
5-185579-B-41	0.7512	0.0965
1-19898-A-41	0.1659	0.0358
3-165856-A-41	0.6545	0.0599
3-118658-B-41	0.8554	0.1445
4-157611-A-41	0.7037	0.2114
3-118657-A-41	0.3835	0.0024
4-149294-A-41	0.8130	0.2270
3-118656-A-41	0.7857	0.1826
5-170338-A-41	0.8210	0.0851
3-118972-A-41	0.7597	0.1986
2-77945-A-41	0.7912	0.1557
4-169127-B-41	0.8033	0.2912
2-50668-B-41	0.7933	0.1938
1-64398-A-41	0.8362	0.1333
3-170383-A-38	0.8526	0.0593
5-219342-A-38	0.8663	0.1765
5-209698-A-38	0.6436	0.3246
1-48413-A-38	0.9366	0.3653
2-131943-A-38	0.6714	0.3551
1-57163-A-38	0.7604	0.5281
1-62850-A-38	0.8282	0.3398
4-179984-A-38	0.8606	0.2296
3-150363-A-38	0.9135	0.1075
3-170377-A-38	0.9720	0.0598
2-88724-A-38	0.7005	0.3550
4-175945-A-38	0.5644	0.3069
4-181865-A-38	0.8391	0.1712
2-140147-A-38	0.5879	0.1943
2-135728-A-38	0.8475	0.1812
5-212181-A-38	0.9383	0.3234
5-209833-A-38	0.5508	0.2919
5-235671-A-38	0.8753	0.3166
2-119748-A-38	0.9007	0.2977
3-164688-A-38	0.5908	0.0529
4-191327-A-38	0.8155	0.1713
3-142593-A-38	0.1887	0.1810
4-194711-A-38	0.3836	0.2563
2-141584-A-38	0.8298	0.0823
4-181035-A-38	0.9836	0.1280
5-201194-A-38	0.6352	0.2898
1-35687-A-38	0.9463	0.5246
3-171041-A-38	0.4973	0.2529
5-210571-A-38	0.7547	0.0376
1-62849-A-38	0.8613	0.0892
1-42139-A-38	0.7976	0.2061
1-21935-A-38	0.8628	0.3753
1-21934-A-38	0.8985	0.2143
2-127108-A-38	0.8269	0.5480
4-188033-A-38	0.7755	0.0386
5-208624-A-38	0.7909	0.4022
3-143933-A-38	0.7927	0.0518
3-171012-A-38	0.8968	0.0755
2-134700-A-38	0.8804	0.2793
4-198965-A-38	0.7505	0.1196
4-171519-A-21	0.9860	0.0655
1-29680-A-21	0.9544	0.0829
5-187979-A-21	0.9884	0.0885
2-119102-A-21	0.9815	0.0515
3-148330-A-21	0.9171	0.0837
5-202220-A-21	0.9126	0.3903
5-220027-A-21	0.9712	0.0686
5-220026-A-21	0.9447	0.0388
1-47274-A-21	0.9416	0.0422
3-150231-A-21	0.6840	0.0335
5-221593-A-21	0.9507	0.0203
1-47273-A-21	0.9563	0.1431
3-142605-A-21	0.8083	0.0687
2-128631-A-21	0.9671	0.1043
4-167642-A-21	0.9146	0.0653
5-194533-A-21	0.8776	0.0289
5-201274-A-21	0.9516	0.0827
1-54505-A-21	0.9454	0.1318
3-156558-A-21	0.6184	0.0360
3-142601-A-21	0.6012	0.0215
4-156844-A-21	0.9327	0.1149
3-143119-A-21	0.9923	0.0731
1-59324-A-21	0.9499	0.0257
1-81883-A-21	0.9692	0.0740
2-82538-A-21	0.9332	0.0523
2-93030-A-21	0.9600	0.2235
2-130979-A-21	0.9290	0.1637
2-130978-A-21	0.9694	0.0869
5-221518-A-21	0.9777	0.2255
3-144692-A-21	0.9042	0.0970
2-109505-A-21	0.9221	0.0387
2-118104-A-21	0.9835	0.1166
4-185415-A-21	0.8791	0.0455
3-141684-A-21	0.9934	0.0323
1-26143-A-21	0.9889	0.0601
4-157297-A-21	0.9533	0.1421
4-185619-A-21	0.9779	0.1952
4-156843-A-21	0.9586	0.0573
4-184434-A-21	0.9792	0.1316
1-31748-A-21	0.9560	0.0141
3-157149-A-10	0.5987	0.1311
4-164206-A-10	0.4941	0.3861
1-56311-A-10	0.5325	0.1481
4-166661-A-10	0.6295	0.1978
1-63871-A-10	0.5848	0.3600
4-180380-A-10	0.6189	0.4276
5-188655-A-10	0.5283	0.3251
4-160999-A-10	0.6363	0.1481
5-202898-A-10	0.5602	0.5034
5-195710-A-10	0.4966	0.3773
4-161127-A-10	0.6010	0.5345
2-73260-A-10	0.5116	0.3397
4-181286-A-10	0.5521	0.4159
2-72970-A-10	0.4434	0.2861
1-17367-A-10	0.6441	0.1110
4-163264-A-10	0.5201	0.1873
3-142005-A-10	0.7158	0.3199
5-198321-A-10	0.4938	0.3414
2-117625-A-10	0.6435	0.3833
5-203739-A-10	0.5069	0.2638
1-54958-A-10	0.6064	0.3455
2-87781-A-10	0.5611	0.2712
1-21189-A-10	0.5731	0.0615
2-101676-A-10	0.5194	0.3136
3-140774-A-10	0.0750	0.0219
3-157487-A-10	0.4374	0.2739
5-193339-A-10	0.5154	0.4612
3-143929-A-10	0.2246	0.0353
2-82367-A-10	0.5435	0.4687
