=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6686
Mean Deletion AUC: 0.2297
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6344	0.0643
5-185579-A-41	0.5677	0.2164
1-116765-A-41	0.5782	0.2270
4-157611-B-41	0.4891	0.1132
1-19898-B-41	0.8494	0.0832
5-216370-B-41	0.7098	0.2194
5-222524-A-41	0.4402	0.1193
1-47250-A-41	0.6502	0.2552
2-68391-A-41	0.8406	0.0076
2-50667-B-41	0.7539	0.2442
4-165823-A-41	0.7526	0.2625
2-77945-B-41	0.6391	0.2216
4-169127-A-41	0.7418	0.0363
1-64398-B-41	0.7242	0.3689
2-50668-A-41	0.6669	0.0654
5-171653-A-41	0.6890	0.0772
4-149294-B-41	0.7962	0.2321
3-118972-B-41	0.5916	0.1361
5-170338-B-41	0.7525	0.1394
3-118657-B-41	0.6578	0.1417
5-216370-A-41	0.6346	0.0307
1-19898-C-41	0.6603	0.1418
2-50667-A-41	0.7029	0.3155
4-165823-B-41	0.8734	0.1575
1-47250-B-41	0.6112	0.2601
2-68391-B-41	0.7358	0.2399
5-185579-B-41	0.6534	0.2462
1-19898-A-41	0.0883	0.0144
3-165856-A-41	0.3242	0.1571
3-118658-B-41	0.7677	0.2237
4-157611-A-41	0.7029	0.2085
4-149294-A-41	0.6175	0.1504
3-118657-A-41	0.1387	0.0118
3-118656-A-41	0.7253	0.1733
5-170338-A-41	0.7397	0.1030
3-118972-A-41	0.6182	0.1392
2-77945-A-41	0.6986	0.2106
4-169127-B-41	0.6314	0.2107
2-50668-B-41	0.6642	0.2139
1-64398-A-41	0.6948	0.1625
3-170383-A-38	0.5432	0.1081
5-219342-A-38	0.8861	0.4868
1-48413-A-38	0.7080	0.6051
2-131943-A-38	0.8011	0.5687
5-209698-A-38	0.6194	0.1300
1-57163-A-38	0.8832	0.6466
1-62850-A-38	0.5718	0.5053
3-150363-A-38	0.6656	0.4264
4-179984-A-38	0.6963	0.5081
3-170377-A-38	0.8983	0.4279
2-88724-A-38	0.6059	0.4224
4-175945-A-38	0.6644	0.1514
4-181865-A-38	0.4601	0.3254
2-140147-A-38	0.8846	0.6076
2-135728-A-38	0.5116	0.2936
5-212181-A-38	0.7554	0.4856
5-209833-A-38	0.7953	0.4979
5-235671-A-38	0.6637	0.1479
2-119748-A-38	0.8832	0.4012
3-164688-A-38	0.9429	0.5600
4-191327-A-38	0.7396	0.4390
3-142593-A-38	0.1692	0.0523
4-194711-A-38	0.6126	0.0546
2-141584-A-38	0.5011	0.2791
4-181035-A-38	0.9686	0.4907
5-201194-A-38	0.8530	0.4682
1-35687-A-38	0.4826	0.5054
3-171041-A-38	0.4952	0.1159
5-210571-A-38	0.9394	0.4077
1-62849-A-38	0.9147	0.4880
1-42139-A-38	0.5020	0.0851
1-21935-A-38	0.6641	0.5739
1-21934-A-38	0.7241	0.5010
2-127108-A-38	0.7035	0.5119
4-188033-A-38	0.9922	0.4573
5-208624-A-38	0.7951	0.5137
3-143933-A-38	0.4600	0.1733
3-171012-A-38	0.7525	0.3379
2-134700-A-38	0.7081	0.2760
4-198965-A-38	0.7783	0.3394
4-171519-A-21	0.9373	0.2880
1-29680-A-21	0.9593	0.2839
3-148330-A-21	0.9173	0.3272
5-187979-A-21	0.9501	0.3046
2-119102-A-21	0.9589	0.2527
5-202220-A-21	0.9012	0.2670
5-220026-A-21	0.7850	0.3170
5-220027-A-21	0.9471	0.2782
1-47274-A-21	0.8925	0.3596
3-150231-A-21	0.8761	0.2442
1-47273-A-21	0.9760	0.3765
5-221593-A-21	0.9034	0.4999
3-142605-A-21	0.7753	0.0808
2-128631-A-21	0.9292	0.3403
4-167642-A-21	0.9399	0.2768
5-201274-A-21	0.9503	0.1929
5-194533-A-21	0.9348	0.0770
1-54505-A-21	0.9087	0.2680
3-156558-A-21	0.8778	0.1952
3-142601-A-21	0.8100	0.0555
4-156844-A-21	0.9399	0.3316
3-143119-A-21	0.9845	0.2843
1-59324-A-21	0.9507	0.2568
1-81883-A-21	0.9749	0.2957
2-82538-A-21	0.8938	0.4576
2-93030-A-21	0.9617	0.2995
2-130979-A-21	0.9493	0.1915
2-130978-A-21	0.9456	0.2720
5-221518-A-21	0.9303	0.2856
3-144692-A-21	0.9195	0.1698
2-109505-A-21	0.9653	0.2665
2-118104-A-21	0.9670	0.2753
4-185415-A-21	0.9661	0.2695
3-141684-A-21	0.9514	0.2542
1-26143-A-21	0.9872	0.1750
4-157297-A-21	0.9410	0.4126
4-185619-A-21	0.9474	0.3169
4-156843-A-21	0.9698	0.3095
4-184434-A-21	0.9679	0.2704
1-31748-A-21	0.9773	0.2218
4-166661-A-10	0.4155	0.0482
1-63871-A-10	0.4725	0.0143
4-164206-A-10	0.5646	0.2185
3-157149-A-10	0.7457	0.0043
1-56311-A-10	0.4249	0.1140
4-180380-A-10	0.5924	0.1249
5-188655-A-10	0.4145	0.0741
4-160999-A-10	0.4477	0.2192
5-202898-A-10	0.4905	0.2569
5-195710-A-10	0.5818	0.2343
4-161127-A-10	0.4876	0.0870
2-73260-A-10	0.3169	0.2230
4-181286-A-10	0.4888	0.1718
2-72970-A-10	0.4499	0.2224
1-17367-A-10	0.3966	0.1718
4-163264-A-10	0.4766	0.0583
3-142005-A-10	0.2368	0.1450
5-198321-A-10	0.6088	0.1797
2-117625-A-10	0.4963	0.0470
5-203739-A-10	0.5347	0.1471
1-54958-A-10	0.4500	0.0581
2-87781-A-10	0.3416	0.1739
1-21189-A-10	0.2145	0.1163
2-101676-A-10	0.5689	0.2145
3-140774-A-10	0.5256	0.0810
3-157487-A-10	0.1587	0.0234
5-193339-A-10	0.5248	0.2115
3-143929-A-10	0.0020	0.0194
2-82367-A-10	0.5262	0.2011
