=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6834
Mean Deletion AUC: 0.2132
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5768	0.2043
1-116765-A-41	0.5723	0.2364
1-19898-B-41	0.8378	0.0890
4-157611-B-41	0.5119	0.0699
3-118658-A-41	0.7025	0.0650
5-216370-B-41	0.6138	0.2515
5-222524-A-41	0.5016	0.1771
1-47250-A-41	0.6471	0.2483
2-68391-A-41	0.8517	0.0084
2-50667-B-41	0.7355	0.1780
2-77945-B-41	0.6023	0.2127
4-165823-A-41	0.6997	0.2576
4-169127-A-41	0.7439	0.0296
1-64398-B-41	0.7621	0.3620
2-50668-A-41	0.6813	0.0574
4-149294-B-41	0.7006	0.2493
5-171653-A-41	0.6609	0.0770
3-118972-B-41	0.6055	0.1305
5-170338-B-41	0.6735	0.1676
3-118657-B-41	0.6579	0.1379
5-216370-A-41	0.6610	0.0286
2-50667-A-41	0.6508	0.3323
1-19898-C-41	0.6823	0.1369
4-165823-B-41	0.8312	0.1798
1-47250-B-41	0.6280	0.3039
2-68391-B-41	0.7130	0.2859
5-185579-B-41	0.6274	0.2543
1-19898-A-41	0.1203	0.0232
3-165856-A-41	0.3400	0.1841
3-118658-B-41	0.7548	0.2095
4-157611-A-41	0.7083	0.1972
3-118657-A-41	0.2544	0.0086
4-149294-A-41	0.6046	0.1380
3-118656-A-41	0.7060	0.2163
5-170338-A-41	0.7357	0.1054
3-118972-A-41	0.6184	0.1122
2-77945-A-41	0.7087	0.1929
4-169127-B-41	0.6297	0.1634
2-50668-B-41	0.6105	0.2417
1-64398-A-41	0.6838	0.1620
3-170383-A-38	0.6586	0.2690
5-219342-A-38	0.8530	0.2946
5-209698-A-38	0.6051	0.1503
1-48413-A-38	0.6651	0.5658
2-131943-A-38	0.7634	0.4589
1-57163-A-38	0.9581	0.6006
1-62850-A-38	0.7009	0.4616
4-179984-A-38	0.6601	0.2735
3-150363-A-38	0.6186	0.5051
3-170377-A-38	0.8816	0.4289
2-88724-A-38	0.5074	0.3280
4-175945-A-38	0.6534	0.1616
4-181865-A-38	0.5304	0.2081
2-140147-A-38	0.9132	0.5090
2-135728-A-38	0.6409	0.3227
5-212181-A-38	0.8376	0.3058
5-209833-A-38	0.7734	0.4105
5-235671-A-38	0.6226	0.2126
2-119748-A-38	0.7611	0.4333
3-164688-A-38	0.8994	0.6379
4-191327-A-38	0.8074	0.4310
3-142593-A-38	0.0899	0.1234
4-194711-A-38	0.6028	0.0958
2-141584-A-38	0.4845	0.2907
4-181035-A-38	0.9457	0.5087
5-201194-A-38	0.7878	0.6311
1-35687-A-38	0.6671	0.1535
3-171041-A-38	0.5911	0.2336
5-210571-A-38	0.9754	0.4391
1-62849-A-38	0.8656	0.3152
1-42139-A-38	0.6065	0.1884
1-21935-A-38	0.7073	0.5483
1-21934-A-38	0.8570	0.4779
2-127108-A-38	0.7544	0.4633
4-188033-A-38	0.9930	0.4611
5-208624-A-38	0.8762	0.5509
3-143933-A-38	0.5894	0.1926
3-171012-A-38	0.7491	0.3081
2-134700-A-38	0.6876	0.2959
4-198965-A-38	0.7614	0.4332
4-171519-A-21	0.9209	0.2826
1-29680-A-21	0.9592	0.3098
5-187979-A-21	0.9406	0.2803
2-119102-A-21	0.9498	0.2314
3-148330-A-21	0.9017	0.3886
5-202220-A-21	0.8989	0.2609
5-220027-A-21	0.9221	0.2348
5-220026-A-21	0.7803	0.3700
1-47274-A-21	0.8795	0.3375
3-150231-A-21	0.7985	0.1523
5-221593-A-21	0.9250	0.3478
1-47273-A-21	0.9805	0.3314
3-142605-A-21	0.8069	0.1368
2-128631-A-21	0.9161	0.2958
4-167642-A-21	0.9339	0.3233
5-194533-A-21	0.9320	0.0791
5-201274-A-21	0.9464	0.1876
1-54505-A-21	0.8831	0.2206
3-156558-A-21	0.8363	0.1914
3-142601-A-21	0.8224	0.0651
4-156844-A-21	0.9344	0.2225
3-143119-A-21	0.9783	0.2592
1-59324-A-21	0.9408	0.2308
1-81883-A-21	0.9703	0.1490
2-82538-A-21	0.8852	0.4023
2-93030-A-21	0.9628	0.3193
2-130979-A-21	0.9432	0.1803
2-130978-A-21	0.9411	0.2663
5-221518-A-21	0.9411	0.1693
3-144692-A-21	0.9191	0.1661
2-109505-A-21	0.9652	0.2666
2-118104-A-21	0.9689	0.3889
4-185415-A-21	0.9639	0.2695
3-141684-A-21	0.9519	0.2013
1-26143-A-21	0.9873	0.1496
4-157297-A-21	0.9361	0.2699
4-185619-A-21	0.9389	0.2991
4-156843-A-21	0.9637	0.2791
4-184434-A-21	0.9646	0.2249
1-31748-A-21	0.9785	0.2371
3-157149-A-10	0.7804	0.0048
4-164206-A-10	0.5991	0.1710
1-56311-A-10	0.3163	0.1192
4-166661-A-10	0.3805	0.0513
1-63871-A-10	0.6195	0.0201
4-180380-A-10	0.5871	0.1050
5-188655-A-10	0.4742	0.1122
4-160999-A-10	0.4637	0.2052
5-202898-A-10	0.4895	0.1517
5-195710-A-10	0.5402	0.2098
4-161127-A-10	0.5354	0.1032
2-73260-A-10	0.3466	0.3033
4-181286-A-10	0.4717	0.1464
2-72970-A-10	0.4966	0.0832
1-17367-A-10	0.4875	0.1375
4-163264-A-10	0.4484	0.0428
3-142005-A-10	0.3212	0.0943
5-198321-A-10	0.6419	0.1272
2-117625-A-10	0.4862	0.0977
5-203739-A-10	0.4846	0.1472
1-54958-A-10	0.4501	0.0413
2-87781-A-10	0.4715	0.1809
1-21189-A-10	0.3273	0.0772
2-101676-A-10	0.4848	0.1488
3-140774-A-10	0.7758	0.1024
3-157487-A-10	0.3152	0.0175
5-193339-A-10	0.5279	0.2785
3-143929-A-10	0.1966	0.0055
2-82367-A-10	0.4336	0.1021
