=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6403
Mean Deletion AUC: 0.2254
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5613	0.2229
1-116765-A-41	0.5695	0.2131
1-19898-B-41	0.7909	0.0919
4-157611-B-41	0.4248	0.1298
3-118658-A-41	0.6812	0.0630
5-216370-B-41	0.6427	0.2060
5-222524-A-41	0.5232	0.1932
1-47250-A-41	0.6751	0.2896
2-68391-A-41	0.8366	0.0072
2-50667-B-41	0.6932	0.1887
2-77945-B-41	0.6302	0.2102
4-165823-A-41	0.7286	0.2298
4-169127-A-41	0.7040	0.0398
1-64398-B-41	0.7304	0.3771
2-50668-A-41	0.6465	0.0870
4-149294-B-41	0.7617	0.2237
5-171653-A-41	0.6757	0.0781
3-118972-B-41	0.6281	0.1078
5-170338-B-41	0.6923	0.1467
3-118657-B-41	0.6639	0.1346
5-216370-A-41	0.5143	0.0364
2-50667-A-41	0.6785	0.3379
1-19898-C-41	0.6719	0.1319
4-165823-B-41	0.8277	0.1677
1-47250-B-41	0.5984	0.2945
2-68391-B-41	0.7177	0.2759
5-185579-B-41	0.6425	0.2413
1-19898-A-41	0.0642	0.0253
3-165856-A-41	0.2859	0.1508
3-118658-B-41	0.7619	0.2212
4-157611-A-41	0.6516	0.2300
3-118657-A-41	0.2236	0.0090
4-149294-A-41	0.5302	0.1280
3-118656-A-41	0.7191	0.2020
5-170338-A-41	0.7361	0.1310
3-118972-A-41	0.6209	0.1389
2-77945-A-41	0.7088	0.2028
4-169127-B-41	0.6350	0.2020
2-50668-B-41	0.6474	0.2216
1-64398-A-41	0.6917	0.1630
3-170383-A-38	0.5144	0.2517
5-219342-A-38	0.8522	0.1715
5-209698-A-38	0.3642	0.3264
1-48413-A-38	0.8566	0.4405
2-131943-A-38	0.7961	0.6795
1-57163-A-38	0.9029	0.6881
1-62850-A-38	0.7919	0.2288
4-179984-A-38	0.7291	0.4188
3-150363-A-38	0.6835	0.2051
3-170377-A-38	0.9051	0.2160
2-88724-A-38	0.6431	0.4206
4-175945-A-38	0.3956	0.5305
4-181865-A-38	0.5836	0.2249
2-140147-A-38	0.8508	0.5576
2-135728-A-38	0.5769	0.3929
5-212181-A-38	0.8527	0.2826
5-209833-A-38	0.7616	0.6529
5-235671-A-38	0.6482	0.2438
2-119748-A-38	0.9050	0.2299
3-164688-A-38	0.9370	0.5277
4-191327-A-38	0.8576	0.4617
3-142593-A-38	0.0528	0.0384
4-194711-A-38	0.1225	0.1756
2-141584-A-38	0.5034	0.1060
4-181035-A-38	0.9187	0.2209
5-201194-A-38	0.9131	0.6575
1-35687-A-38	0.5524	0.2820
3-171041-A-38	0.5670	0.5483
5-210571-A-38	0.9223	0.2114
1-62849-A-38	0.8675	0.1819
1-42139-A-38	0.3665	0.1238
1-21935-A-38	0.7856	0.4743
1-21934-A-38	0.8593	0.4126
2-127108-A-38	0.8723	0.2034
4-188033-A-38	0.9896	0.2804
5-208624-A-38	0.8294	0.5693
3-143933-A-38	0.4753	0.3412
3-171012-A-38	0.7358	0.1718
2-134700-A-38	0.6282	0.2633
4-198965-A-38	0.8297	0.6769
4-171519-A-21	0.8992	0.2906
1-29680-A-21	0.9324	0.3277
5-187979-A-21	0.9445	0.2701
2-119102-A-21	0.8679	0.2261
3-148330-A-21	0.8216	0.3473
5-202220-A-21	0.9022	0.3270
5-220027-A-21	0.7666	0.2647
5-220026-A-21	0.8222	0.3210
1-47274-A-21	0.8863	0.2658
3-150231-A-21	0.8303	0.2576
5-221593-A-21	0.9233	0.6656
1-47273-A-21	0.9762	0.4505
3-142605-A-21	0.7199	0.1407
2-128631-A-21	0.9443	0.3147
4-167642-A-21	0.9391	0.1996
5-194533-A-21	0.9430	0.1874
5-201274-A-21	0.9434	0.1761
1-54505-A-21	0.9029	0.2030
3-156558-A-21	0.8501	0.3306
3-142601-A-21	0.8445	0.0621
4-156844-A-21	0.9318	0.2317
3-143119-A-21	0.9803	0.2192
1-59324-A-21	0.9364	0.1635
1-81883-A-21	0.9754	0.1696
2-82538-A-21	0.8737	0.3850
2-93030-A-21	0.9497	0.1181
2-130979-A-21	0.9134	0.1833
2-130978-A-21	0.9420	0.2774
5-221518-A-21	0.9303	0.2204
3-144692-A-21	0.9226	0.1691
2-109505-A-21	0.9606	0.2675
2-118104-A-21	0.9687	0.4600
4-185415-A-21	0.9101	0.2561
3-141684-A-21	0.9529	0.2903
1-26143-A-21	0.9896	0.1372
4-157297-A-21	0.9438	0.3006
4-185619-A-21	0.9501	0.2956
4-156843-A-21	0.9430	0.1900
4-184434-A-21	0.9678	0.3319
1-31748-A-21	0.9908	0.2301
3-157149-A-10	0.7572	0.0143
4-164206-A-10	0.6121	0.1762
1-56311-A-10	0.3629	0.0168
4-166661-A-10	0.2782	0.1399
1-63871-A-10	0.4395	0.0274
4-180380-A-10	0.6018	0.1756
5-188655-A-10	0.3884	0.1559
4-160999-A-10	0.5509	0.1588
5-202898-A-10	0.5363	0.1292
5-195710-A-10	0.5399	0.2670
4-161127-A-10	0.4970	0.0909
2-73260-A-10	0.2901	0.1986
4-181286-A-10	0.5097	0.1313
2-72970-A-10	0.4470	0.2458
1-17367-A-10	0.5077	0.1665
4-163264-A-10	0.4634	0.0698
3-142005-A-10	0.4859	0.0454
5-198321-A-10	0.5876	0.1003
2-117625-A-10	0.4043	0.0574
5-203739-A-10	0.5230	0.1424
1-54958-A-10	0.4286	0.0461
2-87781-A-10	0.3230	0.1190
1-21189-A-10	0.3201	0.1125
2-101676-A-10	0.4803	0.1179
3-140774-A-10	0.2697	0.3893
3-157487-A-10	0.2818	0.0301
5-193339-A-10	0.5361	0.1832
3-143929-A-10	0.0022	0.0175
2-82367-A-10	0.5756	0.3148
