=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6035
Mean Deletion AUC: 0.1070
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.4163	0.0290
5-185579-A-41	0.6319	0.0255
1-116765-A-41	0.6222	0.0350
4-157611-B-41	0.4294	0.0271
1-19898-B-41	0.7606	0.1263
5-216370-B-41	0.7395	0.1309
5-222524-A-41	0.4524	0.0678
1-47250-A-41	0.4968	0.0686
2-68391-A-41	0.5634	0.0150
2-50667-B-41	0.6682	0.0502
4-165823-A-41	0.8658	0.2074
2-77945-B-41	0.7543	0.1165
4-169127-A-41	0.2920	0.1424
1-64398-B-41	0.6011	0.0889
2-50668-A-41	0.5022	0.0835
5-171653-A-41	0.7270	0.0431
4-149294-B-41	0.6320	0.1024
3-118972-B-41	0.5324	0.0143
5-170338-B-41	0.8365	0.1336
3-118657-B-41	0.6485	0.0633
5-216370-A-41	0.4742	0.0215
1-19898-C-41	0.6401	0.0835
2-50667-A-41	0.6274	0.1150
4-165823-B-41	0.9012	0.1620
1-47250-B-41	0.5745	0.0571
2-68391-B-41	0.7776	0.1049
5-185579-B-41	0.6750	0.0941
1-19898-A-41	0.1909	0.0206
3-165856-A-41	0.5539	0.0977
3-118658-B-41	0.7420	0.1129
4-157611-A-41	0.4291	0.0408
4-149294-A-41	0.6502	0.0386
3-118657-A-41	0.3034	0.0082
3-118656-A-41	0.7081	0.1280
5-170338-A-41	0.6967	0.0471
3-118972-A-41	0.6499	0.0443
2-77945-A-41	0.4111	0.0473
4-169127-B-41	0.7173	0.0854
2-50668-B-41	0.7429	0.1170
1-64398-A-41	0.7306	0.1002
3-170383-A-38	0.5865	0.1820
5-219342-A-38	0.9460	0.1655
1-48413-A-38	0.7855	0.5411
2-131943-A-38	0.8241	0.6054
5-209698-A-38	0.5364	0.4250
1-57163-A-38	0.9726	0.6109
1-62850-A-38	0.8646	0.2754
3-150363-A-38	0.9000	0.3182
4-179984-A-38	0.8569	0.1451
3-170377-A-38	0.9644	0.4598
2-88724-A-38	0.7080	0.3997
4-175945-A-38	0.6027	0.5197
4-181865-A-38	0.8342	0.2411
2-140147-A-38	0.7697	0.5679
2-135728-A-38	0.7733	0.3762
5-212181-A-38	0.9347	0.1834
5-209833-A-38	0.7311	0.7316
5-235671-A-38	0.8054	0.1464
2-119748-A-38	0.9094	0.1937
3-164688-A-38	0.9836	0.6497
4-191327-A-38	0.8974	0.4546
3-142593-A-38	0.1126	0.0467
4-194711-A-38	0.5851	0.1221
2-141584-A-38	0.8144	0.3206
4-181035-A-38	0.9698	0.2799
5-201194-A-38	0.9378	0.6612
1-35687-A-38	0.8601	0.2120
3-171041-A-38	0.4300	0.4876
5-210571-A-38	0.9692	0.3379
1-62849-A-38	0.9653	0.2542
1-42139-A-38	0.6742	0.1888
1-21935-A-38	0.8054	0.5732
1-21934-A-38	0.9364	0.2211
2-127108-A-38	0.8405	0.1877
4-188033-A-38	0.9312	0.3625
5-208624-A-38	0.9370	0.6355
3-143933-A-38	0.7099	0.4112
3-171012-A-38	0.9130	0.5186
2-134700-A-38	0.6870	0.1819
4-198965-A-38	0.8092	0.5686
4-171519-A-21	0.8505	0.0711
1-29680-A-21	0.9576	0.0662
3-148330-A-21	0.7933	0.0721
5-187979-A-21	0.8632	0.0611
2-119102-A-21	0.8564	0.0476
5-202220-A-21	0.8217	0.0915
5-220026-A-21	0.5747	0.0767
5-220027-A-21	0.6442	0.0657
1-47274-A-21	0.6736	0.0915
3-150231-A-21	0.6396	0.0500
1-47273-A-21	0.9523	0.0547
5-221593-A-21	0.8513	0.1213
3-142605-A-21	0.6492	0.0948
2-128631-A-21	0.6849	0.0802
4-167642-A-21	0.7704	0.0755
5-201274-A-21	0.8777	0.0442
5-194533-A-21	0.7782	0.0263
1-54505-A-21	0.7054	0.0852
3-156558-A-21	0.2668	0.0437
3-142601-A-21	0.1486	0.0103
4-156844-A-21	0.8852	0.0559
3-143119-A-21	0.9737	0.0777
1-59324-A-21	0.8117	0.0547
1-81883-A-21	0.9424	0.0368
2-82538-A-21	0.6379	0.0746
2-93030-A-21	0.9082	0.1164
2-130979-A-21	0.8650	0.0470
2-130978-A-21	0.7285	0.0692
5-221518-A-21	0.9270	0.0436
3-144692-A-21	0.5211	0.0410
2-109505-A-21	0.9135	0.0823
2-118104-A-21	0.9461	0.0829
4-185415-A-21	0.9418	0.0797
3-141684-A-21	0.9231	0.0712
1-26143-A-21	0.9084	0.0620
4-157297-A-21	0.7946	0.0750
4-185619-A-21	0.8173	0.0857
4-156843-A-21	0.9414	0.0575
4-184434-A-21	0.7914	0.0508
1-31748-A-21	0.9761	0.0487
4-166661-A-10	0.4975	0.0232
1-63871-A-10	0.5752	0.0168
4-164206-A-10	0.6712	0.1637
3-157149-A-10	0.7044	0.0027
1-56311-A-10	0.5332	0.0544
4-180380-A-10	0.6601	0.0975
5-188655-A-10	0.6957	0.1516
4-160999-A-10	0.6640	0.0673
5-202898-A-10	0.5306	0.1916
5-195710-A-10	0.5176	0.1305
4-161127-A-10	0.6289	0.1375
2-73260-A-10	0.6055	0.0962
4-181286-A-10	0.6955	0.1478
2-72970-A-10	0.6502	0.1165
1-17367-A-10	0.5768	0.0676
4-163264-A-10	0.6276	0.1648
3-142005-A-10	0.2297	0.0282
5-198321-A-10	0.6929	0.1213
2-117625-A-10	0.5858	0.1170
5-203739-A-10	0.7337	0.1562
1-54958-A-10	0.6213	0.0843
2-87781-A-10	0.5902	0.1396
1-21189-A-10	0.5628	0.0076
2-101676-A-10	0.6837	0.2152
3-140774-A-10	0.5680	0.1084
3-157487-A-10	0.2002	0.0383
5-193339-A-10	0.5727	0.2062
3-143929-A-10	0.0330	0.0095
2-82367-A-10	0.5759	0.1992
