=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6257
Mean Deletion AUC: 0.1031
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6861	0.0538
1-116765-A-41	0.7339	0.1193
1-19898-B-41	0.7676	0.0753
4-157611-B-41	0.3828	0.0627
3-118658-A-41	0.5174	0.0319
5-216370-B-41	0.6276	0.1423
5-222524-A-41	0.5447	0.0106
1-47250-A-41	0.5710	0.0822
2-68391-A-41	0.6651	0.0171
2-50667-B-41	0.7608	0.0977
2-77945-B-41	0.7349	0.1254
4-165823-A-41	0.8537	0.1593
4-169127-A-41	0.3283	0.1009
1-64398-B-41	0.5722	0.1461
2-50668-A-41	0.4571	0.0619
4-149294-B-41	0.6317	0.0936
5-171653-A-41	0.7515	0.0314
3-118972-B-41	0.5293	0.0344
5-170338-B-41	0.8049	0.1697
3-118657-B-41	0.6089	0.0468
5-216370-A-41	0.3043	0.0219
2-50667-A-41	0.6167	0.1318
1-19898-C-41	0.6870	0.1163
4-165823-B-41	0.8817	0.1484
1-47250-B-41	0.5736	0.0239
2-68391-B-41	0.6902	0.1511
5-185579-B-41	0.6520	0.1011
1-19898-A-41	0.1432	0.0148
3-165856-A-41	0.5437	0.0842
3-118658-B-41	0.7227	0.0885
4-157611-A-41	0.4452	0.0590
3-118657-A-41	0.3837	0.0187
4-149294-A-41	0.6016	0.0207
3-118656-A-41	0.7134	0.1057
5-170338-A-41	0.7266	0.0267
3-118972-A-41	0.7152	0.0737
2-77945-A-41	0.3963	0.0241
4-169127-B-41	0.7123	0.0922
2-50668-B-41	0.7495	0.1435
1-64398-A-41	0.7486	0.0711
3-170383-A-38	0.5452	0.2323
5-219342-A-38	0.9327	0.1638
5-209698-A-38	0.6173	0.3634
1-48413-A-38	0.8069	0.5879
2-131943-A-38	0.8224	0.6873
1-57163-A-38	0.9806	0.6099
1-62850-A-38	0.8722	0.2937
4-179984-A-38	0.8573	0.1570
3-150363-A-38	0.8454	0.3897
3-170377-A-38	0.9488	0.4677
2-88724-A-38	0.7476	0.3250
4-175945-A-38	0.6881	0.5164
4-181865-A-38	0.8353	0.2658
2-140147-A-38	0.7529	0.5049
2-135728-A-38	0.8870	0.3802
5-212181-A-38	0.9360	0.2773
5-209833-A-38	0.7272	0.6936
5-235671-A-38	0.8913	0.0947
2-119748-A-38	0.9081	0.1519
3-164688-A-38	0.9726	0.6316
4-191327-A-38	0.9444	0.5121
3-142593-A-38	0.1586	0.0631
4-194711-A-38	0.7233	0.1111
2-141584-A-38	0.8855	0.3275
4-181035-A-38	0.9681	0.2951
5-201194-A-38	0.9301	0.5976
1-35687-A-38	0.8554	0.4870
3-171041-A-38	0.4755	0.4783
5-210571-A-38	0.9674	0.3206
1-62849-A-38	0.9551	0.3423
1-42139-A-38	0.7288	0.0492
1-21935-A-38	0.8141	0.5965
1-21934-A-38	0.9334	0.2488
2-127108-A-38	0.8715	0.1951
4-188033-A-38	0.9404	0.3238
5-208624-A-38	0.9271	0.6558
3-143933-A-38	0.8195	0.4223
3-171012-A-38	0.9321	0.4967
2-134700-A-38	0.8362	0.2241
4-198965-A-38	0.7755	0.6196
4-171519-A-21	0.8360	0.0944
1-29680-A-21	0.9681	0.0937
5-187979-A-21	0.8351	0.0969
2-119102-A-21	0.8455	0.0478
3-148330-A-21	0.7393	0.0873
5-202220-A-21	0.9042	0.1006
5-220027-A-21	0.6807	0.0791
5-220026-A-21	0.6591	0.1101
1-47274-A-21	0.6347	0.0840
3-150231-A-21	0.5439	0.0790
5-221593-A-21	0.8213	0.1221
1-47273-A-21	0.9658	0.1100
3-142605-A-21	0.5606	0.0665
2-128631-A-21	0.6684	0.0777
4-167642-A-21	0.6490	0.0945
5-194533-A-21	0.8415	0.0296
5-201274-A-21	0.8344	0.0321
1-54505-A-21	0.7117	0.0879
3-156558-A-21	0.3478	0.0551
3-142601-A-21	0.1017	0.0180
4-156844-A-21	0.9147	0.0619
3-143119-A-21	0.9716	0.0718
1-59324-A-21	0.8438	0.0663
1-81883-A-21	0.9058	0.0349
2-82538-A-21	0.5633	0.1342
2-93030-A-21	0.9322	0.1170
2-130979-A-21	0.8979	0.0561
2-130978-A-21	0.7049	0.0951
5-221518-A-21	0.9111	0.0343
3-144692-A-21	0.7831	0.0625
2-109505-A-21	0.8905	0.0775
2-118104-A-21	0.9368	0.0909
4-185415-A-21	0.9267	0.1110
3-141684-A-21	0.9198	0.0356
1-26143-A-21	0.9126	0.0506
4-157297-A-21	0.9219	0.0825
4-185619-A-21	0.8715	0.0981
4-156843-A-21	0.8925	0.0578
4-184434-A-21	0.8558	0.0540
1-31748-A-21	0.9693	0.0498
3-157149-A-10	0.6947	0.0036
4-164206-A-10	0.7486	0.1301
1-56311-A-10	0.6432	0.0115
4-166661-A-10	0.6479	0.0162
1-63871-A-10	0.6602	0.0116
4-180380-A-10	0.7288	0.1574
5-188655-A-10	0.7330	0.1137
4-160999-A-10	0.7673	0.0491
5-202898-A-10	0.6054	0.1607
5-195710-A-10	0.6856	0.0471
4-161127-A-10	0.6678	0.0540
2-73260-A-10	0.5712	0.0712
4-181286-A-10	0.7030	0.1966
2-72970-A-10	0.7326	0.1745
1-17367-A-10	0.6215	0.0293
4-163264-A-10	0.6452	0.0830
3-142005-A-10	0.4326	0.0197
5-198321-A-10	0.7226	0.1219
2-117625-A-10	0.6836	0.0787
5-203739-A-10	0.7426	0.2469
1-54958-A-10	0.6580	0.0243
2-87781-A-10	0.6443	0.0144
1-21189-A-10	0.5675	0.0046
2-101676-A-10	0.7402	0.2878
3-140774-A-10	0.5257	0.0933
3-157487-A-10	0.4791	0.0196
5-193339-A-10	0.6362	0.1373
3-143929-A-10	0.1029	0.0032
2-82367-A-10	0.6502	0.1966
