=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5903
Mean Deletion AUC: 0.1111
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7040	0.0305
1-116765-A-41	0.6595	0.0546
1-19898-B-41	0.7260	0.0998
4-157611-B-41	0.3460	0.0255
3-118658-A-41	0.4279	0.0290
5-216370-B-41	0.7130	0.1475
5-222524-A-41	0.4946	0.0670
1-47250-A-41	0.4549	0.0821
2-68391-A-41	0.6459	0.0142
2-50667-B-41	0.7288	0.0626
2-77945-B-41	0.7586	0.1374
4-165823-A-41	0.8283	0.1831
4-169127-A-41	0.4674	0.0211
1-64398-B-41	0.6484	0.1470
2-50668-A-41	0.4363	0.0490
4-149294-B-41	0.5819	0.0952
5-171653-A-41	0.7622	0.0506
3-118972-B-41	0.4838	0.0272
5-170338-B-41	0.8548	0.1847
3-118657-B-41	0.5322	0.0620
5-216370-A-41	0.4612	0.0192
2-50667-A-41	0.6401	0.1152
1-19898-C-41	0.5586	0.0887
4-165823-B-41	0.8851	0.1770
1-47250-B-41	0.5278	0.0376
2-68391-B-41	0.7579	0.1482
5-185579-B-41	0.7575	0.0825
1-19898-A-41	0.1450	0.0202
3-165856-A-41	0.6411	0.1087
3-118658-B-41	0.7698	0.1288
4-157611-A-41	0.3777	0.0320
3-118657-A-41	0.1651	0.0085
4-149294-A-41	0.5707	0.0306
3-118656-A-41	0.6764	0.1000
5-170338-A-41	0.6347	0.0684
3-118972-A-41	0.6612	0.0530
2-77945-A-41	0.4226	0.0561
4-169127-B-41	0.7057	0.0983
2-50668-B-41	0.7630	0.1233
1-64398-A-41	0.7414	0.0773
3-170383-A-38	0.5533	0.2209
5-219342-A-38	0.9097	0.1595
5-209698-A-38	0.3514	0.4457
1-48413-A-38	0.8793	0.5578
2-131943-A-38	0.8279	0.7006
1-57163-A-38	0.9440	0.6751
1-62850-A-38	0.8584	0.3042
4-179984-A-38	0.8926	0.1729
3-150363-A-38	0.8808	0.3621
3-170377-A-38	0.9467	0.5266
2-88724-A-38	0.6837	0.3084
4-175945-A-38	0.4363	0.5983
4-181865-A-38	0.8489	0.2714
2-140147-A-38	0.7595	0.6133
2-135728-A-38	0.8996	0.3570
5-212181-A-38	0.9042	0.2829
5-209833-A-38	0.7285	0.7489
5-235671-A-38	0.8812	0.0742
2-119748-A-38	0.9230	0.1163
3-164688-A-38	0.9661	0.6588
4-191327-A-38	0.9149	0.5963
3-142593-A-38	0.0761	0.0350
4-194711-A-38	0.4390	0.3742
2-141584-A-38	0.8748	0.3100
4-181035-A-38	0.9749	0.2668
5-201194-A-38	0.9368	0.6950
1-35687-A-38	0.7722	0.3618
3-171041-A-38	0.4953	0.7159
5-210571-A-38	0.9567	0.3224
1-62849-A-38	0.9631	0.3341
1-42139-A-38	0.6645	0.0612
1-21935-A-38	0.8334	0.6046
1-21934-A-38	0.8945	0.2443
2-127108-A-38	0.9380	0.2037
4-188033-A-38	0.9642	0.3218
5-208624-A-38	0.8860	0.6489
3-143933-A-38	0.7687	0.5076
3-171012-A-38	0.9130	0.5933
2-134700-A-38	0.5973	0.0533
4-198965-A-38	0.7373	0.5476
4-171519-A-21	0.8893	0.0673
1-29680-A-21	0.9783	0.0840
5-187979-A-21	0.9558	0.0626
2-119102-A-21	0.8813	0.0331
3-148330-A-21	0.8091	0.0626
5-202220-A-21	0.8289	0.1466
5-220027-A-21	0.6155	0.0742
5-220026-A-21	0.5323	0.0703
1-47274-A-21	0.6275	0.0426
3-150231-A-21	0.5649	0.0409
5-221593-A-21	0.9108	0.0731
1-47273-A-21	0.9736	0.0685
3-142605-A-21	0.6355	0.0310
2-128631-A-21	0.7938	0.0676
4-167642-A-21	0.7317	0.0684
5-194533-A-21	0.9143	0.0229
5-201274-A-21	0.8775	0.0330
1-54505-A-21	0.6774	0.0520
3-156558-A-21	0.3421	0.0278
3-142601-A-21	0.2003	0.0145
4-156844-A-21	0.9174	0.0490
3-143119-A-21	0.9781	0.0421
1-59324-A-21	0.8104	0.0538
1-81883-A-21	0.9137	0.0471
2-82538-A-21	0.6701	0.1268
2-93030-A-21	0.8895	0.0446
2-130979-A-21	0.7859	0.0362
2-130978-A-21	0.7715	0.0553
5-221518-A-21	0.9452	0.0284
3-144692-A-21	0.5770	0.0473
2-109505-A-21	0.8781	0.0571
2-118104-A-21	0.9731	0.0832
4-185415-A-21	0.9149	0.0533
3-141684-A-21	0.9773	0.0410
1-26143-A-21	0.9770	0.0392
4-157297-A-21	0.9178	0.1203
4-185619-A-21	0.9286	0.0968
4-156843-A-21	0.9452	0.0444
4-184434-A-21	0.9412	0.0446
1-31748-A-21	0.9804	0.0543
3-157149-A-10	0.7362	0.0088
4-164206-A-10	0.7160	0.1838
1-56311-A-10	0.4610	0.0129
4-166661-A-10	0.4514	0.0176
1-63871-A-10	0.6077	0.0191
4-180380-A-10	0.6162	0.0258
5-188655-A-10	0.6295	0.1606
4-160999-A-10	0.6839	0.0905
5-202898-A-10	0.5623	0.1820
5-195710-A-10	0.5899	0.0821
4-161127-A-10	0.5361	0.1365
2-73260-A-10	0.5473	0.1877
4-181286-A-10	0.6848	0.2050
2-72970-A-10	0.6832	0.2342
1-17367-A-10	0.5910	0.1125
4-163264-A-10	0.4923	0.0563
3-142005-A-10	0.3052	0.0221
5-198321-A-10	0.7202	0.0486
2-117625-A-10	0.5937	0.0624
5-203739-A-10	0.7359	0.2701
1-54958-A-10	0.6720	0.0325
2-87781-A-10	0.5253	0.0794
1-21189-A-10	0.6038	0.0164
2-101676-A-10	0.7042	0.2255
3-140774-A-10	0.5811	0.1729
3-157487-A-10	0.1913	0.0260
5-193339-A-10	0.5915	0.1560
3-143929-A-10	0.0189	0.0066
2-82367-A-10	0.6869	0.3476
