=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6707
Mean Deletion AUC: 0.3506
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6939	0.0647
5-185579-A-41	0.7063	0.1315
1-116765-A-41	0.6879	0.4342
4-157611-B-41	0.5687	0.3490
1-19898-B-41	0.8867	0.0884
5-216370-B-41	0.5872	0.3719
5-222524-A-41	0.5507	0.3663
1-47250-A-41	0.7373	0.2150
2-68391-A-41	0.6348	0.2576
2-50667-B-41	0.8699	0.1227
4-165823-A-41	0.7852	0.1986
2-77945-B-41	0.6507	0.4595
4-169127-A-41	0.7748	0.0115
1-64398-B-41	0.8535	0.3237
2-50668-A-41	0.6218	0.0611
5-171653-A-41	0.8643	0.0322
4-149294-B-41	0.8417	0.3897
3-118972-B-41	0.6829	0.1400
5-170338-B-41	0.7614	0.4550
3-118657-B-41	0.8527	0.1098
5-216370-A-41	0.4010	0.2253
1-19898-C-41	0.9052	0.2539
2-50667-A-41	0.7874	0.2873
4-165823-B-41	0.9128	0.1473
1-47250-B-41	0.6692	0.3918
2-68391-B-41	0.8163	0.2887
5-185579-B-41	0.7262	0.2581
1-19898-A-41	0.1910	0.0750
3-165856-A-41	0.4006	0.0750
3-118658-B-41	0.9046	0.2851
4-157611-A-41	0.7757	0.4460
4-149294-A-41	0.7890	0.4581
3-118657-A-41	0.2253	0.0065
3-118656-A-41	0.8547	0.1417
5-170338-A-41	0.8364	0.2684
3-118972-A-41	0.7788	0.1556
2-77945-A-41	0.8445	0.2502
4-169127-B-41	0.7925	0.2024
2-50668-B-41	0.6927	0.2408
1-64398-A-41	0.7702	0.0735
3-170383-A-38	0.5275	0.4058
5-219342-A-38	0.8624	0.5728
1-48413-A-38	0.8458	0.5678
2-131943-A-38	0.7942	0.6095
5-209698-A-38	0.5835	0.5170
1-57163-A-38	0.7325	0.6878
1-62850-A-38	0.6452	0.5572
3-150363-A-38	0.8360	0.3301
4-179984-A-38	0.6977	0.6419
3-170377-A-38	0.8549	0.3561
2-88724-A-38	0.3287	0.6168
4-175945-A-38	0.6932	0.5774
4-181865-A-38	0.2525	0.4343
2-140147-A-38	0.7552	0.5980
2-135728-A-38	0.4974	0.3204
5-212181-A-38	0.7048	0.6436
5-209833-A-38	0.8812	0.4558
5-235671-A-38	0.6178	0.3434
2-119748-A-38	0.7129	0.5829
3-164688-A-38	0.8820	0.5601
4-191327-A-38	0.8009	0.4114
3-142593-A-38	0.1245	0.1097
4-194711-A-38	0.5357	0.1697
2-141584-A-38	0.6832	0.2096
4-181035-A-38	0.8638	0.6517
5-201194-A-38	0.6640	0.3781
1-35687-A-38	0.7870	0.6105
3-171041-A-38	0.4695	0.2828
5-210571-A-38	0.8899	0.3890
1-62849-A-38	0.7331	0.6771
1-42139-A-38	0.3380	0.3955
1-21935-A-38	0.7359	0.5142
1-21934-A-38	0.7841	0.5225
2-127108-A-38	0.6647	0.5747
4-188033-A-38	0.9698	0.5876
5-208624-A-38	0.7571	0.6363
3-143933-A-38	0.4242	0.2454
3-171012-A-38	0.7828	0.2614
2-134700-A-38	0.6688	0.4514
4-198965-A-38	0.6995	0.3044
4-171519-A-21	0.9711	0.2442
1-29680-A-21	0.9612	0.3868
3-148330-A-21	0.9100	0.3499
5-187979-A-21	0.9859	0.1408
2-119102-A-21	0.9839	0.1034
5-202220-A-21	0.9164	0.7059
5-220026-A-21	0.9253	0.0970
5-220027-A-21	0.9857	0.1364
1-47274-A-21	0.9497	0.2426
3-150231-A-21	0.9327	0.0565
1-47273-A-21	0.9858	0.5146
5-221593-A-21	0.9697	0.1152
3-142605-A-21	0.4827	0.2034
2-128631-A-21	0.9720	0.2817
4-167642-A-21	0.9600	0.1473
5-201274-A-21	0.9710	0.1545
5-194533-A-21	0.9521	0.0444
1-54505-A-21	0.9598	0.2179
3-156558-A-21	0.9090	0.0334
3-142601-A-21	0.6482	0.0438
4-156844-A-21	0.9331	0.3315
3-143119-A-21	0.9952	0.1734
1-59324-A-21	0.9793	0.0876
1-81883-A-21	0.9941	0.2036
2-82538-A-21	0.9906	0.1556
2-93030-A-21	0.9858	0.3361
2-130979-A-21	0.9865	0.1600
2-130978-A-21	0.9755	0.1409
5-221518-A-21	0.9739	0.3236
3-144692-A-21	0.9204	0.1523
2-109505-A-21	0.9012	0.1876
2-118104-A-21	0.9764	0.3613
4-185415-A-21	0.9473	0.0878
3-141684-A-21	0.9837	0.1641
1-26143-A-21	0.9968	0.1361
4-157297-A-21	0.9605	0.2157
4-185619-A-21	0.9816	0.1977
4-156843-A-21	0.9858	0.1261
4-184434-A-21	0.9938	0.1729
1-31748-A-21	0.7939	0.2600
4-166661-A-10	0.2977	0.4479
1-63871-A-10	0.3734	0.2348
4-164206-A-10	0.5453	0.4942
3-157149-A-10	0.5364	0.0478
1-56311-A-10	0.4339	0.4748
4-180380-A-10	0.5206	0.5615
5-188655-A-10	0.4292	0.4676
4-160999-A-10	0.2905	0.5100
5-202898-A-10	0.5361	0.5173
5-195710-A-10	0.5358	0.4041
4-161127-A-10	0.4180	0.4884
2-73260-A-10	0.2111	0.5302
4-181286-A-10	0.4132	0.5738
2-72970-A-10	0.5946	0.4222
1-17367-A-10	0.3872	0.3713
4-163264-A-10	0.3687	0.3769
3-142005-A-10	0.5586	0.3558
5-198321-A-10	0.5934	0.5165
2-117625-A-10	0.4741	0.5484
5-203739-A-10	0.5883	0.4215
1-54958-A-10	0.3873	0.5468
2-87781-A-10	0.2829	0.3559
1-21189-A-10	0.1393	0.3466
2-101676-A-10	0.4444	0.4531
3-140774-A-10	0.1472	0.3892
3-157487-A-10	0.2070	0.3455
5-193339-A-10	0.5293	0.5112
3-143929-A-10	0.0188	0.0754
2-82367-A-10	0.5958	0.5726
