=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6692
Mean Deletion AUC: 0.3578
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7535	0.1368
1-116765-A-41	0.6587	0.3151
1-19898-B-41	0.9084	0.0570
4-157611-B-41	0.4975	0.2850
3-118658-A-41	0.6425	0.0905
5-216370-B-41	0.7826	0.3297
5-222524-A-41	0.5549	0.2913
1-47250-A-41	0.8013	0.2133
2-68391-A-41	0.6922	0.2414
2-50667-B-41	0.8459	0.0535
2-77945-B-41	0.6819	0.2596
4-165823-A-41	0.7834	0.2625
4-169127-A-41	0.8331	0.0072
1-64398-B-41	0.8088	0.4105
2-50668-A-41	0.6825	0.0728
4-149294-B-41	0.8897	0.2783
5-171653-A-41	0.8586	0.0289
3-118972-B-41	0.8447	0.0952
5-170338-B-41	0.7739	0.3623
3-118657-B-41	0.8479	0.1011
5-216370-A-41	0.5802	0.2306
2-50667-A-41	0.7553	0.2168
1-19898-C-41	0.9126	0.2261
4-165823-B-41	0.9027	0.2658
1-47250-B-41	0.7099	0.3006
2-68391-B-41	0.8035	0.1524
5-185579-B-41	0.7399	0.2560
1-19898-A-41	0.1673	0.2147
3-165856-A-41	0.4774	0.0959
3-118658-B-41	0.8948	0.2217
4-157611-A-41	0.8044	0.2575
3-118657-A-41	0.1668	0.0201
4-149294-A-41	0.8190	0.1528
3-118656-A-41	0.8701	0.1374
5-170338-A-41	0.8371	0.1246
3-118972-A-41	0.7655	0.1222
2-77945-A-41	0.8375	0.2532
4-169127-B-41	0.7415	0.2349
2-50668-B-41	0.6980	0.2992
1-64398-A-41	0.7983	0.0792
3-170383-A-38	0.7039	0.3917
5-219342-A-38	0.8284	0.5610
5-209698-A-38	0.5782	0.4866
1-48413-A-38	0.8737	0.5515
2-131943-A-38	0.7949	0.5589
1-57163-A-38	0.7672	0.6535
1-62850-A-38	0.6267	0.5933
4-179984-A-38	0.6208	0.6341
3-150363-A-38	0.7647	0.3738
3-170377-A-38	0.8839	0.4013
2-88724-A-38	0.4020	0.5671
4-175945-A-38	0.7641	0.5445
4-181865-A-38	0.2906	0.3773
2-140147-A-38	0.7659	0.4774
2-135728-A-38	0.5234	0.3794
5-212181-A-38	0.7787	0.6767
5-209833-A-38	0.8287	0.4704
5-235671-A-38	0.5671	0.3458
2-119748-A-38	0.7401	0.5553
3-164688-A-38	0.8553	0.5389
4-191327-A-38	0.8310	0.4097
3-142593-A-38	0.1226	0.1770
4-194711-A-38	0.5196	0.2991
2-141584-A-38	0.6738	0.3235
4-181035-A-38	0.9348	0.6894
5-201194-A-38	0.6507	0.3478
1-35687-A-38	0.8257	0.6060
3-171041-A-38	0.5766	0.4528
5-210571-A-38	0.9343	0.4417
1-62849-A-38	0.8450	0.6966
1-42139-A-38	0.4861	0.5242
1-21935-A-38	0.7903	0.4785
1-21934-A-38	0.7879	0.4623
2-127108-A-38	0.6081	0.5431
4-188033-A-38	0.9968	0.6180
5-208624-A-38	0.7747	0.5959
3-143933-A-38	0.4832	0.2505
3-171012-A-38	0.8008	0.2595
2-134700-A-38	0.7344	0.4112
4-198965-A-38	0.7877	0.2702
4-171519-A-21	0.5932	0.4463
1-29680-A-21	0.7576	0.7248
5-187979-A-21	0.9631	0.1974
2-119102-A-21	0.7723	0.1950
3-148330-A-21	0.4558	0.5904
5-202220-A-21	0.8420	0.7220
5-220027-A-21	0.9132	0.2839
5-220026-A-21	0.6227	0.2144
1-47274-A-21	0.8944	0.3318
3-150231-A-21	0.7383	0.0861
5-221593-A-21	0.9286	0.2297
1-47273-A-21	0.9791	0.5804
3-142605-A-21	0.5785	0.1664
2-128631-A-21	0.5571	0.5498
4-167642-A-21	0.4149	0.6460
5-194533-A-21	0.9573	0.0727
5-201274-A-21	0.8710	0.1995
1-54505-A-21	0.7749	0.3632
3-156558-A-21	0.7970	0.0416
3-142601-A-21	0.3456	0.0759
4-156844-A-21	0.8411	0.5927
3-143119-A-21	0.9877	0.2528
1-59324-A-21	0.9018	0.1169
1-81883-A-21	0.9787	0.2325
2-82538-A-21	0.9839	0.2681
2-93030-A-21	0.9796	0.4146
2-130979-A-21	0.9797	0.2177
2-130978-A-21	0.9310	0.2402
5-221518-A-21	0.9702	0.3198
3-144692-A-21	0.7595	0.1985
2-109505-A-21	0.4808	0.4378
2-118104-A-21	0.9637	0.4184
4-185415-A-21	0.5856	0.3233
3-141684-A-21	0.9763	0.2224
1-26143-A-21	0.9864	0.4633
4-157297-A-21	0.9506	0.2092
4-185619-A-21	0.9550	0.2515
4-156843-A-21	0.8692	0.2103
4-184434-A-21	0.9615	0.2497
1-31748-A-21	0.6636	0.3931
3-157149-A-10	0.6767	0.0294
4-164206-A-10	0.5005	0.5355
1-56311-A-10	0.4638	0.5190
4-166661-A-10	0.3217	0.4310
1-63871-A-10	0.3500	0.2135
4-180380-A-10	0.5150	0.5943
5-188655-A-10	0.4290	0.4363
4-160999-A-10	0.2922	0.5433
5-202898-A-10	0.5256	0.4924
5-195710-A-10	0.4885	0.3912
4-161127-A-10	0.3930	0.5153
2-73260-A-10	0.2380	0.4891
4-181286-A-10	0.4261	0.5599
2-72970-A-10	0.4717	0.4523
1-17367-A-10	0.4678	0.4117
4-163264-A-10	0.3493	0.3751
3-142005-A-10	0.6199	0.3690
5-198321-A-10	0.5238	0.5605
2-117625-A-10	0.4340	0.5364
5-203739-A-10	0.5102	0.4857
1-54958-A-10	0.3419	0.5095
2-87781-A-10	0.2486	0.3208
1-21189-A-10	0.1562	0.3112
2-101676-A-10	0.3462	0.5389
3-140774-A-10	0.3087	0.2801
3-157487-A-10	0.2269	0.3013
5-193339-A-10	0.4839	0.5177
3-143929-A-10	0.0215	0.1098
2-82367-A-10	0.6221	0.5754
