=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6720
Mean Deletion AUC: 0.3495
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7861	0.1357
1-116765-A-41	0.6786	0.4014
1-19898-B-41	0.9028	0.0479
4-157611-B-41	0.5628	0.3193
3-118658-A-41	0.6558	0.0684
5-216370-B-41	0.5906	0.5003
5-222524-A-41	0.5264	0.3944
1-47250-A-41	0.7465	0.3051
2-68391-A-41	0.4038	0.2644
2-50667-B-41	0.8523	0.0999
2-77945-B-41	0.7236	0.5262
4-165823-A-41	0.8163	0.2413
4-169127-A-41	0.7842	0.0054
1-64398-B-41	0.8424	0.4008
2-50668-A-41	0.6905	0.0705
4-149294-B-41	0.9003	0.3459
5-171653-A-41	0.8270	0.0394
3-118972-B-41	0.8566	0.0871
5-170338-B-41	0.7673	0.3685
3-118657-B-41	0.8680	0.0839
5-216370-A-41	0.5844	0.2388
2-50667-A-41	0.7856	0.3279
1-19898-C-41	0.9018	0.3809
4-165823-B-41	0.9288	0.3463
1-47250-B-41	0.7068	0.4305
2-68391-B-41	0.8017	0.1889
5-185579-B-41	0.7006	0.2476
1-19898-A-41	0.1999	0.0516
3-165856-A-41	0.4585	0.0964
3-118658-B-41	0.8893	0.3026
4-157611-A-41	0.7355	0.3871
3-118657-A-41	0.2782	0.0077
4-149294-A-41	0.7897	0.3271
3-118656-A-41	0.8489	0.1275
5-170338-A-41	0.8471	0.3934
3-118972-A-41	0.8141	0.1342
2-77945-A-41	0.8191	0.1647
4-169127-B-41	0.7771	0.2950
2-50668-B-41	0.7948	0.3003
1-64398-A-41	0.8063	0.0746
3-170383-A-38	0.7278	0.3745
5-219342-A-38	0.8594	0.5565
5-209698-A-38	0.6019	0.5174
1-48413-A-38	0.8821	0.5066
2-131943-A-38	0.8161	0.5272
1-57163-A-38	0.8434	0.6113
1-62850-A-38	0.6642	0.5058
4-179984-A-38	0.7002	0.6643
3-150363-A-38	0.7851	0.2570
3-170377-A-38	0.8801	0.4204
2-88724-A-38	0.5851	0.6149
4-175945-A-38	0.6290	0.5231
4-181865-A-38	0.2375	0.3637
2-140147-A-38	0.8388	0.5078
2-135728-A-38	0.4981	0.3117
5-212181-A-38	0.7477	0.6801
5-209833-A-38	0.8288	0.5001
5-235671-A-38	0.5942	0.3876
2-119748-A-38	0.7599	0.5698
3-164688-A-38	0.8875	0.4735
4-191327-A-38	0.7323	0.5380
3-142593-A-38	0.1303	0.2165
4-194711-A-38	0.5113	0.1760
2-141584-A-38	0.4140	0.2764
4-181035-A-38	0.8880	0.5961
5-201194-A-38	0.8131	0.3273
1-35687-A-38	0.7170	0.5972
3-171041-A-38	0.5405	0.3587
5-210571-A-38	0.8822	0.2732
1-62849-A-38	0.8205	0.6487
1-42139-A-38	0.3504	0.4129
1-21935-A-38	0.8430	0.5837
1-21934-A-38	0.7736	0.4318
2-127108-A-38	0.7431	0.5603
4-188033-A-38	0.9812	0.6203
5-208624-A-38	0.8286	0.6310
3-143933-A-38	0.4101	0.1742
3-171012-A-38	0.6551	0.2716
2-134700-A-38	0.6930	0.4981
4-198965-A-38	0.8388	0.5271
4-171519-A-21	0.7020	0.4376
1-29680-A-21	0.6423	0.7069
5-187979-A-21	0.9909	0.1816
2-119102-A-21	0.9098	0.2043
3-148330-A-21	0.3685	0.6915
5-202220-A-21	0.9134	0.6062
5-220027-A-21	0.9474	0.2615
5-220026-A-21	0.9298	0.1170
1-47274-A-21	0.8255	0.3555
3-150231-A-21	0.8618	0.0712
5-221593-A-21	0.9676	0.0947
1-47273-A-21	0.9866	0.2810
3-142605-A-21	0.5612	0.1906
2-128631-A-21	0.4735	0.6794
4-167642-A-21	0.8842	0.3262
5-194533-A-21	0.9859	0.0556
5-201274-A-21	0.8893	0.2119
1-54505-A-21	0.9058	0.2907
3-156558-A-21	0.8406	0.0757
3-142601-A-21	0.6648	0.0329
4-156844-A-21	0.9449	0.4798
3-143119-A-21	0.9843	0.3094
1-59324-A-21	0.8218	0.1831
1-81883-A-21	0.9964	0.2124
2-82538-A-21	0.8450	0.5189
2-93030-A-21	0.9794	0.2579
2-130979-A-21	0.9743	0.1734
2-130978-A-21	0.8564	0.2352
5-221518-A-21	0.9742	0.3177
3-144692-A-21	0.9575	0.1840
2-109505-A-21	0.4001	0.4882
2-118104-A-21	0.9613	0.5894
4-185415-A-21	0.5321	0.3515
3-141684-A-21	0.9863	0.2425
1-26143-A-21	0.9963	0.1978
4-157297-A-21	0.9687	0.2061
4-185619-A-21	0.9843	0.2431
4-156843-A-21	0.6480	0.3259
4-184434-A-21	0.9922	0.1421
1-31748-A-21	0.9562	0.1058
3-157149-A-10	0.5594	0.0796
4-164206-A-10	0.5779	0.4726
1-56311-A-10	0.5147	0.5151
4-166661-A-10	0.2805	0.4900
1-63871-A-10	0.4172	0.2354
4-180380-A-10	0.5437	0.5732
5-188655-A-10	0.4553	0.4927
4-160999-A-10	0.2761	0.6036
5-202898-A-10	0.5353	0.5001
5-195710-A-10	0.5438	0.3960
4-161127-A-10	0.4448	0.4832
2-73260-A-10	0.1796	0.5612
4-181286-A-10	0.4463	0.5764
2-72970-A-10	0.5870	0.4593
1-17367-A-10	0.4114	0.3563
4-163264-A-10	0.4021	0.3585
3-142005-A-10	0.6241	0.3139
5-198321-A-10	0.5878	0.4774
2-117625-A-10	0.4935	0.5123
5-203739-A-10	0.6239	0.4616
1-54958-A-10	0.4177	0.5200
2-87781-A-10	0.2844	0.3294
1-21189-A-10	0.1416	0.3643
2-101676-A-10	0.4074	0.4431
3-140774-A-10	0.1663	0.3588
3-157487-A-10	0.2193	0.2924
5-193339-A-10	0.5346	0.5460
3-143929-A-10	0.0209	0.0646
2-82367-A-10	0.6261	0.5707
