=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7360
Mean Deletion AUC: 0.2029
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6082	0.0323
5-185579-A-41	0.6923	0.0808
1-116765-A-41	0.6774	0.2563
4-157611-B-41	0.6825	0.2842
1-19898-B-41	0.8686	0.1286
5-216370-B-41	0.6264	0.3277
5-222524-A-41	0.6202	0.1062
1-47250-A-41	0.7905	0.3587
2-68391-A-41	0.7575	0.1472
2-50667-B-41	0.8298	0.0676
4-165823-A-41	0.8747	0.2207
2-77945-B-41	0.7925	0.1593
4-169127-A-41	0.6707	0.0106
1-64398-B-41	0.8227	0.1432
2-50668-A-41	0.7072	0.1073
5-171653-A-41	0.8461	0.0125
4-149294-B-41	0.9026	0.1148
3-118972-B-41	0.8021	0.1097
5-170338-B-41	0.7959	0.2039
3-118657-B-41	0.8400	0.0829
5-216370-A-41	0.8373	0.0732
1-19898-C-41	0.8555	0.1668
2-50667-A-41	0.7015	0.2068
4-165823-B-41	0.8990	0.2785
1-47250-B-41	0.7518	0.2899
2-68391-B-41	0.7787	0.1014
5-185579-B-41	0.7517	0.1025
1-19898-A-41	0.2363	0.0258
3-165856-A-41	0.5961	0.0643
3-118658-B-41	0.8738	0.1591
4-157611-A-41	0.7215	0.2096
4-149294-A-41	0.8215	0.2099
3-118657-A-41	0.1734	0.0025
3-118656-A-41	0.7948	0.1751
5-170338-A-41	0.7750	0.0882
3-118972-A-41	0.7683	0.2574
2-77945-A-41	0.7025	0.1633
4-169127-B-41	0.8170	0.2785
2-50668-B-41	0.8005	0.2271
1-64398-A-41	0.8303	0.1333
3-170383-A-38	0.6403	0.0334
5-219342-A-38	0.7936	0.2318
1-48413-A-38	0.8337	0.3128
2-131943-A-38	0.7611	0.3038
5-209698-A-38	0.5401	0.2635
1-57163-A-38	0.6910	0.2934
1-62850-A-38	0.8102	0.1977
3-150363-A-38	0.8041	0.0924
4-179984-A-38	0.6047	0.1119
3-170377-A-38	0.8852	0.1317
2-88724-A-38	0.3347	0.1040
4-175945-A-38	0.6488	0.2689
4-181865-A-38	0.3813	0.1334
2-140147-A-38	0.6806	0.2683
2-135728-A-38	0.8482	0.1411
5-212181-A-38	0.8688	0.3531
5-209833-A-38	0.6260	0.3507
5-235671-A-38	0.5446	0.1856
2-119748-A-38	0.8886	0.2775
3-164688-A-38	0.4911	0.0969
4-191327-A-38	0.9250	0.1545
3-142593-A-38	0.5085	0.1777
4-194711-A-38	0.5074	0.2069
2-141584-A-38	0.7880	0.0837
4-181035-A-38	0.9210	0.3354
5-201194-A-38	0.3599	0.1992
1-35687-A-38	0.8249	0.2838
3-171041-A-38	0.3542	0.2168
5-210571-A-38	0.6912	0.0909
1-62849-A-38	0.9132	0.1672
1-42139-A-38	0.6303	0.1188
1-21935-A-38	0.8317	0.2742
1-21934-A-38	0.8975	0.2016
2-127108-A-38	0.6306	0.3113
4-188033-A-38	0.8002	0.1200
5-208624-A-38	0.6657	0.3249
3-143933-A-38	0.8271	0.1029
3-171012-A-38	0.8721	0.0420
2-134700-A-38	0.2718	0.1442
4-198965-A-38	0.8184	0.1408
4-171519-A-21	0.9712	0.0807
1-29680-A-21	0.9942	0.1246
3-148330-A-21	0.9214	0.0876
5-187979-A-21	0.9815	0.0795
2-119102-A-21	0.9362	0.0598
5-202220-A-21	0.9032	0.4148
5-220026-A-21	0.9409	0.0601
5-220027-A-21	0.9720	0.0945
1-47274-A-21	0.8897	0.1041
3-150231-A-21	0.8342	0.0154
1-47273-A-21	0.9826	0.1657
5-221593-A-21	0.9229	0.0256
3-142605-A-21	0.8206	0.0673
2-128631-A-21	0.9716	0.1041
4-167642-A-21	0.9681	0.0357
5-201274-A-21	0.9542	0.0761
5-194533-A-21	0.8926	0.0125
1-54505-A-21	0.9409	0.1263
3-156558-A-21	0.7267	0.0269
3-142601-A-21	0.5930	0.0120
4-156844-A-21	0.8593	0.1873
3-143119-A-21	0.9932	0.1103
1-59324-A-21	0.9549	0.0192
1-81883-A-21	0.9676	0.0933
2-82538-A-21	0.9801	0.0664
2-93030-A-21	0.9712	0.2291
2-130979-A-21	0.9531	0.1197
2-130978-A-21	0.9737	0.0859
5-221518-A-21	0.9592	0.1943
3-144692-A-21	0.7609	0.1292
2-109505-A-21	0.9545	0.0288
2-118104-A-21	0.9606	0.1152
4-185415-A-21	0.9599	0.0132
3-141684-A-21	0.9926	0.0361
1-26143-A-21	0.9921	0.0617
4-157297-A-21	0.9164	0.1924
4-185619-A-21	0.9420	0.1133
4-156843-A-21	0.9464	0.0571
4-184434-A-21	0.9707	0.1185
1-31748-A-21	0.9804	0.0091
4-166661-A-10	0.5450	0.2265
1-63871-A-10	0.5167	0.3897
4-164206-A-10	0.5153	0.4419
3-157149-A-10	0.5852	0.0915
1-56311-A-10	0.5263	0.1357
4-180380-A-10	0.6434	0.4755
5-188655-A-10	0.5691	0.2706
4-160999-A-10	0.5970	0.1446
5-202898-A-10	0.6832	0.4725
5-195710-A-10	0.5188	0.3351
4-161127-A-10	0.6082	0.5081
2-73260-A-10	0.6025	0.1500
4-181286-A-10	0.5398	0.4123
2-72970-A-10	0.6415	0.3328
1-17367-A-10	0.6557	0.1208
4-163264-A-10	0.6190	0.2591
3-142005-A-10	0.7390	0.3143
5-198321-A-10	0.5558	0.3110
2-117625-A-10	0.6095	0.4150
5-203739-A-10	0.5767	0.2647
1-54958-A-10	0.6131	0.3487
2-87781-A-10	0.6109	0.2289
1-21189-A-10	0.5197	0.0439
2-101676-A-10	0.6317	0.2330
3-140774-A-10	0.2062	0.0959
3-157487-A-10	0.4816	0.3262
5-193339-A-10	0.5951	0.3870
3-143929-A-10	0.3650	0.0253
2-82367-A-10	0.6668	0.4444
