=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7509
Mean Deletion AUC: 0.2138
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6671	0.0817
1-116765-A-41	0.6746	0.2826
1-19898-B-41	0.8628	0.1300
4-157611-B-41	0.6729	0.2282
3-118658-A-41	0.7117	0.0563
5-216370-B-41	0.7397	0.3547
5-222524-A-41	0.6363	0.2265
1-47250-A-41	0.7411	0.2644
2-68391-A-41	0.7810	0.1408
2-50667-B-41	0.8323	0.0631
2-77945-B-41	0.7590	0.1377
4-165823-A-41	0.8690	0.2533
4-169127-A-41	0.7564	0.0120
1-64398-B-41	0.7146	0.2274
2-50668-A-41	0.6980	0.1487
4-149294-B-41	0.8917	0.1153
5-171653-A-41	0.8406	0.0106
3-118972-B-41	0.7980	0.0901
5-170338-B-41	0.7796	0.1852
3-118657-B-41	0.8420	0.0872
5-216370-A-41	0.8320	0.0966
2-50667-A-41	0.7035	0.2339
1-19898-C-41	0.8499	0.1643
4-165823-B-41	0.8793	0.2774
1-47250-B-41	0.7427	0.3188
2-68391-B-41	0.7443	0.0973
5-185579-B-41	0.6854	0.1163
1-19898-A-41	0.2067	0.0570
3-165856-A-41	0.6003	0.0629
3-118658-B-41	0.8387	0.1357
4-157611-A-41	0.7132	0.3276
3-118657-A-41	0.3412	0.0020
4-149294-A-41	0.8088	0.2002
3-118656-A-41	0.7301	0.1758
5-170338-A-41	0.8016	0.0922
3-118972-A-41	0.7222	0.1964
2-77945-A-41	0.8172	0.1627
4-169127-B-41	0.8094	0.2681
2-50668-B-41	0.7877	0.2239
1-64398-A-41	0.8267	0.1487
3-170383-A-38	0.8296	0.1085
5-219342-A-38	0.9188	0.3775
5-209698-A-38	0.6027	0.2228
1-48413-A-38	0.9499	0.3908
2-131943-A-38	0.7840	0.3368
1-57163-A-38	0.6253	0.3923
1-62850-A-38	0.7466	0.3298
4-179984-A-38	0.6774	0.2525
3-150363-A-38	0.9418	0.1875
3-170377-A-38	0.9567	0.1909
2-88724-A-38	0.5652	0.1532
4-175945-A-38	0.7148	0.4084
4-181865-A-38	0.8419	0.2337
2-140147-A-38	0.7755	0.3188
2-135728-A-38	0.9040	0.2650
5-212181-A-38	0.9668	0.3686
5-209833-A-38	0.5840	0.2287
5-235671-A-38	0.9111	0.1976
2-119748-A-38	0.8778	0.2910
3-164688-A-38	0.7778	0.1783
4-191327-A-38	0.9406	0.1234
3-142593-A-38	0.3766	0.1960
4-194711-A-38	0.3397	0.2372
2-141584-A-38	0.9103	0.0505
4-181035-A-38	0.9588	0.5740
5-201194-A-38	0.3642	0.2552
1-35687-A-38	0.9529	0.4189
3-171041-A-38	0.4380	0.1163
5-210571-A-38	0.9709	0.4122
1-62849-A-38	0.8693	0.3132
1-42139-A-38	0.9016	0.3100
1-21935-A-38	0.7660	0.3705
1-21934-A-38	0.9029	0.2655
2-127108-A-38	0.8487	0.1800
4-188033-A-38	0.9914	0.5422
5-208624-A-38	0.7881	0.2738
3-143933-A-38	0.7946	0.0534
3-171012-A-38	0.9250	0.0911
2-134700-A-38	0.7744	0.2749
4-198965-A-38	0.8718	0.1772
4-171519-A-21	0.9676	0.0788
1-29680-A-21	0.9681	0.0883
5-187979-A-21	0.9809	0.0928
2-119102-A-21	0.9672	0.0492
3-148330-A-21	0.9007	0.1119
5-202220-A-21	0.8561	0.4119
5-220027-A-21	0.9842	0.0883
5-220026-A-21	0.9444	0.0429
1-47274-A-21	0.9055	0.1140
3-150231-A-21	0.9133	0.0229
5-221593-A-21	0.9189	0.0239
1-47273-A-21	0.9721	0.1878
3-142605-A-21	0.7970	0.0723
2-128631-A-21	0.9108	0.1233
4-167642-A-21	0.9105	0.0876
5-194533-A-21	0.9171	0.0210
5-201274-A-21	0.9482	0.0780
1-54505-A-21	0.9512	0.1427
3-156558-A-21	0.8626	0.0241
3-142601-A-21	0.6286	0.0161
4-156844-A-21	0.8711	0.1235
3-143119-A-21	0.9897	0.0921
1-59324-A-21	0.9596	0.0301
1-81883-A-21	0.9745	0.0735
2-82538-A-21	0.9698	0.0837
2-93030-A-21	0.9766	0.1656
2-130979-A-21	0.9580	0.1932
2-130978-A-21	0.9320	0.1032
5-221518-A-21	0.9600	0.2138
3-144692-A-21	0.7597	0.1373
2-109505-A-21	0.8930	0.0411
2-118104-A-21	0.9755	0.1286
4-185415-A-21	0.9452	0.0236
3-141684-A-21	0.9799	0.0722
1-26143-A-21	0.9911	0.0523
4-157297-A-21	0.9298	0.1414
4-185619-A-21	0.9459	0.1800
4-156843-A-21	0.9638	0.0537
4-184434-A-21	0.9745	0.1115
1-31748-A-21	0.9373	0.0297
3-157149-A-10	0.6281	0.1163
4-164206-A-10	0.6057	0.4455
1-56311-A-10	0.6836	0.2105
4-166661-A-10	0.6321	0.2352
1-63871-A-10	0.5991	0.3733
4-180380-A-10	0.5664	0.3946
5-188655-A-10	0.6215	0.3019
4-160999-A-10	0.6572	0.2216
5-202898-A-10	0.7232	0.4196
5-195710-A-10	0.6016	0.2951
4-161127-A-10	0.6075	0.5170
2-73260-A-10	0.6759	0.2787
4-181286-A-10	0.5962	0.4418
2-72970-A-10	0.6334	0.3430
1-17367-A-10	0.6132	0.0509
4-163264-A-10	0.5915	0.3430
3-142005-A-10	0.7214	0.3112
5-198321-A-10	0.6171	0.2926
2-117625-A-10	0.6318	0.4188
5-203739-A-10	0.6175	0.2866
1-54958-A-10	0.6505	0.3938
2-87781-A-10	0.5641	0.2406
1-21189-A-10	0.5750	0.0613
2-101676-A-10	0.5999	0.2595
3-140774-A-10	0.1110	0.0396
3-157487-A-10	0.6009	0.2955
5-193339-A-10	0.6152	0.3261
3-143929-A-10	0.2752	0.0089
2-82367-A-10	0.6905	0.4457
