=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7327
Mean Deletion AUC: 0.2167
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7056	0.1056
1-116765-A-41	0.6601	0.1403
1-19898-B-41	0.8641	0.0257
4-157611-B-41	0.6149	0.1720
3-118658-A-41	0.7423	0.0428
5-216370-B-41	0.7828	0.1894
5-222524-A-41	0.5355	0.1085
1-47250-A-41	0.7479	0.2080
2-68391-A-41	0.8090	0.0383
2-50667-B-41	0.7483	0.0310
2-77945-B-41	0.7358	0.1619
4-165823-A-41	0.8608	0.1039
4-169127-A-41	0.7415	0.0222
1-64398-B-41	0.7794	0.3155
2-50668-A-41	0.6880	0.0352
4-149294-B-41	0.8701	0.1164
5-171653-A-41	0.7888	0.0097
3-118972-B-41	0.7108	0.0872
5-170338-B-41	0.7670	0.1050
3-118657-B-41	0.8467	0.0687
5-216370-A-41	0.8318	0.0885
2-50667-A-41	0.7755	0.3155
1-19898-C-41	0.8244	0.1180
4-165823-B-41	0.9017	0.1324
1-47250-B-41	0.7609	0.2780
2-68391-B-41	0.7451	0.2197
5-185579-B-41	0.6918	0.1043
1-19898-A-41	0.2344	0.0116
3-165856-A-41	0.4764	0.0634
3-118658-B-41	0.8287	0.1120
4-157611-A-41	0.7177	0.1949
3-118657-A-41	0.3411	0.0029
4-149294-A-41	0.8289	0.1371
3-118656-A-41	0.8311	0.1654
5-170338-A-41	0.7940	0.0497
3-118972-A-41	0.7435	0.0937
2-77945-A-41	0.8417	0.1333
4-169127-B-41	0.7487	0.1167
2-50668-B-41	0.7421	0.2054
1-64398-A-41	0.8161	0.0615
3-170383-A-38	0.5989	0.2331
5-219342-A-38	0.9390	0.2144
5-209698-A-38	0.2773	0.4962
1-48413-A-38	0.8326	0.4401
2-131943-A-38	0.8722	0.6822
1-57163-A-38	0.9742	0.6350
1-62850-A-38	0.8820	0.4096
4-179984-A-38	0.9241	0.1552
3-150363-A-38	0.7721	0.3254
3-170377-A-38	0.9628	0.4024
2-88724-A-38	0.6655	0.2762
4-175945-A-38	0.6384	0.6643
4-181865-A-38	0.6325	0.3433
2-140147-A-38	0.8306	0.5445
2-135728-A-38	0.7310	0.4052
5-212181-A-38	0.9675	0.3428
5-209833-A-38	0.7406	0.7059
5-235671-A-38	0.8972	0.1647
2-119748-A-38	0.9197	0.1743
3-164688-A-38	0.9550	0.4964
4-191327-A-38	0.9476	0.4521
3-142593-A-38	0.1070	0.0724
4-194711-A-38	0.4715	0.3617
2-141584-A-38	0.7613	0.2191
4-181035-A-38	0.9801	0.3079
5-201194-A-38	0.9487	0.7139
1-35687-A-38	0.8951	0.3101
3-171041-A-38	0.5866	0.6929
5-210571-A-38	0.9716	0.2794
1-62849-A-38	0.9351	0.3073
1-42139-A-38	0.5865	0.0935
1-21935-A-38	0.7943	0.6632
1-21934-A-38	0.9480	0.2952
2-127108-A-38	0.9034	0.5084
4-188033-A-38	0.9060	0.3342
5-208624-A-38	0.8816	0.7439
3-143933-A-38	0.6554	0.4141
3-171012-A-38	0.9190	0.4827
2-134700-A-38	0.6723	0.0710
4-198965-A-38	0.7827	0.5940
4-171519-A-21	0.9846	0.0591
1-29680-A-21	0.7235	0.0915
5-187979-A-21	0.9929	0.0949
2-119102-A-21	0.9177	0.0157
3-148330-A-21	0.8824	0.2676
5-202220-A-21	0.9339	0.2164
5-220027-A-21	0.8328	0.0367
5-220026-A-21	0.9715	0.0679
1-47274-A-21	0.9345	0.0780
3-150231-A-21	0.8193	0.0410
5-221593-A-21	0.9574	0.0223
1-47273-A-21	0.9928	0.1154
3-142605-A-21	0.7426	0.0258
2-128631-A-21	0.9822	0.1743
4-167642-A-21	0.9541	0.0633
5-194533-A-21	0.9802	0.0293
5-201274-A-21	0.8766	0.0254
1-54505-A-21	0.9651	0.1617
3-156558-A-21	0.6850	0.0345
3-142601-A-21	0.3637	0.0067
4-156844-A-21	0.9472	0.0764
3-143119-A-21	0.9833	0.0334
1-59324-A-21	0.9210	0.0199
1-81883-A-21	0.9970	0.0626
2-82538-A-21	0.9667	0.0626
2-93030-A-21	0.9708	0.1632
2-130979-A-21	0.8604	0.0339
2-130978-A-21	0.9889	0.1117
5-221518-A-21	0.9743	0.1464
3-144692-A-21	0.9644	0.1229
2-109505-A-21	0.8348	0.0353
2-118104-A-21	0.9879	0.1406
4-185415-A-21	0.5834	0.0658
3-141684-A-21	0.9948	0.0486
1-26143-A-21	0.9968	0.0540
4-157297-A-21	0.9812	0.1641
4-185619-A-21	0.9887	0.1876
4-156843-A-21	0.9112	0.0291
4-184434-A-21	0.9930	0.0895
1-31748-A-21	0.9763	0.0279
3-157149-A-10	0.8007	0.0095
4-164206-A-10	0.6185	0.3325
1-56311-A-10	0.5847	0.4014
4-166661-A-10	0.6823	0.2040
1-63871-A-10	0.6118	0.3010
4-180380-A-10	0.6221	0.5294
5-188655-A-10	0.5445	0.3309
4-160999-A-10	0.6424	0.3437
5-202898-A-10	0.6139	0.3296
5-195710-A-10	0.5859	0.3409
4-161127-A-10	0.6159	0.4855
2-73260-A-10	0.1828	0.3325
4-181286-A-10	0.5953	0.5406
2-72970-A-10	0.5735	0.4523
1-17367-A-10	0.6614	0.0987
4-163264-A-10	0.5314	0.2828
3-142005-A-10	0.7912	0.2615
5-198321-A-10	0.5242	0.3151
2-117625-A-10	0.5823	0.4733
5-203739-A-10	0.6209	0.3627
1-54958-A-10	0.5480	0.2859
2-87781-A-10	0.5500	0.2724
1-21189-A-10	0.6535	0.0476
2-101676-A-10	0.5490	0.4096
3-140774-A-10	0.1133	0.4021
3-157487-A-10	0.5234	0.2531
5-193339-A-10	0.6012	0.3349
3-143929-A-10	0.1493	0.0190
2-82367-A-10	0.6583	0.4736
