=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7668
Mean Deletion AUC: 0.2274
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.7142	0.0558
5-185579-A-41	0.7361	0.1220
1-116765-A-41	0.6287	0.1656
4-157611-B-41	0.6216	0.1811
1-19898-B-41	0.9312	0.0215
5-216370-B-41	0.7566	0.2113
5-222524-A-41	0.4901	0.2367
1-47250-A-41	0.7376	0.1937
2-68391-A-41	0.8218	0.0896
2-50667-B-41	0.8166	0.0316
4-165823-A-41	0.8557	0.0667
2-77945-B-41	0.7084	0.1293
4-169127-A-41	0.8567	0.0208
1-64398-B-41	0.7708	0.3582
2-50668-A-41	0.7029	0.0250
5-171653-A-41	0.7987	0.0101
4-149294-B-41	0.8704	0.2311
3-118972-B-41	0.6992	0.1284
5-170338-B-41	0.7677	0.1182
3-118657-B-41	0.8412	0.0611
5-216370-A-41	0.7974	0.0911
1-19898-C-41	0.8088	0.0635
2-50667-A-41	0.6796	0.2598
4-165823-B-41	0.9046	0.1760
1-47250-B-41	0.7063	0.3199
2-68391-B-41	0.7313	0.2346
5-185579-B-41	0.6746	0.1342
1-19898-A-41	0.3629	0.0556
3-165856-A-41	0.4389	0.0890
3-118658-B-41	0.8424	0.1227
4-157611-A-41	0.7061	0.2108
4-149294-A-41	0.8185	0.1276
3-118657-A-41	0.1162	0.0030
3-118656-A-41	0.7944	0.1665
5-170338-A-41	0.7926	0.0444
3-118972-A-41	0.7233	0.1012
2-77945-A-41	0.8116	0.1154
4-169127-B-41	0.6836	0.1267
2-50668-B-41	0.7404	0.2137
1-64398-A-41	0.8410	0.0472
3-170383-A-38	0.4373	0.1586
5-219342-A-38	0.8517	0.5119
1-48413-A-38	0.7288	0.5497
2-131943-A-38	0.8254	0.6178
5-209698-A-38	0.6104	0.3015
1-57163-A-38	0.9796	0.7561
1-62850-A-38	0.8026	0.4733
3-150363-A-38	0.5506	0.3445
4-179984-A-38	0.8897	0.3029
3-170377-A-38	0.9627	0.3667
2-88724-A-38	0.5561	0.3542
4-175945-A-38	0.6249	0.4760
4-181865-A-38	0.5865	0.3409
2-140147-A-38	0.8275	0.6169
2-135728-A-38	0.5390	0.3890
5-212181-A-38	0.9597	0.5697
5-209833-A-38	0.7614	0.7206
5-235671-A-38	0.7731	0.2292
2-119748-A-38	0.9230	0.3120
3-164688-A-38	0.9693	0.6236
4-191327-A-38	0.9484	0.3877
3-142593-A-38	0.4419	0.0600
4-194711-A-38	0.6319	0.0764
2-141584-A-38	0.7182	0.2162
4-181035-A-38	0.9536	0.4715
5-201194-A-38	0.9366	0.6443
1-35687-A-38	0.9444	0.3150
3-171041-A-38	0.3689	0.4027
5-210571-A-38	0.9382	0.3499
1-62849-A-38	0.9454	0.2978
1-42139-A-38	0.7380	0.2181
1-21935-A-38	0.7907	0.5876
1-21934-A-38	0.9546	0.4043
2-127108-A-38	0.7024	0.5558
4-188033-A-38	0.9486	0.4445
5-208624-A-38	0.9164	0.6226
3-143933-A-38	0.5423	0.3422
3-171012-A-38	0.9023	0.5264
2-134700-A-38	0.7765	0.2664
4-198965-A-38	0.7806	0.5760
4-171519-A-21	0.9823	0.0901
1-29680-A-21	0.9892	0.2166
3-148330-A-21	0.9657	0.1015
5-187979-A-21	0.9904	0.1347
2-119102-A-21	0.9910	0.0976
5-202220-A-21	0.9330	0.2788
5-220026-A-21	0.9503	0.1689
5-220027-A-21	0.9898	0.1275
1-47274-A-21	0.9266	0.2272
3-150231-A-21	0.9233	0.0676
1-47273-A-21	0.9941	0.1993
5-221593-A-21	0.9753	0.2482
3-142605-A-21	0.7767	0.0203
2-128631-A-21	0.9853	0.1696
4-167642-A-21	0.9870	0.1204
5-201274-A-21	0.9817	0.1368
5-194533-A-21	0.9800	0.0377
1-54505-A-21	0.9424	0.1749
3-156558-A-21	0.9611	0.0492
3-142601-A-21	0.8028	0.0401
4-156844-A-21	0.9766	0.1396
3-143119-A-21	0.9961	0.1693
1-59324-A-21	0.9808	0.1490
1-81883-A-21	0.9958	0.1471
2-82538-A-21	0.9874	0.1060
2-93030-A-21	0.9852	0.2598
2-130979-A-21	0.9862	0.1563
2-130978-A-21	0.9839	0.1218
5-221518-A-21	0.9742	0.1772
3-144692-A-21	0.9513	0.1198
2-109505-A-21	0.9796	0.2338
2-118104-A-21	0.9921	0.1254
4-185415-A-21	0.9858	0.1023
3-141684-A-21	0.9868	0.1654
1-26143-A-21	0.9970	0.0708
4-157297-A-21	0.9729	0.2582
4-185619-A-21	0.9840	0.2622
4-156843-A-21	0.9895	0.1148
4-184434-A-21	0.9912	0.2281
1-31748-A-21	0.9850	0.0503
4-166661-A-10	0.4961	0.3106
1-63871-A-10	0.5403	0.2814
4-164206-A-10	0.6212	0.4141
3-157149-A-10	0.7850	0.0061
1-56311-A-10	0.3788	0.3001
4-180380-A-10	0.6116	0.4199
5-188655-A-10	0.5775	0.3198
4-160999-A-10	0.5198	0.2032
5-202898-A-10	0.7316	0.5366
5-195710-A-10	0.6171	0.2680
4-161127-A-10	0.6099	0.5082
2-73260-A-10	0.6464	0.2597
4-181286-A-10	0.5691	0.3719
2-72970-A-10	0.7685	0.2818
1-17367-A-10	0.5770	0.2882
4-163264-A-10	0.6888	0.1331
3-142005-A-10	0.7142	0.2734
5-198321-A-10	0.6269	0.4281
2-117625-A-10	0.6200	0.4575
5-203739-A-10	0.6908	0.2919
1-54958-A-10	0.4865	0.3332
2-87781-A-10	0.5768	0.2503
1-21189-A-10	0.4182	0.2174
2-101676-A-10	0.6932	0.2376
3-140774-A-10	0.6248	0.2326
3-157487-A-10	0.4330	0.3143
5-193339-A-10	0.5966	0.5084
3-143929-A-10	0.0303	0.0099
2-82367-A-10	0.6058	0.4234
