=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8032
Mean Deletion AUC: 0.2285
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6937	0.1146
1-116765-A-41	0.6547	0.2173
1-19898-B-41	0.8993	0.0270
4-157611-B-41	0.6694	0.2814
3-118658-A-41	0.7350	0.0512
5-216370-B-41	0.6962	0.2180
5-222524-A-41	0.7000	0.1709
1-47250-A-41	0.8434	0.1863
2-68391-A-41	0.8334	0.0483
2-50667-B-41	0.7370	0.0381
2-77945-B-41	0.7443	0.1259
4-165823-A-41	0.8732	0.1444
4-169127-A-41	0.8128	0.0166
1-64398-B-41	0.6191	0.2860
2-50668-A-41	0.7408	0.0535
4-149294-B-41	0.8877	0.1877
5-171653-A-41	0.7780	0.0103
3-118972-B-41	0.7082	0.0892
5-170338-B-41	0.7733	0.1994
3-118657-B-41	0.8499	0.0852
5-216370-A-41	0.8355	0.0799
2-50667-A-41	0.7111	0.2865
1-19898-C-41	0.8189	0.1085
4-165823-B-41	0.9120	0.1727
1-47250-B-41	0.7523	0.3173
2-68391-B-41	0.8096	0.1150
5-185579-B-41	0.6961	0.1242
1-19898-A-41	0.4602	0.0355
3-165856-A-41	0.4958	0.0308
3-118658-B-41	0.8009	0.0903
4-157611-A-41	0.8275	0.1848
3-118657-A-41	0.3317	0.0051
4-149294-A-41	0.7910	0.1527
3-118656-A-41	0.8313	0.1379
5-170338-A-41	0.7940	0.0386
3-118972-A-41	0.7428	0.1467
2-77945-A-41	0.8230	0.0865
4-169127-B-41	0.7805	0.1742
2-50668-B-41	0.7846	0.2381
1-64398-A-41	0.7622	0.0673
3-170383-A-38	0.7687	0.1459
5-219342-A-38	0.9602	0.5199
5-209698-A-38	0.7967	0.3631
1-48413-A-38	0.7924	0.4864
2-131943-A-38	0.8464	0.6953
1-57163-A-38	0.9780	0.6435
1-62850-A-38	0.7927	0.3833
4-179984-A-38	0.8272	0.5105
3-150363-A-38	0.9119	0.2019
3-170377-A-38	0.9713	0.3810
2-88724-A-38	0.8529	0.5299
4-175945-A-38	0.7497	0.5639
4-181865-A-38	0.8636	0.3184
2-140147-A-38	0.8798	0.5719
2-135728-A-38	0.8514	0.3563
5-212181-A-38	0.9748	0.6615
5-209833-A-38	0.7774	0.6428
5-235671-A-38	0.9416	0.1040
2-119748-A-38	0.9547	0.2828
3-164688-A-38	0.9523	0.5541
4-191327-A-38	0.9695	0.2159
3-142593-A-38	0.3136	0.0909
4-194711-A-38	0.6650	0.2870
2-141584-A-38	0.8800	0.1419
4-181035-A-38	0.9933	0.5868
5-201194-A-38	0.8614	0.7050
1-35687-A-38	0.9550	0.2717
3-171041-A-38	0.4373	0.4942
5-210571-A-38	0.9800	0.2928
1-62849-A-38	0.9560	0.3630
1-42139-A-38	0.9053	0.3603
1-21935-A-38	0.7594	0.6187
1-21934-A-38	0.9401	0.3638
2-127108-A-38	0.9277	0.5650
4-188033-A-38	0.8947	0.3278
5-208624-A-38	0.8830	0.6412
3-143933-A-38	0.8234	0.3335
3-171012-A-38	0.9173	0.4056
2-134700-A-38	0.8238	0.1929
4-198965-A-38	0.8190	0.5200
4-171519-A-21	0.9785	0.1267
1-29680-A-21	0.9790	0.2068
5-187979-A-21	0.9870	0.1195
2-119102-A-21	0.9824	0.0831
3-148330-A-21	0.8996	0.2113
5-202220-A-21	0.9312	0.3023
5-220027-A-21	0.9915	0.0940
5-220026-A-21	0.9607	0.0897
1-47274-A-21	0.9433	0.1374
3-150231-A-21	0.9413	0.0249
5-221593-A-21	0.9259	0.0460
1-47273-A-21	0.9729	0.1583
3-142605-A-21	0.7656	0.0502
2-128631-A-21	0.9373	0.1697
4-167642-A-21	0.9201	0.0953
5-194533-A-21	0.9678	0.0278
5-201274-A-21	0.9659	0.0929
1-54505-A-21	0.9653	0.1448
3-156558-A-21	0.9301	0.0280
3-142601-A-21	0.5644	0.0179
4-156844-A-21	0.9561	0.1196
3-143119-A-21	0.9950	0.1170
1-59324-A-21	0.9819	0.0556
1-81883-A-21	0.9924	0.0942
2-82538-A-21	0.9888	0.1116
2-93030-A-21	0.9812	0.1832
2-130979-A-21	0.9876	0.1654
2-130978-A-21	0.9794	0.1446
5-221518-A-21	0.9815	0.1486
3-144692-A-21	0.9436	0.0968
2-109505-A-21	0.8854	0.0640
2-118104-A-21	0.9930	0.1348
4-185415-A-21	0.9420	0.0312
3-141684-A-21	0.9874	0.0675
1-26143-A-21	0.9969	0.0738
4-157297-A-21	0.9745	0.1826
4-185619-A-21	0.9806	0.1680
4-156843-A-21	0.9789	0.0578
4-184434-A-21	0.9923	0.0910
1-31748-A-21	0.9611	0.0604
3-157149-A-10	0.8123	0.0036
4-164206-A-10	0.7032	0.5258
1-56311-A-10	0.6674	0.2862
4-166661-A-10	0.7725	0.4802
1-63871-A-10	0.6607	0.3412
4-180380-A-10	0.7701	0.4693
5-188655-A-10	0.6352	0.3809
4-160999-A-10	0.7188	0.2305
5-202898-A-10	0.7803	0.6106
5-195710-A-10	0.6492	0.4017
4-161127-A-10	0.6723	0.5199
2-73260-A-10	0.8145	0.2257
4-181286-A-10	0.7066	0.5762
2-72970-A-10	0.7715	0.4033
1-17367-A-10	0.7121	0.0931
4-163264-A-10	0.6246	0.1762
3-142005-A-10	0.7840	0.2669
5-198321-A-10	0.6341	0.3748
2-117625-A-10	0.6924	0.4263
5-203739-A-10	0.7335	0.3979
1-54958-A-10	0.6684	0.4992
2-87781-A-10	0.6286	0.2118
1-21189-A-10	0.6676	0.0820
2-101676-A-10	0.5127	0.4755
3-140774-A-10	0.6028	0.0903
3-157487-A-10	0.5922	0.3807
5-193339-A-10	0.6079	0.5401
3-143929-A-10	0.3795	0.0127
2-82367-A-10	0.7248	0.5438
