=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7426
Mean Deletion AUC: 0.2349
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6640	0.1044
1-116765-A-41	0.6320	0.1870
1-19898-B-41	0.8501	0.0307
4-157611-B-41	0.5774	0.2196
3-118658-A-41	0.7338	0.0584
5-216370-B-41	0.8174	0.1510
5-222524-A-41	0.6290	0.1877
1-47250-A-41	0.7143	0.2135
2-68391-A-41	0.7710	0.0498
2-50667-B-41	0.7867	0.0337
2-77945-B-41	0.7242	0.1626
4-165823-A-41	0.8357	0.1484
4-169127-A-41	0.7039	0.0234
1-64398-B-41	0.7986	0.2670
2-50668-A-41	0.6647	0.0521
4-149294-B-41	0.8657	0.2062
5-171653-A-41	0.7818	0.0112
3-118972-B-41	0.7035	0.0615
5-170338-B-41	0.7661	0.0971
3-118657-B-41	0.8259	0.0669
5-216370-A-41	0.7639	0.0791
2-50667-A-41	0.7105	0.2808
1-19898-C-41	0.8023	0.1305
4-165823-B-41	0.8845	0.1314
1-47250-B-41	0.7303	0.2880
2-68391-B-41	0.7668	0.2143
5-185579-B-41	0.6796	0.1297
1-19898-A-41	0.2115	0.0162
3-165856-A-41	0.4209	0.1199
3-118658-B-41	0.8173	0.1367
4-157611-A-41	0.7141	0.2374
3-118657-A-41	0.4371	0.0029
4-149294-A-41	0.8131	0.1122
3-118656-A-41	0.7960	0.1096
5-170338-A-41	0.7745	0.0454
3-118972-A-41	0.6761	0.1523
2-77945-A-41	0.8422	0.1028
4-169127-B-41	0.6998	0.1250
2-50668-B-41	0.7391	0.1815
1-64398-A-41	0.8101	0.0936
3-170383-A-38	0.7702	0.4120
5-219342-A-38	0.8879	0.3642
5-209698-A-38	0.5224	0.6770
1-48413-A-38	0.9320	0.5173
2-131943-A-38	0.8553	0.7397
1-57163-A-38	0.9233	0.7807
1-62850-A-38	0.8396	0.7015
4-179984-A-38	0.8532	0.4860
3-150363-A-38	0.6134	0.3242
3-170377-A-38	0.9177	0.5073
2-88724-A-38	0.8223	0.6430
4-175945-A-38	0.4918	0.7408
4-181865-A-38	0.3287	0.4353
2-140147-A-38	0.8777	0.7225
2-135728-A-38	0.3927	0.6034
5-212181-A-38	0.9314	0.4260
5-209833-A-38	0.7598	0.7705
5-235671-A-38	0.9540	0.3310
2-119748-A-38	0.9297	0.1871
3-164688-A-38	0.9455	0.6174
4-191327-A-38	0.9083	0.5344
3-142593-A-38	0.0947	0.0799
4-194711-A-38	0.5437	0.2077
2-141584-A-38	0.6397	0.3322
4-181035-A-38	0.9609	0.4751
5-201194-A-38	0.9212	0.6504
1-35687-A-38	0.9062	0.6091
3-171041-A-38	0.4081	0.7368
5-210571-A-38	0.9443	0.3842
1-62849-A-38	0.9281	0.4043
1-42139-A-38	0.7572	0.5951
1-21935-A-38	0.8305	0.7160
1-21934-A-38	0.9375	0.3566
2-127108-A-38	0.8429	0.7179
4-188033-A-38	0.9807	0.4061
5-208624-A-38	0.8981	0.7939
3-143933-A-38	0.3176	0.3433
3-171012-A-38	0.9241	0.3658
2-134700-A-38	0.8134	0.2947
4-198965-A-38	0.8642	0.6720
4-171519-A-21	0.9894	0.0395
1-29680-A-21	0.9643	0.1182
5-187979-A-21	0.9928	0.0542
2-119102-A-21	0.9836	0.0225
3-148330-A-21	0.9339	0.0904
5-202220-A-21	0.9220	0.3838
5-220027-A-21	0.9764	0.0576
5-220026-A-21	0.9727	0.0536
1-47274-A-21	0.9344	0.0726
3-150231-A-21	0.8835	0.0401
5-221593-A-21	0.9620	0.0276
1-47273-A-21	0.9939	0.1050
3-142605-A-21	0.7960	0.0618
2-128631-A-21	0.9759	0.1147
4-167642-A-21	0.9532	0.0244
5-194533-A-21	0.9809	0.0351
5-201274-A-21	0.9738	0.0581
1-54505-A-21	0.9639	0.1678
3-156558-A-21	0.7805	0.0447
3-142601-A-21	0.3665	0.0074
4-156844-A-21	0.9557	0.1323
3-143119-A-21	0.9965	0.0653
1-59324-A-21	0.9721	0.0387
1-81883-A-21	0.9958	0.0618
2-82538-A-21	0.9742	0.0698
2-93030-A-21	0.9725	0.0916
2-130979-A-21	0.9790	0.0579
2-130978-A-21	0.9870	0.0556
5-221518-A-21	0.9676	0.1299
3-144692-A-21	0.9565	0.1342
2-109505-A-21	0.8783	0.0486
2-118104-A-21	0.9822	0.1298
4-185415-A-21	0.8387	0.0644
3-141684-A-21	0.9918	0.0810
1-26143-A-21	0.9972	0.0622
4-157297-A-21	0.9818	0.1720
4-185619-A-21	0.9866	0.1948
4-156843-A-21	0.9832	0.0373
4-184434-A-21	0.9930	0.0610
1-31748-A-21	0.9812	0.0272
3-157149-A-10	0.7798	0.0051
4-164206-A-10	0.5907	0.3193
1-56311-A-10	0.5782	0.4560
4-166661-A-10	0.6143	0.2255
1-63871-A-10	0.5511	0.3361
4-180380-A-10	0.6433	0.4987
5-188655-A-10	0.5209	0.3574
4-160999-A-10	0.5093	0.4898
5-202898-A-10	0.5963	0.2636
5-195710-A-10	0.6263	0.3805
4-161127-A-10	0.5553	0.5153
2-73260-A-10	0.2931	0.4356
4-181286-A-10	0.6379	0.4989
2-72970-A-10	0.5824	0.3846
1-17367-A-10	0.6459	0.2640
4-163264-A-10	0.5896	0.2224
3-142005-A-10	0.7445	0.3772
5-198321-A-10	0.6376	0.3152
2-117625-A-10	0.6435	0.4914
5-203739-A-10	0.6517	0.3176
1-54958-A-10	0.6184	0.4243
2-87781-A-10	0.4847	0.2588
1-21189-A-10	0.6246	0.0682
2-101676-A-10	0.5815	0.3681
3-140774-A-10	0.1142	0.5509
3-157487-A-10	0.4238	0.2997
5-193339-A-10	0.5697	0.3552
3-143929-A-10	0.0593	0.0161
2-82367-A-10	0.7142	0.4864
