=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6687
Mean Deletion AUC: 0.2352
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.5879	0.0695
5-185579-A-41	0.6021	0.2358
1-116765-A-41	0.5717	0.2307
4-157611-B-41	0.5357	0.0630
1-19898-B-41	0.8465	0.0883
5-216370-B-41	0.7108	0.1804
5-222524-A-41	0.4700	0.1475
1-47250-A-41	0.6632	0.2440
2-68391-A-41	0.8309	0.0146
2-50667-B-41	0.7464	0.2177
4-165823-A-41	0.8367	0.2693
2-77945-B-41	0.6677	0.1996
4-169127-A-41	0.7591	0.0478
1-64398-B-41	0.7367	0.3718
2-50668-A-41	0.6331	0.0716
5-171653-A-41	0.7044	0.0800
4-149294-B-41	0.8024	0.1899
3-118972-B-41	0.6235	0.1654
5-170338-B-41	0.7147	0.1361
3-118657-B-41	0.6730	0.1306
5-216370-A-41	0.5888	0.0211
1-19898-C-41	0.7257	0.1346
2-50667-A-41	0.7086	0.3434
4-165823-B-41	0.8886	0.3267
1-47250-B-41	0.6517	0.2200
2-68391-B-41	0.7144	0.2663
5-185579-B-41	0.6423	0.2395
1-19898-A-41	0.0865	0.0065
3-165856-A-41	0.3298	0.1493
3-118658-B-41	0.7758	0.2136
4-157611-A-41	0.6794	0.2046
4-149294-A-41	0.6387	0.1286
3-118657-A-41	0.2508	0.0067
3-118656-A-41	0.7254	0.1577
5-170338-A-41	0.7343	0.1260
3-118972-A-41	0.6280	0.1467
2-77945-A-41	0.7043	0.2145
4-169127-B-41	0.6499	0.2141
2-50668-B-41	0.6812	0.2172
1-64398-A-41	0.6717	0.1629
3-170383-A-38	0.4687	0.2713
5-219342-A-38	0.8078	0.4431
1-48413-A-38	0.6733	0.4426
2-131943-A-38	0.8372	0.4745
5-209698-A-38	0.6539	0.1148
1-57163-A-38	0.8944	0.6603
1-62850-A-38	0.5769	0.5129
3-150363-A-38	0.7022	0.3001
4-179984-A-38	0.5767	0.2453
3-170377-A-38	0.8061	0.3163
2-88724-A-38	0.5977	0.3883
4-175945-A-38	0.6414	0.2152
4-181865-A-38	0.4833	0.2523
2-140147-A-38	0.8257	0.4838
2-135728-A-38	0.4632	0.3174
5-212181-A-38	0.8460	0.2449
5-209833-A-38	0.7702	0.3681
5-235671-A-38	0.6430	0.0787
2-119748-A-38	0.7493	0.4371
3-164688-A-38	0.9380	0.4747
4-191327-A-38	0.7546	0.3714
3-142593-A-38	0.1538	0.0411
4-194711-A-38	0.6171	0.0538
2-141584-A-38	0.5265	0.2747
4-181035-A-38	0.8918	0.5030
5-201194-A-38	0.8783	0.5276
1-35687-A-38	0.4565	0.4576
3-171041-A-38	0.5307	0.1248
5-210571-A-38	0.9473	0.4240
1-62849-A-38	0.9114	0.2360
1-42139-A-38	0.5091	0.0724
1-21935-A-38	0.6069	0.4529
1-21934-A-38	0.7863	0.3991
2-127108-A-38	0.6855	0.4101
4-188033-A-38	0.9929	0.5020
5-208624-A-38	0.8657	0.5526
3-143933-A-38	0.4310	0.1636
3-171012-A-38	0.6730	0.2942
2-134700-A-38	0.6952	0.2913
4-198965-A-38	0.8262	0.3893
4-171519-A-21	0.9522	0.2468
1-29680-A-21	0.9596	0.3165
3-148330-A-21	0.9254	0.3868
5-187979-A-21	0.9507	0.3037
2-119102-A-21	0.9608	0.2448
5-202220-A-21	0.9008	0.2593
5-220026-A-21	0.8375	0.3679
5-220027-A-21	0.9453	0.3505
1-47274-A-21	0.8943	0.3387
3-150231-A-21	0.8923	0.1939
1-47273-A-21	0.9748	0.3494
5-221593-A-21	0.9099	0.4352
3-142605-A-21	0.7504	0.1177
2-128631-A-21	0.9323	0.4385
4-167642-A-21	0.9398	0.2838
5-201274-A-21	0.9596	0.1875
5-194533-A-21	0.9374	0.0719
1-54505-A-21	0.9091	0.2591
3-156558-A-21	0.8899	0.1749
3-142601-A-21	0.7709	0.0468
4-156844-A-21	0.9324	0.3170
3-143119-A-21	0.9842	0.2852
1-59324-A-21	0.9513	0.2545
1-81883-A-21	0.9751	0.2665
2-82538-A-21	0.8904	0.4718
2-93030-A-21	0.9596	0.2757
2-130979-A-21	0.9528	0.2063
2-130978-A-21	0.9464	0.2533
5-221518-A-21	0.9308	0.2528
3-144692-A-21	0.9196	0.1725
2-109505-A-21	0.9659	0.3137
2-118104-A-21	0.9665	0.2936
4-185415-A-21	0.9655	0.2348
3-141684-A-21	0.9503	0.2585
1-26143-A-21	0.9856	0.1798
4-157297-A-21	0.9403	0.3694
4-185619-A-21	0.9475	0.3171
4-156843-A-21	0.9722	0.3230
4-184434-A-21	0.9707	0.3421
1-31748-A-21	0.9811	0.1644
4-166661-A-10	0.1553	0.0913
1-63871-A-10	0.4502	0.0171
4-164206-A-10	0.6005	0.1422
3-157149-A-10	0.7338	0.0041
1-56311-A-10	0.3030	0.1220
4-180380-A-10	0.5827	0.1262
5-188655-A-10	0.3746	0.1214
4-160999-A-10	0.3668	0.2960
5-202898-A-10	0.4582	0.1624
5-195710-A-10	0.5659	0.2629
4-161127-A-10	0.4952	0.1364
2-73260-A-10	0.2804	0.2587
4-181286-A-10	0.4804	0.1789
2-72970-A-10	0.4709	0.1206
1-17367-A-10	0.4586	0.2028
4-163264-A-10	0.4396	0.1642
3-142005-A-10	0.3788	0.1955
5-198321-A-10	0.6026	0.1432
2-117625-A-10	0.4319	0.1251
5-203739-A-10	0.5320	0.1903
1-54958-A-10	0.4372	0.1266
2-87781-A-10	0.3667	0.1836
1-21189-A-10	0.1737	0.1443
2-101676-A-10	0.5201	0.1900
3-140774-A-10	0.5927	0.0648
3-157487-A-10	0.2433	0.0257
5-193339-A-10	0.4984	0.2344
3-143929-A-10	0.0024	0.0157
2-82367-A-10	0.4944	0.1193
