=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6866
Mean Deletion AUC: 0.2300
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5973	0.2339
1-116765-A-41	0.5967	0.2308
1-19898-B-41	0.8409	0.0932
4-157611-B-41	0.5205	0.1005
3-118658-A-41	0.7120	0.0712
5-216370-B-41	0.6073	0.2491
5-222524-A-41	0.4999	0.1891
1-47250-A-41	0.6619	0.2551
2-68391-A-41	0.8472	0.0087
2-50667-B-41	0.7388	0.1839
2-77945-B-41	0.6495	0.2289
4-165823-A-41	0.7247	0.2675
4-169127-A-41	0.6632	0.0311
1-64398-B-41	0.7528	0.3565
2-50668-A-41	0.6695	0.0791
4-149294-B-41	0.7347	0.2138
5-171653-A-41	0.7020	0.0816
3-118972-B-41	0.5853	0.1239
5-170338-B-41	0.7200	0.1851
3-118657-B-41	0.6714	0.1341
5-216370-A-41	0.6511	0.0146
2-50667-A-41	0.7090	0.3171
1-19898-C-41	0.7324	0.1329
4-165823-B-41	0.8345	0.1884
1-47250-B-41	0.6676	0.2711
2-68391-B-41	0.7306	0.2722
5-185579-B-41	0.6299	0.2612
1-19898-A-41	0.2186	0.0245
3-165856-A-41	0.3605	0.1735
3-118658-B-41	0.7655	0.2030
4-157611-A-41	0.6997	0.2115
3-118657-A-41	0.4297	0.0083
4-149294-A-41	0.6656	0.1526
3-118656-A-41	0.7036	0.2333
5-170338-A-41	0.7554	0.1073
3-118972-A-41	0.6243	0.1269
2-77945-A-41	0.7152	0.1955
4-169127-B-41	0.6627	0.1857
2-50668-B-41	0.6456	0.2342
1-64398-A-41	0.6508	0.1585
3-170383-A-38	0.5231	0.3555
5-219342-A-38	0.8478	0.4634
5-209698-A-38	0.6083	0.2019
1-48413-A-38	0.7508	0.5341
2-131943-A-38	0.7977	0.4295
1-57163-A-38	0.8846	0.6371
1-62850-A-38	0.6173	0.4791
4-179984-A-38	0.6716	0.5068
3-150363-A-38	0.6593	0.4401
3-170377-A-38	0.8331	0.4021
2-88724-A-38	0.5811	0.4488
4-175945-A-38	0.7208	0.2614
4-181865-A-38	0.5411	0.2227
2-140147-A-38	0.9231	0.5552
2-135728-A-38	0.6345	0.2826
5-212181-A-38	0.7902	0.5420
5-209833-A-38	0.8020	0.4950
5-235671-A-38	0.5974	0.2441
2-119748-A-38	0.8434	0.4155
3-164688-A-38	0.9392	0.6200
4-191327-A-38	0.7707	0.4185
3-142593-A-38	0.1221	0.1154
4-194711-A-38	0.6250	0.0893
2-141584-A-38	0.5059	0.3355
4-181035-A-38	0.8397	0.5785
5-201194-A-38	0.9021	0.5953
1-35687-A-38	0.5332	0.2927
3-171041-A-38	0.6368	0.2583
5-210571-A-38	0.9626	0.3100
1-62849-A-38	0.8204	0.5300
1-42139-A-38	0.6143	0.1872
1-21935-A-38	0.7387	0.5006
1-21934-A-38	0.8108	0.4569
2-127108-A-38	0.7101	0.4449
4-188033-A-38	0.9925	0.4529
5-208624-A-38	0.8863	0.5266
3-143933-A-38	0.4629	0.1788
3-171012-A-38	0.7637	0.3027
2-134700-A-38	0.6271	0.2894
4-198965-A-38	0.7755	0.3843
4-171519-A-21	0.9212	0.2953
1-29680-A-21	0.9534	0.3498
5-187979-A-21	0.9356	0.2947
2-119102-A-21	0.9392	0.2355
3-148330-A-21	0.8975	0.3405
5-202220-A-21	0.8995	0.2633
5-220027-A-21	0.9306	0.2729
5-220026-A-21	0.7854	0.3164
1-47274-A-21	0.8722	0.2982
3-150231-A-21	0.7590	0.2140
5-221593-A-21	0.9019	0.2546
1-47273-A-21	0.9794	0.2226
3-142605-A-21	0.7482	0.1799
2-128631-A-21	0.8947	0.2922
4-167642-A-21	0.9175	0.2546
5-194533-A-21	0.9281	0.1119
5-201274-A-21	0.9380	0.2104
1-54505-A-21	0.8875	0.1956
3-156558-A-21	0.7771	0.2400
3-142601-A-21	0.8205	0.0799
4-156844-A-21	0.9238	0.2151
3-143119-A-21	0.9790	0.3470
1-59324-A-21	0.9395	0.2357
1-81883-A-21	0.9645	0.1275
2-82538-A-21	0.9096	0.3930
2-93030-A-21	0.9601	0.3686
2-130979-A-21	0.9393	0.1887
2-130978-A-21	0.9288	0.2643
5-221518-A-21	0.9354	0.1563
3-144692-A-21	0.9147	0.1373
2-109505-A-21	0.9674	0.2744
2-118104-A-21	0.9680	0.2587
4-185415-A-21	0.9624	0.2227
3-141684-A-21	0.9523	0.2566
1-26143-A-21	0.9859	0.1188
4-157297-A-21	0.9326	0.2442
4-185619-A-21	0.9408	0.3052
4-156843-A-21	0.9629	0.3077
4-184434-A-21	0.9635	0.2855
1-31748-A-21	0.9595	0.2549
3-157149-A-10	0.7833	0.0133
4-164206-A-10	0.6182	0.1787
1-56311-A-10	0.2604	0.0280
4-166661-A-10	0.4586	0.0356
1-63871-A-10	0.6065	0.0352
4-180380-A-10	0.5938	0.1320
5-188655-A-10	0.4063	0.0875
4-160999-A-10	0.4579	0.2933
5-202898-A-10	0.4988	0.1757
5-195710-A-10	0.5397	0.2531
4-161127-A-10	0.5038	0.1671
2-73260-A-10	0.3561	0.1907
4-181286-A-10	0.4799	0.1325
2-72970-A-10	0.4188	0.0962
1-17367-A-10	0.4657	0.1345
4-163264-A-10	0.4661	0.0704
3-142005-A-10	0.2735	0.1299
5-198321-A-10	0.6008	0.1709
2-117625-A-10	0.4784	0.0874
5-203739-A-10	0.5371	0.1369
1-54958-A-10	0.4624	0.0712
2-87781-A-10	0.4373	0.1621
1-21189-A-10	0.3820	0.0877
2-101676-A-10	0.4903	0.2205
3-140774-A-10	0.7929	0.1172
3-157487-A-10	0.4199	0.0232
5-193339-A-10	0.5107	0.3540
3-143929-A-10	0.1278	0.0061
2-82367-A-10	0.4474	0.1037
