=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6410
Mean Deletion AUC: 0.2308
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5950	0.2289
1-116765-A-41	0.5723	0.2296
1-19898-B-41	0.8195	0.0943
4-157611-B-41	0.3794	0.1172
3-118658-A-41	0.7074	0.0730
5-216370-B-41	0.7511	0.1554
5-222524-A-41	0.5283	0.2087
1-47250-A-41	0.6641	0.2627
2-68391-A-41	0.8125	0.0073
2-50667-B-41	0.7094	0.2262
2-77945-B-41	0.6578	0.2050
4-165823-A-41	0.8213	0.2354
4-169127-A-41	0.5982	0.0426
1-64398-B-41	0.7352	0.3714
2-50668-A-41	0.6719	0.0935
4-149294-B-41	0.7966	0.1795
5-171653-A-41	0.6859	0.0778
3-118972-B-41	0.6523	0.1230
5-170338-B-41	0.7196	0.1453
3-118657-B-41	0.6846	0.1434
5-216370-A-41	0.4929	0.0346
2-50667-A-41	0.7200	0.3390
1-19898-C-41	0.6941	0.1291
4-165823-B-41	0.8187	0.1834
1-47250-B-41	0.6298	0.3028
2-68391-B-41	0.7266	0.2724
5-185579-B-41	0.6373	0.2356
1-19898-A-41	0.0417	0.0246
3-165856-A-41	0.3391	0.1459
3-118658-B-41	0.7729	0.2296
4-157611-A-41	0.6737	0.2457
3-118657-A-41	0.2613	0.0102
4-149294-A-41	0.6469	0.1310
3-118656-A-41	0.7355	0.1728
5-170338-A-41	0.7382	0.1242
3-118972-A-41	0.6204	0.1349
2-77945-A-41	0.6848	0.2156
4-169127-B-41	0.6610	0.2000
2-50668-B-41	0.6611	0.2148
1-64398-A-41	0.6708	0.1593
3-170383-A-38	0.5443	0.3456
5-219342-A-38	0.9142	0.2179
5-209698-A-38	0.4797	0.3017
1-48413-A-38	0.8391	0.5541
2-131943-A-38	0.7836	0.6786
1-57163-A-38	0.9127	0.5765
1-62850-A-38	0.7784	0.2961
4-179984-A-38	0.7453	0.4481
3-150363-A-38	0.6576	0.3842
3-170377-A-38	0.8739	0.1763
2-88724-A-38	0.5971	0.4331
4-175945-A-38	0.3593	0.4674
4-181865-A-38	0.4543	0.3178
2-140147-A-38	0.8769	0.4846
2-135728-A-38	0.5495	0.3526
5-212181-A-38	0.8863	0.2217
5-209833-A-38	0.7212	0.4992
5-235671-A-38	0.5707	0.2784
2-119748-A-38	0.7619	0.4271
3-164688-A-38	0.9489	0.5513
4-191327-A-38	0.8106	0.4082
3-142593-A-38	0.0424	0.0436
4-194711-A-38	0.2498	0.1783
2-141584-A-38	0.4663	0.0905
4-181035-A-38	0.9481	0.3427
5-201194-A-38	0.8009	0.6528
1-35687-A-38	0.4795	0.2382
3-171041-A-38	0.5700	0.4599
5-210571-A-38	0.9569	0.2759
1-62849-A-38	0.8918	0.2965
1-42139-A-38	0.3080	0.1103
1-21935-A-38	0.8038	0.4722
1-21934-A-38	0.7972	0.4600
2-127108-A-38	0.8301	0.3733
4-188033-A-38	0.9946	0.4167
5-208624-A-38	0.8456	0.5229
3-143933-A-38	0.4741	0.2559
3-171012-A-38	0.7282	0.3045
2-134700-A-38	0.5405	0.3285
4-198965-A-38	0.8347	0.5988
4-171519-A-21	0.9168	0.2053
1-29680-A-21	0.9507	0.2603
5-187979-A-21	0.9490	0.2935
2-119102-A-21	0.7898	0.2786
3-148330-A-21	0.8659	0.2433
5-202220-A-21	0.8858	0.3089
5-220027-A-21	0.8339	0.1965
5-220026-A-21	0.7907	0.4305
1-47274-A-21	0.8825	0.1877
3-150231-A-21	0.8060	0.2986
5-221593-A-21	0.8601	0.5683
1-47273-A-21	0.9755	0.5285
3-142605-A-21	0.7397	0.1248
2-128631-A-21	0.7835	0.2669
4-167642-A-21	0.7631	0.1537
5-194533-A-21	0.9370	0.2477
5-201274-A-21	0.9353	0.1762
1-54505-A-21	0.8950	0.2496
3-156558-A-21	0.8360	0.3197
3-142601-A-21	0.7125	0.0652
4-156844-A-21	0.8915	0.2650
3-143119-A-21	0.9743	0.2293
1-59324-A-21	0.9282	0.2386
1-81883-A-21	0.9701	0.2295
2-82538-A-21	0.8823	0.2420
2-93030-A-21	0.9479	0.1469
2-130979-A-21	0.9208	0.1620
2-130978-A-21	0.8951	0.1909
5-221518-A-21	0.9308	0.2795
3-144692-A-21	0.9181	0.2939
2-109505-A-21	0.9594	0.2402
2-118104-A-21	0.9699	0.2988
4-185415-A-21	0.9050	0.2066
3-141684-A-21	0.9494	0.3757
1-26143-A-21	0.9893	0.1684
4-157297-A-21	0.9078	0.3417
4-185619-A-21	0.9463	0.3235
4-156843-A-21	0.9423	0.1698
4-184434-A-21	0.9642	0.3146
1-31748-A-21	0.9845	0.2077
3-157149-A-10	0.7851	0.0074
4-164206-A-10	0.5834	0.1964
1-56311-A-10	0.4100	0.0900
4-166661-A-10	0.3058	0.0481
1-63871-A-10	0.4277	0.0312
4-180380-A-10	0.6040	0.2529
5-188655-A-10	0.3912	0.1511
4-160999-A-10	0.5397	0.1981
5-202898-A-10	0.4869	0.1208
5-195710-A-10	0.5370	0.2481
4-161127-A-10	0.5021	0.0815
2-73260-A-10	0.2384	0.2335
4-181286-A-10	0.4721	0.1602
2-72970-A-10	0.3506	0.1431
1-17367-A-10	0.4985	0.1579
4-163264-A-10	0.4497	0.0867
3-142005-A-10	0.4080	0.1424
5-198321-A-10	0.5633	0.0910
2-117625-A-10	0.4116	0.0991
5-203739-A-10	0.4883	0.1764
1-54958-A-10	0.4724	0.0906
2-87781-A-10	0.3166	0.1117
1-21189-A-10	0.3867	0.1313
2-101676-A-10	0.4356	0.1370
3-140774-A-10	0.1812	0.4207
3-157487-A-10	0.1429	0.0289
5-193339-A-10	0.5009	0.1247
3-143929-A-10	0.0022	0.0015
2-82367-A-10	0.5337	0.1822
