=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6628
Mean Deletion AUC: 0.1842
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.5688	0.0908
5-185579-A-41	0.6644	0.0666
1-116765-A-41	0.7427	0.1100
4-157611-B-41	0.4849	0.0798
1-19898-B-41	0.8785	0.0937
5-216370-B-41	0.8093	0.2060
5-222524-A-41	0.4599	0.1370
1-47250-A-41	0.5604	0.2278
2-68391-A-41	0.7671	0.0125
2-50667-B-41	0.8150	0.1442
4-165823-A-41	0.8430	0.3000
2-77945-B-41	0.7554	0.2022
4-169127-A-41	0.5801	0.0595
1-64398-B-41	0.7899	0.2134
2-50668-A-41	0.6929	0.0842
5-171653-A-41	0.7111	0.0711
4-149294-B-41	0.8115	0.2131
3-118972-B-41	0.6180	0.1191
5-170338-B-41	0.7938	0.1673
3-118657-B-41	0.7077	0.1651
5-216370-A-41	0.6811	0.0379
1-19898-C-41	0.8135	0.2620
2-50667-A-41	0.7776	0.2341
4-165823-B-41	0.8891	0.2181
1-47250-B-41	0.6752	0.2902
2-68391-B-41	0.7815	0.2931
5-185579-B-41	0.7280	0.2733
1-19898-A-41	0.2840	0.0172
3-165856-A-41	0.5860	0.1443
3-118658-B-41	0.7888	0.2019
4-157611-A-41	0.5096	0.1708
4-149294-A-41	0.7445	0.0960
3-118657-A-41	0.5207	0.0165
3-118656-A-41	0.7785	0.2026
5-170338-A-41	0.7833	0.1140
3-118972-A-41	0.7058	0.2113
2-77945-A-41	0.5258	0.1677
4-169127-B-41	0.7510	0.1831
2-50668-B-41	0.7351	0.2165
1-64398-A-41	0.7652	0.1792
3-170383-A-38	0.7189	0.3672
5-219342-A-38	0.8792	0.2597
1-48413-A-38	0.7830	0.5532
2-131943-A-38	0.8070	0.7645
5-209698-A-38	0.6268	0.5117
1-57163-A-38	0.8034	0.7786
1-62850-A-38	0.7962	0.3006
3-150363-A-38	0.8667	0.4449
4-179984-A-38	0.7895	0.2010
3-170377-A-38	0.9404	0.5109
2-88724-A-38	0.7460	0.4223
4-175945-A-38	0.7322	0.5307
4-181865-A-38	0.8046	0.1379
2-140147-A-38	0.7918	0.7203
2-135728-A-38	0.9375	0.4336
5-212181-A-38	0.8170	0.4157
5-209833-A-38	0.6676	0.8193
5-235671-A-38	0.7169	0.3311
2-119748-A-38	0.8288	0.2829
3-164688-A-38	0.8166	0.7374
4-191327-A-38	0.8481	0.5093
3-142593-A-38	0.1618	0.1286
4-194711-A-38	0.7705	0.1051
2-141584-A-38	0.8477	0.3187
4-181035-A-38	0.8501	0.3644
5-201194-A-38	0.8064	0.7569
1-35687-A-38	0.7745	0.2690
3-171041-A-38	0.4871	0.5661
5-210571-A-38	0.8655	0.3161
1-62849-A-38	0.8930	0.4149
1-42139-A-38	0.6052	0.1792
1-21935-A-38	0.8009	0.5422
1-21934-A-38	0.7741	0.4348
2-127108-A-38	0.7795	0.2617
4-188033-A-38	0.9649	0.5456
5-208624-A-38	0.8172	0.7840
3-143933-A-38	0.8293	0.4462
3-171012-A-38	0.8810	0.5393
2-134700-A-38	0.7623	0.2671
4-198965-A-38	0.8068	0.6695
4-171519-A-21	0.9416	0.2415
1-29680-A-21	0.9729	0.3895
3-148330-A-21	0.8003	0.2648
5-187979-A-21	0.9379	0.2179
2-119102-A-21	0.9357	0.2154
5-202220-A-21	0.8930	0.2581
5-220026-A-21	0.8371	0.3591
5-220027-A-21	0.9224	0.2365
1-47274-A-21	0.8738	0.2498
3-150231-A-21	0.7847	0.1972
1-47273-A-21	0.9543	0.2198
5-221593-A-21	0.8385	0.2886
3-142605-A-21	0.7683	0.1589
2-128631-A-21	0.9017	0.2868
4-167642-A-21	0.9287	0.2282
5-201274-A-21	0.9565	0.1727
5-194533-A-21	0.9332	0.0835
1-54505-A-21	0.9067	0.2538
3-156558-A-21	0.6373	0.1602
3-142601-A-21	0.4648	0.0251
4-156844-A-21	0.9368	0.2550
3-143119-A-21	0.9842	0.2632
1-59324-A-21	0.9422	0.1562
1-81883-A-21	0.9781	0.1457
2-82538-A-21	0.8349	0.2453
2-93030-A-21	0.9612	0.3439
2-130979-A-21	0.9560	0.1719
2-130978-A-21	0.9283	0.2034
5-221518-A-21	0.9320	0.2009
3-144692-A-21	0.9008	0.1411
2-109505-A-21	0.9718	0.1860
2-118104-A-21	0.9439	0.3859
4-185415-A-21	0.9744	0.1780
3-141684-A-21	0.9435	0.1913
1-26143-A-21	0.9701	0.1056
4-157297-A-21	0.9271	0.3197
4-185619-A-21	0.9450	0.2511
4-156843-A-21	0.9791	0.1753
4-184434-A-21	0.9660	0.2142
1-31748-A-21	0.9913	0.1280
4-166661-A-10	0.5757	0.0966
1-63871-A-10	0.4585	0.0766
4-164206-A-10	0.6509	0.0828
3-157149-A-10	0.6597	0.0045
1-56311-A-10	0.5913	0.1591
4-180380-A-10	0.5362	0.0582
5-188655-A-10	0.5620	0.0662
4-160999-A-10	0.6689	0.1832
5-202898-A-10	0.4919	0.1087
5-195710-A-10	0.5850	0.1670
4-161127-A-10	0.5264	0.1286
2-73260-A-10	0.6275	0.1403
4-181286-A-10	0.5953	0.1441
2-72970-A-10	0.6554	0.2874
1-17367-A-10	0.6072	0.1564
4-163264-A-10	0.6218	0.0862
3-142005-A-10	0.2372	0.0927
5-198321-A-10	0.6709	0.1268
2-117625-A-10	0.6314	0.2562
5-203739-A-10	0.6710	0.2007
1-54958-A-10	0.5640	0.1590
2-87781-A-10	0.6579	0.0860
1-21189-A-10	0.6221	0.0399
2-101676-A-10	0.6665	0.0874
3-140774-A-10	0.7731	0.1779
3-157487-A-10	0.2086	0.0888
5-193339-A-10	0.3921	0.2255
3-143929-A-10	0.0505	0.0018
2-82367-A-10	0.6584	0.1308
