=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6931
Mean Deletion AUC: 0.1614
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6263	0.0943
1-116765-A-41	0.7140	0.1771
1-19898-B-41	0.8779	0.0823
4-157611-B-41	0.4274	0.0886
3-118658-A-41	0.7328	0.0404
5-216370-B-41	0.7706	0.1951
5-222524-A-41	0.5577	0.0334
1-47250-A-41	0.7242	0.2159
2-68391-A-41	0.8541	0.0141
2-50667-B-41	0.8113	0.1689
2-77945-B-41	0.7204	0.2152
4-165823-A-41	0.8180	0.1690
4-169127-A-41	0.5779	0.0459
1-64398-B-41	0.7514	0.2857
2-50668-A-41	0.7271	0.0570
4-149294-B-41	0.7744	0.2230
5-171653-A-41	0.7163	0.0769
3-118972-B-41	0.6590	0.0871
5-170338-B-41	0.7808	0.1920
3-118657-B-41	0.7069	0.1121
5-216370-A-41	0.7232	0.0382
2-50667-A-41	0.7067	0.2819
1-19898-C-41	0.8450	0.2207
4-165823-B-41	0.8669	0.1590
1-47250-B-41	0.7178	0.1162
2-68391-B-41	0.7552	0.2821
5-185579-B-41	0.6937	0.2259
1-19898-A-41	0.2434	0.0238
3-165856-A-41	0.5987	0.1258
3-118658-B-41	0.7913	0.1591
4-157611-A-41	0.5904	0.0884
3-118657-A-41	0.4155	0.0235
4-149294-A-41	0.7110	0.1369
3-118656-A-41	0.7458	0.2296
5-170338-A-41	0.7955	0.0774
3-118972-A-41	0.7406	0.1349
2-77945-A-41	0.5728	0.0890
4-169127-B-41	0.6978	0.1614
2-50668-B-41	0.7002	0.2528
1-64398-A-41	0.7645	0.1617
3-170383-A-38	0.8762	0.3764
5-219342-A-38	0.8701	0.1887
5-209698-A-38	0.6678	0.2629
1-48413-A-38	0.8623	0.5528
2-131943-A-38	0.8145	0.7180
1-57163-A-38	0.8570	0.8023
1-62850-A-38	0.8258	0.3740
4-179984-A-38	0.7734	0.2666
3-150363-A-38	0.8568	0.5332
3-170377-A-38	0.9268	0.4517
2-88724-A-38	0.8067	0.3308
4-175945-A-38	0.6848	0.5418
4-181865-A-38	0.8451	0.1832
2-140147-A-38	0.7973	0.7056
2-135728-A-38	0.9089	0.3369
5-212181-A-38	0.8524	0.4576
5-209833-A-38	0.7248	0.7830
5-235671-A-38	0.8164	0.0910
2-119748-A-38	0.8613	0.1871
3-164688-A-38	0.8309	0.6932
4-191327-A-38	0.8829	0.5403
3-142593-A-38	0.0948	0.1720
4-194711-A-38	0.7660	0.0707
2-141584-A-38	0.8917	0.4156
4-181035-A-38	0.9318	0.4659
5-201194-A-38	0.8185	0.7584
1-35687-A-38	0.8491	0.3655
3-171041-A-38	0.5400	0.1968
5-210571-A-38	0.8401	0.3503
1-62849-A-38	0.8723	0.2962
1-42139-A-38	0.8104	0.0258
1-21935-A-38	0.8696	0.5614
1-21934-A-38	0.8769	0.4056
2-127108-A-38	0.8976	0.1730
4-188033-A-38	0.9549	0.3669
5-208624-A-38	0.8805	0.7544
3-143933-A-38	0.7961	0.4680
3-171012-A-38	0.9127	0.5568
2-134700-A-38	0.7105	0.2810
4-198965-A-38	0.8057	0.6559
4-171519-A-21	0.9516	0.1557
1-29680-A-21	0.9790	0.3308
5-187979-A-21	0.9637	0.1671
2-119102-A-21	0.9521	0.1468
3-148330-A-21	0.8112	0.3011
5-202220-A-21	0.9034	0.2852
5-220027-A-21	0.9048	0.2257
5-220026-A-21	0.8494	0.2229
1-47274-A-21	0.8385	0.1926
3-150231-A-21	0.7712	0.1629
5-221593-A-21	0.8516	0.2318
1-47273-A-21	0.9705	0.2995
3-142605-A-21	0.8197	0.1155
2-128631-A-21	0.9195	0.2397
4-167642-A-21	0.9313	0.2301
5-194533-A-21	0.9326	0.0608
5-201274-A-21	0.9439	0.1130
1-54505-A-21	0.8912	0.2187
3-156558-A-21	0.6254	0.1566
3-142601-A-21	0.2740	0.0424
4-156844-A-21	0.9426	0.3252
3-143119-A-21	0.9824	0.1749
1-59324-A-21	0.9340	0.1333
1-81883-A-21	0.9798	0.0933
2-82538-A-21	0.7303	0.2541
2-93030-A-21	0.9617	0.1889
2-130979-A-21	0.9464	0.1457
2-130978-A-21	0.9537	0.2046
5-221518-A-21	0.9599	0.1108
3-144692-A-21	0.9193	0.1629
2-109505-A-21	0.9698	0.1554
2-118104-A-21	0.9797	0.4912
4-185415-A-21	0.9747	0.1994
3-141684-A-21	0.9221	0.0909
1-26143-A-21	0.9781	0.0939
4-157297-A-21	0.9449	0.3286
4-185619-A-21	0.9405	0.2225
4-156843-A-21	0.9640	0.1705
4-184434-A-21	0.9636	0.1719
1-31748-A-21	0.9915	0.1372
3-157149-A-10	0.7382	0.0029
4-164206-A-10	0.7793	0.0858
1-56311-A-10	0.6267	0.0558
4-166661-A-10	0.5833	0.0706
1-63871-A-10	0.6743	0.0305
4-180380-A-10	0.6839	0.1250
5-188655-A-10	0.6598	0.1119
4-160999-A-10	0.7842	0.1176
5-202898-A-10	0.5781	0.0742
5-195710-A-10	0.6345	0.0527
4-161127-A-10	0.5707	0.1209
2-73260-A-10	0.6088	0.0581
4-181286-A-10	0.6911	0.1209
2-72970-A-10	0.6838	0.1121
1-17367-A-10	0.6252	0.0982
4-163264-A-10	0.5984	0.0422
3-142005-A-10	0.5968	0.0673
5-198321-A-10	0.6005	0.1032
2-117625-A-10	0.6664	0.0617
5-203739-A-10	0.6904	0.1990
1-54958-A-10	0.6185	0.0731
2-87781-A-10	0.5956	0.0970
1-21189-A-10	0.6283	0.0426
2-101676-A-10	0.6982	0.1826
3-140774-A-10	0.7980	0.1197
3-157487-A-10	0.5197	0.0589
5-193339-A-10	0.5088	0.1927
3-143929-A-10	0.1563	0.0056
2-82367-A-10	0.7172	0.1190
