=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6519
Mean Deletion AUC: 0.1639
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7003	0.0854
1-116765-A-41	0.7387	0.1444
1-19898-B-41	0.8695	0.0798
4-157611-B-41	0.3223	0.1212
3-118658-A-41	0.7006	0.0428
5-216370-B-41	0.7884	0.1924
5-222524-A-41	0.5437	0.0475
1-47250-A-41	0.5308	0.1598
2-68391-A-41	0.7354	0.0109
2-50667-B-41	0.8203	0.1006
2-77945-B-41	0.7609	0.2030
4-165823-A-41	0.7994	0.2273
4-169127-A-41	0.6077	0.0400
1-64398-B-41	0.7764	0.2334
2-50668-A-41	0.7444	0.0657
4-149294-B-41	0.7951	0.1527
5-171653-A-41	0.7331	0.0734
3-118972-B-41	0.5759	0.0886
5-170338-B-41	0.7884	0.1934
3-118657-B-41	0.7152	0.1446
5-216370-A-41	0.7498	0.0248
2-50667-A-41	0.7873	0.2148
1-19898-C-41	0.8509	0.1561
4-165823-B-41	0.8681	0.1709
1-47250-B-41	0.5239	0.2734
2-68391-B-41	0.7689	0.2685
5-185579-B-41	0.7026	0.1977
1-19898-A-41	0.2341	0.0160
3-165856-A-41	0.6174	0.1428
3-118658-B-41	0.8105	0.1725
4-157611-A-41	0.4564	0.2744
3-118657-A-41	0.4408	0.0152
4-149294-A-41	0.7428	0.0750
3-118656-A-41	0.7645	0.1840
5-170338-A-41	0.7494	0.1112
3-118972-A-41	0.7387	0.2039
2-77945-A-41	0.5858	0.1055
4-169127-B-41	0.7445	0.1736
2-50668-B-41	0.7396	0.2190
1-64398-A-41	0.8085	0.1495
3-170383-A-38	0.7519	0.3797
5-219342-A-38	0.7785	0.2927
5-209698-A-38	0.5425	0.6914
1-48413-A-38	0.8446	0.5220
2-131943-A-38	0.8533	0.7120
1-57163-A-38	0.7810	0.8115
1-62850-A-38	0.7897	0.4628
4-179984-A-38	0.7931	0.2765
3-150363-A-38	0.7739	0.4450
3-170377-A-38	0.7901	0.4856
2-88724-A-38	0.7623	0.3623
4-175945-A-38	0.6834	0.6865
4-181865-A-38	0.7328	0.3284
2-140147-A-38	0.7509	0.7326
2-135728-A-38	0.7695	0.4391
5-212181-A-38	0.7787	0.3556
5-209833-A-38	0.6527	0.8328
5-235671-A-38	0.7560	0.2163
2-119748-A-38	0.8072	0.2481
3-164688-A-38	0.8085	0.7292
4-191327-A-38	0.7740	0.5844
3-142593-A-38	0.0686	0.0950
4-194711-A-38	0.5073	0.4133
2-141584-A-38	0.7571	0.3731
4-181035-A-38	0.8480	0.3381
5-201194-A-38	0.7892	0.7774
1-35687-A-38	0.7506	0.4752
3-171041-A-38	0.4987	0.7157
5-210571-A-38	0.8354	0.3515
1-62849-A-38	0.8073	0.3415
1-42139-A-38	0.5601	0.0799
1-21935-A-38	0.7734	0.5376
1-21934-A-38	0.7744	0.3312
2-127108-A-38	0.8112	0.3244
4-188033-A-38	0.9548	0.3673
5-208624-A-38	0.7855	0.8159
3-143933-A-38	0.5690	0.5267
3-171012-A-38	0.7674	0.6728
2-134700-A-38	0.6259	0.1285
4-198965-A-38	0.8358	0.5541
4-171519-A-21	0.9360	0.1842
1-29680-A-21	0.9750	0.2257
5-187979-A-21	0.9445	0.1809
2-119102-A-21	0.9370	0.1808
3-148330-A-21	0.9027	0.1576
5-202220-A-21	0.8693	0.1998
5-220027-A-21	0.8454	0.2173
5-220026-A-21	0.8291	0.2091
1-47274-A-21	0.8274	0.1542
3-150231-A-21	0.8008	0.0629
5-221593-A-21	0.8927	0.1817
1-47273-A-21	0.9818	0.1717
3-142605-A-21	0.7624	0.1075
2-128631-A-21	0.9007	0.1457
4-167642-A-21	0.9300	0.1878
5-194533-A-21	0.9073	0.0534
5-201274-A-21	0.9369	0.1377
1-54505-A-21	0.8939	0.2040
3-156558-A-21	0.5584	0.0694
3-142601-A-21	0.3041	0.0317
4-156844-A-21	0.9004	0.2088
3-143119-A-21	0.9716	0.2222
1-59324-A-21	0.9109	0.1527
1-81883-A-21	0.9642	0.1048
2-82538-A-21	0.8153	0.2205
2-93030-A-21	0.9475	0.1381
2-130979-A-21	0.9222	0.1560
2-130978-A-21	0.9269	0.1788
5-221518-A-21	0.9038	0.1659
3-144692-A-21	0.8144	0.1249
2-109505-A-21	0.9559	0.1701
2-118104-A-21	0.9694	0.2320
4-185415-A-21	0.9713	0.2003
3-141684-A-21	0.9627	0.0953
1-26143-A-21	0.9882	0.0723
4-157297-A-21	0.9448	0.1954
4-185619-A-21	0.9735	0.1740
4-156843-A-21	0.9632	0.1901
4-184434-A-21	0.9615	0.1496
1-31748-A-21	0.9894	0.1087
3-157149-A-10	0.7184	0.0032
4-164206-A-10	0.6865	0.1325
1-56311-A-10	0.4832	0.0232
4-166661-A-10	0.4571	0.0584
1-63871-A-10	0.6214	0.0637
4-180380-A-10	0.6106	0.1882
5-188655-A-10	0.6553	0.1905
4-160999-A-10	0.7363	0.1555
5-202898-A-10	0.5832	0.1763
5-195710-A-10	0.4928	0.1523
4-161127-A-10	0.5804	0.1000
2-73260-A-10	0.5788	0.2527
4-181286-A-10	0.6468	0.1728
2-72970-A-10	0.6957	0.2865
1-17367-A-10	0.6549	0.1210
4-163264-A-10	0.5474	0.0970
3-142005-A-10	0.2392	0.0997
5-198321-A-10	0.7070	0.0928
2-117625-A-10	0.6821	0.1052
5-203739-A-10	0.6956	0.3795
1-54958-A-10	0.6361	0.0163
2-87781-A-10	0.6392	0.0739
1-21189-A-10	0.6355	0.0558
2-101676-A-10	0.7468	0.3189
3-140774-A-10	0.6604	0.4795
3-157487-A-10	0.3607	0.1593
5-193339-A-10	0.6467	0.3395
3-143929-A-10	0.0934	0.0023
2-82367-A-10	0.7225	0.2830
