=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6712
Mean Deletion AUC: 0.3591
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.7121	0.0547
5-185579-A-41	0.7807	0.2464
1-116765-A-41	0.6862	0.4081
4-157611-B-41	0.5721	0.3289
1-19898-B-41	0.9231	0.0547
5-216370-B-41	0.5987	0.4100
5-222524-A-41	0.5024	0.3500
1-47250-A-41	0.7499	0.2864
2-68391-A-41	0.5051	0.2254
2-50667-B-41	0.8517	0.2166
4-165823-A-41	0.8128	0.1754
2-77945-B-41	0.6164	0.5439
4-169127-A-41	0.8123	0.0077
1-64398-B-41	0.8645	0.3817
2-50668-A-41	0.6318	0.0469
5-171653-A-41	0.8549	0.0187
4-149294-B-41	0.8918	0.3236
3-118972-B-41	0.7680	0.1148
5-170338-B-41	0.7768	0.4206
3-118657-B-41	0.8232	0.1314
5-216370-A-41	0.4671	0.1512
1-19898-C-41	0.8860	0.2949
2-50667-A-41	0.7387	0.2813
4-165823-B-41	0.9354	0.3796
1-47250-B-41	0.7059	0.3674
2-68391-B-41	0.8137	0.2913
5-185579-B-41	0.6726	0.2589
1-19898-A-41	0.1861	0.0592
3-165856-A-41	0.5033	0.0935
3-118658-B-41	0.9108	0.2178
4-157611-A-41	0.7351	0.4229
4-149294-A-41	0.7725	0.3504
3-118657-A-41	0.1845	0.0055
3-118656-A-41	0.8680	0.1546
5-170338-A-41	0.8425	0.2732
3-118972-A-41	0.7790	0.1744
2-77945-A-41	0.8250	0.2316
4-169127-B-41	0.7699	0.2972
2-50668-B-41	0.7878	0.2247
1-64398-A-41	0.7773	0.0783
3-170383-A-38	0.5766	0.4262
5-219342-A-38	0.8517	0.5254
1-48413-A-38	0.8537	0.6140
2-131943-A-38	0.7730	0.6119
5-209698-A-38	0.6073	0.5201
1-57163-A-38	0.7527	0.6813
1-62850-A-38	0.6452	0.5701
3-150363-A-38	0.8267	0.3525
4-179984-A-38	0.6560	0.6636
3-170377-A-38	0.8746	0.3920
2-88724-A-38	0.3727	0.6577
4-175945-A-38	0.7513	0.5754
4-181865-A-38	0.2456	0.4758
2-140147-A-38	0.6969	0.6041
2-135728-A-38	0.4792	0.3586
5-212181-A-38	0.7318	0.6526
5-209833-A-38	0.8589	0.5029
5-235671-A-38	0.5748	0.3771
2-119748-A-38	0.7001	0.5631
3-164688-A-38	0.8784	0.5833
4-191327-A-38	0.7841	0.4242
3-142593-A-38	0.1286	0.0966
4-194711-A-38	0.5236	0.1809
2-141584-A-38	0.7040	0.2853
4-181035-A-38	0.8455	0.6830
5-201194-A-38	0.6785	0.4359
1-35687-A-38	0.7680	0.6267
3-171041-A-38	0.5390	0.3091
5-210571-A-38	0.9096	0.4771
1-62849-A-38	0.7679	0.6987
1-42139-A-38	0.3445	0.4126
1-21935-A-38	0.7334	0.6385
1-21934-A-38	0.8287	0.5320
2-127108-A-38	0.6376	0.5739
4-188033-A-38	0.9807	0.6346
5-208624-A-38	0.7166	0.5735
3-143933-A-38	0.4430	0.2762
3-171012-A-38	0.8037	0.2780
2-134700-A-38	0.6746	0.4865
4-198965-A-38	0.6990	0.3941
4-171519-A-21	0.9788	0.1949
1-29680-A-21	0.9517	0.3759
3-148330-A-21	0.8826	0.2227
5-187979-A-21	0.9840	0.1318
2-119102-A-21	0.9884	0.1070
5-202220-A-21	0.8723	0.7370
5-220026-A-21	0.9292	0.0963
5-220027-A-21	0.9885	0.1593
1-47274-A-21	0.9548	0.1814
3-150231-A-21	0.9361	0.0481
1-47273-A-21	0.9872	0.5196
5-221593-A-21	0.9666	0.1110
3-142605-A-21	0.5422	0.1982
2-128631-A-21	0.9737	0.2183
4-167642-A-21	0.9564	0.1199
5-201274-A-21	0.9733	0.1631
5-194533-A-21	0.9740	0.0356
1-54505-A-21	0.9547	0.2021
3-156558-A-21	0.9201	0.0425
3-142601-A-21	0.6705	0.0397
4-156844-A-21	0.9201	0.2940
3-143119-A-21	0.9947	0.1815
1-59324-A-21	0.9831	0.0798
1-81883-A-21	0.9955	0.2237
2-82538-A-21	0.9847	0.1467
2-93030-A-21	0.9863	0.3047
2-130979-A-21	0.9849	0.1729
2-130978-A-21	0.9755	0.1352
5-221518-A-21	0.9818	0.3444
3-144692-A-21	0.9198	0.1783
2-109505-A-21	0.9122	0.1368
2-118104-A-21	0.9835	0.3034
4-185415-A-21	0.9506	0.0634
3-141684-A-21	0.9834	0.1623
1-26143-A-21	0.9970	0.1336
4-157297-A-21	0.9442	0.2300
4-185619-A-21	0.9816	0.2158
4-156843-A-21	0.9875	0.0927
4-184434-A-21	0.9928	0.2148
1-31748-A-21	0.7977	0.1550
4-166661-A-10	0.2952	0.4650
1-63871-A-10	0.3665	0.2728
4-164206-A-10	0.5306	0.5137
3-157149-A-10	0.5692	0.0615
1-56311-A-10	0.4508	0.5023
4-180380-A-10	0.5296	0.5639
5-188655-A-10	0.4368	0.4582
4-160999-A-10	0.2899	0.5817
5-202898-A-10	0.5359	0.5082
5-195710-A-10	0.5233	0.3984
4-161127-A-10	0.4126	0.4794
2-73260-A-10	0.2228	0.5416
4-181286-A-10	0.4012	0.5690
2-72970-A-10	0.5184	0.3952
1-17367-A-10	0.4277	0.3677
4-163264-A-10	0.3784	0.3609
3-142005-A-10	0.5865	0.3501
5-198321-A-10	0.5787	0.5248
2-117625-A-10	0.4634	0.5415
5-203739-A-10	0.6014	0.4707
1-54958-A-10	0.3931	0.5411
2-87781-A-10	0.2694	0.3417
1-21189-A-10	0.1424	0.2911
2-101676-A-10	0.3963	0.4451
3-140774-A-10	0.1202	0.3962
3-157487-A-10	0.1903	0.2758
5-193339-A-10	0.5052	0.5234
3-143929-A-10	0.0132	0.0883
2-82367-A-10	0.6096	0.5759
