=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6669
Mean Deletion AUC: 0.3620
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7320	0.1982
1-116765-A-41	0.6818	0.2823
1-19898-B-41	0.8887	0.0578
4-157611-B-41	0.5002	0.3161
3-118658-A-41	0.6104	0.0738
5-216370-B-41	0.7455	0.3159
5-222524-A-41	0.5709	0.2802
1-47250-A-41	0.7890	0.2492
2-68391-A-41	0.7054	0.2497
2-50667-B-41	0.8308	0.0661
2-77945-B-41	0.7030	0.2262
4-165823-A-41	0.8044	0.2410
4-169127-A-41	0.7909	0.0066
1-64398-B-41	0.8021	0.4020
2-50668-A-41	0.6554	0.0834
4-149294-B-41	0.9162	0.3841
5-171653-A-41	0.8473	0.0180
3-118972-B-41	0.8238	0.0883
5-170338-B-41	0.7650	0.3208
3-118657-B-41	0.8161	0.1316
5-216370-A-41	0.6235	0.1927
2-50667-A-41	0.7332	0.2246
1-19898-C-41	0.9210	0.1274
4-165823-B-41	0.9148	0.3400
1-47250-B-41	0.6813	0.3026
2-68391-B-41	0.7974	0.3000
5-185579-B-41	0.7428	0.2820
1-19898-A-41	0.1465	0.2488
3-165856-A-41	0.5338	0.0974
3-118658-B-41	0.8816	0.1851
4-157611-A-41	0.7342	0.2898
3-118657-A-41	0.1525	0.0087
4-149294-A-41	0.8055	0.2056
3-118656-A-41	0.8543	0.1388
5-170338-A-41	0.8113	0.1463
3-118972-A-41	0.7322	0.1166
2-77945-A-41	0.8109	0.2824
4-169127-B-41	0.7501	0.1892
2-50668-B-41	0.7183	0.2904
1-64398-A-41	0.8001	0.0747
3-170383-A-38	0.6837	0.4147
5-219342-A-38	0.8042	0.5261
5-209698-A-38	0.6022	0.5608
1-48413-A-38	0.8463	0.5937
2-131943-A-38	0.7746	0.5765
1-57163-A-38	0.7202	0.6634
1-62850-A-38	0.6172	0.5799
4-179984-A-38	0.5989	0.6369
3-150363-A-38	0.7752	0.3902
3-170377-A-38	0.9010	0.4378
2-88724-A-38	0.4298	0.6255
4-175945-A-38	0.7725	0.5574
4-181865-A-38	0.2746	0.4384
2-140147-A-38	0.7167	0.5293
2-135728-A-38	0.4816	0.3725
5-212181-A-38	0.7603	0.6628
5-209833-A-38	0.8362	0.4316
5-235671-A-38	0.5604	0.3739
2-119748-A-38	0.7052	0.5551
3-164688-A-38	0.8326	0.5574
4-191327-A-38	0.8089	0.4579
3-142593-A-38	0.1152	0.1942
4-194711-A-38	0.4928	0.2660
2-141584-A-38	0.6963	0.3594
4-181035-A-38	0.9119	0.6685
5-201194-A-38	0.6405	0.3299
1-35687-A-38	0.7516	0.5958
3-171041-A-38	0.5793	0.4394
5-210571-A-38	0.9485	0.4976
1-62849-A-38	0.8014	0.6945
1-42139-A-38	0.5024	0.5452
1-21935-A-38	0.7891	0.5183
1-21934-A-38	0.7842	0.4840
2-127108-A-38	0.5668	0.5241
4-188033-A-38	0.9919	0.6295
5-208624-A-38	0.7503	0.5931
3-143933-A-38	0.5065	0.2407
3-171012-A-38	0.7577	0.2771
2-134700-A-38	0.7167	0.4155
4-198965-A-38	0.7766	0.3944
4-171519-A-21	0.7865	0.4096
1-29680-A-21	0.7542	0.6660
5-187979-A-21	0.9742	0.1790
2-119102-A-21	0.8018	0.1708
3-148330-A-21	0.4790	0.4535
5-202220-A-21	0.8173	0.7488
5-220027-A-21	0.8903	0.2550
5-220026-A-21	0.6208	0.1954
1-47274-A-21	0.8838	0.3499
3-150231-A-21	0.7533	0.0767
5-221593-A-21	0.9360	0.2208
1-47273-A-21	0.9862	0.6259
3-142605-A-21	0.4783	0.2369
2-128631-A-21	0.6115	0.4463
4-167642-A-21	0.4833	0.5457
5-194533-A-21	0.9493	0.0826
5-201274-A-21	0.8674	0.1784
1-54505-A-21	0.8024	0.3914
3-156558-A-21	0.8069	0.0393
3-142601-A-21	0.4200	0.0907
4-156844-A-21	0.8521	0.5842
3-143119-A-21	0.9910	0.1836
1-59324-A-21	0.9097	0.0861
1-81883-A-21	0.9673	0.1920
2-82538-A-21	0.9879	0.2431
2-93030-A-21	0.9829	0.4068
2-130979-A-21	0.9731	0.2153
2-130978-A-21	0.9229	0.2111
5-221518-A-21	0.9738	0.4449
3-144692-A-21	0.6465	0.2219
2-109505-A-21	0.5549	0.3605
2-118104-A-21	0.9612	0.5885
4-185415-A-21	0.6236	0.2540
3-141684-A-21	0.9711	0.1874
1-26143-A-21	0.9853	0.2819
4-157297-A-21	0.9402	0.2317
4-185619-A-21	0.9687	0.2758
4-156843-A-21	0.8853	0.1895
4-184434-A-21	0.9548	0.2477
1-31748-A-21	0.6032	0.3420
3-157149-A-10	0.6672	0.0426
4-164206-A-10	0.4851	0.5389
1-56311-A-10	0.4543	0.4820
4-166661-A-10	0.3149	0.4287
1-63871-A-10	0.3497	0.2282
4-180380-A-10	0.4766	0.5968
5-188655-A-10	0.4210	0.4678
4-160999-A-10	0.2890	0.5816
5-202898-A-10	0.5083	0.4846
5-195710-A-10	0.4840	0.3756
4-161127-A-10	0.3879	0.5164
2-73260-A-10	0.2432	0.5192
4-181286-A-10	0.4144	0.5706
2-72970-A-10	0.4601	0.4423
1-17367-A-10	0.4418	0.4033
4-163264-A-10	0.3324	0.4241
3-142005-A-10	0.6124	0.3869
5-198321-A-10	0.5030	0.5910
2-117625-A-10	0.4097	0.5273
5-203739-A-10	0.4943	0.5150
1-54958-A-10	0.3341	0.5131
2-87781-A-10	0.2458	0.3302
1-21189-A-10	0.1499	0.3346
2-101676-A-10	0.3338	0.5612
3-140774-A-10	0.2743	0.2849
3-157487-A-10	0.2215	0.2621
5-193339-A-10	0.4639	0.5806
3-143929-A-10	0.0146	0.1365
2-82367-A-10	0.5998	0.5780
