=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6708
Mean Deletion AUC: 0.3498
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7593	0.1957
1-116765-A-41	0.6792	0.4681
1-19898-B-41	0.9052	0.0530
4-157611-B-41	0.6004	0.3022
3-118658-A-41	0.6354	0.0605
5-216370-B-41	0.6135	0.4313
5-222524-A-41	0.5307	0.3545
1-47250-A-41	0.7536	0.3114
2-68391-A-41	0.7125	0.2200
2-50667-B-41	0.8619	0.1011
2-77945-B-41	0.7322	0.3486
4-165823-A-41	0.8045	0.2213
4-169127-A-41	0.7478	0.0101
1-64398-B-41	0.8424	0.3199
2-50668-A-41	0.6849	0.0789
4-149294-B-41	0.8946	0.2880
5-171653-A-41	0.8281	0.0174
3-118972-B-41	0.8178	0.1210
5-170338-B-41	0.7846	0.3546
3-118657-B-41	0.8258	0.1053
5-216370-A-41	0.7142	0.1783
2-50667-A-41	0.7567	0.3272
1-19898-C-41	0.8887	0.2777
4-165823-B-41	0.9377	0.4351
1-47250-B-41	0.7528	0.3798
2-68391-B-41	0.8154	0.2390
5-185579-B-41	0.7287	0.3099
1-19898-A-41	0.1783	0.0676
3-165856-A-41	0.4312	0.1070
3-118658-B-41	0.8976	0.3567
4-157611-A-41	0.7268	0.3824
3-118657-A-41	0.2362	0.0042
4-149294-A-41	0.7669	0.4061
3-118656-A-41	0.8544	0.1365
5-170338-A-41	0.8321	0.1811
3-118972-A-41	0.7986	0.1151
2-77945-A-41	0.8058	0.1863
4-169127-B-41	0.7908	0.2798
2-50668-B-41	0.7969	0.3382
1-64398-A-41	0.7589	0.0637
3-170383-A-38	0.7187	0.4129
5-219342-A-38	0.8587	0.5338
5-209698-A-38	0.6163	0.4762
1-48413-A-38	0.8599	0.4651
2-131943-A-38	0.8097	0.5379
1-57163-A-38	0.7918	0.5542
1-62850-A-38	0.6338	0.4894
4-179984-A-38	0.6908	0.6588
3-150363-A-38	0.7860	0.3352
3-170377-A-38	0.8566	0.4255
2-88724-A-38	0.6032	0.6408
4-175945-A-38	0.6564	0.5096
4-181865-A-38	0.2221	0.3789
2-140147-A-38	0.8164	0.5531
2-135728-A-38	0.4797	0.3030
5-212181-A-38	0.7196	0.6718
5-209833-A-38	0.8360	0.4547
5-235671-A-38	0.5702	0.3805
2-119748-A-38	0.7554	0.5391
3-164688-A-38	0.8680	0.4779
4-191327-A-38	0.7061	0.5414
3-142593-A-38	0.1196	0.1935
4-194711-A-38	0.4536	0.1741
2-141584-A-38	0.4065	0.3093
4-181035-A-38	0.9022	0.5855
5-201194-A-38	0.7729	0.3107
1-35687-A-38	0.7534	0.5329
3-171041-A-38	0.5077	0.3556
5-210571-A-38	0.8881	0.4010
1-62849-A-38	0.7903	0.6589
1-42139-A-38	0.3628	0.3740
1-21935-A-38	0.8430	0.6114
1-21934-A-38	0.7194	0.4673
2-127108-A-38	0.7160	0.5865
4-188033-A-38	0.9787	0.6451
5-208624-A-38	0.8359	0.6336
3-143933-A-38	0.4105	0.1926
3-171012-A-38	0.6833	0.2830
2-134700-A-38	0.6766	0.5031
4-198965-A-38	0.8573	0.4735
4-171519-A-21	0.8176	0.3911
1-29680-A-21	0.6228	0.6658
5-187979-A-21	0.9901	0.1473
2-119102-A-21	0.8613	0.2008
3-148330-A-21	0.3895	0.5770
5-202220-A-21	0.8974	0.6633
5-220027-A-21	0.9322	0.2219
5-220026-A-21	0.9144	0.0915
1-47274-A-21	0.7543	0.3942
3-150231-A-21	0.8832	0.0506
5-221593-A-21	0.9681	0.0869
1-47273-A-21	0.9877	0.3962
3-142605-A-21	0.4965	0.2433
2-128631-A-21	0.4590	0.5722
4-167642-A-21	0.8990	0.2019
5-194533-A-21	0.9838	0.0623
5-201274-A-21	0.8663	0.1872
1-54505-A-21	0.8096	0.2784
3-156558-A-21	0.8511	0.0568
3-142601-A-21	0.6755	0.0373
4-156844-A-21	0.9355	0.6618
3-143119-A-21	0.9860	0.2186
1-59324-A-21	0.7886	0.1199
1-81883-A-21	0.9948	0.1362
2-82538-A-21	0.9224	0.3458
2-93030-A-21	0.9857	0.2631
2-130979-A-21	0.9717	0.1751
2-130978-A-21	0.8515	0.2694
5-221518-A-21	0.9714	0.3909
3-144692-A-21	0.9483	0.2036
2-109505-A-21	0.4130	0.4271
2-118104-A-21	0.9680	0.6629
4-185415-A-21	0.5432	0.2977
3-141684-A-21	0.9845	0.2523
1-26143-A-21	0.9964	0.1965
4-157297-A-21	0.9719	0.1941
4-185619-A-21	0.9815	0.2334
4-156843-A-21	0.6278	0.3150
4-184434-A-21	0.9907	0.1674
1-31748-A-21	0.8674	0.1617
3-157149-A-10	0.5350	0.1101
4-164206-A-10	0.5624	0.4808
1-56311-A-10	0.4819	0.4739
4-166661-A-10	0.2846	0.4905
1-63871-A-10	0.4080	0.1771
4-180380-A-10	0.4964	0.5774
5-188655-A-10	0.4295	0.4436
4-160999-A-10	0.2645	0.6033
5-202898-A-10	0.5219	0.5063
5-195710-A-10	0.5142	0.3828
4-161127-A-10	0.4065	0.4794
2-73260-A-10	0.2006	0.5348
4-181286-A-10	0.4465	0.5862
2-72970-A-10	0.5507	0.4269
1-17367-A-10	0.3841	0.3425
4-163264-A-10	0.3691	0.3792
3-142005-A-10	0.6155	0.2961
5-198321-A-10	0.5775	0.5023
2-117625-A-10	0.4802	0.4856
5-203739-A-10	0.5913	0.4821
1-54958-A-10	0.4021	0.5398
2-87781-A-10	0.2588	0.3786
1-21189-A-10	0.1330	0.4191
2-101676-A-10	0.3880	0.4300
3-140774-A-10	0.1739	0.2286
3-157487-A-10	0.2099	0.2605
5-193339-A-10	0.5012	0.5240
3-143929-A-10	0.0139	0.0853
2-82367-A-10	0.5805	0.5496
