=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7315
Mean Deletion AUC: 0.2247
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6315	0.0575
5-185579-A-41	0.6996	0.0783
1-116765-A-41	0.7030	0.2791
4-157611-B-41	0.6697	0.2997
1-19898-B-41	0.8447	0.2100
5-216370-B-41	0.4895	0.4056
5-222524-A-41	0.5476	0.2256
1-47250-A-41	0.7816	0.4368
2-68391-A-41	0.7125	0.1530
2-50667-B-41	0.8207	0.0643
4-165823-A-41	0.8305	0.4357
2-77945-B-41	0.7575	0.2052
4-169127-A-41	0.7180	0.0117
1-64398-B-41	0.7963	0.1337
2-50668-A-41	0.6565	0.1057
5-171653-A-41	0.8565	0.0138
4-149294-B-41	0.8524	0.1044
3-118972-B-41	0.7990	0.1021
5-170338-B-41	0.8129	0.1914
3-118657-B-41	0.8487	0.0856
5-216370-A-41	0.8117	0.0804
1-19898-C-41	0.8330	0.1946
2-50667-A-41	0.6842	0.2185
4-165823-B-41	0.8705	0.3337
1-47250-B-41	0.7503	0.3396
2-68391-B-41	0.7239	0.0821
5-185579-B-41	0.7351	0.0938
1-19898-A-41	0.2111	0.0449
3-165856-A-41	0.6371	0.0594
3-118658-B-41	0.8548	0.1360
4-157611-A-41	0.6589	0.2006
4-149294-A-41	0.8518	0.1917
3-118657-A-41	0.2729	0.0024
3-118656-A-41	0.8093	0.1631
5-170338-A-41	0.7088	0.1379
3-118972-A-41	0.7426	0.2808
2-77945-A-41	0.7741	0.1233
4-169127-B-41	0.7968	0.2718
2-50668-B-41	0.7804	0.2366
1-64398-A-41	0.8105	0.1641
3-170383-A-38	0.5334	0.0614
5-219342-A-38	0.7121	0.2122
1-48413-A-38	0.8216	0.4329
2-131943-A-38	0.6854	0.4274
5-209698-A-38	0.6775	0.4104
1-57163-A-38	0.5876	0.4433
1-62850-A-38	0.7251	0.3603
3-150363-A-38	0.8457	0.0945
4-179984-A-38	0.6322	0.1197
3-170377-A-38	0.9384	0.1418
2-88724-A-38	0.5066	0.1101
4-175945-A-38	0.7284	0.3898
4-181865-A-38	0.2755	0.1257
2-140147-A-38	0.6597	0.3520
2-135728-A-38	0.9033	0.2453
5-212181-A-38	0.8850	0.2571
5-209833-A-38	0.6278	0.3288
5-235671-A-38	0.5795	0.2441
2-119748-A-38	0.8406	0.3219
3-164688-A-38	0.7274	0.1227
4-191327-A-38	0.9076	0.1904
3-142593-A-38	0.4392	0.2366
4-194711-A-38	0.4420	0.2479
2-141584-A-38	0.8438	0.0707
4-181035-A-38	0.7938	0.3403
5-201194-A-38	0.4225	0.2193
1-35687-A-38	0.9260	0.3999
3-171041-A-38	0.4388	0.2731
5-210571-A-38	0.8562	0.0304
1-62849-A-38	0.9041	0.3221
1-42139-A-38	0.5953	0.3238
1-21935-A-38	0.7238	0.3067
1-21934-A-38	0.8697	0.2575
2-127108-A-38	0.5761	0.3166
4-188033-A-38	0.8769	0.2652
5-208624-A-38	0.5959	0.3933
3-143933-A-38	0.8237	0.0524
3-171012-A-38	0.9039	0.0831
2-134700-A-38	0.3838	0.2253
4-198965-A-38	0.8070	0.2535
4-171519-A-21	0.9777	0.0593
1-29680-A-21	0.9882	0.1313
3-148330-A-21	0.9381	0.1018
5-187979-A-21	0.9866	0.0832
2-119102-A-21	0.9760	0.0526
5-202220-A-21	0.8886	0.4623
5-220026-A-21	0.9508	0.0686
5-220027-A-21	0.9764	0.0992
1-47274-A-21	0.9534	0.1052
3-150231-A-21	0.8683	0.0202
1-47273-A-21	0.9858	0.1775
5-221593-A-21	0.9588	0.0225
3-142605-A-21	0.8204	0.0771
2-128631-A-21	0.9387	0.1147
4-167642-A-21	0.9295	0.0407
5-201274-A-21	0.9562	0.1096
5-194533-A-21	0.9122	0.0200
1-54505-A-21	0.9463	0.1764
3-156558-A-21	0.6157	0.0259
3-142601-A-21	0.6082	0.0175
4-156844-A-21	0.9136	0.1154
3-143119-A-21	0.9942	0.1310
1-59324-A-21	0.9594	0.0275
1-81883-A-21	0.9702	0.1411
2-82538-A-21	0.9716	0.0521
2-93030-A-21	0.9640	0.2781
2-130979-A-21	0.9579	0.1558
2-130978-A-21	0.9750	0.1069
5-221518-A-21	0.9570	0.2137
3-144692-A-21	0.7677	0.1665
2-109505-A-21	0.6453	0.0500
2-118104-A-21	0.9589	0.1376
4-185415-A-21	0.9667	0.0311
3-141684-A-21	0.9883	0.0864
1-26143-A-21	0.9859	0.0637
4-157297-A-21	0.9248	0.2130
4-185619-A-21	0.9445	0.1884
4-156843-A-21	0.9706	0.0556
4-184434-A-21	0.9717	0.1540
1-31748-A-21	0.9222	0.0099
4-166661-A-10	0.4931	0.2748
1-63871-A-10	0.5409	0.2835
4-164206-A-10	0.5316	0.3619
3-157149-A-10	0.5676	0.1090
1-56311-A-10	0.5667	0.2541
4-180380-A-10	0.5445	0.3549
5-188655-A-10	0.5556	0.2435
4-160999-A-10	0.6607	0.2777
5-202898-A-10	0.6689	0.4163
5-195710-A-10	0.5797	0.2853
4-161127-A-10	0.5490	0.4803
2-73260-A-10	0.5737	0.3189
4-181286-A-10	0.5955	0.4049
2-72970-A-10	0.5870	0.2931
1-17367-A-10	0.6081	0.1821
4-163264-A-10	0.5856	0.2145
3-142005-A-10	0.7458	0.2852
5-198321-A-10	0.5817	0.3163
2-117625-A-10	0.6096	0.3470
5-203739-A-10	0.5336	0.2680
1-54958-A-10	0.6054	0.3686
2-87781-A-10	0.5685	0.2706
1-21189-A-10	0.4678	0.1344
2-101676-A-10	0.6180	0.2027
3-140774-A-10	0.1236	0.0681
3-157487-A-10	0.4749	0.3017
5-193339-A-10	0.5856	0.3485
3-143929-A-10	0.2978	0.0111
2-82367-A-10	0.6018	0.4298
