=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7457
Mean Deletion AUC: 0.2270
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.7002	0.0771
1-116765-A-41	0.7219	0.3274
1-19898-B-41	0.8084	0.1595
4-157611-B-41	0.6275	0.3178
3-118658-A-41	0.6957	0.0618
5-216370-B-41	0.7749	0.3201
5-222524-A-41	0.6568	0.1796
1-47250-A-41	0.8034	0.3659
2-68391-A-41	0.7639	0.1457
2-50667-B-41	0.8269	0.0655
2-77945-B-41	0.7464	0.1033
4-165823-A-41	0.8220	0.2586
4-169127-A-41	0.7447	0.0113
1-64398-B-41	0.6399	0.1686
2-50668-A-41	0.6885	0.1470
4-149294-B-41	0.8755	0.1201
5-171653-A-41	0.8585	0.0106
3-118972-B-41	0.7350	0.0930
5-170338-B-41	0.7780	0.1849
3-118657-B-41	0.8497	0.0897
5-216370-A-41	0.7904	0.0934
2-50667-A-41	0.7383	0.2604
1-19898-C-41	0.8506	0.1782
4-165823-B-41	0.8552	0.2523
1-47250-B-41	0.7573	0.3385
2-68391-B-41	0.8017	0.0983
5-185579-B-41	0.7175	0.1058
1-19898-A-41	0.3886	0.0406
3-165856-A-41	0.6800	0.0528
3-118658-B-41	0.8039	0.1200
4-157611-A-41	0.6427	0.3181
3-118657-A-41	0.3119	0.0030
4-149294-A-41	0.8208	0.1829
3-118656-A-41	0.7351	0.1686
5-170338-A-41	0.7986	0.0894
3-118972-A-41	0.7851	0.2265
2-77945-A-41	0.8200	0.1423
4-169127-B-41	0.8152	0.3256
2-50668-B-41	0.7542	0.2282
1-64398-A-41	0.8349	0.1554
3-170383-A-38	0.8333	0.0862
5-219342-A-38	0.8591	0.4378
5-209698-A-38	0.7290	0.2357
1-48413-A-38	0.9249	0.4398
2-131943-A-38	0.8028	0.3581
1-57163-A-38	0.6375	0.3675
1-62850-A-38	0.7250	0.3392
4-179984-A-38	0.5760	0.3744
3-150363-A-38	0.9248	0.2065
3-170377-A-38	0.9236	0.1841
2-88724-A-38	0.5276	0.2409
4-175945-A-38	0.6719	0.3467
4-181865-A-38	0.7702	0.2706
2-140147-A-38	0.7005	0.3191
2-135728-A-38	0.9035	0.3060
5-212181-A-38	0.9373	0.3974
5-209833-A-38	0.5695	0.3456
5-235671-A-38	0.8975	0.2124
2-119748-A-38	0.7756	0.4371
3-164688-A-38	0.7760	0.1547
4-191327-A-38	0.9505	0.1438
3-142593-A-38	0.4957	0.2766
4-194711-A-38	0.4399	0.2400
2-141584-A-38	0.8868	0.0774
4-181035-A-38	0.9530	0.5069
5-201194-A-38	0.3844	0.2579
1-35687-A-38	0.9585	0.3914
3-171041-A-38	0.4484	0.1471
5-210571-A-38	0.9786	0.3411
1-62849-A-38	0.8200	0.4897
1-42139-A-38	0.9281	0.2580
1-21935-A-38	0.7396	0.3968
1-21934-A-38	0.9154	0.2698
2-127108-A-38	0.7359	0.2254
4-188033-A-38	0.9914	0.4577
5-208624-A-38	0.7699	0.2748
3-143933-A-38	0.8582	0.0618
3-171012-A-38	0.9335	0.0815
2-134700-A-38	0.8262	0.2443
4-198965-A-38	0.8870	0.1845
4-171519-A-21	0.9818	0.0693
1-29680-A-21	0.9661	0.1157
5-187979-A-21	0.9855	0.0890
2-119102-A-21	0.9761	0.0519
3-148330-A-21	0.9426	0.0856
5-202220-A-21	0.8537	0.5439
5-220027-A-21	0.9845	0.0542
5-220026-A-21	0.9410	0.0556
1-47274-A-21	0.9421	0.0750
3-150231-A-21	0.9285	0.0350
5-221593-A-21	0.9374	0.0281
1-47273-A-21	0.9891	0.1798
3-142605-A-21	0.8183	0.0896
2-128631-A-21	0.9707	0.1044
4-167642-A-21	0.9156	0.0672
5-194533-A-21	0.9204	0.0277
5-201274-A-21	0.9533	0.1061
1-54505-A-21	0.9360	0.1493
3-156558-A-21	0.3747	0.0218
3-142601-A-21	0.6058	0.0180
4-156844-A-21	0.8681	0.1131
3-143119-A-21	0.9956	0.1199
1-59324-A-21	0.9602	0.0265
1-81883-A-21	0.9567	0.1448
2-82538-A-21	0.9610	0.0492
2-93030-A-21	0.9881	0.1865
2-130979-A-21	0.9733	0.1548
2-130978-A-21	0.9656	0.0952
5-221518-A-21	0.9695	0.1499
3-144692-A-21	0.7971	0.1175
2-109505-A-21	0.9063	0.0462
2-118104-A-21	0.9847	0.1505
4-185415-A-21	0.9509	0.0284
3-141684-A-21	0.9863	0.0775
1-26143-A-21	0.9899	0.0534
4-157297-A-21	0.9251	0.1906
4-185619-A-21	0.9716	0.2079
4-156843-A-21	0.9598	0.0663
4-184434-A-21	0.9735	0.1197
1-31748-A-21	0.9344	0.0551
3-157149-A-10	0.6006	0.1388
4-164206-A-10	0.5027	0.4184
1-56311-A-10	0.5703	0.2253
4-166661-A-10	0.5512	0.3153
1-63871-A-10	0.4909	0.3357
4-180380-A-10	0.5305	0.3853
5-188655-A-10	0.5151	0.3262
4-160999-A-10	0.6421	0.1699
5-202898-A-10	0.6934	0.4509
5-195710-A-10	0.6096	0.4246
4-161127-A-10	0.5828	0.5276
2-73260-A-10	0.5813	0.3393
4-181286-A-10	0.4796	0.3515
2-72970-A-10	0.6523	0.2450
1-17367-A-10	0.6849	0.2045
4-163264-A-10	0.4989	0.3498
3-142005-A-10	0.7567	0.3203
5-198321-A-10	0.5472	0.2825
2-117625-A-10	0.5862	0.3390
5-203739-A-10	0.5709	0.3227
1-54958-A-10	0.6129	0.4107
2-87781-A-10	0.5705	0.2939
1-21189-A-10	0.5433	0.1584
2-101676-A-10	0.4003	0.3480
3-140774-A-10	0.1111	0.0389
3-157487-A-10	0.4883	0.3404
5-193339-A-10	0.5115	0.4420
3-143929-A-10	0.2975	0.0186
2-82367-A-10	0.5885	0.4625
