=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7293
Mean Deletion AUC: 0.2349
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6948	0.0860
1-116765-A-41	0.7215	0.2710
1-19898-B-41	0.8667	0.1093
4-157611-B-41	0.6743	0.2859
3-118658-A-41	0.6585	0.0574
5-216370-B-41	0.7000	0.3891
5-222524-A-41	0.5615	0.1805
1-47250-A-41	0.7922	0.3739
2-68391-A-41	0.7659	0.1581
2-50667-B-41	0.8411	0.0632
2-77945-B-41	0.7706	0.1992
4-165823-A-41	0.8314	0.2908
4-169127-A-41	0.7032	0.0128
1-64398-B-41	0.8082	0.1400
2-50668-A-41	0.6670	0.1046
4-149294-B-41	0.8862	0.1082
5-171653-A-41	0.8528	0.0094
3-118972-B-41	0.7841	0.0947
5-170338-B-41	0.7930	0.1814
3-118657-B-41	0.8457	0.0836
5-216370-A-41	0.8227	0.0968
2-50667-A-41	0.6770	0.2303
1-19898-C-41	0.8742	0.1410
4-165823-B-41	0.8534	0.2598
1-47250-B-41	0.7468	0.3577
2-68391-B-41	0.7952	0.0951
5-185579-B-41	0.7447	0.1276
1-19898-A-41	0.1617	0.0388
3-165856-A-41	0.6160	0.0544
3-118658-B-41	0.8605	0.1700
4-157611-A-41	0.6375	0.1965
3-118657-A-41	0.4085	0.0025
4-149294-A-41	0.8296	0.2078
3-118656-A-41	0.8104	0.1935
5-170338-A-41	0.7851	0.0978
3-118972-A-41	0.7314	0.2392
2-77945-A-41	0.8069	0.1464
4-169127-B-41	0.7983	0.2967
2-50668-B-41	0.7706	0.2363
1-64398-A-41	0.8385	0.1561
3-170383-A-38	0.8653	0.0586
5-219342-A-38	0.6889	0.0714
5-209698-A-38	0.7069	0.3074
1-48413-A-38	0.9358	0.5822
2-131943-A-38	0.7990	0.3545
1-57163-A-38	0.7064	0.4074
1-62850-A-38	0.7781	0.3598
4-179984-A-38	0.7791	0.1951
3-150363-A-38	0.8764	0.1718
3-170377-A-38	0.9507	0.1198
2-88724-A-38	0.6948	0.2318
4-175945-A-38	0.6812	0.1999
4-181865-A-38	0.8197	0.1490
2-140147-A-38	0.5766	0.3495
2-135728-A-38	0.8379	0.1637
5-212181-A-38	0.8011	0.3826
5-209833-A-38	0.5465	0.2794
5-235671-A-38	0.8771	0.3465
2-119748-A-38	0.8219	0.2984
3-164688-A-38	0.4759	0.2287
4-191327-A-38	0.8152	0.2756
3-142593-A-38	0.1780	0.2179
4-194711-A-38	0.3699	0.2124
2-141584-A-38	0.8276	0.0658
4-181035-A-38	0.8462	0.3431
5-201194-A-38	0.6129	0.3012
1-35687-A-38	0.9393	0.5293
3-171041-A-38	0.5615	0.2961
5-210571-A-38	0.6703	0.1382
1-62849-A-38	0.7045	0.3095
1-42139-A-38	0.8959	0.2218
1-21935-A-38	0.8976	0.3246
1-21934-A-38	0.8758	0.1894
2-127108-A-38	0.7394	0.3751
4-188033-A-38	0.9190	0.1546
5-208624-A-38	0.7711	0.4280
3-143933-A-38	0.8009	0.0868
3-171012-A-38	0.8988	0.0834
2-134700-A-38	0.8791	0.2987
4-198965-A-38	0.8392	0.2682
4-171519-A-21	0.9857	0.0731
1-29680-A-21	0.9577	0.1920
5-187979-A-21	0.9879	0.0917
2-119102-A-21	0.9816	0.0447
3-148330-A-21	0.9212	0.1081
5-202220-A-21	0.8359	0.3171
5-220027-A-21	0.9788	0.0532
5-220026-A-21	0.9202	0.0611
1-47274-A-21	0.9453	0.0715
3-150231-A-21	0.6941	0.0353
5-221593-A-21	0.9508	0.0214
1-47273-A-21	0.9355	0.1868
3-142605-A-21	0.8113	0.0585
2-128631-A-21	0.9675	0.0818
4-167642-A-21	0.9114	0.0682
5-194533-A-21	0.8936	0.0318
5-201274-A-21	0.9450	0.0908
1-54505-A-21	0.9391	0.1459
3-156558-A-21	0.6108	0.0388
3-142601-A-21	0.5883	0.0221
4-156844-A-21	0.9441	0.1741
3-143119-A-21	0.9911	0.0843
1-59324-A-21	0.9365	0.0436
1-81883-A-21	0.9836	0.0801
2-82538-A-21	0.9407	0.0551
2-93030-A-21	0.9879	0.1495
2-130979-A-21	0.9737	0.1685
2-130978-A-21	0.9646	0.0840
5-221518-A-21	0.9821	0.2220
3-144692-A-21	0.8438	0.1320
2-109505-A-21	0.9086	0.0446
2-118104-A-21	0.9733	0.1444
4-185415-A-21	0.8842	0.0409
3-141684-A-21	0.9935	0.0318
1-26143-A-21	0.9879	0.0553
4-157297-A-21	0.9408	0.1400
4-185619-A-21	0.9714	0.2299
4-156843-A-21	0.9240	0.0658
4-184434-A-21	0.9753	0.1273
1-31748-A-21	0.9504	0.0202
3-157149-A-10	0.5696	0.1734
4-164206-A-10	0.5438	0.3597
1-56311-A-10	0.4990	0.1426
4-166661-A-10	0.5592	0.3304
1-63871-A-10	0.4978	0.3814
4-180380-A-10	0.6449	0.3544
5-188655-A-10	0.5116	0.3573
4-160999-A-10	0.5917	0.3557
5-202898-A-10	0.6712	0.4235
5-195710-A-10	0.5115	0.3721
4-161127-A-10	0.5752	0.5265
2-73260-A-10	0.4614	0.3663
4-181286-A-10	0.5535	0.3565
2-72970-A-10	0.3847	0.3292
1-17367-A-10	0.5892	0.2754
4-163264-A-10	0.4828	0.2823
3-142005-A-10	0.7453	0.3080
5-198321-A-10	0.4938	0.2902
2-117625-A-10	0.5734	0.4131
5-203739-A-10	0.4787	0.2692
1-54958-A-10	0.5967	0.4084
2-87781-A-10	0.5348	0.3347
1-21189-A-10	0.5468	0.1524
2-101676-A-10	0.5304	0.3066
3-140774-A-10	0.2320	0.0624
3-157487-A-10	0.3562	0.2849
5-193339-A-10	0.4558	0.5148
3-143929-A-10	0.2534	0.0266
2-82367-A-10	0.5145	0.4417
