=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7626
Mean Deletion AUC: 0.3070
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
4-149940-A-5	0.6134	0.4601
4-161303-A-5	0.8678	0.3858
5-214759-A-5	0.9165	0.2662
3-146965-A-5	0.2251	0.0752
1-47819-B-5	0.9028	0.2443
5-259169-A-5	0.9718	0.0666
3-95698-A-5	0.6590	0.1255
1-79113-A-5	0.7938	0.2407
5-177614-A-5	0.7892	0.2868
2-69131-B-5	0.7152	0.3738
3-146964-A-5	0.2731	0.0639
4-149940-B-5	0.7941	0.5077
1-47819-C-5	0.9138	0.3212
1-47819-A-5	0.9313	0.2522
4-161303-B-5	0.9620	0.1048
5-214759-B-5	0.9046	0.3142
5-256452-A-5	0.9574	0.1279
5-172639-A-5	0.6966	0.4123
2-69131-A-5	0.8896	0.2516
4-120160-A-5	0.9090	0.1946
1-34094-B-5	0.8666	0.5644
1-56380-B-5	0.9168	0.3008
3-95695-B-5	0.6847	0.1711
3-146972-A-5	0.4131	0.0360
4-133047-C-5	0.7777	0.5743
3-95697-A-5	0.7365	0.0377
2-82274-A-5	0.8168	0.2394
2-83934-B-5	0.8415	0.3643
4-133047-A-5	0.5891	0.4333
2-110011-A-5	0.9363	0.1647
3-95695-A-5	0.7945	0.2343
1-34094-A-5	0.7583	0.5433
1-56380-A-5	0.8264	0.3356
5-169983-A-5	0.8956	0.3555
5-172299-A-5	0.6290	0.2974
2-82274-B-5	0.7805	0.2978
2-110010-A-5	0.9812	0.0794
3-95694-A-5	0.8964	0.2918
4-133047-B-5	0.7030	0.1484
2-83934-A-5	0.8947	0.2304
3-118658-A-41	0.6774	0.0843
5-185579-A-41	0.5677	0.1188
1-116765-A-41	0.5593	0.2756
4-157611-B-41	0.6453	0.2603
1-19898-B-41	0.8670	0.1187
5-216370-B-41	0.8003	0.3256
5-222524-A-41	0.4771	0.2591
1-47250-A-41	0.7150	0.3495
2-68391-A-41	0.8764	0.0487
2-50667-B-41	0.7412	0.1022
4-165823-A-41	0.7239	0.2702
2-77945-B-41	0.7066	0.2250
4-169127-A-41	0.8575	0.0078
1-64398-B-41	0.7366	0.2549
2-50668-A-41	0.6781	0.0919
5-171653-A-41	0.7907	0.0101
4-149294-B-41	0.9037	0.2721
3-118972-B-41	0.7316	0.0931
5-170338-B-41	0.6319	0.1838
3-118657-B-41	0.7489	0.0769
5-216370-A-41	0.7173	0.0727
1-19898-C-41	0.7882	0.1062
2-50667-A-41	0.6535	0.2073
4-165823-B-41	0.8594	0.1877
1-47250-B-41	0.7825	0.3996
2-68391-B-41	0.6563	0.1871
5-185579-B-41	0.6242	0.1944
1-19898-A-41	0.4275	0.0304
3-165856-A-41	0.4489	0.0831
3-118658-B-41	0.7834	0.1226
4-157611-A-41	0.7504	0.3286
4-149294-A-41	0.7141	0.1685
3-118657-A-41	0.4037	0.0082
3-118656-A-41	0.7593	0.1714
5-170338-A-41	0.6867	0.1196
3-118972-A-41	0.6845	0.1898
2-77945-A-41	0.7544	0.1699
4-169127-B-41	0.6668	0.2038
2-50668-B-41	0.6575	0.2435
1-64398-A-41	0.7480	0.0977
2-70052-B-42	0.8842	0.2856
2-43806-A-42	0.9934	0.2673
5-117122-A-42	0.9519	0.3288
4-111671-A-42	0.9948	0.4084
1-31482-A-42	0.9741	0.3993
2-70939-A-42	0.7705	0.3300
2-70938-A-42	0.8945	0.2660
3-51909-B-42	0.9455	0.3794
