=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7891
Mean Deletion AUC: 0.2951
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
4-149940-A-5	0.7331	0.5709
4-161303-A-5	0.9021	0.3688
5-214759-A-5	0.9425	0.2797
3-146965-A-5	0.2917	0.0167
1-47819-B-5	0.9376	0.2904
5-259169-A-5	0.9571	0.0678
3-95698-A-5	0.6980	0.1621
1-79113-A-5	0.8052	0.3196
5-177614-A-5	0.8454	0.3097
2-69131-B-5	0.6778	0.5416
3-146964-A-5	0.4409	0.0379
4-149940-B-5	0.8097	0.5978
1-47819-C-5	0.8995	0.3515
1-47819-A-5	0.9546	0.4336
4-161303-B-5	0.9730	0.1118
5-214759-B-5	0.9552	0.5045
5-256452-A-5	0.9582	0.1560
5-172639-A-5	0.7438	0.3515
2-69131-A-5	0.8812	0.3916
4-120160-A-5	0.8914	0.2216
1-34094-B-5	0.8349	0.5958
1-56380-B-5	0.9115	0.2501
3-95695-B-5	0.5743	0.1151
3-146972-A-5	0.5342	0.0580
4-133047-C-5	0.7927	0.4471
3-95697-A-5	0.6669	0.0200
2-82274-A-5	0.7072	0.4218
2-83934-B-5	0.8309	0.4191
4-133047-A-5	0.6339	0.3916
2-110011-A-5	0.9484	0.1599
3-95695-A-5	0.7468	0.3594
1-34094-A-5	0.7927	0.6214
1-56380-A-5	0.8863	0.4061
5-169983-A-5	0.8895	0.3303
5-172299-A-5	0.6137	0.4217
2-82274-B-5	0.7367	0.4625
2-110010-A-5	0.9727	0.0736
3-95694-A-5	0.9097	0.3759
4-133047-B-5	0.7757	0.1333
2-83934-A-5	0.9166	0.3294
3-118658-A-41	0.6431	0.1037
5-185579-A-41	0.7312	0.1336
1-116765-A-41	0.6727	0.3397
4-157611-B-41	0.6323	0.2743
1-19898-B-41	0.9107	0.0874
5-216370-B-41	0.8719	0.1942
5-222524-A-41	0.5108	0.2671
1-47250-A-41	0.7095	0.3064
2-68391-A-41	0.8883	0.0722
2-50667-B-41	0.8808	0.1450
4-165823-A-41	0.8395	0.3172
2-77945-B-41	0.7482	0.2879
4-169127-A-41	0.5708	0.0428
1-64398-B-41	0.8089	0.1726
2-50668-A-41	0.5725	0.1907
5-171653-A-41	0.8570	0.0433
4-149294-B-41	0.9271	0.2469
3-118972-B-41	0.7790	0.1049
5-170338-B-41	0.7547	0.1655
3-118657-B-41	0.8026	0.1317
5-216370-A-41	0.6668	0.2095
1-19898-C-41	0.9126	0.1488
2-50667-A-41	0.8030	0.1749
4-165823-B-41	0.8671	0.4273
1-47250-B-41	0.7695	0.4719
2-68391-B-41	0.7674	0.2433
5-185579-B-41	0.7576	0.2066
1-19898-A-41	0.3587	0.1258
3-165856-A-41	0.6059	0.1089
3-118658-B-41	0.8931	0.2676
4-157611-A-41	0.7257	0.3150
4-149294-A-41	0.7900	0.2373
3-118657-A-41	0.2580	0.0046
3-118656-A-41	0.8460	0.2519
5-170338-A-41	0.7874	0.0880
3-118972-A-41	0.7728	0.1567
2-77945-A-41	0.8183	0.1947
4-169127-B-41	0.7999	0.1878
2-50668-B-41	0.7741	0.3514
1-64398-A-41	0.7967	0.1423
2-70052-B-42	0.8881	0.2105
2-43806-A-42	0.9942	0.2376
5-117122-A-42	0.9497	0.2957
4-111671-A-42	0.9954	0.3052
1-31482-A-42	0.9532	0.1903
2-70939-A-42	0.7939	0.1928
