=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5964
Mean Deletion AUC: 0.3742
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.2374	0.0950
100648-1-1-0	0.1608	0.3677
100648-1-2-0	0.6550	0.5083
100648-1-3-0	0.4034	0.4723
100648-1-4-0	0.6985	0.5735
100795-3-0-0	0.8400	0.5549
100795-3-1-0	0.9757	0.5809
100795-3-1-1	0.9547	0.6924
100795-3-1-2	0.9587	0.6020
101382-2-0-10	0.9361	0.5571
101382-2-0-12	0.8840	0.5701
101382-2-0-20	0.8615	0.5534
101382-2-0-21	0.8652	0.6331
101382-2-0-29	0.8579	0.7072
101382-2-0-33	0.8460	0.5549
101382-2-0-42	0.9414	0.5201
101382-2-0-45	0.7146	0.3138
102103-3-0-0	0.4201	0.4613
102103-3-1-0	0.0765	0.0515
102857-5-0-0	0.0947	0.1371
102857-5-0-1	0.0874	0.1653
102857-5-0-10	0.1192	0.1400
102857-5-0-11	0.1160	0.1499
102857-5-0-12	0.0888	0.1631
102857-5-0-13	0.0786	0.1517
102857-5-0-14	0.0822	0.1435
102857-5-0-15	0.0909	0.1318
102857-5-0-16	0.0939	0.2067
102857-5-0-17	0.1390	0.2032
102857-5-0-18	0.1347	0.2147
102857-5-0-19	0.0779	0.1341
102857-5-0-2	0.1501	0.1623
102857-5-0-20	0.1149	0.1483
102857-5-0-21	0.0951	0.1080
102857-5-0-22	0.0952	0.1997
102857-5-0-23	0.0907	0.1943
102857-5-0-24	0.1114	0.1382
102857-5-0-25	0.1231	0.1218
102857-5-0-26	0.1054	0.3160
102857-5-0-27	0.1353	0.2296
102857-5-0-28	0.1091	0.1564
102857-5-0-29	0.1279	0.1939
102857-5-0-3	0.1082	0.1479
102857-5-0-30	0.1188	0.2299
102857-5-0-4	0.0852	0.1973
102857-5-0-5	0.1295	0.1596
102857-5-0-6	0.0852	0.1537
102857-5-0-7	0.0892	0.1810
102857-5-0-8	0.0868	0.1595
102857-5-0-9	0.0854	0.1463
103438-5-0-0	0.3451	0.2392
103438-5-0-1	0.2829	0.2056
103438-5-0-2	0.5092	0.2505
106014-5-0-0	0.0409	0.0706
106014-5-0-1	0.6611	0.3742
106014-5-0-2	0.6440	0.4214
106014-5-0-3	0.6890	0.4177
106014-5-0-4	0.6200	0.4402
115241-9-0-1	0.8522	0.1796
115241-9-0-14	0.6412	0.1790
115241-9-0-2	0.8144	0.2519
115241-9-0-20	0.7084	0.0920
115241-9-0-6	0.7212	0.1653
115241-9-0-8	0.8452	0.1578
115241-9-0-9	0.8981	0.2673
115418-9-0-11	0.7388	0.4324
115418-9-0-12	0.6262	0.2330
115418-9-0-15	0.7524	0.2087
115418-9-0-20	0.6917	0.3719
115418-9-0-29	0.7323	0.3111
115418-9-0-6	0.6615	0.2611
11722-3-0-0	0.9748	0.1981
11722-3-1-0	0.9718	0.6430
117889-9-0-12	0.8024	0.3621
117889-9-0-20	0.7416	0.3011
117889-9-0-30	0.6053	0.2377
117889-9-0-36	0.6757	0.2425
117889-9-0-39	0.2538	0.1234
117889-9-0-40	0.3135	0.1158
118278-4-0-0	0.2421	0.0922
118278-4-0-1	0.1929	0.0872
118278-4-0-10	0.4230	0.3530
118278-4-0-11	0.4182	0.3261
118278-4-0-12	0.4808	0.3253
118278-4-0-13	0.1875	0.0663
118278-4-0-2	0.2244	0.0880
118278-4-0-3	0.2223	0.0893
118278-4-0-4	0.3566	0.2299
118278-4-0-5	0.1579	0.0551
118278-4-0-6	0.0633	0.0316
118278-4-0-7	0.0631	0.0367
118278-4-0-8	0.4200	0.2666
118278-4-0-9	0.4261	0.2755
118558-5-0-0	0.7194	0.3829
118558-5-0-1	0.6709	0.2980
118558-5-0-2	0.6976	0.3367
118558-5-1-0	0.0447	0.0372
