=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5788
Mean Deletion AUC: 0.2914
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.2866	0.3433
100648-1-1-0	0.1168	0.2482
100648-1-2-0	0.7292	0.3252
100648-1-3-0	0.3502	0.3453
100648-1-4-0	0.7879	0.3917
100795-3-0-0	0.9269	0.3133
100795-3-1-0	0.9498	0.3679
100795-3-1-1	0.9020	0.3720
100795-3-1-2	0.9123	0.3503
101382-2-0-10	0.8905	0.3152
101382-2-0-12	0.7623	0.3527
101382-2-0-20	0.8597	0.3497
101382-2-0-21	0.8298	0.3805
101382-2-0-29	0.8791	0.3112
101382-2-0-33	0.8712	0.3291
101382-2-0-42	0.8463	0.2748
101382-2-0-45	0.6366	0.2559
102103-3-0-0	0.4333	0.1314
102103-3-1-0	0.1457	0.0643
102857-5-0-0	0.2884	0.0890
102857-5-0-1	0.3603	0.0795
102857-5-0-10	0.3150	0.0814
102857-5-0-11	0.3441	0.1049
102857-5-0-12	0.3380	0.0900
102857-5-0-13	0.3457	0.0626
102857-5-0-14	0.3435	0.0775
102857-5-0-15	0.3511	0.0766
102857-5-0-16	0.3226	0.0814
102857-5-0-17	0.3346	0.0770
102857-5-0-18	0.3315	0.0727
102857-5-0-19	0.3002	0.0764
102857-5-0-2	0.3619	0.0792
102857-5-0-20	0.3548	0.0717
102857-5-0-21	0.3080	0.0709
102857-5-0-22	0.3209	0.0830
102857-5-0-23	0.3223	0.0781
102857-5-0-24	0.2900	0.0649
102857-5-0-25	0.3833	0.0690
102857-5-0-26	0.3721	0.0681
102857-5-0-27	0.3614	0.0772
102857-5-0-28	0.3602	0.0837
102857-5-0-29	0.3068	0.0934
102857-5-0-3	0.3685	0.0923
102857-5-0-30	0.3242	0.1018
102857-5-0-4	0.3622	0.0887
102857-5-0-5	0.3657	0.0772
102857-5-0-6	0.3324	0.0737
102857-5-0-7	0.3340	0.0876
102857-5-0-8	0.3268	0.0744
102857-5-0-9	0.2962	0.0892
103438-5-0-0	0.4136	0.1486
103438-5-0-1	0.4088	0.1057
103438-5-0-2	0.4460	0.1157
106014-5-0-0	0.1645	0.1026
106014-5-0-1	0.6054	0.1880
106014-5-0-2	0.6091	0.2125
106014-5-0-3	0.6510	0.1814
106014-5-0-4	0.6107	0.2278
115241-9-0-1	0.5235	0.3031
115241-9-0-14	0.3898	0.1712
115241-9-0-2	0.5715	0.2759
115241-9-0-20	0.4801	0.1527
115241-9-0-6	0.4105	0.2802
115241-9-0-8	0.4630	0.2677
115241-9-0-9	0.4607	0.4098
115418-9-0-11	0.7176	0.5054
115418-9-0-12	0.5727	0.3945
115418-9-0-15	0.6293	0.4824
115418-9-0-20	0.4158	0.4364
115418-9-0-29	0.6746	0.4541
115418-9-0-6	0.5804	0.3289
11722-3-0-0	0.9795	0.2345
11722-3-1-0	0.9542	0.2697
117889-9-0-12	0.7982	0.3857
117889-9-0-20	0.3758	0.3282
117889-9-0-30	0.3851	0.2760
117889-9-0-36	0.3221	0.1584
117889-9-0-39	0.2575	0.1288
117889-9-0-40	0.2458	0.1312
118278-4-0-0	0.2253	0.0804
118278-4-0-1	0.2362	0.0659
118278-4-0-10	0.4264	0.1367
118278-4-0-11	0.2907	0.1276
118278-4-0-12	0.3763	0.1569
118278-4-0-13	0.1713	0.0422
118278-4-0-2	0.1555	0.0665
118278-4-0-3	0.2078	0.0857
118278-4-0-4	0.4046	0.1310
118278-4-0-5	0.1695	0.0468
118278-4-0-6	0.0855	0.0277
118278-4-0-7	0.1006	0.0272
118278-4-0-8	0.5108	0.1365
118278-4-0-9	0.5139	0.1536
118558-5-0-0	0.6187	0.2713
118558-5-0-1	0.5987	0.2518
118558-5-0-2	0.5524	0.2719
118558-5-1-0	0.1009	0.0421
118558-5-1-1	0.5527	0.2094
118558-5-1-2	0.5944	0.2027
118558-5-2-0	0.5479	0.2459
118558-5-2-1	0.1460	0.0374
118558-5-2-2	0.0966	0.0353
118558-5-2-3	0.6295	0.1985
119067-0-0-0	0.4961	0.1015
119067-0-0-1	0.5231	0.1145
119067-0-0-2	0.5249	0.1165
128240-3-0-1	0.9432	0.3300
128240-3-0-20	0.9639	0.3865
128240-3-0-39	0.8975	0.2573
128240-3-0-42	0.9545	0.4001
128470-3-0-0	0.9612	0.3442
128470-3-0-1	0.8795	0.0893
128470-3-0-5	0.9160	0.2286
128470-3-0-8	0.9472	0.2819
129750-2-0-3	0.3937	0.1435
129750-2-0-34	0.4147	0.2694
129750-2-0-36	0.3157	0.1579
129750-2-0-37	0.3000	0.2323
129750-2-0-4	0.5875	0.1300
129750-2-0-45	0.3595	0.1406
129750-2-0-46	0.3356	0.1935
129750-2-0-48	0.4712	0.1635
136558-9-0-1	0.6239	0.3978
136558-9-0-2	0.7025	0.0778
136558-9-1-10	0.3211	0.3289
136558-9-1-21	0.5113	0.0571
136558-9-1-26	0.3681	0.2361
136558-9-1-39	0.2296	0.1583
138017-9-0-2	0.5900	0.3816
138017-9-0-9	0.4246	0.3020
138017-9-1-10	0.1468	0.0574
138017-9-1-16	0.2401	0.1044
138017-9-1-4	0.2486	0.1645
138017-9-1-6	0.3602	0.1611
141240-5-0-0	0.3759	0.0584
141240-5-1-0	0.3069	0.0725
142641-3-0-0	0.7062	0.1387
14468-3-0-2	0.2489	0.0577
14468-3-0-3	0.3475	0.0362
14468-3-1-0	0.5489	0.1344
14468-3-5-0	0.1098	0.0390
14470-2-0-10	0.5825	0.2679
14470-2-0-14	0.8723	0.3282
14470-2-0-21	0.5061	0.2754
14470-2-0-4	0.6544	0.3042
14470-2-0-56	0.6240	0.2407
14470-2-0-65	0.5313	0.1030
14470-2-0-70	0.3798	0.1029
14470-2-0-72	0.8497	0.2405
146244-4-0-0	0.7595	0.3420
147491-9-0-0	0.5749	0.1342
147491-9-0-5	0.4750	0.0955
147491-9-2-10	0.2639	0.0350
147491-9-2-25	0.6427	0.3435
147491-9-2-32	0.3968	0.1228
147491-9-2-6	0.4506	0.0864
155241-9-0-50	0.5362	0.3522
155241-9-0-56	0.4757	0.3329
155241-9-0-69	0.6659	0.4260
155241-9-0-79	0.3439	0.2133
155241-9-0-8	0.6566	0.4259
155241-9-0-88	0.6370	0.4207
155262-2-0-101	0.7969	0.2828
155262-2-0-11	0.3462	0.0943
155262-2-0-15	0.2025	0.1160
155262-2-0-2	0.3071	0.0894
155262-2-0-21	0.6635	0.1645
155262-2-0-48	0.2550	0.2730
155262-2-0-58	0.4250	0.2305
155262-2-0-63	0.2496	0.1690
155280-2-0-10	0.4601	0.1666
155280-2-0-11	0.5832	0.1794
155280-2-0-13	0.4334	0.2478
155280-2-0-15	0.2065	0.1137
155280-2-0-3	0.6375	0.2555
155280-2-0-5	0.5581	0.1237
155280-2-0-6	0.5028	0.2211
155280-2-0-7	0.7576	0.1380
155311-3-0-0	0.9563	0.3768
15544-5-0-0	0.3416	0.0653
15544-5-0-1	0.2068	0.0574
15544-5-0-10	0.3172	0.0781
15544-5-0-11	0.3935	0.0883
15544-5-0-12	0.3927	0.0875
15544-5-0-13	0.3677	0.0848
