=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6038
Mean Deletion AUC: 0.2910
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.3459	0.0609
100648-1-1-0	0.0917	0.2077
100648-1-2-0	0.6972	0.4853
100648-1-3-0	0.5543	0.3993
100648-1-4-0	0.7522	0.6002
100795-3-0-0	0.9815	0.4171
100795-3-1-0	0.9402	0.3696
100795-3-1-1	0.9260	0.4752
100795-3-1-2	0.9560	0.3453
101382-2-0-10	0.8972	0.3330
101382-2-0-12	0.7980	0.3739
101382-2-0-20	0.8854	0.4485
101382-2-0-21	0.8600	0.4466
101382-2-0-29	0.8806	0.3720
101382-2-0-33	0.8737	0.2555
101382-2-0-42	0.9090	0.2064
101382-2-0-45	0.6804	0.1647
102103-3-0-0	0.4012	0.0957
102103-3-1-0	0.2342	0.0697
102857-5-0-0	0.2493	0.1401
102857-5-0-1	0.3064	0.1282
102857-5-0-10	0.2709	0.1067
102857-5-0-11	0.2855	0.1276
102857-5-0-12	0.2775	0.1424
102857-5-0-13	0.5136	0.1904
102857-5-0-14	0.2517	0.1320
102857-5-0-15	0.2649	0.1392
102857-5-0-16	0.2305	0.1288
102857-5-0-17	0.2356	0.1477
102857-5-0-18	0.2101	0.1039
102857-5-0-19	0.2638	0.1149
102857-5-0-2	0.2778	0.1192
102857-5-0-20	0.2831	0.1194
102857-5-0-21	0.2490	0.1168
102857-5-0-22	0.2110	0.1294
102857-5-0-23	0.3318	0.1100
102857-5-0-24	0.2035	0.0852
102857-5-0-25	0.3033	0.1449
102857-5-0-26	0.2602	0.1305
102857-5-0-27	0.2651	0.1141
102857-5-0-28	0.2757	0.1445
102857-5-0-29	0.1975	0.1100
102857-5-0-3	0.2303	0.1405
102857-5-0-30	0.4494	0.1415
102857-5-0-4	0.2148	0.1195
102857-5-0-5	0.2453	0.1072
102857-5-0-6	0.2055	0.1399
102857-5-0-7	0.4567	0.1769
102857-5-0-8	0.2007	0.1027
102857-5-0-9	0.2209	0.1166
103438-5-0-0	0.4380	0.1064
103438-5-0-1	0.3641	0.1351
103438-5-0-2	0.4669	0.1108
106014-5-0-0	0.1698	0.1012
106014-5-0-1	0.6791	0.3808
106014-5-0-2	0.7359	0.3370
106014-5-0-3	0.8107	0.3521
106014-5-0-4	0.7798	0.3243
115241-9-0-1	0.6222	0.3634
115241-9-0-14	0.4129	0.2205
115241-9-0-2	0.6387	0.3494
115241-9-0-20	0.4780	0.1468
115241-9-0-6	0.5349	0.2988
115241-9-0-8	0.4911	0.3002
115241-9-0-9	0.6815	0.4109
115418-9-0-11	0.8789	0.4741
115418-9-0-12	0.8266	0.4730
115418-9-0-15	0.8922	0.4731
115418-9-0-20	0.7278	0.3867
115418-9-0-29	0.8513	0.4922
115418-9-0-6	0.8451	0.2231
11722-3-0-0	0.9617	0.2348
11722-3-1-0	0.9835	0.2576
117889-9-0-12	0.8149	0.3265
117889-9-0-20	0.8432	0.4443
117889-9-0-30	0.7368	0.2877
117889-9-0-36	0.4502	0.2416
117889-9-0-39	0.1824	0.2083
117889-9-0-40	0.2163	0.1412
118278-4-0-0	0.1621	0.0684
