=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6156
Mean Deletion AUC: 0.2431
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.1016	0.0186
100648-1-1-0	0.6782	0.1188
100648-1-2-0	0.4468	0.0754
100648-1-3-0	0.9282	0.3956
100648-1-4-0	0.7496	0.1625
100795-3-0-0	0.8607	0.3333
100795-3-1-0	0.5281	0.3169
100795-3-1-1	0.6239	0.3159
100795-3-1-2	0.3674	0.4097
101382-2-0-10	0.6135	0.0782
101382-2-0-12	0.7883	0.4643
101382-2-0-20	0.6869	0.3541
101382-2-0-21	0.8953	0.3427
101382-2-0-29	0.9241	0.4227
101382-2-0-33	0.6145	0.2627
101382-2-0-42	0.8416	0.2525
101382-2-0-45	0.8944	0.1896
102103-3-0-0	0.4902	0.0714
102103-3-1-0	0.9354	0.2273
102857-5-0-0	0.4739	0.3212
102857-5-0-1	0.5063	0.2919
102857-5-0-10	0.5502	0.2258
102857-5-0-11	0.5917	0.3939
102857-5-0-12	0.7916	0.4318
102857-5-0-13	0.7215	0.3371
102857-5-0-14	0.7896	0.3314
102857-5-0-15	0.7492	0.4412
102857-5-0-16	0.7189	0.4093
102857-5-0-17	0.6070	0.2703
102857-5-0-18	0.6562	0.3544
102857-5-0-19	0.6965	0.3731
102857-5-0-2	0.7857	0.4480
102857-5-0-20	0.8119	0.3640
102857-5-0-21	0.6233	0.2443
102857-5-0-22	0.7354	0.2803
102857-5-0-23	0.7897	0.4352
102857-5-0-24	0.7866	0.4363
102857-5-0-25	0.7678	0.3319
102857-5-0-26	0.5497	0.2452
102857-5-0-27	0.6342	0.3009
102857-5-0-28	0.7888	0.2854
102857-5-0-29	0.6615	0.2914
102857-5-0-3	0.5141	0.2582
102857-5-0-30	0.6248	0.3981
102857-5-0-4	0.4584	0.2399
102857-5-0-5	0.5583	0.2604
102857-5-0-6	0.6239	0.3537
102857-5-0-7	0.5042	0.3855
102857-5-0-8	0.6262	0.4323
102857-5-0-9	0.6942	0.3635
103438-5-0-0	0.9629	0.3074
103438-5-0-1	0.5295	0.2424
103438-5-0-2	0.6091	0.3499
106014-5-0-0	0.8238	0.2519
106014-5-0-1	0.7381	0.2380
106014-5-0-2	0.7771	0.3363
106014-5-0-3	0.6037	0.2134
106014-5-0-4	0.7961	0.2502
115241-9-0-1	0.8059	0.1431
115241-9-0-14	0.8284	0.1592
115241-9-0-2	0.6150	0.0495
115241-9-0-20	0.1462	0.3794
115241-9-0-6	0.6481	0.0537
115241-9-0-8	0.8333	0.1789
115241-9-0-9	0.8075	0.1337
115418-9-0-11	0.7264	0.1848
115418-9-0-12	0.8888	0.2875
115418-9-0-15	0.4605	0.1816
115418-9-0-20	0.5746	0.1907
115418-9-0-29	0.7789	0.2109
115418-9-0-6	0.2131	0.1638
11722-3-0-0	0.8301	0.4718
11722-3-1-0	0.8117	0.5941
117889-9-0-12	0.9432	0.3614
117889-9-0-20	0.7478	0.2406
117889-9-0-30	0.6939	0.0776
117889-9-0-36	0.6372	0.2625
117889-9-0-39	0.4662	0.0390
117889-9-0-40	0.6102	0.0965
