=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5321
Mean Deletion AUC: 0.2944
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.0656	0.0349
100648-1-1-0	0.8152	0.4742
100648-1-2-0	0.1336	0.0983
100648-1-3-0	0.8721	0.8790
100648-1-4-0	0.3552	0.1297
100795-3-0-0	0.5591	0.2511
100795-3-1-0	0.4316	0.1024
100795-3-1-1	0.2877	0.1570
100795-3-1-2	0.1848	0.2032
101382-2-0-10	0.3411	0.0874
101382-2-0-12	0.7819	0.4760
101382-2-0-20	0.5488	0.3049
101382-2-0-21	0.8681	0.4578
101382-2-0-29	0.8108	0.3637
101382-2-0-33	0.6326	0.2946
101382-2-0-42	0.6376	0.3824
101382-2-0-45	0.7936	0.6622
102103-3-0-0	0.5873	0.0976
102103-3-1-0	0.8670	0.2799
102857-5-0-0	0.5341	0.3927
102857-5-0-1	0.7221	0.3861
102857-5-0-10	0.5117	0.2565
102857-5-0-11	0.6926	0.2378
102857-5-0-12	0.7480	0.3191
102857-5-0-13	0.6924	0.4584
102857-5-0-14	0.8231	0.4574
102857-5-0-15	0.8183	0.3695
102857-5-0-16	0.6759	0.2693
102857-5-0-17	0.7825	0.3383
102857-5-0-18	0.6119	0.2941
102857-5-0-19	0.7221	0.5711
102857-5-0-2	0.7354	0.3946
102857-5-0-20	0.7677	0.4370
102857-5-0-21	0.5947	0.2670
102857-5-0-22	0.6902	0.2428
102857-5-0-23	0.6770	0.4003
102857-5-0-24	0.7322	0.5305
102857-5-0-25	0.7325	0.4272
102857-5-0-26	0.5921	0.3281
102857-5-0-27	0.5651	0.1560
102857-5-0-28	0.7645	0.3554
102857-5-0-29	0.7200	0.3055
102857-5-0-3	0.6358	0.2583
102857-5-0-30	0.6356	0.3235
102857-5-0-4	0.6317	0.2381
102857-5-0-5	0.7890	0.3282
102857-5-0-6	0.7028	0.3657
102857-5-0-7	0.6399	0.3352
102857-5-0-8	0.7609	0.3609
102857-5-0-9	0.6838	0.2887
103438-5-0-0	0.8252	0.4539
103438-5-0-1	0.7270	0.2970
103438-5-0-2	0.6377	0.3000
106014-5-0-0	0.6891	0.3641
106014-5-0-1	0.6128	0.2525
106014-5-0-2	0.4306	0.3501
106014-5-0-3	0.3528	0.2809
106014-5-0-4	0.3531	0.2308
115241-9-0-1	0.9181	0.1363
115241-9-0-14	0.8234	0.0868
115241-9-0-2	0.3882	0.0655
115241-9-0-20	0.7257	0.3833
115241-9-0-6	0.7350	0.0794
115241-9-0-8	0.5835	0.2860
115241-9-0-9	0.5788	0.0692
115418-9-0-11	0.3787	0.1486
115418-9-0-12	0.8164	0.4078
115418-9-0-15	0.3327	0.0892
115418-9-0-20	0.3953	0.2279
115418-9-0-29	0.6693	0.3211
115418-9-0-6	0.5031	0.5143
11722-3-0-0	0.7698	0.5329
11722-3-1-0	0.8243	0.3090
117889-9-0-12	0.8916	0.3649
117889-9-0-20	0.3904	0.2114
117889-9-0-30	0.6710	0.3526
117889-9-0-36	0.4627	0.5126
117889-9-0-39	0.3025	0.0277
117889-9-0-40	0.1239	0.3104
118278-4-0-0	0.5732	0.2403
118278-4-0-1	0.3430	0.4885
118278-4-0-10	0.3563	0.2098
118278-4-0-11	0.6058	0.1649
118278-4-0-12	0.3209	0.2959
118278-4-0-13	0.3324	0.1535
118278-4-0-2	0.4234	0.3134
118278-4-0-3	0.6003	0.3799
118278-4-0-4	0.8316	0.3242
118278-4-0-5	0.5472	0.3582
118278-4-0-6	0.2182	0.2741
118278-4-0-7	0.3034	0.2967
118278-4-0-8	0.2359	0.2667
118278-4-0-9	0.3587	0.2262
118558-5-0-0	0.7937	0.1781
118558-5-0-1	0.5341	0.1878
118558-5-0-2	0.4084	0.1451
118558-5-1-0	0.7546	0.1824
118558-5-1-1	0.9106	0.6867
118558-5-1-2	0.8534	0.3448
118558-5-2-0	0.7028	0.4920
118558-5-2-1	0.6937	0.2110
118558-5-2-2	0.8006	0.2544
118558-5-2-3	0.6707	0.1561
119067-0-0-0	0.2959	0.0741
119067-0-0-1	0.3577	0.0601
119067-0-0-2	0.3469	0.0933
128240-3-0-1	0.5325	0.3496
128240-3-0-20	0.5825	0.2637
128240-3-0-39	0.2251	0.1218
128240-3-0-42	0.4794	0.4363
128470-3-0-0	0.5239	0.1543
128470-3-0-1	0.7510	0.2995
128470-3-0-5	0.3642	0.1838
128470-3-0-8	0.1559	0.0730
129750-2-0-3	0.1557	0.0428
129750-2-0-34	0.8084	0.6256
129750-2-0-36	0.8408	0.6434
129750-2-0-37	0.8309	0.6939
129750-2-0-4	0.7184	0.5600
129750-2-0-45	0.7649	0.2922
129750-2-0-46	0.2159	0.0468
129750-2-0-48	0.8318	0.5271
136558-9-0-1	0.6330	0.6833
136558-9-0-2	0.3802	0.2716
136558-9-1-10	0.2980	0.7053
136558-9-1-21	0.4740	0.0716
136558-9-1-26	0.1827	0.0282
136558-9-1-39	0.7652	0.4049
138017-9-0-2	0.4099	0.1700
138017-9-0-9	0.2438	0.4691
138017-9-1-10	0.3272	0.3455
138017-9-1-16	0.0623	0.1199
138017-9-1-4	0.6824	0.5970
138017-9-1-6	0.4762	0.4917
141240-5-0-0	0.7484	0.1106
141240-5-1-0	0.9204	0.6061
142641-3-0-0	0.7863	0.3511
14468-3-0-2	0.7238	0.1317
14468-3-0-3	0.2679	0.2172
14468-3-1-0	0.7589	0.1891
14468-3-5-0	0.8138	0.4987
14470-2-0-10	0.9702	0.8528
14470-2-0-14	0.9191	0.7228
