=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6134
Mean Deletion AUC: 0.2508
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.3502	0.0891
100648-1-1-0	0.7462	0.1332
100648-1-2-0	0.2711	0.1021
100648-1-3-0	0.9299	0.3825
100648-1-4-0	0.6498	0.2826
100795-3-0-0	0.9041	0.3730
100795-3-1-0	0.6014	0.1921
100795-3-1-1	0.6271	0.2380
100795-3-1-2	0.5859	0.2496
101382-2-0-10	0.6058	0.1199
101382-2-0-12	0.8413	0.4069
101382-2-0-20	0.8164	0.2670
101382-2-0-21	0.9420	0.3412
101382-2-0-29	0.9327	0.3572
101382-2-0-33	0.7377	0.3562
101382-2-0-42	0.8084	0.2843
101382-2-0-45	0.9446	0.4146
102103-3-0-0	0.7499	0.1213
102103-3-1-0	0.7917	0.1872
102857-5-0-0	0.7866	0.3968
102857-5-0-1	0.8050	0.4155
102857-5-0-10	0.7612	0.4055
102857-5-0-11	0.8075	0.3443
102857-5-0-12	0.9126	0.4799
102857-5-0-13	0.8305	0.3921
102857-5-0-14	0.8899	0.4612
102857-5-0-15	0.8727	0.3922
102857-5-0-16	0.8397	0.3795
102857-5-0-17	0.7562	0.3838
102857-5-0-18	0.8275	0.4492
102857-5-0-19	0.8145	0.3633
102857-5-0-2	0.7367	0.3618
102857-5-0-20	0.8601	0.3685
102857-5-0-21	0.7777	0.4147
102857-5-0-22	0.8124	0.5157
102857-5-0-23	0.8326	0.3598
102857-5-0-24	0.8640	0.4705
102857-5-0-25	0.8536	0.4764
102857-5-0-26	0.7680	0.4105
102857-5-0-27	0.7650	0.4601
102857-5-0-28	0.8642	0.4347
102857-5-0-29	0.8357	0.3995
102857-5-0-3	0.7360	0.3146
102857-5-0-30	0.8029	0.4523
102857-5-0-4	0.7675	0.3439
102857-5-0-5	0.8089	0.3680
102857-5-0-6	0.8183	0.3906
102857-5-0-7	0.7005	0.3572
102857-5-0-8	0.8619	0.4386
102857-5-0-9	0.7838	0.4171
103438-5-0-0	0.9402	0.4026
103438-5-0-1	0.6888	0.3732
103438-5-0-2	0.8049	0.3693
106014-5-0-0	0.6677	0.3881
106014-5-0-1	0.3514	0.2172
106014-5-0-2	0.3829	0.1228
106014-5-0-3	0.3361	0.1183
106014-5-0-4	0.3874	0.1119
115241-9-0-1	0.8087	0.1467
115241-9-0-14	0.8850	0.1717
115241-9-0-2	0.7761	0.0761
115241-9-0-20	0.4648	0.2355
115241-9-0-6	0.7317	0.0475
115241-9-0-8	0.8487	0.0920
115241-9-0-9	0.8678	0.0432
115418-9-0-11	0.8080	0.2067
115418-9-0-12	0.8733	0.4833
115418-9-0-15	0.7851	0.3399
115418-9-0-20	0.7850	0.2196
115418-9-0-29	0.7602	0.2281
115418-9-0-6	0.4481	0.1565
11722-3-0-0	0.9050	0.3318
11722-3-1-0	0.8887	0.4425
117889-9-0-12	0.9651	0.3291
117889-9-0-20	0.8018	0.1941
117889-9-0-30	0.8650	0.1376
117889-9-0-36	0.8315	0.0870
117889-9-0-39	0.1636	0.0517
117889-9-0-40	0.0510	0.1539
118278-4-0-0	0.6629	0.3867
118278-4-0-1	0.3306	0.0714
118278-4-0-10	0.1116	0.0936
118278-4-0-11	0.5002	0.2246
118278-4-0-12	0.2034	0.1250
118278-4-0-13	0.5902	0.3847
118278-4-0-2	0.2075	0.1059
118278-4-0-3	0.7314	0.3890
118278-4-0-4	0.9348	0.4390
118278-4-0-5	0.4192	0.3541
118278-4-0-6	0.1622	0.1029
118278-4-0-7	0.1214	0.1284
118278-4-0-8	0.1220	0.1558
118278-4-0-9	0.1303	0.1305
118558-5-0-0	0.7385	0.3457
118558-5-0-1	0.6585	0.2779
118558-5-0-2	0.3817	0.1897
118558-5-1-0	0.6981	0.4795
118558-5-1-1	0.8076	0.5227
118558-5-1-2	0.9308	0.4185
118558-5-2-0	0.9093	0.4186
118558-5-2-1	0.7382	0.3675
118558-5-2-2	0.8056	0.4477
118558-5-2-3	0.6266	0.3078
119067-0-0-0	0.0647	0.2158
119067-0-0-1	0.6534	0.1821
119067-0-0-2	0.5964	0.1115
128240-3-0-1	0.9188	0.2837
128240-3-0-20	0.9552	0.4017
128240-3-0-39	0.6133	0.2551
128240-3-0-42	0.4913	0.3108
128470-3-0-0	0.7005	0.3259
128470-3-0-1	0.8452	0.3385
128470-3-0-5	0.6253	0.3668
128470-3-0-8	0.7020	0.4008
129750-2-0-3	0.0228	0.2445
129750-2-0-34	0.9544	0.3811
129750-2-0-36	0.8170	0.3421
129750-2-0-37	0.7420	0.4219
129750-2-0-4	0.5924	0.2587
129750-2-0-45	0.7437	0.3733
129750-2-0-46	0.0435	0.0731
129750-2-0-48	0.8171	0.5329
136558-9-0-1	0.7637	0.1726
136558-9-0-2	0.8264	0.1969
136558-9-1-10	0.7364	0.2231
136558-9-1-21	0.3365	0.1344
136558-9-1-26	0.0517	0.0714
136558-9-1-39	0.8517	0.5261
138017-9-0-2	0.5269	0.2244
138017-9-0-9	0.6805	0.3030
138017-9-1-10	0.2902	0.1626
138017-9-1-16	0.0552	0.2345
138017-9-1-4	0.8301	0.1775
138017-9-1-6	0.7175	0.1665
141240-5-0-0	0.6812	0.1470
141240-5-1-0	0.9720	0.4135
142641-3-0-0	0.9114	0.1372
14468-3-0-2	0.8041	0.1001
14468-3-0-3	0.1590	0.0448
14468-3-1-0	0.8003	0.4132
14468-3-5-0	0.9022	0.2740
14470-2-0-10	0.9613	0.4593
14470-2-0-14	0.9316	0.4933
14470-2-0-21	0.9750	0.3272
14470-2-0-4	0.6148	0.4356
14470-2-0-56	0.5758	0.2204
14470-2-0-65	0.3505	0.2125
14470-2-0-70	0.8494	0.1994
14470-2-0-72	0.6990	0.4152
146244-4-0-0	0.3183	0.4775
147491-9-0-0	0.7663	0.1966
147491-9-0-5	0.4092	0.1489
147491-9-2-10	0.4843	0.0838
147491-9-2-25	0.7023	0.1115
147491-9-2-32	0.0454	0.1036
147491-9-2-6	0.2894	0.1352
155241-9-0-50	0.8416	0.1445
155241-9-0-56	0.6940	0.2301
155241-9-0-69	0.6508	0.0874
155241-9-0-79	0.8413	0.0986
155241-9-0-8	0.8177	0.2196
155241-9-0-88	0.9257	0.2118
155262-2-0-101	0.0452	0.4291
155262-2-0-11	0.0408	0.3713
155262-2-0-15	0.0270	0.5155
155262-2-0-2	0.0742	0.4139
155262-2-0-21	0.0246	0.2213
155262-2-0-48	0.0382	0.2808
155262-2-0-58	0.0474	0.3549
155262-2-0-63	0.0265	0.3925
155280-2-0-10	0.8920	0.2868
155280-2-0-11	0.6389	0.3004
155280-2-0-13	0.1852	0.0499
155280-2-0-15	0.1323	0.0556
155280-2-0-3	0.9197	0.3745
155280-2-0-5	0.7726	0.2834
155280-2-0-6	0.3570	0.1393
155280-2-0-7	0.1034	0.1250
155311-3-0-0	0.6992	0.4063
15544-5-0-0	0.8101	0.4232
15544-5-0-1	0.7590	0.3912
15544-5-0-10	0.8231	0.3144
15544-5-0-11	0.8222	0.3272
15544-5-0-12	0.8172	0.3759
15544-5-0-13	0.8957	0.4041
15544-5-0-14	0.7577	0.3008
15544-5-0-15	0.8429	0.3669
15544-5-0-16	0.8963	0.4572
15544-5-0-17	0.8716	0.4205
15544-5-0-18	0.9416	0.4135
15544-5-0-19	0.8873	0.3759
15544-5-0-2	0.6437	0.4026
15544-5-0-3	0.6772	0.3278
15544-5-0-4	0.7202	0.4277
15544-5-0-5	0.4309	0.2226
15544-5-0-6	0.8150	0.4415
15544-5-0-7	0.8975	0.3596
15544-5-0-8	0.8258	0.4204
15544-5-0-9	0.8305	0.4058
157207-6-0-0	0.8216	0.0594
157207-6-1-0	0.5396	0.3342
157207-6-10-0	0.7547	0.0839
157207-6-2-0	0.8174	0.4332
157207-6-3-0	0.5749	0.4237
157207-6-4-0	0.7367	0.5062
157207-6-5-0	0.8902	0.4622
157207-6-6-0	0.6898	0.5110
157207-6-7-0	0.3007	0.0641
157207-6-8-0	0.4998	0.4470
157207-6-9-0	0.3020	0.0819
157800-6-0-0	0.9394	0.5079
159709-6-0-0	0.3450	0.1441
159742-8-0-0	0.9844	0.4798
159742-8-0-1	0.9850	0.4582
159742-8-0-10	0.8390	0.3626
159742-8-0-11	0.6352	0.0973
159742-8-0-12	0.8368	0.1084
159742-8-0-13	0.6609	0.1729
159742-8-0-14	0.1408	0.0655
159742-8-0-2	0.9916	0.4560
159742-8-0-3	0.9378	0.4616
159742-8-0-4	0.9283	0.2888
159742-8-0-5	0.4933	0.2339
159742-8-0-6	0.8575	0.4098
159742-8-0-7	0.7862	0.2248
159742-8-0-8	0.8005	0.3181
159742-8-0-9	0.8263	0.3472
162134-7-0-0	0.1832	0.2886
162134-7-0-1	0.5587	0.1338
162134-7-0-2	0.3721	0.1244
162134-7-1-0	0.1231	0.0299
162134-7-10-0	0.3385	0.3199
162134-7-10-1	0.5086	0.2500
162134-7-10-2	0.9135	0.3830
162134-7-10-3	0.8378	0.4263
162134-7-11-0	0.6165	0.5067
162134-7-11-1	0.4910	0.6161
162134-7-11-2	0.6698	0.2810
162134-7-11-3	0.7439	0.1827
162134-7-11-4	0.5636	0.2170
162134-7-11-5	0.2725	0.1970
162134-7-11-6	0.2080	0.1553
162134-7-11-7	0.7001	0.2117
162134-7-12-0	0.5058	0.5689
162134-7-12-1	0.1726	0.1020
162134-7-12-2	0.2508	0.1580
162134-7-12-3	0.4309	0.3691
162134-7-12-4	0.5565	0.3171
162134-7-13-0	0.3108	0.1192
162134-7-13-1	0.3594	0.2106
162134-7-13-2	0.2577	0.1421
162134-7-13-3	0.2978	0.0827
162134-7-13-4	0.6448	0.2620
162134-7-14-0	0.6622	0.3132
162134-7-14-1	0.3874	0.2796
162134-7-14-2	0.2483	0.2341
162134-7-15-0	0.3698	0.1340
162134-7-15-1	0.3705	0.1455
162134-7-15-2	0.2130	0.1983
162134-7-15-3	0.4267	0.2251
162134-7-15-4	0.8960	0.2634
162134-7-16-0	0.7616	0.3465
162134-7-16-1	0.4430	0.2816
162134-7-17-0	0.3666	0.1700
