=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6725
Mean Deletion AUC: 0.2372
Number of images evaluated: 837

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.4596	0.0127
100648-1-1-0	0.9900	0.6015
100648-1-2-0	0.8159	0.0300
100648-1-3-0	0.9851	0.1098
100648-1-4-0	0.5643	0.2954
100795-3-0-0	0.9900	0.3875
100795-3-1-0	0.7939	0.2032
100795-3-1-1	0.7026	0.3785
100795-3-1-2	0.7155	0.2856
101382-2-0-10	0.5534	0.2386
101382-2-0-12	0.8828	0.4397
101382-2-0-20	0.6760	0.1557
101382-2-0-21	0.8643	0.3717
101382-2-0-29	0.9900	0.4926
101382-2-0-33	0.7536	0.1072
101382-2-0-42	0.9888	0.2048
101382-2-0-45	0.7326	0.1845
102103-3-0-0	0.7607	0.0591
102103-3-1-0	0.9900	0.0956
102857-5-0-0	0.9022	0.0872
102857-5-0-1	0.8986	0.1114
102857-5-0-10	0.8332	0.0743
102857-5-0-11	0.8833	0.1417
102857-5-0-12	0.9089	0.2312
102857-5-0-13	0.9298	0.1287
102857-5-0-14	0.9694	0.1883
102857-5-0-15	0.9329	0.1872
102857-5-0-16	0.8912	0.1782
102857-5-0-17	0.9250	0.1007
102857-5-0-18	0.9247	0.1336
102857-5-0-19	0.9291	0.1571
102857-5-0-2	0.9081	0.1343
102857-5-0-20	0.9246	0.2290
102857-5-0-21	0.8340	0.0932
102857-5-0-22	0.8583	0.1184
102857-5-0-23	0.9563	0.1215
102857-5-0-24	0.9454	0.1241
102857-5-0-25	0.9321	0.1355
102857-5-0-26	0.8316	0.0717
102857-5-0-27	0.8262	0.0984
102857-5-0-28	0.9852	0.1133
102857-5-0-29	0.9679	0.0747
102857-5-0-3	0.8498	0.0665
102857-5-0-30	0.9256	0.0656
102857-5-0-4	0.8073	0.0727
102857-5-0-5	0.8679	0.0560
102857-5-0-6	0.8709	0.1058
102857-5-0-7	0.8138	0.1134
102857-5-0-8	0.9124	0.1763
102857-5-0-9	0.9689	0.1294
103438-5-0-0	0.6818	0.2419
103438-5-0-1	0.5748	0.0928
103438-5-0-2	0.5569	0.2617
106014-5-0-0	0.7973	0.1951
106014-5-0-1	0.7354	0.1559
106014-5-0-2	0.7302	0.1140
106014-5-0-3	0.6165	0.0461
106014-5-0-4	0.7313	0.0363
115241-9-0-1	0.5491	0.3075
115241-9-0-14	0.4902	0.0891
115241-9-0-2	0.4106	0.0952
115241-9-0-20	0.5957	0.2040
115241-9-0-6	0.4677	0.0379
115241-9-0-8	0.4950	0.1741
115241-9-0-9	0.6414	0.0583
115418-9-0-11	0.6354	0.0095
115418-9-0-12	0.8653	0.1529
115418-9-0-15	0.5984	0.0000
115418-9-0-20	0.5610	0.0368
115418-9-0-29	0.7349	0.1759
115418-9-0-6	0.8240	0.6617
11722-3-0-0	0.9900	0.4583
11722-3-1-0	0.9900	0.4279
117889-9-0-12	0.6482	0.4304
117889-9-0-20	0.4667	0.3140
117889-9-0-30	0.9900	0.5607
117889-9-0-36	0.9900	0.6826
117889-9-0-39	0.3164	0.0741
117889-9-0-40	0.2873	0.1407
118278-4-0-0	0.5840	0.0642
118278-4-0-1	0.6606	0.6108
118278-4-0-10	0.4549	0.3857
118278-4-0-11	0.4947	0.0364
118278-4-0-12	0.5618	0.5925
118278-4-0-13	0.6030	0.0811
118278-4-0-2	0.6334	0.6628
118278-4-0-3	0.6169	0.1008
118278-4-0-4	0.8181	0.1447
118278-4-0-5	0.5154	0.0765
118278-4-0-6	0.5230	0.4665
118278-4-0-7	0.4812	0.4892
118278-4-0-8	0.5905	0.5695
118278-4-0-9	0.5627	0.4819
118558-5-0-0	0.5823	0.2176
118558-5-0-1	0.5163	0.1886
118558-5-0-2	0.5004	0.1568
118558-5-1-0	0.6333	0.1657
118558-5-1-1	0.8501	0.3689
118558-5-1-2	0.8597	0.2822
118558-5-2-0	0.7135	0.1904
