=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5473
Mean Deletion AUC: 0.3208
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.5923	0.5156
2-50668-A-41	0.5426	0.1831
1-39901-A-11	0.4089	0.3562
1-28135-B-11	0.4695	0.4584
1-47273-A-21	0.8920	0.3586
3-142605-A-21	0.7583	0.4539
4-175945-A-38	0.6189	0.5979
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.3306	0.1461
5-215658-A-12	0.4039	0.2507
2-88724-A-38	0.8771	0.3556
4-161579-A-40	0.2877	0.0568
1-64398-B-41	0.6397	0.5701
2-71162-A-1	0.1719	0.1756
4-195497-A-11	0.5781	0.4435
5-200334-B-1	0.7116	0.2503
2-95258-B-1	0.3863	0.2699
3-151081-B-20	0.3289	0.1113
2-188822-A-40	0.4703	0.3233
4-182613-B-11	0.3258	0.1550
3-170015-A-0	0.7591	0.1985
1-211527-B-20	0.6511	0.2843
4-185575-A-20	0.1190	0.0933
3-68630-A-40	0.5693	0.3410
1-17808-A-12	0.6335	0.3905
2-132157-B-11	0.2125	0.2636
4-161127-A-10	0.4589	0.2066
5-195710-A-10	0.6443	0.4606
2-96460-A-1	0.2679	0.3976
3-170377-A-38	0.9672	0.0524
2-77945-B-41	0.4356	0.4132
2-30322-A-12	0.4555	0.5971
4-125929-A-40	0.3731	0.1506
4-169127-A-41	0.1147	0.1232
2-18766-B-12	0.5114	0.4262
4-163264-A-10	0.4820	0.3763
4-185575-C-20	0.3419	0.0783
1-59513-A-0	0.9124	0.2488
3-142005-A-10	0.5952	0.5122
2-122104-A-0	0.9242	0.3824
4-164661-B-12	0.6297	0.3525
3-68630-C-40	0.4280	0.1919
2-102852-A-11	0.3531	0.1160
3-118972-B-41	0.4384	0.2994
5-201274-A-21	0.6077	0.2010
4-167063-B-11	0.4960	0.2255
3-157695-A-0	0.9462	0.5937
2-114280-A-0	0.8850	0.2134
5-200461-A-11	0.4237	0.4928
3-152007-E-20	0.5847	0.4424
1-172649-B-40	0.6114	0.4340
1-54505-A-21	0.3283	0.2854
5-170338-B-41	0.4763	0.3333
2-188822-C-40	0.5332	0.4280
3-118657-B-41	0.4134	0.2677
1-17367-A-10	0.5563	0.5103
4-167642-A-21	0.2576	0.2576
