=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5755
Mean Deletion AUC: 0.3465
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.6389	0.5696
2-50668-A-41	0.5541	0.1805
1-39901-A-11	0.5264	0.3031
1-28135-B-11	0.4850	0.3981
1-47273-A-21	0.8775	0.2842
3-142605-A-21	0.7871	0.4731
4-175945-A-38	0.6754	0.6144
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.4424	0.3366
5-215658-A-12	0.5216	0.3848
2-88724-A-38	0.9233	0.4158
4-161579-A-40	0.2732	0.0769
1-64398-B-41	0.6935	0.5977
2-71162-A-1	0.2079	0.1181
4-195497-A-11	0.6954	0.5599
5-200334-B-1	0.7421	0.1939
2-95258-B-1	0.3551	0.3493
3-151081-B-20	0.3504	0.1080
2-188822-A-40	0.4817	0.3239
4-182613-B-11	0.3430	0.1353
3-170015-A-0	0.7524	0.1634
1-211527-B-20	0.6701	0.3058
4-185575-A-20	0.1278	0.0583
3-68630-A-40	0.5839	0.3648
1-17808-A-12	0.6862	0.4319
2-132157-B-11	0.2288	0.3809
4-161127-A-10	0.5032	0.3241
5-195710-A-10	0.7056	0.4743
2-96460-A-1	0.2751	0.8530
3-170377-A-38	0.9683	0.0382
2-77945-B-41	0.5355	0.5729
2-30322-A-12	0.5978	0.5776
4-125929-A-40	0.3747	0.2072
4-169127-A-41	0.3076	0.0117
2-18766-B-12	0.5682	0.3992
4-163264-A-10	0.5120	0.3382
4-185575-C-20	0.2490	0.1015
1-59513-A-0	0.8998	0.1760
3-142005-A-10	0.6301	0.5197
2-122104-A-0	0.9245	0.3657
4-164661-B-12	0.6234	0.3159
3-68630-C-40	0.4921	0.3679
2-102852-A-11	0.3418	0.2177
3-118972-B-41	0.4368	0.2751
5-201274-A-21	0.6274	0.1800
4-167063-B-11	0.5723	0.2579
3-157695-A-0	0.9656	0.5295
2-114280-A-0	0.8842	0.1792
5-200461-A-11	0.4873	0.5605
3-152007-E-20	0.5069	0.2056
1-172649-B-40	0.6364	0.4428
1-54505-A-21	0.4756	0.7298
