=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5419
Mean Deletion AUC: 0.3288
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.6181	0.5707
2-50668-A-41	0.5359	0.1802
1-39901-A-11	0.4082	0.3620
1-28135-B-11	0.4998	0.4867
1-47273-A-21	0.8958	0.3727
3-142605-A-21	0.7956	0.4689
4-175945-A-38	0.6807	0.6122
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.3408	0.2167
5-215658-A-12	0.4045	0.2581
2-88724-A-38	0.8624	0.4286
4-161579-A-40	0.2748	0.0674
1-64398-B-41	0.5629	0.5840
2-71162-A-1	0.1816	0.1825
4-195497-A-11	0.5024	0.4398
5-200334-B-1	0.7168	0.2386
2-95258-B-1	0.2980	0.3222
3-151081-B-20	0.3259	0.1231
2-188822-A-40	0.4727	0.3444
4-182613-B-11	0.3491	0.1258
3-170015-A-0	0.7783	0.2293
1-211527-B-20	0.6398	0.2850
4-185575-A-20	0.1131	0.0776
3-68630-A-40	0.5718	0.3533
1-17808-A-12	0.6370	0.4013
2-132157-B-11	0.1989	0.3179
4-161127-A-10	0.4581	0.2302
5-195710-A-10	0.6697	0.4621
2-96460-A-1	0.2267	0.5050
3-170377-A-38	0.9662	0.0644
2-77945-B-41	0.4226	0.4084
2-30322-A-12	0.4211	0.5805
4-125929-A-40	0.3545	0.1823
4-169127-A-41	0.1164	0.1228
2-18766-B-12	0.4896	0.4211
4-163264-A-10	0.4692	0.4014
4-185575-C-20	0.2756	0.1050
1-59513-A-0	0.9119	0.2167
3-142005-A-10	0.5921	0.5216
2-122104-A-0	0.9222	0.3750
4-164661-B-12	0.6176	0.3548
3-68630-C-40	0.4169	0.1830
2-102852-A-11	0.3305	0.1111
3-118972-B-41	0.4371	0.2871
5-201274-A-21	0.6135	0.1903
4-167063-B-11	0.5059	0.2225
3-157695-A-0	0.9431	0.5966
2-114280-A-0	0.8583	0.2528
5-200461-A-11	0.3956	0.5158
3-152007-E-20	0.4645	0.3167
1-172649-B-40	0.6080	0.4488
1-54505-A-21	0.3456	0.2525
5-170338-B-41	0.4251	0.3388
2-188822-C-40	0.5252	0.4388
3-118657-B-41	0.4188	0.2941
1-17367-A-10	0.5572	0.5256
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.4407	0.4080
5-194533-A-21	0.8801	0.5565
5-219379-B-11	0.6057	0.4615
5-212181-A-38	0.9357	0.0866
2-37806-D-40	0.6454	0.4305
2-50665-A-20	0.4709	0.2699
2-28314-A-12	0.5630	0.5789
5-205898-A-40	0.4275	0.1680
4-149294-B-41	0.3826	0.2801
3-158476-A-12	0.7489	0.3397
2-140147-A-38	0.9625	0.5419
5-198411-B-20	0.6895	0.4952
2-135728-A-38	0.9337	0.2496
2-72970-A-10	0.6819	0.4050
4-181865-A-38	0.9040	0.0643
5-171653-A-41	0.3226	0.3283
2-107351-B-20	0.5037	0.3264
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.6125	0.5107
4-183992-A-0	0.3455	0.0616
4-164064-B-1	0.3803	0.1624
4-181286-A-10	0.6406	0.5356
1-22694-A-20	0.5382	0.4524
2-61311-A-12	0.5134	0.3680
3-134049-A-1	0.5371	0.2665
2-117271-A-0	0.9211	0.6699
3-166422-A-11	0.4217	0.3439
1-97392-A-0	0.9540	0.7118
3-155642-B-11	0.2214	0.1952
1-43382-A-1	0.5261	0.2019
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.4616	0.2983
3-164630-A-11	0.3191	0.0833
4-199261-A-0	0.9204	0.1052
2-95258-A-1	0.7597	0.2374
1-44831-A-1	0.1221	0.2699
3-180256-A-0	0.6434	0.6919
5-233160-A-1	0.4303	0.0199
5-200334-A-1	0.6656	0.2372
2-100786-A-1	0.2449	0.1890
5-213802-A-12	0.4082	0.3361
4-171207-A-12	0.4304	0.4068
4-164206-A-10	0.6035	0.4286
3-152007-A-20	0.4692	0.2298
1-172649-F-40	0.4172	0.2562
5-209698-A-38	0.8767	0.3727
2-119102-A-21	0.4787	0.3395
4-167077-B-20	0.5288	0.1830
4-184575-A-0	0.8817	0.2347
3-118658-A-41	0.5006	0.4199
4-157611-B-41	0.1455	0.1072
4-204618-A-11	0.4140	0.2019
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.5466	0.2385
3-157149-A-10	0.6199	0.4664
1-63871-A-10	0.5348	0.3985
4-175000-A-40	0.1583	0.0471
1-56311-A-10	0.5857	0.3457
4-170247-A-12	0.5087	0.3756
2-66637-B-20	0.7171	0.0463
5-208810-A-11	0.4049	0.1413
4-181563-A-12	0.4717	0.3859
3-170383-A-38	0.8338	0.4786
1-48413-A-38	0.9192	0.0428
4-171519-A-21	0.3438	0.4965
5-219342-A-38	0.9030	0.1057
1-91359-B-11	0.1056	0.3060
4-166661-A-10	0.3709	0.1805
3-65748-A-12	0.4558	0.4096
5-185579-A-41	0.4382	0.3170
1-46272-A-12	0.5916	0.4677
1-7057-A-12	0.7104	0.4775
1-19898-B-41	0.5467	0.5404
5-198411-F-20	0.6828	0.3891
3-150979-B-40	0.6503	0.5146
5-177957-B-40	0.4976	0.4015
1-17565-A-12	0.7686	0.4261
4-164021-A-1	0.1569	0.1742
3-154926-A-40	0.6449	0.0598
2-155801-A-11	0.5446	0.2578
5-220026-A-21	0.2573	0.2577
5-220027-A-21	0.2580	0.2609
1-47274-A-21	0.2606	0.2096
5-202898-A-10	0.6335	0.5353
4-59579-B-20	0.4690	0.2633
5-191131-A-40	0.5877	0.4595
3-150231-A-21	0.2577	0.2579
4-193480-B-40	0.4617	0.0682
4-175000-C-40	0.1702	0.2547
5-220955-A-40	0.5886	0.1383
3-150363-A-38	0.9466	0.1518
4-164064-C-1	0.2869	0.0776
1-26806-A-1	0.5249	0.1659
1-47250-A-41	0.5514	0.4387
5-202220-A-21	0.8824	0.2855
2-68391-A-41	0.7629	0.4639
2-122104-B-0	0.8451	0.4093
4-208021-A-1	0.4398	0.1935
2-37806-B-40	0.7336	0.5658
2-50667-B-41	0.2294	0.3736
5-198411-D-20	0.3426	0.1800
5-208030-A-0	0.9079	0.2669
4-165823-A-41	0.3591	0.1865
5-9032-A-0	0.9304	0.4751
2-95035-A-1	0.4776	0.1316
1-29680-A-21	0.9005	0.2384
5-222524-A-41	0.5148	0.3642
5-216370-B-41	0.2520	0.2328
5-213855-A-0	0.8523	0.5620
1-60997-B-20	0.6014	0.1752
4-164064-A-1	0.4604	0.2924
1-85362-A-0	0.8703	0.8148
4-179984-A-38	0.1962	0.1150
1-181071-B-40	0.5597	0.5456
5-188655-A-10	0.5896	0.4693
1-116765-A-41	0.4587	0.4599
3-116135-A-1	0.5330	0.3381
4-182395-A-0	0.2576	0.2576
5-187979-A-21	0.3091	0.3509
1-40730-A-1	0.5338	0.1910
2-131943-A-38	0.9527	0.5513
3-152007-C-20	0.4925	0.0616
3-164120-A-11	0.6001	0.3002
1-172649-D-40	0.5394	0.3758
1-62850-A-38	0.8844	0.0505
1-57163-A-38	0.9478	0.7761
4-160999-A-10	0.5722	0.2974
3-144827-A-11	0.2060	0.2507
1-27724-A-1	0.4778	0.1079
1-187207-A-20	0.1394	0.0901
1-39923-A-1	0.6541	0.1064
5-219379-A-11	0.6775	0.3590
3-132852-A-10	0.5505	0.4281
4-207124-A-0	0.8825	0.1397
1-30344-A-0	0.7909	0.6249
5-217158-A-0	0.6723	0.5896
1-211527-C-20	0.5140	0.2553
4-167063-A-11	0.3115	0.3450
3-118656-A-41	0.5606	0.4435
3-118657-A-41	0.6107	0.5027
2-127108-A-38	0.9708	0.0926
1-172649-A-40	0.4666	0.0965
5-170338-A-41	0.3118	0.1576
5-203128-B-0	0.8649	0.6385
1-26222-A-10	0.6124	0.4848
4-164661-A-12	0.3313	0.2294
5-200461-B-11	0.5747	0.2700
3-141684-A-21	0.8282	0.3587
2-73027-A-10	0.6543	0.4503
5-189212-A-12	0.4440	0.3977
2-81731-A-10	0.5726	0.3891
2-125966-A-11	0.2201	0.2867
4-188033-A-38	0.8947	0.1561
3-118972-A-41	0.3684	0.1668
3-142006-A-10	0.5689	0.3308
3-144028-A-0	0.8603	0.7966
1-42139-A-38	0.6979	0.2497
1-22694-B-20	0.1393	0.0889
2-137162-A-11	0.6059	0.4373
1-21934-A-38	0.9260	0.0248
1-21935-A-38	0.9454	0.1409
2-107351-A-20	0.2917	0.2099
1-34119-A-1	0.2574	0.3485
2-109505-A-21	0.2579	0.2605
2-118104-A-21	0.8750	0.2126
4-185415-A-21	0.2698	0.2844
5-193473-B-12	0.7234	0.4665
5-200339-A-1	0.3091	0.3881
2-133863-A-11	0.6117	0.5158
1-50060-A-10	0.5247	0.3979
4-177250-A-10	0.4617	0.2970
5-198411-A-20	0.4240	0.5719
2-28314-B-12	0.4439	0.2075
5-234879-A-1	0.7341	0.1892
5-177957-E-40	0.7355	0.6045
3-144692-A-21	0.4469	0.5936
2-50666-A-20	0.5359	0.4160
4-149294-A-41	0.2001	0.2128
1-62849-A-38	0.9318	0.0499
2-80482-A-20	0.5633	0.5424
3-157615-A-10	0.5045	0.3198
3-187710-A-11	0.4187	0.3460
3-151080-A-20	0.5676	0.5094
3-151081-A-20	0.8276	0.2761
2-118964-A-0	0.2480	0.2483
3-145382-A-1	0.3314	0.1924
2-134700-A-38	0.9353	0.3017
4-156843-A-21	0.2576	0.2576
1-64398-A-41	0.7248	0.5505
5-215658-B-12	0.7421	0.5785
4-198965-A-38	0.8036	0.4654
3-147965-A-12	0.4171	0.1721
4-184434-A-21	0.5998	0.0447
4-195497-B-11	0.5218	0.5637
1-31748-A-21	0.2576	0.2576
4-161579-B-40	0.0839	0.0844
2-65747-A-12	0.6869	0.5082
1-110389-A-0	0.2576	0.2576
2-50668-B-41	0.5465	0.3063
3-120644-A-12	0.4812	0.3488
4-185619-A-21	0.1762	0.2352
1-28135-A-11	0.3701	0.4047
1-39901-B-11	0.6027	0.3586
5-198411-C-20	0.4796	0.3098
1-4211-A-12	0.7030	0.5506
4-191687-A-0	0.8591	0.3980
3-104958-A-12	0.6624	0.2752
2-30322-B-12	0.6750	0.3162
2-77945-A-41	0.2289	0.5265
3-155312-A-0	0.9148	0.4138
3-143933-A-38	0.9413	0.0213
4-170078-A-1	0.2943	0.4114
1-26143-A-21	0.4209	0.3020
5-181766-A-10	0.5485	0.4317
4-169127-B-41	0.4590	0.0759
5-186924-A-12	0.7050	0.3062
2-18766-A-12	0.3568	0.1468
3-136288-A-0	0.4840	0.4578
4-157297-A-21	0.4101	0.7171
3-171012-A-38	0.9785	0.0280
5-212454-A-0	0.9204	0.6483
5-219379-C-11	0.6143	0.5833
2-124662-A-11	0.5080	0.3511
1-100032-A-0	0.9351	0.1021
3-68630-B-40	0.4233	0.2138
5-208624-A-38	0.9236	0.5637
2-132157-A-11	0.7072	0.4437
5-194892-A-10	0.5437	0.4573
1-17808-B-12	0.5239	0.2545
3-163288-A-1	0.6828	0.1123
4-185575-B-20	0.2999	0.1299
2-188822-B-40	0.5312	0.2669
4-182613-A-11	0.4361	0.3163
1-43760-A-11	0.4162	0.4530
3-152007-D-20	0.4492	0.2309
1-29561-A-10	0.5576	0.4547
1-172649-C-40	0.4574	0.3228
5-194930-A-1	0.6601	0.0770
1-211527-A-20	0.5564	0.2950
4-167063-C-11	0.4694	0.3808
1-19898-C-41	0.7021	0.5505
2-118072-A-0	0.2573	0.2573
5-203128-A-0	0.4883	0.0979
5-198411-G-20	0.6030	0.4212
3-157187-A-12	0.2398	0.3624
4-165823-B-41	0.4218	0.1854
2-50667-A-41	0.4647	0.4709
3-142593-A-38	0.9628	0.7656
1-47250-B-41	0.4659	0.2710
4-192236-A-0	0.8526	0.4618
4-156844-A-21	0.6363	0.2403
2-37806-A-40	0.6131	0.3624
3-150979-C-40	0.6072	0.3429
5-177957-C-40	0.5802	0.4732
2-68391-B-41	0.5146	0.5072
5-213077-A-11	0.4525	0.3855
2-117625-A-10	0.6646	0.5023
4-194711-A-38	0.5195	0.3081
4-59579-A-20	0.1771	0.0828
4-193480-A-40	0.3810	0.1752
1-30226-A-0	0.9080	0.5863
3-104632-A-12	0.6007	0.1841
4-191327-A-38	0.8770	0.0462
1-17150-A-12	0.5734	0.2214
3-144827-B-11	0.1082	0.4251
3-142601-A-21	0.7297	0.5126
1-61252-A-11	0.4901	0.5004
3-164688-A-38	0.9150	0.7020
5-189237-A-12	0.7485	0.3028
2-114587-A-0	0.7814	0.3789
4-167077-C-20	0.1416	0.2165
5-234879-B-1	0.3309	0.0509
1-34119-B-1	0.3327	0.5174
1-60997-A-20	0.0843	0.1367
3-163459-A-0	0.3029	0.4386
4-183487-A-1	0.5018	0.0471
1-181071-A-40	0.5194	0.3449
5-198321-A-10	0.4029	0.3909
3-145774-A-12	0.7544	0.5032
2-119748-A-38	0.9579	0.0473
3-156558-A-21	0.2529	0.2539
5-235671-A-38	0.8604	0.0707
5-209833-A-38	0.9360	0.7829
5-216370-A-41	0.4328	0.5124
2-65750-A-1	0.1313	0.0422
4-182369-A-12	0.4641	0.3516
1-35687-A-38	0.9018	0.0352
3-171041-A-38	0.7900	0.5332
4-182368-A-12	0.3489	0.4307
3-143929-A-10	0.3177	0.2744
2-116400-A-0	0.9430	0.7056
4-167077-A-20	0.5846	0.0923
2-82538-A-21	0.2422	0.2481
2-130978-A-21	0.2576	0.2576
2-130979-A-21	0.3335	0.1858
5-210571-A-38	0.9550	0.0261
2-93030-A-21	0.7898	0.2014
4-157611-A-41	0.1154	0.1208
3-118658-B-41	0.4020	0.4001
2-82367-A-10	0.5186	0.4836
1-172649-E-40	0.6328	0.4397
3-152007-B-20	0.3535	0.5127
5-221518-A-21	0.9049	0.2986
3-137152-A-1	0.4336	0.0476
2-188822-D-40	0.1022	0.0975
3-149189-A-1	0.2369	0.4930
1-59324-A-21	0.2577	0.2579
1-81883-A-21	0.3298	0.5220
3-157487-A-10	0.4828	0.3835
5-193339-A-10	0.5862	0.3546
5-201194-A-38	0.9170	0.7842
3-155642-A-11	0.4813	0.3625
3-165856-A-41	0.6144	0.4861
4-164859-A-1	0.5982	0.2995
3-150979-A-40	0.5875	0.3747
2-101676-A-10	0.6253	0.4218
5-177957-A-40	0.4699	0.2861
3-143119-A-21	0.7221	0.5094
2-37806-C-40	0.6416	0.6042
3-154926-B-40	0.5738	0.3738
3-140774-A-10	0.4310	0.3523
3-107219-A-1	0.2576	0.2576
5-185579-B-41	0.4878	0.4130
5-194930-B-1	0.5417	0.2004
5-198411-E-20	0.4108	0.6395
1-19898-A-41	0.6684	0.5374
1-91359-A-11	0.2498	0.1686
2-151079-A-20	0.4820	0.1830
1-54958-A-10	0.5745	0.4857
5-203739-A-10	0.3951	0.3751
2-81270-A-1	0.4419	0.2067
2-141584-A-38	0.9765	0.0233
4-194754-A-0	0.9431	0.2989
2-87781-A-10	0.5575	0.4596
4-181035-A-38	0.3396	0.0200
4-170247-B-12	0.5739	0.3365
1-17742-A-12	0.5124	0.1863
4-175000-B-40	0.1724	0.0678
1-21189-A-10	0.6495	0.4663
1-32318-A-0	0.9026	0.8131
2-66637-A-20	0.5663	0.3849
3-180977-A-0	0.8387	0.4182
5-208810-B-11	0.4918	0.5916
