=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5667
Mean Deletion AUC: 0.3524
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.6735	0.5931
2-50668-A-41	0.5460	0.1778
1-39901-A-11	0.5485	0.2977
1-28135-B-11	0.4972	0.4109
1-47273-A-21	0.8716	0.3028
3-142605-A-21	0.8110	0.4709
4-175945-A-38	0.6982	0.6132
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.4313	0.3569
5-215658-A-12	0.5151	0.3841
2-88724-A-38	0.9248	0.4183
4-161579-A-40	0.2809	0.0709
1-64398-B-41	0.7046	0.5961
2-71162-A-1	0.2000	0.1647
4-195497-A-11	0.6941	0.5637
5-200334-B-1	0.7301	0.2106
2-95258-B-1	0.3285	0.2990
3-151081-B-20	0.3361	0.1273
2-188822-A-40	0.4773	0.3516
4-182613-B-11	0.3296	0.1459
3-170015-A-0	0.7682	0.1736
1-211527-B-20	0.6575	0.2773
4-185575-A-20	0.0949	0.0922
3-68630-A-40	0.5736	0.3767
1-17808-A-12	0.6796	0.4280
2-132157-B-11	0.2132	0.4513
4-161127-A-10	0.5012	0.3163
5-195710-A-10	0.6998	0.4842
2-96460-A-1	0.3211	0.7880
3-170377-A-38	0.9658	0.0503
2-77945-B-41	0.5532	0.5875
2-30322-A-12	0.5776	0.5876
4-125929-A-40	0.3748	0.2070
4-169127-A-41	0.2979	0.0118
2-18766-B-12	0.5375	0.3924
4-163264-A-10	0.5018	0.3499
4-185575-C-20	0.2333	0.1154
1-59513-A-0	0.8307	0.1281
3-142005-A-10	0.6232	0.5271
2-122104-A-0	0.8621	0.3303
4-164661-B-12	0.6206	0.3113
3-68630-C-40	0.5021	0.4144
2-102852-A-11	0.3427	0.1634
3-118972-B-41	0.4221	0.3138
5-201274-A-21	0.6303	0.1797
4-167063-B-11	0.5883	0.2813
3-157695-A-0	0.9448	0.5130
2-114280-A-0	0.8357	0.1689
5-200461-A-11	0.5108	0.5652
3-152007-E-20	0.4393	0.3255
1-172649-B-40	0.6303	0.4489
1-54505-A-21	0.4552	0.6766
5-170338-B-41	0.5289	0.4020
2-188822-C-40	0.6452	0.5224
3-118657-B-41	0.5079	0.4179
1-17367-A-10	0.5723	0.5571
