=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5471
Mean Deletion AUC: 0.3208
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.5839	0.5007
2-50668-A-41	0.5434	0.1834
1-39901-A-11	0.4110	0.3563
1-28135-B-11	0.4743	0.4577
1-47273-A-21	0.8919	0.3596
3-142605-A-21	0.7306	0.4400
4-175945-A-38	0.6156	0.6016
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.3348	0.1542
5-215658-A-12	0.4336	0.2750
2-88724-A-38	0.8803	0.3595
4-161579-A-40	0.2856	0.0574
1-64398-B-41	0.6460	0.5724
2-71162-A-1	0.1719	0.1769
4-195497-A-11	0.5787	0.4412
5-200334-B-1	0.7124	0.2474
2-95258-B-1	0.3803	0.2671
3-151081-B-20	0.3289	0.1096
2-188822-A-40	0.4730	0.3224
4-182613-B-11	0.3197	0.1454
3-170015-A-0	0.7481	0.1911
1-211527-B-20	0.6548	0.2853
4-185575-A-20	0.1217	0.0883
3-68630-A-40	0.5664	0.3430
1-17808-A-12	0.6376	0.3956
2-132157-B-11	0.2127	0.2628
4-161127-A-10	0.4628	0.2153
5-195710-A-10	0.6482	0.4648
2-96460-A-1	0.2744	0.3993
3-170377-A-38	0.9669	0.0535
2-77945-B-41	0.4345	0.4144
2-30322-A-12	0.4619	0.5987
4-125929-A-40	0.3759	0.1529
4-169127-A-41	0.1150	0.1241
2-18766-B-12	0.5152	0.4278
4-163264-A-10	0.4880	0.3914
4-185575-C-20	0.3418	0.0742
1-59513-A-0	0.9117	0.2441
3-142005-A-10	0.5966	0.5125
2-122104-A-0	0.9239	0.3751
4-164661-B-12	0.6396	0.3593
3-68630-C-40	0.4312	0.1926
2-102852-A-11	0.3519	0.1134
3-118972-B-41	0.4387	0.2980
5-201274-A-21	0.5874	0.2003
4-167063-B-11	0.4950	0.2257
3-157695-A-0	0.9457	0.5913
2-114280-A-0	0.8830	0.2110
5-200461-A-11	0.4219	0.4899
3-152007-E-20	0.5932	0.4437
1-172649-B-40	0.6122	0.4323
1-54505-A-21	0.3305	0.2757
5-170338-B-41	0.4802	0.3322
2-188822-C-40	0.5300	0.4283
3-118657-B-41	0.4164	0.2688
1-17367-A-10	0.5597	0.5163
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.4689	0.3676
5-194533-A-21	0.8790	0.5501
5-219379-B-11	0.5687	0.4147
5-212181-A-38	0.9513	0.0556
2-37806-D-40	0.6407	0.4056
2-50665-A-20	0.4960	0.2573
2-28314-A-12	0.5398	0.5626
5-205898-A-40	0.4258	0.1799
4-149294-B-41	0.4102	0.2637
3-158476-A-12	0.7573	0.3592
2-140147-A-38	0.9554	0.3986
5-198411-B-20	0.6596	0.5830
2-135728-A-38	0.9269	0.2671
2-72970-A-10	0.6711	0.3865
4-181865-A-38	0.8574	0.1007
5-171653-A-41	0.3388	0.3233
2-107351-B-20	0.5284	0.2830
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.6230	0.5028
4-183992-A-0	0.3575	0.0591
4-164064-B-1	0.2816	0.1766
4-181286-A-10	0.6359	0.5320
1-22694-A-20	0.5000	0.4285
2-61311-A-12	0.4922	0.3208
3-134049-A-1	0.5663	0.2957
2-117271-A-0	0.9310	0.6194
3-166422-A-11	0.4204	0.3251
1-97392-A-0	0.9607	0.7246
3-155642-B-11	0.2245	0.1884
1-43382-A-1	0.5134	0.2028
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.4375	0.2911
3-164630-A-11	0.3156	0.0818
4-199261-A-0	0.9237	0.1028
2-95258-A-1	0.7528	0.2167
1-44831-A-1	0.1447	0.2813
3-180256-A-0	0.6897	0.6517
5-233160-A-1	0.4645	0.0222
5-200334-A-1	0.6706	0.2289
2-100786-A-1	0.2916	0.1940
5-213802-A-12	0.4545	0.3562
4-171207-A-12	0.4386	0.4057
4-164206-A-10	0.6055	0.4538
3-152007-A-20	0.4895	0.2299
1-172649-F-40	0.4347	0.2638
5-209698-A-38	0.8744	0.3746
2-119102-A-21	0.4743	0.3770
4-167077-B-20	0.5341	0.1710
4-184575-A-0	0.8860	0.2559
3-118658-A-41	0.4988	0.4278
4-157611-B-41	0.1530	0.1473
4-204618-A-11	0.4119	0.2022
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.5433	0.2350
3-157149-A-10	0.6314	0.4727
1-63871-A-10	0.5582	0.4057
4-175000-A-40	0.1480	0.0394
1-56311-A-10	0.5590	0.3270
4-170247-A-12	0.4310	0.2806
2-66637-B-20	0.7219	0.0284
5-208810-A-11	0.4367	0.2180
4-181563-A-12	0.4886	0.4053
3-170383-A-38	0.7862	0.4576
1-48413-A-38	0.9176	0.0532
4-171519-A-21	0.4870	0.4194
5-219342-A-38	0.9026	0.1181
1-91359-B-11	0.1046	0.3320
4-166661-A-10	0.3899	0.1748
3-65748-A-12	0.4666	0.4424
5-185579-A-41	0.4328	0.3329
1-46272-A-12	0.5903	0.4703
1-7057-A-12	0.7123	0.4871
1-19898-B-41	0.5572	0.5153
5-198411-F-20	0.6717	0.3609
3-150979-B-40	0.6506	0.5206
5-177957-B-40	0.4991	0.4564
1-17565-A-12	0.7960	0.4269
4-164021-A-1	0.1759	0.1638
3-154926-A-40	0.6462	0.0628
2-155801-A-11	0.5698	0.2454
5-220026-A-21	0.2573	0.2577
5-220027-A-21	0.2580	0.2609
1-47274-A-21	0.3375	0.2462
5-202898-A-10	0.5989	0.5049
4-59579-B-20	0.4772	0.2229
5-191131-A-40	0.6672	0.4928
3-150231-A-21	0.2577	0.2579
4-193480-B-40	0.4691	0.0644
4-175000-C-40	0.1477	0.1852
5-220955-A-40	0.5922	0.1569
3-150363-A-38	0.9420	0.1568
4-164064-C-1	0.2943	0.0768
1-26806-A-1	0.5423	0.1547
1-47250-A-41	0.5609	0.4592
5-202220-A-21	0.8854	0.2662
2-68391-A-41	0.7669	0.4656
2-122104-B-0	0.8951	0.3855
4-208021-A-1	0.4669	0.1779
2-37806-B-40	0.7137	0.5703
2-50667-B-41	0.2324	0.2918
5-198411-D-20	0.3679	0.2006
5-208030-A-0	0.9076	0.3020
4-165823-A-41	0.3446	0.1842
5-9032-A-0	0.9287	0.4595
2-95035-A-1	0.4984	0.1507
1-29680-A-21	0.9015	0.2534
5-222524-A-41	0.5173	0.3693
5-216370-B-41	0.2412	0.2355
5-213855-A-0	0.8660	0.5870
1-60997-B-20	0.6078	0.1680
4-164064-A-1	0.2496	0.2507
1-85362-A-0	0.8790	0.7984
4-179984-A-38	0.2199	0.0996
1-181071-B-40	0.5881	0.4954
5-188655-A-10	0.5791	0.4597
1-116765-A-41	0.4616	0.4756
3-116135-A-1	0.5749	0.2833
4-182395-A-0	0.2576	0.2576
5-187979-A-21	0.3427	0.3517
1-40730-A-1	0.5471	0.1782
2-131943-A-38	0.9494	0.5557
3-152007-C-20	0.4923	0.0620
3-164120-A-11	0.6026	0.3080
1-172649-D-40	0.5492	0.4009
1-62850-A-38	0.8877	0.0534
1-57163-A-38	0.9411	0.7686
4-160999-A-10	0.5661	0.3019
3-144827-A-11	0.2070	0.2712
1-27724-A-1	0.4974	0.1099
1-187207-A-20	0.1648	0.0944
1-39923-A-1	0.7203	0.0976
5-219379-A-11	0.6763	0.3479
3-132852-A-10	0.5561	0.3829
4-207124-A-0	0.8681	0.1045
1-30344-A-0	0.8114	0.5415
5-217158-A-0	0.6681	0.5462
1-211527-C-20	0.5192	0.2619
4-167063-A-11	0.3150	0.3376
3-118656-A-41	0.5711	0.4528
3-118657-A-41	0.6112	0.5005
2-127108-A-38	0.9735	0.0849
1-172649-A-40	0.4721	0.2490
5-170338-A-41	0.3291	0.1649
5-203128-B-0	0.8706	0.6403
1-26222-A-10	0.6291	0.4742
4-164661-A-12	0.4227	0.2581
5-200461-B-11	0.5677	0.2486
3-141684-A-21	0.8297	0.3542
2-73027-A-10	0.6493	0.4494
5-189212-A-12	0.5084	0.4020
2-81731-A-10	0.5675	0.3732
2-125966-A-11	0.2133	0.3113
4-188033-A-38	0.8978	0.1482
3-118972-A-41	0.3839	0.1642
3-142006-A-10	0.5731	0.3041
3-144028-A-0	0.8850	0.8047
1-42139-A-38	0.6344	0.2206
1-22694-B-20	0.1369	0.0713
2-137162-A-11	0.6015	0.4248
1-21934-A-38	0.9084	0.0332
1-21935-A-38	0.9420	0.1110
2-107351-A-20	0.3118	0.2011
1-34119-A-1	0.2579	0.3457
2-109505-A-21	0.2579	0.2605
2-118104-A-21	0.8767	0.2034
4-185415-A-21	0.2709	0.2845
5-193473-B-12	0.7485	0.4647
5-200339-A-1	0.3128	0.3687
2-133863-A-11	0.5845	0.4767
1-50060-A-10	0.5131	0.3679
4-177250-A-10	0.4807	0.2926
5-198411-A-20	0.4601	0.5651
2-28314-B-12	0.4568	0.2268
5-234879-A-1	0.7380	0.1996
5-177957-E-40	0.6925	0.5945
3-144692-A-21	0.5864	0.5685
2-50666-A-20	0.5200	0.4332
4-149294-A-41	0.1991	0.2324
1-62849-A-38	0.9312	0.0510
2-80482-A-20	0.5725	0.5294
3-157615-A-10	0.5095	0.2770
3-187710-A-11	0.4306	0.3243
3-151080-A-20	0.6078	0.5004
3-151081-A-20	0.8271	0.2836
2-118964-A-0	0.2584	0.2582
3-145382-A-1	0.3511	0.1723
2-134700-A-38	0.9243	0.2246
4-156843-A-21	0.2576	0.2576
1-64398-A-41	0.7203	0.5557
5-215658-B-12	0.7500	0.5780
4-198965-A-38	0.8035	0.4606
3-147965-A-12	0.4255	0.1769
4-184434-A-21	0.5948	0.0437
4-195497-B-11	0.5286	0.5788
1-31748-A-21	0.2576	0.2576
4-161579-B-40	0.0851	0.0870
2-65747-A-12	0.6867	0.4959
1-110389-A-0	0.2576	0.2576
2-50668-B-41	0.5190	0.3157
3-120644-A-12	0.5072	0.3763
4-185619-A-21	0.1893	0.2735
1-28135-A-11	0.3908	0.4353
1-39901-B-11	0.6096	0.3267
5-198411-C-20	0.4778	0.2948
1-4211-A-12	0.6267	0.4227
4-191687-A-0	0.8859	0.3426
3-104958-A-12	0.6666	0.2683
2-30322-B-12	0.6683	0.3047
2-77945-A-41	0.2304	0.4998
3-155312-A-0	0.9213	0.3200
3-143933-A-38	0.9342	0.0239
4-170078-A-1	0.2437	0.3593
1-26143-A-21	0.4302	0.2995
5-181766-A-10	0.5536	0.3850
4-169127-B-41	0.4639	0.0763
5-186924-A-12	0.6492	0.3727
2-18766-A-12	0.3672	0.1383
3-136288-A-0	0.4989	0.4043
4-157297-A-21	0.1992	0.7071
3-171012-A-38	0.9798	0.0283
5-212454-A-0	0.9144	0.6631
5-219379-C-11	0.6280	0.5871
2-124662-A-11	0.5169	0.3479
1-100032-A-0	0.9385	0.1009
3-68630-B-40	0.4492	0.2998
5-208624-A-38	0.9161	0.4731
2-132157-A-11	0.6918	0.4445
5-194892-A-10	0.5587	0.4774
1-17808-B-12	0.5898	0.3214
3-163288-A-1	0.6856	0.0899
4-185575-B-20	0.2786	0.1501
2-188822-B-40	0.5397	0.3080
4-182613-A-11	0.4428	0.3224
1-43760-A-11	0.4024	0.3608
3-152007-D-20	0.4449	0.2240
1-29561-A-10	0.5497	0.4015
1-172649-C-40	0.5088	0.3776
5-194930-A-1	0.6611	0.0799
1-211527-A-20	0.6120	0.3146
4-167063-C-11	0.4704	0.3859
1-19898-C-41	0.7105	0.5478
2-118072-A-0	0.2574	0.2575
5-203128-A-0	0.5299	0.1072
5-198411-G-20	0.6513	0.4166
3-157187-A-12	0.1424	0.2912
4-165823-B-41	0.4274	0.1848
2-50667-A-41	0.4816	0.4963
3-142593-A-38	0.9651	0.7646
1-47250-B-41	0.4530	0.2687
4-192236-A-0	0.8625	0.4282
4-156844-A-21	0.6219	0.2568
2-37806-A-40	0.6120	0.3612
3-150979-C-40	0.5959	0.3102
5-177957-C-40	0.5681	0.4546
2-68391-B-41	0.5314	0.5145
5-213077-A-11	0.4461	0.3557
2-117625-A-10	0.6564	0.4883
4-194711-A-38	0.4549	0.3538
4-59579-A-20	0.1924	0.0879
4-193480-A-40	0.3906	0.1811
1-30226-A-0	0.9116	0.5516
3-104632-A-12	0.6098	0.1967
4-191327-A-38	0.8801	0.0503
1-17150-A-12	0.5760	0.2286
3-144827-B-11	0.1078	0.2671
3-142601-A-21	0.7121	0.4987
1-61252-A-11	0.4413	0.4191
3-164688-A-38	0.8929	0.6043
5-189237-A-12	0.7517	0.3111
2-114587-A-0	0.7320	0.2783
4-167077-C-20	0.1386	0.2751
5-234879-B-1	0.3794	0.0482
1-34119-B-1	0.5003	0.2269
1-60997-A-20	0.0929	0.1265
3-163459-A-0	0.3082	0.4262
4-183487-A-1	0.5048	0.0494
1-181071-A-40	0.5559	0.3368
5-198321-A-10	0.4282	0.3817
3-145774-A-12	0.7674	0.5091
2-119748-A-38	0.9540	0.0532
3-156558-A-21	0.3044	0.3112
5-235671-A-38	0.8093	0.0707
5-209833-A-38	0.9354	0.7734
5-216370-A-41	0.4388	0.5073
2-65750-A-1	0.1159	0.0698
4-182369-A-12	0.4655	0.3576
1-35687-A-38	0.8662	0.0412
3-171041-A-38	0.7880	0.5133
4-182368-A-12	0.3843	0.4115
3-143929-A-10	0.2921	0.2532
2-116400-A-0	0.9439	0.7163
4-167077-A-20	0.6091	0.0899
2-82538-A-21	0.2962	0.2980
2-130978-A-21	0.2576	0.2576
2-130979-A-21	0.6753	0.1171
5-210571-A-38	0.9591	0.0273
2-93030-A-21	0.7754	0.2230
4-157611-A-41	0.1130	0.1019
3-118658-B-41	0.4159	0.3608
2-82367-A-10	0.5294	0.4847
1-172649-E-40	0.6358	0.4808
3-152007-B-20	0.4032	0.5494
5-221518-A-21	0.9089	0.3175
3-137152-A-1	0.3828	0.0390
2-188822-D-40	0.1004	0.0946
3-149189-A-1	0.2321	0.3352
1-59324-A-21	0.2577	0.2579
1-81883-A-21	0.2681	0.4655
3-157487-A-10	0.4959	0.3781
5-193339-A-10	0.5818	0.3356
5-201194-A-38	0.9202	0.7882
3-155642-A-11	0.5048	0.3531
3-165856-A-41	0.6060	0.4642
4-164859-A-1	0.6023	0.2916
3-150979-A-40	0.5967	0.3866
2-101676-A-10	0.6068	0.3880
5-177957-A-40	0.4600	0.3061
3-143119-A-21	0.8103	0.4859
2-37806-C-40	0.6309	0.5987
3-154926-B-40	0.5855	0.3574
3-140774-A-10	0.4420	0.3611
3-107219-A-1	0.2576	0.2576
5-185579-B-41	0.4915	0.4376
5-194930-B-1	0.5454	0.2032
5-198411-E-20	0.4006	0.5676
1-19898-A-41	0.6710	0.5518
1-91359-A-11	0.2876	0.1804
2-151079-A-20	0.5469	0.2284
1-54958-A-10	0.5833	0.4720
5-203739-A-10	0.4056	0.2664
2-81270-A-1	0.4414	0.1145
2-141584-A-38	0.9763	0.0240
4-194754-A-0	0.9451	0.3090
2-87781-A-10	0.4917	0.3926
4-181035-A-38	0.3533	0.0165
4-170247-B-12	0.5644	0.3319
1-17742-A-12	0.5189	0.1700
4-175000-B-40	0.1814	0.0913
1-21189-A-10	0.6161	0.4139
1-32318-A-0	0.9006	0.7932
2-66637-A-20	0.5794	0.3925
3-180977-A-0	0.8574	0.3589
5-208810-B-11	0.4793	0.5779
