=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5848
Mean Deletion AUC: 0.3462
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.6413	0.5368
2-50668-A-41	0.5650	0.1803
1-39901-A-11	0.5330	0.3031
1-28135-B-11	0.4967	0.3953
1-47273-A-21	0.8874	0.2863
3-142605-A-21	0.7705	0.4568
4-175945-A-38	0.6842	0.6097
5-221593-A-21	0.2675	0.2570
2-73260-A-10	0.4553	0.3391
5-215658-A-12	0.5814	0.3620
2-88724-A-38	0.9338	0.4194
4-161579-A-40	0.2577	0.0864
1-64398-B-41	0.7025	0.5983
2-71162-A-1	0.2174	0.1120
4-195497-A-11	0.7051	0.5595
5-200334-B-1	0.7535	0.1886
2-95258-B-1	0.3625	0.3711
3-151081-B-20	0.3625	0.1041
2-188822-A-40	0.4910	0.3285
4-182613-B-11	0.3526	0.1323
3-170015-A-0	0.7541	0.1589
1-211527-B-20	0.6791	0.3050
4-185575-A-20	0.1422	0.0567
3-68630-A-40	0.5849	0.3668
1-17808-A-12	0.6942	0.4355
2-132157-B-11	0.2394	0.3814
4-161127-A-10	0.5153	0.3244
5-195710-A-10	0.7171	0.4739
2-96460-A-1	0.2842	0.8527
3-170377-A-38	0.9780	0.0376
2-77945-B-41	0.5467	0.5717
2-30322-A-12	0.6114	0.5762
4-125929-A-40	0.3897	0.2036
4-169127-A-41	0.3182	0.0111
2-18766-B-12	0.5758	0.3988
4-163264-A-10	0.5255	0.3442
4-185575-C-20	0.2555	0.0983
1-59513-A-0	0.9088	0.1824
3-142005-A-10	0.6415	0.5192
2-122104-A-0	0.9334	0.3655
4-164661-B-12	0.6460	0.3343
3-68630-C-40	0.5106	0.3840
2-102852-A-11	0.3520	0.2161
3-118972-B-41	0.4462	0.2735
5-201274-A-21	0.6148	0.1772
4-167063-B-11	0.5799	0.2569
3-157695-A-0	0.9760	0.5306
2-114280-A-0	0.8948	0.1789
5-200461-A-11	0.4980	0.5601
3-152007-E-20	0.5148	0.2084
1-172649-B-40	0.6475	0.4428
1-54505-A-21	0.4643	0.7223
5-170338-B-41	0.5591	0.3663
2-188822-C-40	0.6631	0.5296
3-118657-B-41	0.5161	0.4247
1-17367-A-10	0.5745	0.5246
4-167642-A-21	0.2676	0.2569
5-151085-A-20	0.6384	0.4153
5-194533-A-21	0.8876	0.3944
5-219379-B-11	0.6679	0.4961
5-212181-A-38	0.9640	0.0605
2-37806-D-40	0.6759	0.4379
2-50665-A-20	0.5160	0.2680
2-28314-A-12	0.6055	0.5900
5-205898-A-40	0.4429	0.1646
4-149294-B-41	0.3945	0.3134
3-158476-A-12	0.8023	0.3837
2-140147-A-38	0.9690	0.5973
5-198411-B-20	0.7241	0.4079
2-135728-A-38	0.9343	0.2686
2-72970-A-10	0.7022	0.3934
4-181865-A-38	0.8991	0.0610
5-171653-A-41	0.4964	0.3299
2-107351-B-20	0.5775	0.2690
2-128631-A-21	0.2676	0.2569
5-193473-A-12	0.7026	0.5209
4-183992-A-0	0.3700	0.0608
4-164064-B-1	0.4502	0.3770
4-181286-A-10	0.6776	0.5590
1-22694-A-20	0.5763	0.5800
2-61311-A-12	0.5287	0.4190
3-134049-A-1	0.5619	0.1783
2-117271-A-0	0.9349	0.6617
3-166422-A-11	0.4286	0.2478
1-97392-A-0	0.9717	0.7265
3-155642-B-11	0.2867	0.1526
