=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.5121
Mean Deletion AUC: 0.1987
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
1-104089-A-22	0.6969	0.3630
3-246513-B-16	0.5570	0.2906
1-96950-B-9	0.5667	0.2293
2-105270-A-47	0.3811	0.1693
4-90014-B-42	0.3572	0.1525
1-47273-A-21	0.7485	0.1391
1-39901-A-11	0.4462	0.1495
1-19840-A-36	0.5220	0.2828
1-28135-B-11	0.4152	0.2062
2-134915-A-30	0.2201	0.0473
2-60180-A-49	0.6588	0.4061
5-180156-B-43	0.4986	0.2329
5-233019-A-31	0.7834	0.1512
5-223317-A-31	0.7357	0.3042
4-161105-B-47	0.4294	0.2473
3-160993-A-3	0.4492	0.0414
3-135650-B-45	0.5161	0.1200
2-66205-A-23	0.2198	0.1210
1-47819-A-5	0.1552	0.0097
1-54747-A-46	0.3663	0.2519
2-152964-A-31	0.2198	0.1210
3-139958-A-37	0.5940	0.4739
1-101336-A-30	0.6585	0.3576
1-11687-A-47	0.3555	0.0755
3-156581-B-14	0.5735	0.3347
1-12653-A-15	0.7641	0.4599
4-204777-A-39	0.6355	0.2415
5-160614-B-48	0.5471	0.2603
4-234644-A-2	0.2959	0.0581
4-201988-A-44	0.1637	0.0309
2-103424-A-3	0.2198	0.1210
1-28005-A-18	0.5298	0.2953
2-82455-A-23	0.4559	0.1968
5-234855-A-25	0.4870	0.0859
2-50668-A-41	0.4736	0.0738
3-163607-A-13	0.4021	0.1653
5-233312-A-28	0.2938	0.2136
1-115545-A-48	0.3936	0.0765
3-144510-A-30	0.2201	0.1234
4-102844-C-49	0.6453	0.3066
5-192191-A-19	0.4034	0.3349
4-198962-A-25	0.5312	0.3543
5-177957-D-40	0.5386	0.2932
5-259180-A-15	0.2210	0.1515
2-102581-B-29	0.2198	0.1210
1-21896-A-35	0.4626	0.2487
5-260164-A-23	0.5602	0.2081
2-52001-A-28	0.4013	0.0000
2-42101-A-43	0.1455	0.1194
3-251617-A-48	0.6244	0.2412
3-142605-A-21	0.6488	0.2441
2-95567-A-23	0.6834	0.3314
2-32515-A-4	0.6925	0.4708
3-155584-A-14	0.6596	0.2223
5-214759-B-5	0.7889	0.2353
1-22804-A-46	0.6660	0.3309
4-175945-A-38	0.5752	0.3382
3-96606-A-49	0.5661	0.1765
5-221593-A-21	0.2198	0.1211
3-110913-D-7	0.7720	0.3347
4-161303-B-5	0.2198	0.1210
2-73260-A-10	0.3800	0.1716
2-104105-B-19	0.6507	0.4372
5-249748-A-28	0.5102	0.0697
2-117615-E-48	0.4849	0.1447
4-108352-A-33	0.2457	0.0001
1-46353-A-49	0.6856	0.3783
2-139749-A-15	0.8155	0.0527
5-215658-A-12	0.4876	0.1857
2-128465-A-43	0.6484	0.3592
5-179860-A-43	0.2198	0.1210
1-58846-A-34	0.8238	0.1836
1-17970-A-4	0.6381	0.3938
1-15689-A-4	0.7527	0.0877
2-139748-A-15	0.7962	0.2964
2-88724-A-38	0.7881	0.2211
1-64398-B-41	0.5909	0.3312
2-124564-A-15	0.6822	0.2284
4-161579-A-40	0.2113	0.0160
4-125072-A-19	0.4663	0.4272
2-71162-A-1	0.1769	0.0318
2-98392-A-23	0.4817	0.0348
1-45641-A-27	0.6498	0.3540
4-163606-A-16	0.3194	0.1803
3-159348-A-36	0.4819	0.1880
4-187284-A-30	0.5312	0.0172
5-253094-A-49	0.6446	0.3829
4-186518-A-30	0.0804	0.0281
4-195497-A-11	0.5930	0.3073
4-135439-A-18	0.5427	0.2851
3-108451-A-17	0.6248	0.4406
5-200334-B-1	0.6343	0.0790
1-36397-A-23	0.1688	0.0433
5-252248-A-34	0.2198	0.1210
5-156698-A-18	0.3625	0.1594
1-30709-B-23	0.6234	0.2741
4-218199-C-35	0.3635	0.0985
5-263831-A-6	0.2503	0.0000
1-260640-A-2	0.6599	0.1759
2-52085-A-4	0.6176	0.2335
2-135860-A-49	0.7026	0.2702
4-184237-A-28	0.6875	0.3081
5-198373-A-46	0.6207	0.2976
1-51170-A-18	0.4571	0.0427
3-155766-A-13	0.6218	0.2609
2-95258-B-1	0.3007	0.1913
3-103051-B-19	0.6312	0.1510
5-202540-A-18	0.3771	0.3671
4-154793-A-4	0.5463	0.3259
5-218494-A-22	0.4179	0.1093
5-157204-A-16	0.5698	0.2575
2-106881-A-39	0.6678	0.1595
3-151081-B-20	0.3008	0.0269
5-260011-A-34	0.2198	0.1210
5-235644-A-30	0.1707	0.0456
3-129678-A-13	0.6443	0.3127
1-36402-A-23	0.2198	0.1210
1-53444-A-28	0.6196	0.0941
5-219242-A-37	0.7561	0.4905
3-98869-A-46	0.6211	0.4002
1-260640-C-2	0.4205	0.1073
2-188822-A-40	0.4104	0.1651
2-78651-A-44	0.5847	0.2755
4-182613-B-11	0.2923	0.0443
3-115387-A-47	0.6796	0.3758
1-51805-C-33	0.5849	0.0198
2-59566-A-46	0.6522	0.3930
4-244318-A-6	0.5714	0.1524
3-146033-A-13	0.5658	0.2287
