=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.6003
Mean Deletion AUC: 0.3228
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
1-104089-A-22	0.8169	0.5897
3-246513-B-16	0.6529	0.4721
1-96950-B-9	0.6642	0.3725
2-105270-A-47	0.4467	0.2751
4-90014-B-42	0.4187	0.2478
1-47273-A-21	0.8774	0.2260
1-39901-A-11	0.5230	0.2428
1-19840-A-36	0.6119	0.4594
1-28135-B-11	0.4867	0.3350
2-134915-A-30	0.2580	0.0769
2-60180-A-49	0.7722	0.6597
5-180156-B-43	0.5844	0.3784
5-233019-A-31	0.9182	0.2456
5-223317-A-31	0.8623	0.4942
4-161105-B-47	0.5033	0.4017
3-160993-A-3	0.5265	0.0672
3-135650-B-45	0.6050	0.1950
2-66205-A-23	0.2576	0.1966
1-47819-A-5	0.1819	0.0158
1-54747-A-46	0.4293	0.4092
2-152964-A-31	0.2576	0.1966
3-139958-A-37	0.6962	0.7698
1-101336-A-30	0.7718	0.5809
1-11687-A-47	0.4167	0.1227
3-156581-B-14	0.6722	0.5438
1-12653-A-15	0.8956	0.7471
4-204777-A-39	0.7449	0.3923
5-160614-B-48	0.6413	0.4229
4-234644-A-2	0.3468	0.0944
4-201988-A-44	0.1919	0.0502
2-103424-A-3	0.2576	0.1966
1-28005-A-18	0.6210	0.4798
2-82455-A-23	0.5344	0.3197
5-234855-A-25	0.5708	0.1396
2-50668-A-41	0.5551	0.1199
3-163607-A-13	0.4713	0.2685
5-233312-A-28	0.3444	0.3470
1-115545-A-48	0.4613	0.1243
3-144510-A-30	0.2580	0.2005
4-102844-C-49	0.7564	0.4981
5-192191-A-19	0.4729	0.5440
4-198962-A-25	0.6226	0.5756
5-177957-D-40	0.6313	0.4764
5-259180-A-15	0.2590	0.2462
2-102581-B-29	0.2576	0.1966
1-21896-A-35	0.5422	0.4041
5-260164-A-23	0.6566	0.3381
2-52001-A-28	0.4704	0.0000
2-42101-A-43	0.1705	0.1939
3-251617-A-48	0.7319	0.3919
3-142605-A-21	0.7605	0.3966
2-95567-A-23	0.8011	0.5384
2-32515-A-4	0.8117	0.7649
3-155584-A-14	0.7731	0.3612
5-214759-B-5	0.9247	0.3822
1-22804-A-46	0.7807	0.5375
4-175945-A-38	0.6742	0.5494
3-96606-A-49	0.6635	0.2868
5-221593-A-21	0.2576	0.1967
3-110913-D-7	0.9049	0.5437
4-161303-B-5	0.2576	0.1966
2-73260-A-10	0.4454	0.2787
2-104105-B-19	0.7627	0.7103
5-249748-A-28	0.5980	0.1132
2-117615-E-48	0.5684	0.2351
4-108352-A-33	0.2880	0.0001
1-46353-A-49	0.8036	0.6145
2-139749-A-15	0.9559	0.0856
5-215658-A-12	0.5715	0.3016
2-128465-A-43	0.7600	0.5835
5-179860-A-43	0.2576	0.1966
1-58846-A-34	0.9656	0.2983
1-17970-A-4	0.7479	0.6398
1-15689-A-4	0.8823	0.1425
2-139748-A-15	0.9333	0.4816
2-88724-A-38	0.9238	0.3592
1-64398-B-41	0.6926	0.5381
2-124564-A-15	0.7996	0.3711
4-161579-A-40	0.2477	0.0260
4-125072-A-19	0.5466	0.6940
2-71162-A-1	0.2074	0.0516
2-98392-A-23	0.5646	0.0566
1-45641-A-27	0.7617	0.5751
