=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.8468
Mean Deletion AUC: 0.5481
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.7322	0.4391
100648-1-1-0	0.7286	0.4540
100648-1-2-0	0.7415	0.4360
100648-1-3-0	0.7912	0.4553
100648-1-4-0	0.8817	0.5820
100795-3-0-0	0.9485	0.5788
100795-3-1-0	0.9900	0.5440
100795-3-1-1	0.8737	0.4347
100795-3-1-2	0.9252	0.5043
101382-2-0-10	0.7228	0.4388
101382-2-0-12	0.8827	0.6005
101382-2-0-20	0.9319	0.7327
101382-2-0-21	0.8714	0.4477
101382-2-0-29	0.7890	0.4751
101382-2-0-33	0.7446	0.4363
101382-2-0-42	0.9296	0.4894
101382-2-0-45	0.7610	0.5371
102103-3-0-0	0.9132	0.6224
102103-3-1-0	0.8538	0.6246
102857-5-0-0	0.9643	0.6459
102857-5-0-1	0.9202	0.6461
102857-5-0-10	0.9078	0.6139
102857-5-0-11	0.8992	0.6190
102857-5-0-12	0.9366	0.6202
102857-5-0-13	0.9148	0.6106
102857-5-0-14	0.9572	0.5933
102857-5-0-15	0.9247	0.7024
102857-5-0-16	0.9701	0.6205
102857-5-0-17	0.9243	0.6400
102857-5-0-18	0.9088	0.6745
102857-5-0-19	0.9112	0.6187
102857-5-0-2	0.9477	0.5940
102857-5-0-20	0.9206	0.6480
102857-5-0-21	0.9129	0.6007
102857-5-0-22	0.9250	0.6291
102857-5-0-23	0.9029	0.5789
102857-5-0-24	0.9502	0.6463
102857-5-0-25	0.9435	0.6128
102857-5-0-26	0.9262	0.6011
102857-5-0-27	0.8957	0.6072
102857-5-0-28	0.9552	0.6802
102857-5-0-29	0.9564	0.6713
102857-5-0-3	0.9256	0.6230
102857-5-0-30	0.9079	0.6255
102857-5-0-4	0.9269	0.6132
102857-5-0-5	0.9210	0.6295
102857-5-0-6	0.9704	0.6163
102857-5-0-7	0.9900	0.6326
102857-5-0-8	0.8951	0.6348
102857-5-0-9	0.9508	0.6361
103438-5-0-0	0.7367	0.5049
103438-5-0-1	0.7430	0.4748
103438-5-0-2	0.7913	0.5011
106014-5-0-0	0.9207	0.6038
106014-5-0-1	0.8950	0.6216
106014-5-0-2	0.9363	0.6601
106014-5-0-3	0.9900	0.7264
106014-5-0-4	0.9900	0.8603
115241-9-0-1	0.8141	0.5619
115241-9-0-14	0.7460	0.4445
115241-9-0-2	0.7308	0.4417
115241-9-0-20	0.7443	0.4459
115241-9-0-6	0.8055	0.4748
115241-9-0-8	0.7671	0.4468
115241-9-0-9	0.7763	0.4847
115418-9-0-11	0.7480	0.4734
115418-9-0-12	0.9535	0.7296
115418-9-0-15	0.7916	0.5440
115418-9-0-20	0.8639	0.4512
115418-9-0-29	0.8587	0.4500
115418-9-0-6	0.9900	0.8761
11722-3-0-0	0.9900	0.5605
11722-3-1-0	0.9900	0.5403
117889-9-0-12	0.9900	0.6861
117889-9-0-20	0.7641	0.4638
117889-9-0-30	0.7244	0.4293
117889-9-0-36	0.8142	0.4800
117889-9-0-39	0.7608	0.4582
117889-9-0-40	0.7443	0.4902
118278-4-0-0	0.8562	0.5438
118278-4-0-1	0.7524	0.6267
118278-4-0-10	0.8073	0.5209
118278-4-0-11	0.7481	0.4482
118278-4-0-12	0.7600	0.5413
118278-4-0-13	0.8022	0.5335
118278-4-0-2	0.8327	0.4817
118278-4-0-3	0.7664	0.5054
118278-4-0-4	0.8577	0.4941
118278-4-0-5	0.9018	0.5199
118278-4-0-6	0.7508	0.4594
118278-4-0-7	0.7863	0.6152
118278-4-0-8	0.7191	0.4191
118278-4-0-9	0.7172	0.4256
118558-5-0-0	0.7267	0.4263
118558-5-0-1	0.9194	0.6218
118558-5-0-2	0.8369	0.6724
118558-5-1-0	0.8518	0.6457
118558-5-1-1	0.8913	0.5765
118558-5-1-2	0.9116	0.6535
118558-5-2-0	0.7264	0.4308
118558-5-2-1	0.9637	0.6724
118558-5-2-2	0.7388	0.5635
118558-5-2-3	0.7568	0.4421
119067-0-0-0	0.9656	0.7069
119067-0-0-1	0.9900	0.6809
119067-0-0-2	0.9538	0.6484
128240-3-0-1	0.7557	0.4950
128240-3-0-20	0.9801	0.4729
128240-3-0-39	0.8933	0.4314
128240-3-0-42	0.9009	0.4771
128470-3-0-0	0.9900	0.4810
128470-3-0-1	0.9900	0.4969
128470-3-0-5	0.8207	0.5392
128470-3-0-8	0.9900	0.5330
129750-2-0-3	0.9352	0.6427
129750-2-0-34	0.7342	0.4415
129750-2-0-36	0.7946	0.5448
129750-2-0-37	0.7720	0.4815
129750-2-0-4	0.8588	0.5039
129750-2-0-45	0.9165	0.4977
129750-2-0-46	0.7518	0.5166
129750-2-0-48	0.7491	0.4617
136558-9-0-1	0.7745	0.4305
136558-9-0-2	0.7365	0.4247
136558-9-1-10	0.8006	0.4818
136558-9-1-21	0.8568	0.5652
136558-9-1-26	0.9900	0.6912
136558-9-1-39	0.7763	0.4619
138017-9-0-2	0.8851	0.5730
138017-9-0-9	0.7869	0.4367
138017-9-1-10	0.7339	0.4507
138017-9-1-16	0.7184	0.4277
138017-9-1-4	0.7345	0.4330
138017-9-1-6	0.7288	0.4293
141240-5-0-0	0.9900	0.8236
141240-5-1-0	0.9900	0.9112
142641-3-0-0	0.8920	0.5663
14468-3-0-2	0.7261	0.4233
14468-3-0-3	0.7335	0.4351
14468-3-1-0	0.7513	0.4954
14468-3-5-0	0.9900	0.9280
14470-2-0-10	0.9240	0.7308
14470-2-0-14	0.7771	0.4832
14470-2-0-21	0.8482	0.4280
14470-2-0-4	0.7453	0.5002
14470-2-0-56	0.7266	0.4356
14470-2-0-65	0.7808	0.5315
14470-2-0-70	0.8248	0.4812
14470-2-0-72	0.8362	0.4338
146244-4-0-0	0.7462	0.4506
147491-9-0-0	0.8135	0.5146
147491-9-0-5	0.7366	0.4303
147491-9-2-10	0.7401	0.4850
147491-9-2-25	0.9738	0.4388
147491-9-2-32	0.7690	0.4575
147491-9-2-6	0.7245	0.4280
155241-9-0-50	0.9900	0.4808
155241-9-0-56	0.7292	0.4357
155241-9-0-69	0.8096	0.4595
155241-9-0-79	0.7312	0.4232
155241-9-0-8	0.8909	0.7275
155241-9-0-88	0.8506	0.4705
155262-2-0-101	0.8443	0.6496
155262-2-0-11	0.9108	0.5789
155262-2-0-15	0.7294	0.4373
155262-2-0-2	0.7740	0.5740
155262-2-0-21	0.7338	0.4395
155262-2-0-48	0.7258	0.4167
155262-2-0-58	0.7850	0.5187
155262-2-0-63	0.8351	0.5970
155280-2-0-10	0.7272	0.4257
155280-2-0-11	0.7395	0.4791
155280-2-0-13	0.7926	0.5825
155280-2-0-15	0.7415	0.4641
155280-2-0-3	0.8385	0.4888
155280-2-0-5	0.7461	0.4954
155280-2-0-6	0.7309	0.4832
155280-2-0-7	0.8852	0.5059
155311-3-0-0	0.9900	0.7525
15544-5-0-0	0.9766	0.6261
15544-5-0-1	0.8461	0.5469
15544-5-0-10	0.9721	0.6695
15544-5-0-11	0.9059	0.5983
15544-5-0-12	0.9315	0.6066
15544-5-0-13	0.9459	0.7158
15544-5-0-14	0.8760	0.5861
15544-5-0-15	0.9047	0.5605
15544-5-0-16	0.7407	0.4423
15544-5-0-17	0.9278	0.6656
15544-5-0-18	0.7506	0.4612
15544-5-0-19	0.9323	0.6154
15544-5-0-2	0.8914	0.7029
15544-5-0-3	0.9900	0.5629
15544-5-0-4	0.9900	0.6863
15544-5-0-5	0.8288	0.5475
15544-5-0-6	0.7733	0.4818
15544-5-0-7	0.8363	0.5207
15544-5-0-8	0.9092	0.7078
15544-5-0-9	0.9872	0.6288
157207-6-0-0	0.7850	0.4986
157207-6-1-0	0.9283	0.7774
157207-6-10-0	0.7698	0.5222
157207-6-2-0	0.9104	0.5195
157207-6-3-0	0.9823	0.5504
157207-6-4-0	0.7634	0.4810
157207-6-5-0	0.8950	0.4463
157207-6-6-0	0.9617	0.4883
157207-6-7-0	0.9837	0.7646
157207-6-8-0	0.9492	0.5226
157207-6-9-0	0.8671	0.5930
157800-6-0-0	0.7700	0.4730
159709-6-0-0	0.8756	0.7423
159742-8-0-0	0.8930	0.5578
159742-8-0-1	0.8325	0.5399
159742-8-0-10	0.7816	0.4489
159742-8-0-11	0.7192	0.4213
159742-8-0-12	0.7269	0.4304
159742-8-0-13	0.7454	0.4485
159742-8-0-14	0.7675	0.4272
159742-8-0-2	0.8276	0.5510
159742-8-0-3	0.9900	0.5376
159742-8-0-4	0.8201	0.4897
159742-8-0-5	0.7961	0.4913
159742-8-0-6	0.9900	0.9443
159742-8-0-7	0.7994	0.5341
159742-8-0-8	0.9900	0.5801
159742-8-0-9	0.8467	0.6171
