=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.8308
Mean Deletion AUC: 0.5601
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.9712	0.5244
100648-1-1-0	0.9848	0.7526
100648-1-2-0	0.9981	0.3809
100648-1-3-0	0.8898	0.5024
100648-1-4-0	0.5281	0.0607
100795-3-0-0	0.9976	0.9981
100795-3-1-0	0.9981	0.9981
100795-3-1-1	0.9981	0.9978
100795-3-1-2	0.9933	0.8255
101382-2-0-10	0.3973	0.0430
101382-2-0-12	0.3619	0.1874
101382-2-0-20	0.9799	0.8927
101382-2-0-21	0.9892	0.9937
101382-2-0-29	0.9096	0.8556
101382-2-0-33	0.9981	0.8399
101382-2-0-42	0.8733	0.9808
101382-2-0-45	0.8128	0.3666
102103-3-0-0	0.9981	0.4685
102103-3-1-0	0.9981	0.3847
102857-5-0-0	0.9364	0.6769
102857-5-0-1	0.9413	0.5426
102857-5-0-10	0.9678	0.5473
102857-5-0-11	0.9103	0.5777
102857-5-0-12	0.9146	0.6758
102857-5-0-13	0.9942	0.6227
102857-5-0-14	0.9895	0.5652
102857-5-0-15	0.9014	0.5430
102857-5-0-16	0.9501	0.6094
102857-5-0-17	0.9020	0.6501
102857-5-0-18	0.9855	0.6932
102857-5-0-19	0.9148	0.5834
102857-5-0-2	0.9457	0.4728
102857-5-0-20	0.9675	0.6051
102857-5-0-21	0.9324	0.6891
102857-5-0-22	0.9988	0.6080
102857-5-0-23	0.8926	0.6259
102857-5-0-24	0.9591	0.5829
102857-5-0-25	0.9413	0.6448
102857-5-0-26	0.9457	0.6492
102857-5-0-27	0.9191	0.4884
102857-5-0-28	0.9279	0.6003
102857-5-0-29	0.9811	0.6360
102857-5-0-3	0.9590	0.6445
102857-5-0-30	0.9634	0.6675
102857-5-0-4	0.9443	0.6315
102857-5-0-5	0.9590	0.5658
102857-5-0-6	0.9291	0.6183
102857-5-0-7	0.8934	0.5475
102857-5-0-8	0.9450	0.5304
102857-5-0-9	0.9590	0.4766
103438-5-0-0	0.9766	0.6360
103438-5-0-1	0.7864	0.5833
103438-5-0-2	0.9002	0.1618
106014-5-0-0	0.7524	0.6714
106014-5-0-1	0.9191	0.5607
106014-5-0-2	0.8566	0.5430
106014-5-0-3	0.8436	0.6713
106014-5-0-4	0.8394	0.6050
115241-9-0-1	0.8411	0.4664
115241-9-0-14	0.8155	0.6688
