=== AUDIO SALIENCY MAP EVALUATION (ACDNET) ===

Mean Insertion AUC: 0.8667
Mean Deletion AUC: 0.5264
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.9981	0.9699
100648-1-1-0	0.9981	0.8137
100648-1-2-0	0.9981	0.9567
100648-1-3-0	0.8926	0.3352
100648-1-4-0	0.6400	0.2332
100795-3-0-0	0.9981	0.8463
100795-3-1-0	0.9981	0.9981
100795-3-1-1	0.9981	0.9939
100795-3-1-2	0.9958	0.9583
101382-2-0-10	0.7623	0.1329
101382-2-0-12	0.7763	0.4776
101382-2-0-20	0.9981	0.6834
101382-2-0-21	0.8963	0.9052
101382-2-0-29	0.9717	0.7917
101382-2-0-33	0.9981	0.9981
101382-2-0-42	0.9938	0.8005
101382-2-0-45	0.7872	0.7058
102103-3-0-0	0.9848	0.9981
102103-3-1-0	0.9981	0.9981
102857-5-0-0	0.8262	0.3437
102857-5-0-1	0.8927	0.4368
102857-5-0-10	0.9103	0.3653
102857-5-0-11	0.8610	0.2942
102857-5-0-12	0.9273	0.5010
102857-5-0-13	0.8351	0.2864
102857-5-0-14	0.9155	0.5302
102857-5-0-15	0.8528	0.3244
102857-5-0-16	0.8053	0.3781
102857-5-0-17	0.9634	0.4015
102857-5-0-18	0.9148	0.5508
102857-5-0-19	0.8439	0.3793
102857-5-0-2	0.8809	0.2775
102857-5-0-20	0.8860	0.4278
102857-5-0-21	0.8925	0.4014
102857-5-0-22	0.8172	0.3397
102857-5-0-23	0.8978	0.4998
102857-5-0-24	0.8631	0.3263
102857-5-0-25	0.8129	0.3661
102857-5-0-26	0.9042	0.2598
102857-5-0-27	0.8474	0.2918
102857-5-0-28	0.9013	0.4634
102857-5-0-29	0.8129	0.5399
102857-5-0-3	0.9145	0.3442
102857-5-0-30	0.9637	0.3793
102857-5-0-4	0.8258	0.2996
102857-5-0-5	0.8704	0.3612
102857-5-0-6	0.8880	0.4296
102857-5-0-7	0.8395	0.4191
102857-5-0-8	0.8839	0.5339
102857-5-0-9	0.8189	0.3344
103438-5-0-0	0.9158	0.4988
103438-5-0-1	0.9575	0.5916
103438-5-0-2	0.8779	0.4464
106014-5-0-0	0.9413	0.4797
106014-5-0-1	0.8970	0.5379
106014-5-0-2	0.8790	0.4351
106014-5-0-3	0.7680	0.4379
106014-5-0-4	0.9088	0.5470
115241-9-0-1	0.9374	0.4357
115241-9-0-14	0.8663	0.3570
115241-9-0-2	0.9153	0.3538
115241-9-0-20	0.8313	0.3738
115241-9-0-6	0.4789	0.5379
115241-9-0-8	0.7654	0.7068
115241-9-0-9	0.8694	0.3867
115418-9-0-11	0.6740	0.7636
115418-9-0-12	0.5215	0.3874
115418-9-0-15	0.8882	0.2816
115418-9-0-20	0.8926	0.5209
115418-9-0-29	0.9069	0.5174
115418-9-0-6	0.8031	0.2978
11722-3-0-0	0.9980	0.9393
11722-3-1-0	0.9777	0.9867
117889-9-0-12	0.8452	0.5121
117889-9-0-20	0.9324	0.6665
117889-9-0-30	0.9268	0.5279
117889-9-0-36	0.8172	0.4519
117889-9-0-39	0.9054	0.3366
117889-9-0-40	0.9366	0.5185
118278-4-0-0	0.9502	0.5264
118278-4-0-1	0.8785	0.2996
118278-4-0-10	0.8855	0.3888
118278-4-0-11	0.8919	0.5147
118278-4-0-12	0.9013	0.5300
118278-4-0-13	0.9066	0.3788
118278-4-0-2	0.9456	0.5049
118278-4-0-3	0.9219	0.5248
118278-4-0-4	0.9158	0.3483
118278-4-0-5	0.8427	0.3598
118278-4-0-6	0.8332	0.4117
118278-4-0-7	0.8552	0.4096
118278-4-0-8	0.8385	0.3668
118278-4-0-9	0.8657	0.3088
118558-5-0-0	0.9030	0.4656
118558-5-0-1	0.9248	0.4425
118558-5-0-2	0.9114	0.2776
118558-5-1-0	0.8923	0.5736
118558-5-1-1	0.9418	0.4186
118558-5-1-2	0.8313	0.4461
118558-5-2-0	0.9366	0.6503
118558-5-2-1	0.9988	0.7024
118558-5-2-2	0.9275	0.6095
118558-5-2-3	0.9562	0.6103
119067-0-0-0	0.9639	0.3667
119067-0-0-1	0.9274	0.5503
119067-0-0-2	0.8916	0.6189
128240-3-0-1	0.8443	0.6308
128240-3-0-20	0.9937	0.9406
128240-3-0-39	0.9981	0.7847
128240-3-0-42	0.9981	0.6419
128470-3-0-0	0.9892	0.5758
128470-3-0-1	0.9937	0.7502
128470-3-0-5	0.8041	0.9406
128470-3-0-8	0.9981	0.5600
129750-2-0-3	0.8591	0.5874
129750-2-0-34	0.8371	0.4783
129750-2-0-36	0.8048	0.2345
129750-2-0-37	0.7779	0.5754
129750-2-0-4	0.9476	0.5652
129750-2-0-45	0.8544	0.3905
129750-2-0-46	0.9804	0.5955
129750-2-0-48	0.8637	0.4625
136558-9-0-1	0.9275	0.2863
136558-9-0-2	0.7681	0.6006
136558-9-1-10	0.8610	0.2819
136558-9-1-21	0.7476	0.3705
136558-9-1-26	0.8096	0.5696
136558-9-1-39	0.8551	0.2545
138017-9-0-2	0.7002	0.5956
138017-9-0-9	0.8991	0.5739
138017-9-1-10	0.9276	0.4590
138017-9-1-16	0.8832	0.4232
138017-9-1-4	0.8886	0.4634
138017-9-1-6	0.7934	0.5608
141240-5-0-0	0.9861	0.5101
141240-5-1-0	0.9339	0.4209
142641-3-0-0	0.9758	0.9972
14468-3-0-2	0.9981	0.5067
14468-3-0-3	0.9148	0.6854
14468-3-1-0	0.9229	0.4797
14468-3-5-0	0.8927	0.4674
14470-2-0-10	0.8194	0.5467
14470-2-0-14	0.7473	0.5133
14470-2-0-21	0.8147	0.8441
14470-2-0-4	0.9670	0.2091
14470-2-0-56	0.9077	0.6208
14470-2-0-65	0.8814	0.4956
14470-2-0-70	0.8658	0.5453
14470-2-0-72	0.9937	0.9981
146244-4-0-0	0.7469	0.3705
147491-9-0-0	0.8881	0.3348
147491-9-0-5	0.7161	0.3286
147491-9-2-10	0.8661	0.5032
147491-9-2-25	0.8614	0.5347
147491-9-2-32	0.6588	0.5474
147491-9-2-6	0.8969	0.6932
155241-9-0-50	0.8499	0.7366
155241-9-0-56	0.9015	0.6359
155241-9-0-69	0.9279	0.5298
155241-9-0-79	0.9321	0.6744
155241-9-0-8	0.9634	0.5999
155241-9-0-88	0.7780	0.5201
155262-2-0-101	0.9488	0.7129
155262-2-0-11	0.8926	0.4260
155262-2-0-15	0.9099	0.4279
155262-2-0-2	0.9723	0.5483
155262-2-0-21	0.9033	0.5209
155262-2-0-48	0.8254	0.4327
155262-2-0-58	0.8385	0.2735
155262-2-0-63	0.8646	0.4589
155280-2-0-10	0.8609	0.2366
155280-2-0-11	0.9695	0.6058
155280-2-0-13	0.9189	0.4950
155280-2-0-15	0.9298	0.4828
155280-2-0-3	0.9192	0.7022
155280-2-0-5	0.9045	0.4713
155280-2-0-6	0.9714	0.5694
155280-2-0-7	0.9253	0.6683
155311-3-0-0	0.9760	0.8545
15544-5-0-0	0.9590	0.3108
15544-5-0-1	0.9472	0.3240
15544-5-0-10	0.9380	0.5267
15544-5-0-11	0.9180	0.4891
15544-5-0-12	0.8709	0.3665
15544-5-0-13	0.9194	0.4481
15544-5-0-14	0.9540	0.4553
15544-5-0-15	0.9149	0.5730
15544-5-0-16	0.8917	0.5430
15544-5-0-17	0.9196	0.4990
15544-5-0-18	0.9093	0.6306
15544-5-0-19	0.8828	0.5669
15544-5-0-2	0.8969	0.5123
15544-5-0-3	0.8867	0.2898
15544-5-0-4	0.9084	0.3568
15544-5-0-5	0.9131	0.4026
15544-5-0-6	0.8916	0.3405
15544-5-0-7	0.8874	0.4943
15544-5-0-8	0.9272	0.3238
15544-5-0-9	0.9097	0.3806
157207-6-0-0	0.9224	0.4322
157207-6-1-0	0.9226	0.2816
157207-6-10-0	0.8708	0.8660
157207-6-2-0	0.8335	0.9981
157207-6-3-0	0.9715	0.9863
157207-6-4-0	0.9892	0.9714
157207-6-5-0	0.9981	0.5320
157207-6-6-0	0.7370	0.9955
157207-6-7-0	0.9235	0.9494
157207-6-8-0	0.9727	0.9910
157207-6-9-0	0.5131	0.9965
157800-6-0-0	0.5909	0.9884
159709-6-0-0	0.9657	0.9981
159742-8-0-0	0.5540	0.8928
159742-8-0-1	0.6989	0.7120
159742-8-0-10	0.9243	0.4723
159742-8-0-11	0.9504	0.4826
159742-8-0-12	0.8959	0.4423
159742-8-0-13	0.8857	0.5222
159742-8-0-14	0.9180	0.2699
159742-8-0-2	0.7432	0.7276
159742-8-0-3	0.7877	0.7549
159742-8-0-4	0.7574	0.3382
159742-8-0-5	0.7380	0.5790
159742-8-0-6	0.6703	0.3135
159742-8-0-7	0.7558	0.5889
159742-8-0-8	0.7466	0.2657
159742-8-0-9	0.7315	0.2554
162134-7-0-0	0.8925	0.5078
162134-7-0-1	0.8221	0.3572
162134-7-0-2	0.7775	0.4442
162134-7-1-0	0.7426	0.5469
162134-7-10-0	0.7643	0.5664
162134-7-10-1	0.9368	0.6094
162134-7-10-2	0.8953	0.5385
162134-7-10-3	0.8711	0.4501
162134-7-11-0	0.8882	0.6050
162134-7-11-1	0.8969	0.5652
162134-7-11-2	0.8483	0.6294
162134-7-11-3	0.9767	0.6138
162134-7-11-4	0.8351	0.5454
162134-7-11-5	0.7997	0.6138
162134-7-11-6	0.9059	0.3793
162134-7-11-7	0.8832	0.3610
162134-7-12-0	0.9167	0.6290
162134-7-12-1	0.7466	0.5251
162134-7-12-2	0.9459	0.6783
162134-7-12-3	0.8478	0.7067
162134-7-12-4	0.8220	0.5298
162134-7-13-0	0.9081	0.7156
162134-7-13-1	0.9060	0.5277
162134-7-13-2	0.8395	0.5034
162134-7-13-3	0.8881	0.5365
162134-7-13-4	0.8572	0.4590
162134-7-14-0	0.8926	0.6448
162134-7-14-1	0.9103	0.5025
162134-7-14-2	0.9413	0.4460
162134-7-15-0	0.8930	0.5917
162134-7-15-1	0.9147	0.6758
162134-7-15-2	0.8926	0.5386
162134-7-15-3	0.8970	0.6091
162134-7-15-4	0.9413	0.4497
162134-7-16-0	0.9811	0.6052
162134-7-16-1	0.8390	0.4987
162134-7-17-0	0.8705	0.5431
162134-7-17-1	0.8837	0.6625
162134-7-17-2	0.9545	0.6802
162134-7-17-3	0.9236	0.6714
162134-7-17-4	0.8368	0.5740
162134-7-2-0	0.7997	0.5342
162134-7-3-0	0.9590	0.4900
162134-7-4-0	0.8840	0.6802
162134-7-5-0	0.8664	0.0209
162134-7-6-0	0.9184	0.9848
162134-7-7-0	0.8742	0.7370
162134-7-7-1	0.8222	0.4021
162134-7-8-0	0.9545	0.5717
162134-7-8-1	0.8130	0.4855
162134-7-8-2	0.9634	0.5269
162134-7-8-3	0.9799	0.7023
162134-7-8-4	0.8610	0.5784
162134-7-8-5	0.7952	0.4994
162134-7-8-6	0.9634	0.7289
162134-7-8-7	0.8968	0.5062
162134-7-9-0	0.8493	0.6535
162134-7-9-1	0.9280	0.4788
162134-7-9-2	0.8926	0.6138
162134-7-9-3	0.7694	0.4197
162134-7-9-4	0.8572	0.5607
162148-3-0-0	0.9979	0.9947
163459-3-0-0	0.9981	0.9976
164194-2-0-10	0.8961	0.4645
164194-2-0-11	0.9379	0.9981
164194-2-0-14	0.9936	0.4164
