=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7025
Mean Deletion AUC: 0.4387
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0446	0.0366
2-50668-A-41	0.6544	0.4480
1-39901-A-11	0.7306	0.7766
1-28135-B-11	0.5373	0.6435
1-47273-A-21	0.9548	0.3643
3-142605-A-21	0.9883	0.0140
4-175945-A-38	0.4397	0.3123
5-221593-A-21	0.8929	0.0778
2-73260-A-10	0.5064	0.6671
5-215658-A-12	0.8833	0.6650
2-88724-A-38	0.9244	0.6717
4-161579-A-40	0.6781	0.7863
1-64398-B-41	0.6315	0.7074
2-71162-A-1	0.9546	0.3499
4-195497-A-11	0.6495	0.4244
5-200334-B-1	0.9153	0.2514
2-95258-B-1	0.9049	0.2874
3-151081-B-20	0.7801	0.6245
2-188822-A-40	0.8297	0.7239
4-182613-B-11	0.7670	0.5473
3-170015-A-0	0.9871	0.0250
1-211527-B-20	0.7761	0.4268
4-185575-A-20	0.7511	0.3496
3-68630-A-40	0.5311	0.4488
1-17808-A-12	0.8106	0.7587
2-132157-B-11	0.6227	0.7583
4-161127-A-10	0.4675	0.4551
5-195710-A-10	0.4982	0.4471
2-96460-A-1	0.9277	0.2577
3-170377-A-38	0.8608	0.3275
2-77945-B-41	0.7449	0.5119
2-30322-A-12	0.6232	0.7836
4-125929-A-40	0.6582	0.8197
4-169127-A-41	0.2875	0.0198
2-18766-B-12	0.7943	0.4247
4-163264-A-10	0.3477	0.3410
4-185575-C-20	0.6216	0.4346
1-59513-A-0	0.9335	0.4778
3-142005-A-10	0.4853	0.3475
2-122104-A-0	0.9282	0.4808
4-164661-B-12	0.6699	0.0429
3-68630-C-40	0.6988	0.7152
2-102852-A-11	0.6526	0.4945
3-118972-B-41	0.2220	0.3063
5-201274-A-21	0.9799	0.0635
4-167063-B-11	0.6648	0.6218
3-157695-A-0	0.9813	0.6923
2-114280-A-0	0.9504	0.7866
5-200461-A-11	0.4498	0.5667
3-152007-E-20	0.7962	0.5768
1-172649-B-40	0.6207	0.6635
1-54505-A-21	0.9247	0.6498
5-170338-B-41	0.6548	0.6210
2-188822-C-40	0.6933	0.6779
3-118657-B-41	0.6833	0.5937
1-17367-A-10	0.3531	0.3810
4-167642-A-21	0.9660	0.0895
5-151085-A-20	0.7591	0.6156
5-194533-A-21	0.9365	0.1198
5-219379-B-11	0.7440	0.4650
5-212181-A-38	0.8865	0.4560
2-37806-D-40	0.7604	0.6592
2-50665-A-20	0.8207	0.3416
2-28314-A-12	0.7348	0.7840
5-205898-A-40	0.0044	0.0037
4-149294-B-41	0.2274	0.2867
3-158476-A-12	0.5762	0.8316
2-140147-A-38	0.9179	0.7876
5-198411-B-20	0.6897	0.2002
2-135728-A-38	0.8642	0.1800
2-72970-A-10	0.2895	0.2813
4-181865-A-38	0.6713	0.4629
5-171653-A-41	0.6233	0.2663
2-107351-B-20	0.8226	0.4886
2-128631-A-21	0.9626	0.1118
5-193473-A-12	0.8153	0.8031
4-183992-A-0	0.9752	0.1884
4-164064-B-1	0.8501	0.1805
4-181286-A-10	0.3946	0.4353
1-22694-A-20	0.6193	0.4544
2-61311-A-12	0.7149	0.8763
3-134049-A-1	0.9317	0.5361
2-117271-A-0	0.9814	0.5259
3-166422-A-11	0.6366	0.5412
1-97392-A-0	0.9880	0.3560
3-155642-B-11	0.6304	0.6583
1-43382-A-1	0.9215	0.4324
3-148330-A-21	0.9812	0.1071
4-180380-A-10	0.3750	0.3134
3-164630-A-11	0.4075	0.7413
4-199261-A-0	0.9811	0.5048
2-95258-A-1	0.8826	0.2466
1-44831-A-1	0.9493	0.2649
3-180256-A-0	0.9404	0.7468
5-233160-A-1	0.9364	0.2178
5-200334-A-1	0.9489	0.2946
2-100786-A-1	0.9488	0.6975
5-213802-A-12	0.2394	0.1440
4-171207-A-12	0.4992	0.6128
4-164206-A-10	0.5092	0.4324
3-152007-A-20	0.5680	0.7143
1-172649-F-40	0.6357	0.6849
5-209698-A-38	0.0975	0.1160
2-119102-A-21	0.9774	0.0758
4-167077-B-20	0.8118	0.4407
4-184575-A-0	0.9370	0.1776
3-118658-A-41	0.6822	0.3391
4-157611-B-41	0.0557	0.0731
4-204618-A-11	0.5857	0.4139
5-231762-A-0	0.9348	0.1010
3-154957-A-1	0.9419	0.5986
3-157149-A-10	0.4107	0.3675
1-63871-A-10	0.2730	0.3270
4-175000-A-40	0.0158	0.0074
1-56311-A-10	0.4224	0.4618
4-170247-A-12	0.8229	0.7266
2-66637-B-20	0.7837	0.2129
5-208810-A-11	0.7285	0.4858
4-181563-A-12	0.5371	0.4423
3-170383-A-38	0.9018	0.7103
1-48413-A-38	0.9213	0.7493
4-171519-A-21	0.8350	0.0700
5-219342-A-38	0.3787	0.1891
1-91359-B-11	0.6997	0.6400
4-166661-A-10	0.0634	0.0717
3-65748-A-12	0.7960	0.5558
5-185579-A-41	0.5907	0.4677
1-46272-A-12	0.7971	0.7484
1-7057-A-12	0.8706	0.8183
1-19898-B-41	0.7416	0.4245
5-198411-F-20	0.1852	0.4037
3-150979-B-40	0.6066	0.4470
5-177957-B-40	0.3980	0.2895
1-17565-A-12	0.8578	0.6376
4-164021-A-1	0.8955	0.4515
3-154926-A-40	0.4367	0.4258
2-155801-A-11	0.5346	0.7185
5-220026-A-21	0.8914	0.1559
5-220027-A-21	0.9769	0.2110
1-47274-A-21	0.9353	0.1582
5-202898-A-10	0.3407	0.3208
4-59579-B-20	0.5292	0.0773
5-191131-A-40	0.4038	0.4071
3-150231-A-21	0.9395	0.1979
4-193480-B-40	0.0471	0.0421
4-175000-C-40	0.2499	0.2643
5-220955-A-40	0.3893	0.2158
3-150363-A-38	0.9241	0.6700
4-164064-C-1	0.9077	0.2334
1-26806-A-1	0.9480	0.4974
1-47250-A-41	0.4372	0.4527
5-202220-A-21	0.3704	0.0712
2-68391-A-41	0.6279	0.3198
2-122104-B-0	0.8808	0.4217
4-208021-A-1	0.8957	0.1077
2-37806-B-40	0.6814	0.8279
2-50667-B-41	0.7280	0.3784
5-198411-D-20	0.0634	0.2487
5-208030-A-0	0.9038	0.4830
4-165823-A-41	0.7168	0.5307
5-9032-A-0	0.8832	0.1769
2-95035-A-1	0.9622	0.4886
1-29680-A-21	0.9596	0.0755
5-222524-A-41	0.4870	0.4930
5-216370-B-41	0.6896	0.4815
5-213855-A-0	0.9444	0.6595
1-60997-B-20	0.7944	0.7816
4-164064-A-1	0.9600	0.2430
1-85362-A-0	0.9765	0.8232
4-179984-A-38	0.6483	0.8205
1-181071-B-40	0.8286	0.7163
5-188655-A-10	0.4213	0.2965
1-116765-A-41	0.7138	0.7360
3-116135-A-1	0.9575	0.4061
4-182395-A-0	0.7534	0.0019
5-187979-A-21	0.9835	0.0777
1-40730-A-1	0.9257	0.4115
2-131943-A-38	0.8390	0.7502
3-152007-C-20	0.7279	0.6051
3-164120-A-11	0.2993	0.4617
1-172649-D-40	0.5620	0.5379
1-62850-A-38	0.6357	0.4408
1-57163-A-38	0.8574	0.9215
4-160999-A-10	0.4346	0.2042
3-144827-A-11	0.4965	0.4230
1-27724-A-1	0.9524	0.3825
1-187207-A-20	0.7210	0.5477
1-39923-A-1	0.9352	0.3752
5-219379-A-11	0.7066	0.3826
3-132852-A-10	0.6435	0.5484
4-207124-A-0	0.9694	0.6039
1-30344-A-0	0.9833	0.6084
5-217158-A-0	0.9153	0.4625
1-211527-C-20	0.7014	0.8177
4-167063-A-11	0.7177	0.5737
3-118656-A-41	0.5796	0.4061
3-118657-A-41	0.7552	0.3504
2-127108-A-38	0.8404	0.4254
1-172649-A-40	0.5358	0.6170
5-170338-A-41	0.6015	0.4050
5-203128-B-0	0.9662	0.7273
1-26222-A-10	0.4424	0.5054
4-164661-A-12	0.5956	0.2980
5-200461-B-11	0.5630	0.5453
3-141684-A-21	0.9799	0.3025
2-73027-A-10	0.5345	0.4470
5-189212-A-12	0.7916	0.7225
2-81731-A-10	0.3013	0.2535
2-125966-A-11	0.6695	0.5634
4-188033-A-38	0.9389	0.1264
3-118972-A-41	0.4015	0.4082
3-142006-A-10	0.4052	0.3349
3-144028-A-0	0.9247	0.7412
1-42139-A-38	0.5757	0.6401
1-22694-B-20	0.5935	0.0975
2-137162-A-11	0.6433	0.7272
1-21934-A-38	0.5860	0.2181
1-21935-A-38	0.8885	0.7103
2-107351-A-20	0.6888	0.3761
1-34119-A-1	0.9553	0.2547
2-109505-A-21	0.9862	0.0960
2-118104-A-21	0.9780	0.2828
4-185415-A-21	0.9697	0.0237
5-193473-B-12	0.8588	0.7312
5-200339-A-1	0.8904	0.2192
2-133863-A-11	0.7851	0.5278
1-50060-A-10	0.4411	0.4256
4-177250-A-10	0.3977	0.3632
5-198411-A-20	0.5437	0.2424
2-28314-B-12	0.6901	0.8786
5-234879-A-1	0.8813	0.3159
5-177957-E-40	0.2016	0.1879
3-144692-A-21	0.9874	0.3209
2-50666-A-20	0.6305	0.5921
4-149294-A-41	0.1476	0.4615
1-62849-A-38	0.7571	0.3427
2-80482-A-20	0.7918	0.5169
3-157615-A-10	0.4863	0.4749
3-187710-A-11	0.6789	0.1567
3-151080-A-20	0.7709	0.4915
3-151081-A-20	0.6155	0.7512
2-118964-A-0	0.9690	0.1081
3-145382-A-1	0.9508	0.3260
2-134700-A-38	0.9376	0.4309
4-156843-A-21	0.9550	0.0420
1-64398-A-41	0.7810	0.6083
5-215658-B-12	0.8386	0.7191
4-198965-A-38	0.8799	0.8525
3-147965-A-12	0.7566	0.5293
4-184434-A-21	0.9610	0.0638
4-195497-B-11	0.7462	0.1801
1-31748-A-21	0.9769	0.0153
4-161579-B-40	0.6311	0.7850
2-65747-A-12	0.6951	0.5090
1-110389-A-0	0.9794	0.0151
2-50668-B-41	0.5304	0.6615
3-120644-A-12	0.7626	0.7262
4-185619-A-21	0.9517	0.1257
1-28135-A-11	0.6843	0.6786
1-39901-B-11	0.7331	0.7985
5-198411-C-20	0.1512	0.1304
1-4211-A-12	0.7417	0.7632
4-191687-A-0	0.9852	0.3773
3-104958-A-12	0.8488	0.7056
2-30322-B-12	0.6509	0.6963
2-77945-A-41	0.7642	0.4504
3-155312-A-0	0.9281	0.6470
3-143933-A-38	0.9245	0.3506
4-170078-A-1	0.8746	0.1796
1-26143-A-21	0.9869	0.2289
5-181766-A-10	0.2165	0.2044
4-169127-B-41	0.4255	0.6483
5-186924-A-12	0.0178	0.0553
2-18766-A-12	0.7646	0.8504
3-136288-A-0	0.7523	0.4596
4-157297-A-21	0.8003	0.4840
3-171012-A-38	0.9180	0.2068
5-212454-A-0	0.9593	0.5978
5-219379-C-11	0.5579	0.3959
2-124662-A-11	0.8089	0.4581
1-100032-A-0	0.9887	0.0380
3-68630-B-40	0.5055	0.7489
5-208624-A-38	0.6239	0.6786
