=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7805
Mean Deletion AUC: 0.3807
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0330	0.0188
2-50668-A-41	0.7160	0.4169
1-39901-A-11	0.7979	0.5615
1-28135-B-11	0.7387	0.5788
1-47273-A-21	0.9666	0.2155
3-142605-A-21	0.9847	0.0064
4-175945-A-38	0.5641	0.3043
5-221593-A-21	0.9718	0.0178
2-73260-A-10	0.7506	0.6177
5-215658-A-12	0.8909	0.6545
2-88724-A-38	0.9232	0.5219
4-161579-A-40	0.9084	0.1314
1-64398-B-41	0.8036	0.6973
2-71162-A-1	0.9430	0.2733
4-195497-A-11	0.7670	0.5529
5-200334-B-1	0.9188	0.2098
2-95258-B-1	0.9408	0.2689
3-151081-B-20	0.8602	0.6812
2-188822-A-40	0.8207	0.6084
4-182613-B-11	0.6278	0.5696
3-170015-A-0	0.9880	0.0148
1-211527-B-20	0.8640	0.4328
4-185575-A-20	0.7521	0.3934
3-68630-A-40	0.7574	0.4338
1-17808-A-12	0.8584	0.5574
2-132157-B-11	0.8451	0.5707
4-161127-A-10	0.6124	0.4948
5-195710-A-10	0.5391	0.5342
2-96460-A-1	0.9293	0.2136
3-170377-A-38	0.9220	0.2728
2-77945-B-41	0.6694	0.6322
2-30322-A-12	0.8355	0.7417
4-125929-A-40	0.6688	0.5353
4-169127-A-41	0.4070	0.0147
2-18766-B-12	0.9232	0.5596
4-163264-A-10	0.5606	0.5021
4-185575-C-20	0.8881	0.2845
1-59513-A-0	0.9756	0.4589
3-142005-A-10	0.4687	0.1637
2-122104-A-0	0.9398	0.1550
4-164661-B-12	0.8718	0.0324
3-68630-C-40	0.7272	0.5161
2-102852-A-11	0.7197	0.4465
3-118972-B-41	0.5347	0.2999
5-201274-A-21	0.9685	0.0614
4-167063-B-11	0.7239	0.5459
3-157695-A-0	0.9587	0.5118
2-114280-A-0	0.9654	0.4405
5-200461-A-11	0.6917	0.3220
3-152007-E-20	0.8514	0.5199
1-172649-B-40	0.6935	0.6380
1-54505-A-21	0.9377	0.2985
5-170338-B-41	0.6576	0.5333
2-188822-C-40	0.7133	0.6228
3-118657-B-41	0.6770	0.5938
1-17367-A-10	0.5821	0.5471
4-167642-A-21	0.9690	0.4284
5-151085-A-20	0.8761	0.3619
5-194533-A-21	0.9402	0.0588
5-219379-B-11	0.8027	0.5524
5-212181-A-38	0.9505	0.3725
2-37806-D-40	0.8400	0.6714
2-50665-A-20	0.8660	0.3339
2-28314-A-12	0.8355	0.7180
5-205898-A-40	0.0050	0.0028
4-149294-B-41	0.2985	0.3458
3-158476-A-12	0.8913	0.6660
2-140147-A-38	0.9669	0.7097
5-198411-B-20	0.7685	0.2499
2-135728-A-38	0.9257	0.1726
2-72970-A-10	0.6966	0.6032
4-181865-A-38	0.8589	0.1710
5-171653-A-41	0.7433	0.2043
2-107351-B-20	0.8558	0.3818
2-128631-A-21	0.9737	0.0839
5-193473-A-12	0.8967	0.7752
4-183992-A-0	0.9788	0.0831
4-164064-B-1	0.9186	0.0470
4-181286-A-10	0.7114	0.5969
1-22694-A-20	0.8115	0.4564
2-61311-A-12	0.8056	0.6974
3-134049-A-1	0.9040	0.4933
2-117271-A-0	0.9422	0.7907
3-166422-A-11	0.7846	0.6694
1-97392-A-0	0.9464	0.6456
3-155642-B-11	0.7182	0.4880
1-43382-A-1	0.9569	0.4505
3-148330-A-21	0.9695	0.0953
4-180380-A-10	0.4707	0.4325
3-164630-A-11	0.8039	0.4324
4-199261-A-0	0.9533	0.4157
2-95258-A-1	0.9531	0.2698
1-44831-A-1	0.9503	0.2566
3-180256-A-0	0.8132	0.3437
5-233160-A-1	0.9491	0.2273
5-200334-A-1	0.9595	0.1868
2-100786-A-1	0.9277	0.3501
5-213802-A-12	0.4499	0.2582
4-171207-A-12	0.7672	0.4266
4-164206-A-10	0.5326	0.3570
3-152007-A-20	0.8581	0.3878
1-172649-F-40	0.7441	0.6352
5-209698-A-38	0.0885	0.0771
2-119102-A-21	0.9663	0.0742
4-167077-B-20	0.8947	0.6001
4-184575-A-0	0.9777	0.0934
3-118658-A-41	0.7000	0.3990
4-157611-B-41	0.0566	0.0460
4-204618-A-11	0.6179	0.4023
5-231762-A-0	0.9492	0.1060
3-154957-A-1	0.9474	0.4114
3-157149-A-10	0.4202	0.3063
1-63871-A-10	0.4390	0.3930
4-175000-A-40	0.0062	0.0117
1-56311-A-10	0.6093	0.4786
4-170247-A-12	0.8879	0.7973
2-66637-B-20	0.8448	0.2587
5-208810-A-11	0.6801	0.6635
4-181563-A-12	0.8234	0.2531
3-170383-A-38	0.9375	0.7680
1-48413-A-38	0.9735	0.7174
4-171519-A-21	0.8841	0.0706
5-219342-A-38	0.9244	0.1533
1-91359-B-11	0.6686	0.6567
4-166661-A-10	0.0666	0.0285
3-65748-A-12	0.8270	0.6484
5-185579-A-41	0.6908	0.3686
1-46272-A-12	0.8563	0.4464
1-7057-A-12	0.9416	0.8731
1-19898-B-41	0.7637	0.4634
5-198411-F-20	0.6838	0.0636
3-150979-B-40	0.6457	0.5325
5-177957-B-40	0.4557	0.3397
1-17565-A-12	0.9309	0.5974
4-164021-A-1	0.7835	0.4216
3-154926-A-40	0.8408	0.1583
2-155801-A-11	0.6385	0.4744
5-220026-A-21	0.9234	0.0966
5-220027-A-21	0.9664	0.1627
1-47274-A-21	0.9731	0.1456
5-202898-A-10	0.3789	0.2408
4-59579-B-20	0.6058	0.0496
5-191131-A-40	0.5293	0.4761
3-150231-A-21	0.9712	0.0700
4-193480-B-40	0.0765	0.0177
4-175000-C-40	0.3822	0.3105
5-220955-A-40	0.2875	0.1495
3-150363-A-38	0.9623	0.3332
4-164064-C-1	0.9233	0.1230
1-26806-A-1	0.9229	0.3526
1-47250-A-41	0.6950	0.4237
5-202220-A-21	0.4659	0.0825
2-68391-A-41	0.6980	0.3039
2-122104-B-0	0.9558	0.3533
4-208021-A-1	0.9308	0.1287
2-37806-B-40	0.8153	0.5283
2-50667-B-41	0.7794	0.5161
5-198411-D-20	0.4542	0.0783
5-208030-A-0	0.9761	0.7767
4-165823-A-41	0.7960	0.6742
5-9032-A-0	0.9105	0.2304
2-95035-A-1	0.9263	0.2548
1-29680-A-21	0.9553	0.0735
5-222524-A-41	0.6076	0.5300
5-216370-B-41	0.5742	0.4963
5-213855-A-0	0.9312	0.1477
1-60997-B-20	0.7949	0.5305
4-164064-A-1	0.9460	0.2350
1-85362-A-0	0.9430	0.9564
4-179984-A-38	0.9263	0.4081
1-181071-B-40	0.7865	0.6246
5-188655-A-10	0.5106	0.5282
1-116765-A-41	0.6804	0.5565
3-116135-A-1	0.9080	0.3574
4-182395-A-0	0.7509	0.0024
5-187979-A-21	0.9806	0.0776
1-40730-A-1	0.8875	0.2561
2-131943-A-38	0.8406	0.6877
3-152007-C-20	0.8812	0.4862
3-164120-A-11	0.8033	0.6027
1-172649-D-40	0.8102	0.4762
1-62850-A-38	0.9457	0.3039
1-57163-A-38	0.8925	0.9094
4-160999-A-10	0.3321	0.2749
3-144827-A-11	0.6842	0.5434
1-27724-A-1	0.9472	0.2167
1-187207-A-20	0.8645	0.3683
1-39923-A-1	0.9263	0.3943
5-219379-A-11	0.7956	0.3317
3-132852-A-10	0.7180	0.2476
4-207124-A-0	0.9562	0.4336
1-30344-A-0	0.9697	0.2741
5-217158-A-0	0.8359	0.1572
1-211527-C-20	0.8843	0.7085
4-167063-A-11	0.7106	0.5561
3-118656-A-41	0.6196	0.3455
3-118657-A-41	0.8331	0.3515
2-127108-A-38	0.9529	0.3740
1-172649-A-40	0.6634	0.5634
5-170338-A-41	0.6658	0.2555
5-203128-B-0	0.8786	0.8805
1-26222-A-10	0.6691	0.5964
4-164661-A-12	0.6635	0.3510
5-200461-B-11	0.6298	0.5044
3-141684-A-21	0.9776	0.2475
2-73027-A-10	0.3877	0.3622
5-189212-A-12	0.8600	0.5752
2-81731-A-10	0.5719	0.4383
2-125966-A-11	0.7756	0.5420
4-188033-A-38	0.9667	0.1482
3-118972-A-41	0.7456	0.3002
3-142006-A-10	0.2542	0.3640
3-144028-A-0	0.9218	0.5686
1-42139-A-38	0.8239	0.4754
1-22694-B-20	0.8479	0.2794
2-137162-A-11	0.8199	0.5366
1-21934-A-38	0.8461	0.1880
1-21935-A-38	0.8898	0.7216
2-107351-A-20	0.8983	0.3279
1-34119-A-1	0.9633	0.2578
2-109505-A-21	0.9857	0.1030
2-118104-A-21	0.9464	0.1912
4-185415-A-21	0.9809	0.0041
5-193473-B-12	0.9136	0.7668
5-200339-A-1	0.9682	0.1658
2-133863-A-11	0.8646	0.4769
1-50060-A-10	0.6508	0.5605
4-177250-A-10	0.4936	0.3150
5-198411-A-20	0.7879	0.3242
2-28314-B-12	0.8793	0.6614
5-234879-A-1	0.9509	0.2147
5-177957-E-40	0.2552	0.1393
3-144692-A-21	0.9295	0.2089
2-50666-A-20	0.8451	0.4654
4-149294-A-41	0.5179	0.1393
1-62849-A-38	0.9274	0.3230
2-80482-A-20	0.8522	0.4929
3-157615-A-10	0.5886	0.5199
3-187710-A-11	0.7348	0.2163
3-151080-A-20	0.7964	0.4255
3-151081-A-20	0.8764	0.6352
2-118964-A-0	0.9765	0.1223
3-145382-A-1	0.9457	0.2753
2-134700-A-38	0.9372	0.4016
4-156843-A-21	0.9634	0.0306
1-64398-A-41	0.7363	0.3367
5-215658-B-12	0.8631	0.4052
4-198965-A-38	0.9002	0.8550
3-147965-A-12	0.8093	0.4485
4-184434-A-21	0.9840	0.0594
4-195497-B-11	0.7399	0.1962
1-31748-A-21	0.9820	0.0275
4-161579-B-40	0.7866	0.6727
2-65747-A-12	0.7377	0.6078
1-110389-A-0	0.9871	0.0095
2-50668-B-41	0.6435	0.6938
3-120644-A-12	0.8622	0.6800
4-185619-A-21	0.9438	0.1146
1-28135-A-11	0.8413	0.5355
1-39901-B-11	0.7649	0.6938
5-198411-C-20	0.2732	0.1323
1-4211-A-12	0.8323	0.5881
4-191687-A-0	0.9367	0.1315
3-104958-A-12	0.9289	0.5624
