=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7128
Mean Deletion AUC: 0.4546
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0254	0.0131
2-50668-A-41	0.6586	0.5655
1-39901-A-11	0.7409	0.7885
1-28135-B-11	0.7393	0.5725
1-47273-A-21	0.9758	0.2873
3-142605-A-21	0.9886	0.0136
4-175945-A-38	0.4350	0.3198
5-221593-A-21	0.8800	0.0870
2-73260-A-10	0.4819	0.6461
5-215658-A-12	0.7643	0.7673
2-88724-A-38	0.8069	0.6652
4-161579-A-40	0.8130	0.6322
1-64398-B-41	0.7986	0.6799
2-71162-A-1	0.9476	0.5484
4-195497-A-11	0.6227	0.5032
5-200334-B-1	0.9351	0.2622
2-95258-B-1	0.9110	0.3449
3-151081-B-20	0.7688	0.6837
2-188822-A-40	0.8160	0.7750
4-182613-B-11	0.7868	0.4617
3-170015-A-0	0.9886	0.0226
1-211527-B-20	0.7736	0.5399
4-185575-A-20	0.6458	0.2926
3-68630-A-40	0.5484	0.4496
1-17808-A-12	0.8101	0.6646
2-132157-B-11	0.6446	0.7507
4-161127-A-10	0.4307	0.4953
5-195710-A-10	0.5310	0.4711
2-96460-A-1	0.9295	0.2644
3-170377-A-38	0.8956	0.2494
2-77945-B-41	0.7121	0.5286
2-30322-A-12	0.7387	0.7877
4-125929-A-40	0.6932	0.8245
4-169127-A-41	0.2411	0.0232
2-18766-B-12	0.7652	0.6036
4-163264-A-10	0.5167	0.4902
4-185575-C-20	0.5656	0.4423
1-59513-A-0	0.9534	0.4881
3-142005-A-10	0.4637	0.2382
2-122104-A-0	0.9587	0.4746
4-164661-B-12	0.6588	0.0406
3-68630-C-40	0.7039	0.6462
2-102852-A-11	0.6929	0.5528
3-118972-B-41	0.2357	0.3171
5-201274-A-21	0.9788	0.0638
4-167063-B-11	0.6037	0.6703
3-157695-A-0	0.9631	0.7015
2-114280-A-0	0.9678	0.7744
5-200461-A-11	0.3528	0.5446
3-152007-E-20	0.8156	0.5822
1-172649-B-40	0.6662	0.6778
1-54505-A-21	0.9141	0.4251
5-170338-B-41	0.6529	0.6311
2-188822-C-40	0.7907	0.6199
3-118657-B-41	0.6424	0.6990
1-17367-A-10	0.4546	0.4408
4-167642-A-21	0.9658	0.0904
5-151085-A-20	0.7496	0.5880
5-194533-A-21	0.9103	0.2112
5-219379-B-11	0.7436	0.4746
5-212181-A-38	0.8772	0.3773
2-37806-D-40	0.7014	0.6500
2-50665-A-20	0.7958	0.4258
2-28314-A-12	0.7372	0.8210
