=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7824
Mean Deletion AUC: 0.3842
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0195	0.0130
2-50668-A-41	0.7128	0.5126
1-39901-A-11	0.7713	0.6856
1-28135-B-11	0.7079	0.5258
1-47273-A-21	0.9496	0.2148
3-142605-A-21	0.9843	0.0052
4-175945-A-38	0.5688	0.3111
5-221593-A-21	0.9675	0.0259
2-73260-A-10	0.7426	0.5680
5-215658-A-12	0.8720	0.6678
2-88724-A-38	0.9297	0.4255
4-161579-A-40	0.9120	0.1376
1-64398-B-41	0.7807	0.6753
2-71162-A-1	0.9727	0.2415
4-195497-A-11	0.7264	0.4386
5-200334-B-1	0.9615	0.2206
2-95258-B-1	0.9352	0.3536
3-151081-B-20	0.8131	0.6857
2-188822-A-40	0.8175	0.6415
4-182613-B-11	0.6924	0.5123
3-170015-A-0	0.9826	0.0494
1-211527-B-20	0.8302	0.5223
4-185575-A-20	0.7143	0.3014
3-68630-A-40	0.7463	0.4755
1-17808-A-12	0.8074	0.5706
2-132157-B-11	0.8459	0.4656
4-161127-A-10	0.6911	0.5624
5-195710-A-10	0.5886	0.5132
2-96460-A-1	0.9351	0.1719
3-170377-A-38	0.9124	0.2681
2-77945-B-41	0.7637	0.4725
2-30322-A-12	0.8181	0.6770
4-125929-A-40	0.7351	0.5839
4-169127-A-41	0.4534	0.0066
2-18766-B-12	0.9097	0.5688
4-163264-A-10	0.4143	0.4205
4-185575-C-20	0.8954	0.2385
1-59513-A-0	0.9688	0.5062
3-142005-A-10	0.4272	0.2613
2-122104-A-0	0.9401	0.2096
4-164661-B-12	0.8723	0.0252
3-68630-C-40	0.7921	0.5775
2-102852-A-11	0.7728	0.5006
3-118972-B-41	0.6234	0.2555
5-201274-A-21	0.9561	0.0536
4-167063-B-11	0.7085	0.4392
3-157695-A-0	0.9618	0.3308
2-114280-A-0	0.9253	0.6704
5-200461-A-11	0.7056	0.3365
3-152007-E-20	0.7888	0.4980
1-172649-B-40	0.6824	0.6703
1-54505-A-21	0.9655	0.3277
5-170338-B-41	0.7548	0.5777
2-188822-C-40	0.7548	0.6159
3-118657-B-41	0.7212	0.6573
1-17367-A-10	0.5340	0.5077
4-167642-A-21	0.9628	0.4328
5-151085-A-20	0.8544	0.3618
5-194533-A-21	0.9339	0.0754
5-219379-B-11	0.7941	0.5309
5-212181-A-38	0.9498	0.2577
2-37806-D-40	0.8161	0.6854
2-50665-A-20	0.8357	0.3766
2-28314-A-12	0.8133	0.6442
5-205898-A-40	0.0054	0.0026
4-149294-B-41	0.3037	0.2059
3-158476-A-12	0.8410	0.6831
