=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7025
Mean Deletion AUC: 0.4389
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0323	0.0406
2-50668-A-41	0.6138	0.6056
1-39901-A-11	0.7220	0.7733
1-28135-B-11	0.6420	0.6528
1-47273-A-21	0.9746	0.3404
3-142605-A-21	0.9872	0.0166
4-175945-A-38	0.4963	0.2589
5-221593-A-21	0.8523	0.1036
2-73260-A-10	0.4656	0.6370
5-215658-A-12	0.8831	0.7021
2-88724-A-38	0.8614	0.6670
4-161579-A-40	0.5702	0.6613
1-64398-B-41	0.6983	0.7219
2-71162-A-1	0.9325	0.4222
4-195497-A-11	0.5611	0.4232
5-200334-B-1	0.9241	0.2246
2-95258-B-1	0.9111	0.2787
3-151081-B-20	0.7885	0.6942
2-188822-A-40	0.7562	0.7370
4-182613-B-11	0.7709	0.5623
3-170015-A-0	0.9854	0.0220
1-211527-B-20	0.7591	0.4607
4-185575-A-20	0.7195	0.3412
3-68630-A-40	0.5913	0.4902
1-17808-A-12	0.7888	0.7708
2-132157-B-11	0.6725	0.7044
4-161127-A-10	0.4875	0.4983
5-195710-A-10	0.4786	0.4313
2-96460-A-1	0.9277	0.2220
3-170377-A-38	0.9046	0.2273
2-77945-B-41	0.6875	0.5823
2-30322-A-12	0.7559	0.7784
4-125929-A-40	0.6633	0.7814
4-169127-A-41	0.3202	0.0238
2-18766-B-12	0.7988	0.3720
4-163264-A-10	0.3697	0.3229
4-185575-C-20	0.6814	0.4925
1-59513-A-0	0.9128	0.5836
3-142005-A-10	0.4946	0.3489
2-122104-A-0	0.9319	0.6421
4-164661-B-12	0.6761	0.0262
3-68630-C-40	0.6981	0.7360
2-102852-A-11	0.6769	0.5154
3-118972-B-41	0.2187	0.3144
5-201274-A-21	0.9800	0.0624
4-167063-B-11	0.6452	0.6281
3-157695-A-0	0.9312	0.6211
2-114280-A-0	0.9549	0.4552
5-200461-A-11	0.4515	0.5446
3-152007-E-20	0.8116	0.6506
1-172649-B-40	0.5427	0.6168
1-54505-A-21	0.9295	0.3486
5-170338-B-41	0.6974	0.6467
2-188822-C-40	0.6788	0.5995
3-118657-B-41	0.6692	0.6554
1-17367-A-10	0.3738	0.3816
4-167642-A-21	0.9643	0.0860
5-151085-A-20	0.8388	0.5469
5-194533-A-21	0.8955	0.3495
5-219379-B-11	0.6772	0.4489
5-212181-A-38	0.8619	0.3520
2-37806-D-40	0.6955	0.6571
2-50665-A-20	0.8347	0.3465
2-28314-A-12	0.7510	0.7826
5-205898-A-40	0.0042	0.0040
4-149294-B-41	0.2070	0.3037
3-158476-A-12	0.5277	0.8210
2-140147-A-38	0.9028	0.7352
5-198411-B-20	0.5614	0.2760
2-135728-A-38	0.8966	0.2772
2-72970-A-10	0.3545	0.2965
4-181865-A-38	0.7303	0.3204
5-171653-A-41	0.5188	0.3562
2-107351-B-20	0.8155	0.4743
2-128631-A-21	0.9505	0.1836
5-193473-A-12	0.8215	0.7859
4-183992-A-0	0.9331	0.2372
4-164064-B-1	0.8836	0.1220
4-181286-A-10	0.4304	0.3827
1-22694-A-20	0.7255	0.4568
2-61311-A-12	0.7327	0.8626
3-134049-A-1	0.9478	0.4364
2-117271-A-0	0.9503	0.4865
3-166422-A-11	0.6377	0.5821
1-97392-A-0	0.9925	0.2707
3-155642-B-11	0.5915	0.6379
1-43382-A-1	0.9299	0.4462
3-148330-A-21	0.9827	0.1080
4-180380-A-10	0.3841	0.4675
3-164630-A-11	0.4219	0.7448
4-199261-A-0	0.9791	0.5173
2-95258-A-1	0.8941	0.2300
