=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7834
Mean Deletion AUC: 0.3772
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
5-177957-D-40	0.0268	0.0228
2-50668-A-41	0.6691	0.4447
1-39901-A-11	0.8113	0.6080
1-28135-B-11	0.7432	0.6033
1-47273-A-21	0.9608	0.1893
3-142605-A-21	0.9848	0.0049
4-175945-A-38	0.6603	0.2871
5-221593-A-21	0.9724	0.0183
2-73260-A-10	0.7339	0.5488
5-215658-A-12	0.8938	0.6278
2-88724-A-38	0.9223	0.4871
4-161579-A-40	0.9143	0.1284
1-64398-B-41	0.8179	0.7088
2-71162-A-1	0.9168	0.2346
4-195497-A-11	0.7880	0.4620
5-200334-B-1	0.9084	0.2187
2-95258-B-1	0.9345	0.2497
3-151081-B-20	0.8481	0.6695
2-188822-A-40	0.7624	0.6693
4-182613-B-11	0.7036	0.5014
3-170015-A-0	0.9874	0.0198
1-211527-B-20	0.8380	0.3886
4-185575-A-20	0.7627	0.3395
3-68630-A-40	0.6416	0.4185
1-17808-A-12	0.8462	0.7005
2-132157-B-11	0.8132	0.5750
4-161127-A-10	0.5295	0.3673
5-195710-A-10	0.5156	0.5092
2-96460-A-1	0.9173	0.2142
3-170377-A-38	0.9146	0.2725
2-77945-B-41	0.7099	0.5949
2-30322-A-12	0.8330	0.7462
4-125929-A-40	0.6349	0.5322
4-169127-A-41	0.4370	0.0201
2-18766-B-12	0.9228	0.5824
4-163264-A-10	0.4120	0.3715
4-185575-C-20	0.8928	0.2628
1-59513-A-0	0.9692	0.4280
3-142005-A-10	0.3636	0.1839
2-122104-A-0	0.9463	0.1754
4-164661-B-12	0.8692	0.0300
3-68630-C-40	0.7880	0.5214
2-102852-A-11	0.6769	0.5086
3-118972-B-41	0.6459	0.3055
5-201274-A-21	0.9702	0.0599
4-167063-B-11	0.6725	0.5545
3-157695-A-0	0.9665	0.5036
2-114280-A-0	0.9273	0.4342
5-200461-A-11	0.7063	0.3770
3-152007-E-20	0.8375	0.5208
1-172649-B-40	0.5516	0.5648
1-54505-A-21	0.9399	0.3004
5-170338-B-41	0.7286	0.5420
2-188822-C-40	0.6901	0.6155
3-118657-B-41	0.6374	0.5384
1-17367-A-10	0.5638	0.5596
4-167642-A-21	0.9725	0.3337
5-151085-A-20	0.8777	0.4031
5-194533-A-21	0.9357	0.0539
5-219379-B-11	0.7956	0.4617
5-212181-A-38	0.9514	0.4106
2-37806-D-40	0.8425	0.6811
2-50665-A-20	0.8530	0.3534
2-28314-A-12	0.8376	0.7198
5-205898-A-40	0.0056	0.0027
4-149294-B-41	0.3200	0.3970
3-158476-A-12	0.8763	0.6869
2-140147-A-38	0.9210	0.7405
5-198411-B-20	0.8367	0.2196
2-135728-A-38	0.9372	0.1827
2-72970-A-10	0.6647	0.5507
4-181865-A-38	0.8811	0.1635
5-171653-A-41	0.7356	0.1986
2-107351-B-20	0.8091	0.4119
2-128631-A-21	0.9749	0.0857
5-193473-A-12	0.8910	0.7621
4-183992-A-0	0.9769	0.1913
4-164064-B-1	0.9160	0.0432
4-181286-A-10	0.6404	0.6274
1-22694-A-20	0.8398	0.4955
2-61311-A-12	0.8556	0.6818
3-134049-A-1	0.8654	0.4475
2-117271-A-0	0.9227	0.7679
3-166422-A-11	0.6373	0.6384
1-97392-A-0	0.9489	0.7270
3-155642-B-11	0.6347	0.3988
1-43382-A-1	0.9516	0.4440
3-148330-A-21	0.9779	0.0969
4-180380-A-10	0.4889	0.4243
3-164630-A-11	0.8058	0.4095
4-199261-A-0	0.9637	0.4791
2-95258-A-1	0.9534	0.2952
1-44831-A-1	0.9151	0.2577
3-180256-A-0	0.8714	0.3185
5-233160-A-1	0.9431	0.2229
5-200334-A-1	0.9727	0.1755
2-100786-A-1	0.9256	0.3240
5-213802-A-12	0.4493	0.1445
4-171207-A-12	0.7303	0.4296
4-164206-A-10	0.5241	0.3430
3-152007-A-20	0.8636	0.4207
1-172649-F-40	0.7840	0.5412
5-209698-A-38	0.0898	0.0766
2-119102-A-21	0.9626	0.0724
