=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7854
Mean Deletion AUC: 0.4045
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
1-104089-A-22	0.8704	0.8067
3-246513-B-16	0.7147	0.6542
1-96950-B-9	0.9542	0.7401
2-105270-A-47	0.6455	0.2752
4-90014-B-42	0.8896	0.0110
1-47273-A-21	0.9666	0.2155
1-39901-A-11	0.7979	0.5615
1-19840-A-36	0.5646	0.4287
1-28135-B-11	0.7387	0.5788
2-134915-A-30	0.8595	0.2674
2-60180-A-49	0.8409	0.7811
5-180156-B-43	0.7082	0.4727
5-233019-A-31	0.9771	0.1120
5-223317-A-31	0.9947	0.8298
4-161105-B-47	0.7607	0.7316
3-160993-A-3	0.7891	0.3115
3-135650-B-45	0.4304	0.4232
2-66205-A-23	0.9511	0.1345
1-47819-A-5	0.7862	0.2643
1-54747-A-46	0.5690	0.6124
2-152964-A-31	0.9890	0.1625
3-139958-A-37	0.8925	0.4344
1-101336-A-30	0.9126	0.4532
1-11687-A-47	0.4893	0.3069
3-156581-B-14	0.4595	0.3093
1-12653-A-15	0.9713	0.1048
4-204777-A-39	0.7444	0.1055
5-160614-B-48	0.4993	0.5377
4-234644-A-2	0.8226	0.5718
4-201988-A-44	0.8629	0.8347
2-103424-A-3	0.8591	0.0908
1-28005-A-18	0.5412	0.8233
2-82455-A-23	0.9605	0.1074
5-234855-A-25	0.8183	0.4180
2-50668-A-41	0.7160	0.4169
3-163607-A-13	0.5866	0.6432
5-233312-A-28	0.8994	0.3166
1-115545-A-48	0.6458	0.5647
3-144510-A-30	0.9511	0.1581
4-102844-C-49	0.8456	0.5566
5-192191-A-19	0.8951	0.7697
4-198962-A-25	0.8961	0.4724
5-177957-D-40	0.8875	0.0188
5-259180-A-15	0.7521	0.1642
2-102581-B-29	0.9734	0.1121
1-21896-A-35	0.5319	0.5198
5-260164-A-23	0.8910	0.1688
2-52001-A-28	0.8902	0.4252
2-42101-A-43	0.8357	0.2297
3-251617-A-48	0.7278	0.5453
3-142605-A-21	0.9847	0.0064
2-95567-A-23	0.9428	0.4298
2-32515-A-4	0.7907	0.8290
3-155584-A-14	0.5767	0.4755
5-214759-B-5	0.8179	0.1154
1-22804-A-46	0.5315	0.3366
4-175945-A-38	0.5641	0.3043
3-96606-A-49	0.7236	0.6302
5-221593-A-21	0.9718	0.0178
3-110913-D-7	0.7487	0.6903
4-161303-B-5	0.7689	0.0503
2-73260-A-10	0.7506	0.6177
2-104105-B-19	0.9332	0.8592
5-249748-A-28	0.3602	0.0569
2-117615-E-48	0.7682	0.7614
4-108352-A-33	0.5666	0.1084
1-46353-A-49	0.9009	0.7961
2-139749-A-15	0.9706	0.8128
5-215658-A-12	0.8909	0.6545
2-128465-A-43	0.5664	0.4139
5-179860-A-43	0.8913	0.0047
1-58846-A-34	0.9705	0.7452
1-17970-A-4	0.6163	0.5778
1-15689-A-4	0.7173	0.2425
2-139748-A-15	0.8778	0.1106
2-88724-A-38	0.9232	0.5219
1-64398-B-41	0.8036	0.6973
2-124564-A-15	0.9767	0.5787
4-161579-A-40	0.9084	0.1314
4-125072-A-19	0.7228	0.8222
2-71162-A-1	0.9430	0.2733
2-98392-A-23	0.9172	0.4526
1-45641-A-27	0.8668	0.7511
4-163606-A-16	0.5907	0.5906
3-159348-A-36	0.3978	0.8269
4-187284-A-30	0.2884	0.2091
5-253094-A-49	0.8232	0.6494
4-186518-A-30	0.9309	0.6168
4-195497-A-11	0.7670	0.5529
4-135439-A-18	0.7318	0.5975
3-108451-A-17	0.8851	0.6110
5-200334-B-1	0.9188	0.2098
1-36397-A-23	0.9687	0.1035
5-252248-A-34	0.9291	0.0970
5-156698-A-18	0.7143	0.6610
1-30709-B-23	0.9698	0.7368
4-218199-C-35	0.8921	0.1124
5-263831-A-6	0.6727	0.3052
1-260640-A-2	0.6575	0.7404
2-52085-A-4	0.6982	0.7131
2-135860-A-49	0.8283	0.4251
4-184237-A-28	0.9533	0.6466
5-198373-A-46	0.8888	0.5103
1-51170-A-18	0.8160	0.5611
3-155766-A-13	0.7408	0.8008
2-95258-B-1	0.9408	0.2689
3-103051-B-19	0.9123	0.3897
5-202540-A-18	0.7472	0.4919
4-154793-A-4	0.6335	0.5722
5-218494-A-22	0.7834	0.1710
5-157204-A-16	0.8879	0.0176
2-106881-A-39	0.9734	0.2326
3-151081-B-20	0.8602	0.6812
5-260011-A-34	0.9183	0.0385
5-235644-A-30	0.9327	0.2143
3-129678-A-13	0.8049	0.8449
1-36402-A-23	0.9337	0.1037
1-53444-A-28	0.8524	0.7621
5-219242-A-37	0.9314	0.1061
3-98869-A-46	0.4147	0.4855
1-260640-C-2	0.8505	0.5317
2-188822-A-40	0.8207	0.6084
2-78651-A-44	0.7704	0.8030
4-182613-B-11	0.6278	0.5696
3-115387-A-47	0.7047	0.7021
1-51805-C-33	0.7695	0.5729
2-59566-A-46	0.6195	0.2631
4-244318-A-6	0.9200	0.6131
3-146033-A-13	0.9267	0.8468
1-79146-A-29	0.9881	0.5731
1-67033-A-37	0.9070	0.5262
1-103999-A-30	0.9343	0.1127
1-38560-A-14	0.8199	0.2248
5-189795-A-4	0.7838	0.4641
5-202020-A-18	0.6190	0.5718
3-152020-B-36	0.7984	0.7099
3-170015-A-0	0.9880	0.0148
4-175845-A-43	0.8168	0.0488
5-200329-B-8	0.6075	0.4855
4-181599-A-26	0.8179	0.1503
1-81001-B-30	0.9245	0.6035
1-211527-B-20	0.8640	0.4328
3-253084-D-2	0.6280	0.4811
2-92978-A-29	0.8800	0.7357
5-237315-A-31	0.8912	0.0205
3-68630-A-40	0.7574	0.4338
2-72547-A-14	0.6785	0.3728
3-169907-A-29	0.8571	0.6684
4-186935-A-44	0.4341	0.1518
1-50688-A-17	0.8938	0.6257
5-233787-A-7	0.8459	0.4056
2-91912-B-33	0.9675	0.2760
5-259514-A-26	0.7180	0.2019
4-185575-A-20	0.7521	0.3934
1-17808-A-12	0.8584	0.5574
3-124376-B-3	0.9548	0.4457
4-99644-B-4	0.6373	0.4937
5-248341-B-6	0.6174	0.6311
4-212604-C-15	0.9616	0.8325
5-218196-B-27	0.8737	0.7950
2-132157-B-11	0.8451	0.5707
2-96460-A-1	0.9293	0.2136
3-170377-A-38	0.9220	0.2728
4-150364-B-46	0.6246	0.6477
4-188703-D-8	0.8123	0.1494
5-195710-A-10	0.5391	0.5342
4-161127-A-10	0.6124	0.4948
3-102583-C-49	0.8261	0.6644
4-165845-A-45	0.8929	0.1178
1-49409-B-8	0.8165	0.6405
2-108767-B-9	0.8592	0.1798
3-216280-A-39	0.9959	0.1025
5-204352-B-13	0.8232	0.7845
1-51436-A-17	0.9357	0.8003
5-179294-A-46	0.8990	0.2516
3-216281-A-39	0.9998	0.1019
3-98193-A-46	0.6325	0.4292
4-197454-A-28	0.9463	0.1094
2-109371-C-16	0.3198	0.3727
4-149940-B-5	0.9378	0.7472
2-32515-C-4	0.8954	0.7623
4-132816-A-26	0.8937	0.0499
1-72195-B-37	0.9785	0.7661
1-69760-A-16	0.4648	0.4372
2-120587-A-6	0.9665	0.4369
2-79775-A-26	0.9627	0.3033
2-120218-A-30	0.9502	0.3744
5-242932-B-26	0.8592	0.6601
4-223127-A-14	0.5484	0.3842
2-121909-A-35	0.4634	0.5616
2-77945-B-41	0.6694	0.6322
5-243773-A-44	0.7950	0.7933
2-102414-E-17	0.8878	0.3136
2-30322-A-12	0.8355	0.7417
2-118459-A-32	0.8850	0.8283
1-43807-C-47	0.6413	0.5200
3-94355-A-33	0.9698	0.1119
5-204114-A-29	0.6093	0.0514
4-125929-A-40	0.6688	0.5353
4-172500-D-27	0.7272	0.6626
5-250258-A-49	0.8479	0.1105
2-18766-B-12	0.9232	0.5596
2-102568-A-35	0.7685	0.7314
4-132383-A-2	0.8266	0.6434
1-47819-C-5	0.8344	0.3595
4-133895-A-7	0.2891	0.0216
4-169127-A-41	0.4070	0.0147
2-140841-A-30	0.9646	0.1183
3-166324-A-15	0.8993	0.1520
2-98676-A-24	0.9625	0.2144
1-50625-A-17	0.8982	0.5949
2-135649-C-45	0.6058	0.4619
1-24796-A-47	0.3236	0.2882
5-263902-A-36	0.5392	0.5578
4-163264-A-10	0.5606	0.5021
4-196672-A-8	0.7788	0.0105
5-253085-B-3	0.8833	0.4976
1-59513-A-0	0.9756	0.4589
3-51376-A-42	0.4193	0.3404
4-185575-C-20	0.8881	0.2845
1-30039-A-26	0.8025	0.5908
3-142005-A-10	0.4687	0.1637
3-110913-B-7	0.7292	0.5927
3-170312-A-31	0.9619	0.2911
1-196660-A-8	0.8602	0.5368
2-122104-A-0	0.9398	0.1550
5-222894-A-32	0.8824	0.8098
4-164661-B-12	0.8718	0.0324
4-151242-A-37	0.9693	0.5197
4-212604-A-15	0.4565	0.1356
1-18631-A-23	0.9255	0.8273
1-76831-E-42	0.4056	0.4610
2-82077-A-7	0.6889	0.7275
3-68630-C-40	0.7272	0.5161
3-197408-C-8	0.7509	0.1890
2-102852-A-11	0.7197	0.4465
2-138465-A-43	0.8965	0.3778
4-156827-A-46	0.5022	0.6129
3-136608-A-16	0.4423	0.3231
3-118972-B-41	0.5347	0.2999
3-120526-A-37	0.9579	0.5020
2-87780-A-33	0.9165	0.3360
5-201274-A-21	0.9685	0.0614
2-72547-C-14	0.6488	0.4141
4-167063-B-11	0.7239	0.5459
4-204683-A-31	0.8878	0.5472
3-94343-A-25	0.9496	0.1051
3-94342-A-25	0.7232	0.6026
3-157695-A-0	0.9587	0.5118
2-158746-C-2	0.8138	0.3479
4-180337-A-28	0.9555	0.3292
5-263490-A-25	0.5704	0.0272
4-143118-A-7	0.8971	0.0677
2-114280-A-0	0.9654	0.4405
5-263491-A-25	0.3345	0.2441
5-233605-A-39	0.7648	0.1044
5-200461-A-11	0.6917	0.3220
2-109231-B-9	0.8466	0.1093
2-117116-A-37	0.9471	0.1039
2-106019-A-13	0.2951	0.2751
3-97909-A-49	0.8588	0.8481
4-147657-A-46	0.2691	0.1355
3-152007-E-20	0.8514	0.5199
1-172649-B-40	0.6935	0.6380
1-54505-A-21	0.9377	0.2985
5-170338-B-41	0.6576	0.5333
1-137-A-32	0.8862	0.7415
4-250869-B-2	0.6745	0.5567
5-244327-A-34	0.9286	0.6349
3-115387-C-47	0.5392	0.5896
2-209478-A-25	0.8920	0.8190
4-218304-B-25	0.8933	0.6391
1-51805-A-33	0.8395	0.1105
3-118657-B-41	0.6770	0.5938
4-188293-B-15	0.8774	0.1350
2-76408-B-22	0.7606	0.7555
4-261068-A-30	0.8950	0.1565
4-119647-B-48	0.8332	0.2935
2-188822-C-40	0.7133	0.6228
1-70300-A-45	0.3107	0.5274
1-17367-A-10	0.5821	0.5471
4-176631-A-43	0.4968	0.4907
2-135649-A-45	0.5251	0.6597
2-120586-A-6	0.8941	0.5835
4-167642-A-21	0.9690	0.4284
4-255371-A-47	0.3805	0.3433
4-165791-B-45	0.5250	0.3622
5-187201-B-4	0.8909	0.0305
4-189836-A-22	0.6828	0.4676
5-207836-D-29	0.8764	0.7787
2-69131-A-5	0.9168	0.1114
3-101381-B-33	0.9570	0.8366
2-79769-A-26	0.8561	0.3484
3-118069-A-27	0.7923	0.7919
2-78381-A-46	0.7298	0.4305
2-102414-G-17	0.9313	0.3031
5-151085-A-20	0.8761	0.3619
4-178881-A-45	0.5025	0.7091
1-88574-A-8	0.7008	0.3569
1-61221-A-17	0.9487	0.1856
3-166125-B-23	0.9751	0.6276
1-43807-A-47	0.3851	0.5526
2-134049-A-6	0.9200	0.2490
2-141681-A-36	0.7207	0.1124
1-53501-A-32	0.8951	0.3738
1-60460-A-36	0.5497	0.6679
3-151557-A-28	0.9400	0.2601
2-39443-B-19	0.7097	0.6006
1-74517-A-37	0.9871	0.5547
3-126358-A-3	0.9494	0.6233
5-194533-A-21	0.9402	0.0588
2-60791-A-26	0.7588	0.5249
5-219379-B-11	0.8027	0.5524
1-88807-A-39	0.9359	0.1016
2-102567-D-35	0.6195	0.4854
1-28808-A-43	0.8869	0.5644
1-94036-A-22	0.8854	0.8445
4-211502-A-30	0.7715	0.0775
2-99955-C-7	0.8465	0.3806
5-212181-A-38	0.9505	0.3725
1-64473-A-45	0.4692	0.2948
4-232495-A-6	0.6540	0.1576
4-181707-A-32	0.8051	0.6698
3-119120-B-48	0.7874	0.6940
3-127890-C-9	0.9399	0.1075
3-102583-A-49	0.8229	0.3575
5-244651-A-31	0.9938	0.8335
4-156993-A-19	0.6362	0.5064
3-155577-A-14	0.2784	0.3174
1-155858-E-25	0.9435	0.7714
5-259640-A-29	0.9223	0.0279
2-50665-A-20	0.8660	0.3339
3-174866-A-29	0.9731	0.3038
2-109371-A-16	0.3654	0.4698
1-31836-A-4	0.6741	0.6771
2-262579-A-45	0.8997	0.3014
4-191246-B-7	0.7494	0.1396
2-209473-A-25	0.8449	0.7809
2-99955-A-7	0.9024	0.4678
2-51630-A-49	0.8346	0.4940
2-37806-D-40	0.8400	0.6714
2-209472-A-25	0.9198	0.7639
3-154758-A-44	0.7031	0.7318
3-127890-A-9	0.9211	0.1028
1-23094-B-15	0.9486	0.7617
4-102844-A-49	0.7930	0.6218
3-166546-B-34	0.9616	0.1740
1-61534-A-27	0.7937	0.2214
1-46744-A-36	0.8710	0.7069
5-156999-E-19	0.3411	0.3118
1-24074-A-43	0.3958	0.3382
4-154405-A-27	0.8882	0.6523
5-197118-A-45	0.8901	0.1025
4-160036-B-33	0.2947	0.0809
4-99644-D-4	0.8003	0.0810
2-28314-A-12	0.8355	0.7180
1-18074-A-6	0.8497	0.5373
4-204777-C-39	0.7782	0.1107
4-204830-A-6	0.6068	0.3684
3-167096-A-31	0.9930	0.7544
5-205898-A-40	0.8000	0.0028
5-256512-A-30	0.9003	0.7183
2-61618-A-46	0.5754	0.6548
4-204119-A-39	0.9966	0.1060
4-149294-B-41	0.2985	0.3458
5-184871-A-24	0.9623	0.4157
1-115545-C-48	0.8167	0.1774
5-191497-A-33	0.7506	0.2620
5-212734-A-17	0.9151	0.6234
5-263501-A-25	0.4190	0.6329
5-236288-A-28	0.9011	0.5796
1-46938-B-7	0.8261	0.4742
5-256452-A-5	0.9420	0.1156
3-142349-A-17	0.9181	0.5905
3-158476-A-12	0.8913	0.6660
3-182025-A-30	0.9024	0.1991
3-253084-B-2	0.7944	0.7355
2-85292-A-24	0.9546	0.1105
2-140147-A-38	0.9669	0.7097
5-241846-A-15	0.8920	0.2368
5-172639-A-5	0.7324	0.3085
1-19026-A-43	0.9727	0.4255
4-136381-A-9	0.9130	0.2348
1-51035-A-16	0.3914	0.4867
5-198411-B-20	0.7685	0.2499
5-51149-A-25	0.8918	0.4152
1-69641-A-3	0.8622	0.1525
2-141682-B-36	0.6543	0.6592
5-245040-A-35	0.4991	0.1327
2-39441-A-19	0.9351	0.6272
2-102435-A-37	0.9368	0.3948
2-135728-A-38	0.9257	0.1726
1-7974-B-49	0.8803	0.2434
3-62878-B-42	0.7556	0.1236
5-209992-B-44	0.8889	0.0113
2-72970-A-10	0.6966	0.6032
3-130998-B-28	0.7062	0.6651
3-142604-A-24	0.9510	0.3172
5-262641-A-15	0.8959	0.0808
4-213193-A-29	0.9732	0.5088
4-181865-A-38	0.8589	0.1710
4-130891-A-7	0.7857	0.2251
2-123896-A-24	0.9853	0.3472
3-134802-A-13	0.9327	0.1108
5-177779-A-33	0.8934	0.0456
2-158746-A-2	0.8167	0.8108
5-171653-A-41	0.7433	0.2043
4-205738-A-22	0.8630	0.8040
1-94231-A-32	0.9177	0.1074
1-18527-B-44	0.6058	0.5039
5-254832-B-15	0.8706	0.2933
5-234145-A-28	0.9381	0.4893
2-120333-A-32	0.6887	0.5498
2-107351-B-20	0.8558	0.3818
1-61261-A-44	0.8574	0.7814
3-203371-A-39	0.9989	0.6164
1-7973-A-7	0.7911	0.3818
2-107228-B-44	0.8584	0.7504
4-189332-A-37	0.9298	0.6129
4-218199-A-35	0.5586	0.5229
2-128631-A-21	0.9737	0.0839
5-193473-A-12	0.8967	0.7752
3-181132-A-14	0.7823	0.3665
1-101404-A-34	0.9879	0.5098
4-182039-A-30	0.9401	0.0640
5-260434-A-39	0.9930	0.4545
1-67230-A-29	0.9289	0.6595
3-164594-A-15	0.9898	0.0349
3-151089-A-30	0.9250	0.1662
3-164595-A-15	0.9732	0.1612
4-181628-A-17	0.8850	0.7815
3-108160-A-23	0.9623	0.1022
4-172736-A-36	0.4666	0.0936
5-216214-A-13	0.9299	0.1125
4-196671-B-8	0.5857	0.2843
2-110417-A-28	0.9396	0.2077
1-62594-A-32	0.8537	0.3075
4-183992-A-0	0.9788	0.0831
1-75189-A-7	0.5691	0.3949
5-253094-C-49	0.6910	0.5460
1-32373-B-35	0.2746	0.2998
1-27405-A-28	0.8223	0.1491
4-194680-A-36	0.8940	0.0939
4-210000-A-23	0.9745	0.5880
2-54961-A-23	0.9432	0.7914
4-164064-B-1	0.9186	0.0470
4-188703-B-8	0.9166	0.2743
4-181286-A-10	0.7114	0.5969
5-244459-A-28	0.9388	0.1785
1-22694-A-20	0.8115	0.4564
2-152895-A-31	0.9960	0.2346
2-61311-A-12	0.8056	0.6974
5-210540-A-13	0.6314	0.5954
3-134049-A-1	0.9040	0.4933
1-24524-B-19	0.7431	0.5546
2-117271-A-0	0.9422	0.7907
3-103401-D-33	0.9396	0.1053
3-197408-A-8	0.7504	0.5389
3-166422-A-11	0.7846	0.6694
1-97392-A-0	0.9464	0.6456
5-204741-A-46	0.5244	0.2908
3-155659-A-34	0.9141	0.5588
1-52290-A-30	0.9489	0.2559
4-161519-A-19	0.9245	0.7750
5-223176-A-37	0.9373	0.7432
5-251957-A-47	0.8873	0.7411
4-99644-C-4	0.4210	0.1373
3-95698-A-5	0.7373	0.6076
5-248341-C-6	0.9045	0.8552
1-19111-A-24	0.9737	0.1278
3-155568-A-32	0.8593	0.7068
1-43382-A-1	0.9569	0.4505
3-155642-B-11	0.7182	0.4880
5-195517-A-7	0.8955	0.4117
3-259622-A-44	0.7897	0.7597
4-125825-B-46	0.5450	0.5070
5-221950-A-22	0.3299	0.6539
3-148330-A-21	0.9695	0.0953
5-257642-A-39	0.6693	0.7615
3-152594-A-30	0.9414	0.0862
2-125520-A-43	0.7035	0.4649
5-205589-B-17	0.8922	0.1085
3-138114-A-22	0.7109	0.7434
1-15689-B-4	0.7600	0.2238
4-180380-A-10	0.4707	0.4325
5-237795-A-34	0.9702	0.6824
4-138344-A-9	0.8338	0.1601
1-53663-A-24	0.9321	0.3340
1-5996-A-6	0.6639	0.7218
1-155858-A-25	0.9533	0.8057
3-144891-B-19	0.4653	0.7237
2-77347-A-46	0.6471	0.5289
2-77346-A-46	0.5098	0.3824
3-174840-A-43	0.9751	0.1108
3-164630-A-11	0.8039	0.4324
1-68734-A-34	0.9620	0.6213
4-199261-A-0	0.9533	0.4157
5-103418-A-2	0.4952	0.0779
3-156393-A-35	0.3995	0.2372
4-172366-A-37	0.9760	0.7599
5-200329-C-8	0.7764	0.3651
3-144120-A-32	0.7359	0.2548
4-144468-A-27	0.8568	0.7544
3-253084-E-2	0.7794	0.6319
5-220939-A-27	0.6375	0.0335
4-80761-A-42	0.4370	0.0069
2-95258-A-1	0.9531	0.2698
4-172500-B-27	0.4811	0.6858
4-204115-A-39	0.9143	0.8245
3-94344-A-25	0.8973	0.8489
3-154439-A-17	0.9299	0.6723
5-263831-B-6	0.5744	0.4249
1-44831-A-1	0.9503	0.2566
2-52085-B-4	0.7150	0.7408
3-180256-A-0	0.8132	0.3437
3-107123-A-26	0.8494	0.4898
3-112557-A-23	0.7664	0.7317
5-212050-A-27	0.9093	0.8195
2-102414-C-17	0.8788	0.4429
5-233160-A-1	0.9491	0.2273
1-260640-B-2	0.8455	0.7749
5-200334-A-1	0.9595	0.1868
1-31482-A-42	0.3642	0.3501
2-72268-A-6	0.7217	0.7226
3-108677-A-18	0.7963	0.3756
1-47819-B-5	0.6472	0.1087
2-100786-A-1	0.9277	0.3501
5-213802-A-12	0.4499	0.2582
4-171207-A-12	0.7672	0.4266
3-87936-B-46	0.5461	0.5078
2-7321-A-33	0.8903	0.2419
1-103298-A-9	0.9033	0.3165
4-195707-A-13	0.8403	0.8183
2-141563-A-39	0.9780	0.6503
1-51805-E-33	0.9591	0.4011
4-164206-A-10	0.5326	0.3570
5-216131-A-32	0.7066	0.6974
4-198360-C-49	0.8151	0.0812
2-70938-A-42	0.5570	0.0175
2-160888-A-47	0.3771	0.2723
4-194808-A-29	0.8618	0.1827
2-70939-A-42	0.4927	0.4171
5-242492-A-3	0.9127	0.5547
3-145387-A-29	0.9794	0.5435
3-152007-A-20	0.8581	0.3878
3-117504-B-16	0.4349	0.4388
4-189830-A-22	0.4911	0.4388
1-172649-F-40	0.7441	0.6352
1-96950-A-9	0.9554	0.4099
4-155650-B-24	0.9694	0.1073
4-161303-A-5	0.9087	0.3024
3-51909-B-42	0.8949	0.0757
2-119102-A-21	0.9663	0.0742
5-209698-A-38	0.8903	0.0771
4-167077-B-20	0.8947	0.6001
3-83527-A-4	0.6880	0.3724
5-214759-A-5	0.9152	0.1178
2-32515-B-4	0.8711	0.1838
4-184575-A-0	0.9777	0.0934
5-259169-A-5	0.9541	0.0233
3-146873-A-24	0.9273	0.2357
4-144083-B-16	0.8938	0.1550
5-188716-A-46	0.6497	0.6090
3-118658-A-41	0.7000	0.3990
4-182034-A-30	0.9256	0.1331
4-119648-A-48	0.8304	0.1082
2-106487-A-44	0.8548	0.8276
4-157611-B-41	0.8890	0.0460
2-104952-B-16	0.5860	0.7168
4-204618-A-11	0.6179	0.4023
2-108767-C-9	0.7316	0.4240
1-46040-A-14	0.4282	0.5272
1-76831-A-42	0.6601	0.4471
2-106486-A-44	0.8467	0.8281
1-79236-A-36	0.5134	0.5228
5-231762-A-0	0.9492	0.1060
4-194981-A-25	0.6213	0.7096
3-154957-A-1	0.9474	0.4114
3-157149-A-10	0.4202	0.3063
1-63871-A-10	0.4390	0.3930
4-175000-A-40	0.8001	0.0117
1-17092-A-27	0.7545	0.7402
5-182010-A-36	0.8947	0.0198
2-84943-A-18	0.6515	0.5384
2-94807-A-29	0.8539	0.7237
5-222041-A-9	0.8658	0.7864
2-118625-A-30	0.9514	0.0765
1-56311-A-10	0.6093	0.4786
5-215447-A-47	0.4485	0.5301
2-118624-A-30	0.9481	0.0782
4-170247-A-12	0.8879	0.7973
5-195557-A-19	0.4550	0.7081
2-209474-A-25	0.8167	0.7809
3-108791-A-18	0.8032	0.4922
3-111102-B-46	0.5070	0.5026
2-66637-B-20	0.8448	0.2587
2-209475-A-25	0.9559	0.1099
5-208810-A-11	0.6801	0.6635
4-149940-A-5	0.5651	0.2145
2-103427-A-3	0.9476	0.2127
4-205526-B-23	0.9080	0.1128
2-68595-B-15	0.9827	0.3700
3-20861-A-8	0.8728	0.5325
4-181563-A-12	0.8234	0.2531
5-250026-A-30	0.9397	0.6038
1-49409-A-8	0.6587	0.6253
1-115521-A-19	0.8999	0.6027
2-117615-C-48	0.8646	0.7078
2-108767-A-9	0.8351	0.3897
1-27166-A-35	0.8998	0.3684
2-78562-B-37	0.9601	0.1043
2-123712-A-33	0.8773	0.2243
1-58277-A-3	0.8566	0.3526
3-153444-A-32	0.7872	0.6465
1-67152-A-17	0.9286	0.3536
3-170383-A-38	0.9375	0.7680
1-48413-A-38	0.9735	0.7174
5-219342-A-38	0.9244	0.1533
4-171519-A-21	0.8841	0.0706
5-261325-A-9	0.8990	0.1123
