=== AUDIO LIME SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6128
Mean Deletion AUC: 0.2114
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
1-104089-A-22	0.6254	0.3286
3-246513-B-16	0.5286	0.3288
1-96950-B-9	0.8508	0.2282
2-105270-A-47	0.5328	0.2272
4-90014-B-42	0.0168	0.0177
1-47273-A-21	0.9213	0.0573
1-39901-A-11	0.5777	0.3172
1-19840-A-36	0.0444	0.0425
1-28135-B-11	0.3345	0.2185
2-134915-A-30	0.9293	0.0819
2-60180-A-49	0.7834	0.3498
5-180156-B-43	0.2298	0.1401
5-233019-A-31	0.8022	0.2755
5-223317-A-31	0.9145	0.3713
4-161105-B-47	0.5450	0.3334
3-160993-A-3	0.1472	0.0455
3-135650-B-45	0.2062	0.1143
2-66205-A-23	0.5162	0.1185
1-47819-A-5	0.7166	0.2927
1-54747-A-46	0.1366	0.1206
2-152964-A-31	0.9871	0.3712
3-139958-A-37	0.8322	0.2531
1-101336-A-30	0.8579	0.1419
1-11687-A-47	0.2677	0.1801
3-156581-B-14	0.2349	0.1451
1-12653-A-15	0.8430	0.3135
4-204777-A-39	0.9094	0.1775
5-160614-B-48	0.2775	0.1283
4-234644-A-2	0.8029	0.3373
4-201988-A-44	0.8725	0.6053
2-103424-A-3	0.3030	0.0364
1-28005-A-18	0.8318	0.3452
2-82455-A-23	0.5023	0.3410
5-234855-A-25	0.4679	0.0754
2-50668-A-41	0.2489	0.1699
3-163607-A-13	0.4576	0.2366
5-233312-A-28	0.7255	0.3431
1-115545-A-48	0.6639	0.2104
3-144510-A-30	0.9598	0.0452
4-102844-C-49	0.6969	0.2190
5-192191-A-19	0.6911	0.5575
4-198962-A-25	0.4688	0.0717
5-177957-D-40	0.0182	0.0098
5-259180-A-15	0.9723	0.0296
2-102581-B-29	0.9659	0.1494
1-21896-A-35	0.1432	0.1500
5-260164-A-23	0.2698	0.1104
2-52001-A-28	0.8762	0.2365
2-42101-A-43	0.3795	0.0975
3-251617-A-48	0.7831	0.2062
3-142605-A-21	0.9841	0.0065
2-95567-A-23	0.7718	0.2998
2-32515-A-4	0.8368	0.4148
3-155584-A-14	0.4551	0.3194
5-214759-B-5	0.3437	0.1091
1-22804-A-46	0.2111	0.1496
4-175945-A-38	0.0826	0.1000
3-96606-A-49	0.5574	0.2676
5-221593-A-21	0.9333	0.0255
3-110913-D-7	0.3121	0.2546
4-161303-B-5	0.7337	0.0377
2-73260-A-10	0.3892	0.2783
2-104105-B-19	0.6516	0.4515
5-249748-A-28	0.6672	0.0170
2-117615-E-48	0.7683	0.2640
4-108352-A-33	0.6208	0.0331
1-46353-A-49	0.6912	0.2517
2-139749-A-15	0.9508	0.1660
5-215658-A-12	0.8176	0.1120
2-128465-A-43	0.2165	0.1345
5-179860-A-43	0.0704	0.0024
1-58846-A-34	0.5583	0.1499
1-17970-A-4	0.8477	0.4790
1-15689-A-4	0.8037	0.3846
2-139748-A-15	0.8017	0.2091
2-88724-A-38	0.8367	0.0894
1-64398-B-41	0.2080	0.1633
2-124564-A-15	0.7422	0.1680
4-161579-A-40	0.6677	0.0548
4-125072-A-19	0.8337	0.5666
2-71162-A-1	0.9115	0.2444
2-98392-A-23	0.6305	0.1466
1-45641-A-27	0.6476	0.2658
4-163606-A-16	0.4626	0.3437
3-159348-A-36	0.3236	0.1361
4-187284-A-30	0.5887	0.1117
5-253094-A-49	0.6618	0.3746
4-186518-A-30	0.7375	0.1622
4-195497-A-11	0.4994	0.1680
4-135439-A-18	0.6253	0.3213
3-108451-A-17	0.7871	0.3302
5-200334-B-1	0.8955	0.1362
1-36397-A-23	0.3149	0.0125
5-252248-A-34	0.9829	0.0288
5-156698-A-18	0.6755	0.3255
1-30709-B-23	0.6582	0.2083
4-218199-C-35	0.0876	0.0676
5-263831-A-6	0.8587	0.1429
1-260640-A-2	0.6315	0.3524
2-52085-A-4	0.7637	0.4833
2-135860-A-49	0.8217	0.1507
4-184237-A-28	0.8998	0.2315
5-198373-A-46	0.0643	0.0958
1-51170-A-18	0.6362	0.3057
3-155766-A-13	0.7839	0.7031
2-95258-B-1	0.7501	0.1039
3-103051-B-19	0.7856	0.2312
5-202540-A-18	0.4320	0.1917
4-154793-A-4	0.9193	0.2438
5-218494-A-22	0.3228	0.0507
5-157204-A-16	0.0059	0.0029
2-106881-A-39	0.9881	0.0680
3-151081-B-20	0.7935	0.4221
5-260011-A-34	0.7948	0.0032
5-235644-A-30	0.9427	0.0805
3-129678-A-13	0.5254	0.4615
1-36402-A-23	0.3698	0.1519
1-53444-A-28	0.6684	0.2900
5-219242-A-37	0.9222	0.9437
3-98869-A-46	0.1617	0.1434
1-260640-C-2	0.5259	0.2202
2-188822-A-40	0.6386	0.3332
2-78651-A-44	0.8108	0.7317
4-182613-B-11	0.5118	0.3519
3-115387-A-47	0.3708	0.3208
1-51805-C-33	0.9447	0.4487
2-59566-A-46	0.2265	0.1456
4-244318-A-6	0.9214	0.1721
3-146033-A-13	0.6351	0.6684
1-79146-A-29	0.9609	0.2142
1-67033-A-37	0.9343	0.2215
1-103999-A-30	0.9385	0.0193
1-38560-A-14	0.5302	0.2457
5-189795-A-4	0.8265	0.5416
5-202020-A-18	0.8022	0.2994
3-152020-B-36	0.2707	0.2672
3-170015-A-0	0.9842	0.0250
4-175845-A-43	0.8677	0.0581
5-200329-B-8	0.5436	0.2499
4-181599-A-26	0.2666	0.1861
1-81001-B-30	0.9407	0.1929
1-211527-B-20	0.7212	0.2038
3-253084-D-2	0.6619	0.1812
2-92978-A-29	0.9535	0.2073
5-237315-A-31	0.6865	0.0160
3-68630-A-40	0.2962	0.2326
2-72547-A-14	0.2483	0.1357
3-169907-A-29	0.8839	0.2031
4-186935-A-44	0.7907	0.5305
1-50688-A-17	0.9188	0.5521
5-233787-A-7	0.3778	0.1440
2-91912-B-33	0.9381	0.2918
5-259514-A-26	0.7663	0.0275
4-185575-A-20	0.5984	0.2367
1-17808-A-12	0.5009	0.2829
3-124376-B-3	0.3108	0.1040
4-99644-B-4	0.7751	0.3465
5-248341-B-6	0.7649	0.1705
4-212604-C-15	0.8939	0.2379
5-218196-B-27	0.6802	0.3108
2-132157-B-11	0.6263	0.2538
2-96460-A-1	0.7671	0.1462
3-170377-A-38	0.9127	0.3149
4-150364-B-46	0.2258	0.2034
4-188703-D-8	0.5618	0.1010
5-195710-A-10	0.3706	0.1585
4-161127-A-10	0.3233	0.2259
3-102583-C-49	0.8293	0.1750
4-165845-A-45	0.1746	0.0640
1-49409-B-8	0.3986	0.1714
2-108767-B-9	0.4582	0.1877
3-216280-A-39	0.9996	0.1803
5-204352-B-13	0.7335	0.3137
1-51436-A-17	0.8654	0.3865
5-179294-A-46	0.0416	0.0431
3-216281-A-39	0.9998	0.9244
3-98193-A-46	0.3161	0.2572
4-197454-A-28	0.8046	0.2810
2-109371-C-16	0.2225	0.1975
4-149940-B-5	0.8032	0.0374
2-32515-C-4	0.8939	0.4129
4-132816-A-26	0.5773	0.0479
1-72195-B-37	0.9768	0.5854
1-69760-A-16	0.1966	0.1612
2-120587-A-6	0.9201	0.1093
2-79775-A-26	0.9532	0.0937
2-120218-A-30	0.9370	0.1078
5-242932-B-26	0.6688	0.1604
4-223127-A-14	0.3999	0.3373
2-121909-A-35	0.3443	0.1368
2-77945-B-41	0.3278	0.1864
5-243773-A-44	0.8479	0.5557
2-102414-E-17	0.7965	0.1978
2-30322-A-12	0.6626	0.2451
2-118459-A-32	0.8957	0.3965
1-43807-C-47	0.4259	0.2830
3-94355-A-33	0.8910	0.3544
5-204114-A-29	0.2685	0.0597
4-125929-A-40	0.5460	0.1290
4-172500-D-27	0.5757	0.1573
5-250258-A-49	0.6702	0.0218
2-18766-B-12	0.6544	0.0122
2-102568-A-35	0.3082	0.1508
4-132383-A-2	0.8259	0.2222
1-47819-C-5	0.8503	0.1219
4-133895-A-7	0.1275	0.0017
4-169127-A-41	0.0941	0.0081
2-140841-A-30	0.9619	0.0982
3-166324-A-15	0.8786	0.0614
2-98676-A-24	0.9544	0.0571
1-50625-A-17	0.8800	0.4187
2-135649-C-45	0.3147	0.1991
1-24796-A-47	0.1410	0.0941
5-263902-A-36	0.0742	0.0728
4-163264-A-10	0.3142	0.2451
4-196672-A-8	0.2536	0.0158
5-253085-B-3	0.3217	0.0693
1-59513-A-0	0.8239	0.1383
3-51376-A-42	0.2529	0.1534
4-185575-C-20	0.6975	0.1989
1-30039-A-26	0.4006	0.2620
3-142005-A-10	0.1957	0.1330
3-110913-B-7	0.3511	0.2187
3-170312-A-31	0.9972	0.4076
1-196660-A-8	0.4504	0.2816
2-122104-A-0	0.7698	0.1020
5-222894-A-32	0.8531	0.6611
4-164661-B-12	0.7085	0.0608
4-151242-A-37	0.9738	0.5867
4-212604-A-15	0.5013	0.0038
1-18631-A-23	0.6255	0.2150
1-76831-E-42	0.3104	0.1771
2-82077-A-7	0.8024	0.4428
3-68630-C-40	0.5425	0.2290
3-197408-C-8	0.3610	0.1342
2-102852-A-11	0.1445	0.1191
2-138465-A-43	0.1314	0.1152
4-156827-A-46	0.2289	0.1843
3-136608-A-16	0.1912	0.1365
3-118972-B-41	0.1224	0.1299
3-120526-A-37	0.9709	0.2544
2-87780-A-33	0.9578	0.3722
5-201274-A-21	0.9400	0.0236
2-72547-C-14	0.5284	0.3654
4-167063-B-11	0.4027	0.2542
4-204683-A-31	0.3789	0.0141
3-94343-A-25	0.4115	0.3735
3-94342-A-25	0.4446	0.3247
3-157695-A-0	0.8526	0.0942
2-158746-C-2	0.7885	0.3049
4-180337-A-28	0.9111	0.2249
5-263490-A-25	0.6342	0.0497
4-143118-A-7	0.0304	0.0058
2-114280-A-0	0.8178	0.1288
5-263491-A-25	0.8543	0.1486
5-233605-A-39	0.9903	0.0112
5-200461-A-11	0.2391	0.1487
2-109231-B-9	0.5008	0.2473
2-117116-A-37	0.9300	0.7452
2-106019-A-13	0.1448	0.1454
3-97909-A-49	0.8167	0.3785
4-147657-A-46	0.0261	0.0080
3-152007-E-20	0.7902	0.3966
1-172649-B-40	0.3563	0.2477
1-54505-A-21	0.8704	0.1854
5-170338-B-41	0.3682	0.2043
1-137-A-32	0.9183	0.4914
