=== Waveform SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7035
Mean Deletion AUC: 0.3353
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
1-104089-A-22	0.8243	0.5026
3-246513-B-16	0.5431	0.4411
1-96950-B-9	0.8450	0.8775
2-105270-A-47	0.5120	0.1924
4-90014-B-42	0.0154	0.0073
1-47273-A-21	0.9386	0.1110
1-39901-A-11	0.4878	0.3515
1-19840-A-36	0.1640	0.1926
1-28135-B-11	0.3291	0.3156
2-134915-A-30	0.9324	0.0663
2-60180-A-49	0.8048	0.6460
5-180156-B-43	0.4812	0.1332
5-233019-A-31	0.5935	0.6126
5-223317-A-31	0.9955	0.5468
4-161105-B-47	0.4588	0.3809
3-160993-A-3	0.2287	0.0410
3-135650-B-45	0.2768	0.2360
2-66205-A-23	0.8406	0.6931
1-47819-A-5	0.6989	0.5966
1-54747-A-46	0.4533	0.2915
2-152964-A-31	0.9926	0.1987
3-139958-A-37	0.8884	0.3102
1-101336-A-30	0.8975	0.6815
1-11687-A-47	0.3525	0.3046
3-156581-B-14	0.2857	0.2603
1-12653-A-15	0.9744	0.5815
4-204777-A-39	0.9439	0.7737
5-160614-B-48	0.4208	0.2309
4-234644-A-2	0.7548	0.4670
4-201988-A-44	0.8832	0.7570
2-103424-A-3	0.7604	0.0264
1-28005-A-18	0.8555	0.5841
2-82455-A-23	0.7505	0.7893
5-234855-A-25	0.9215	0.2305
2-50668-A-41	0.5631	0.3226
3-163607-A-13	0.4458	0.2946
5-233312-A-28	0.9007	0.4750
1-115545-A-48	0.8468	0.3132
3-144510-A-30	0.9761	0.0873
4-102844-C-49	0.8262	0.4037
5-192191-A-19	0.8111	0.6430
4-198962-A-25	0.5185	0.1860
5-177957-D-40	0.0144	0.0094
5-259180-A-15	0.8790	0.0392
2-102581-B-29	0.9770	0.0844
1-21896-A-35	0.1960	0.3081
5-260164-A-23	0.2897	0.0927
