=== AUDIO SALIENCY MAP EVALUATION (WAV2VEC2) ===

Mean Insertion AUC: 0.7438
Mean Deletion AUC: 0.4071
Number of audio files evaluated: 814

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.8587	0.0044
100648-1-1-0	0.9997	0.2153
100648-1-2-0	0.9083	0.0033
100648-1-3-0	1.0000	0.9928
100648-1-4-0	0.9397	0.0109
100795-3-0-0	0.9191	0.8862
100795-3-1-0	0.9933	0.8117
100795-3-1-1	0.9682	0.9797
100795-3-1-2	0.9787	0.8699
101382-2-0-10	0.8420	0.5423
101382-2-0-12	0.7421	0.6604
101382-2-0-20	0.9007	0.3805
101382-2-0-21	0.9205	0.2796
101382-2-0-29	0.8507	0.7893
101382-2-0-33	0.9479	0.6620
101382-2-0-42	0.9077	0.3743
101382-2-0-45	0.7289	0.2765
102103-3-0-0	0.9933	0.1202
102103-3-1-0	0.9844	0.0094
102857-5-0-0	0.9503	0.9579
102857-5-0-1	0.9242	0.9557
102857-5-0-10	0.9805	0.9630
102857-5-0-11	0.9663	0.9433
102857-5-0-12	0.9196	0.9669
102857-5-0-13	0.9138	0.9728
102857-5-0-14	0.9662	0.9681
102857-5-0-15	0.9685	0.9459
102857-5-0-16	0.9459	0.9621
102857-5-0-17	0.9672	0.9575
102857-5-0-18	0.9462	0.9560
102857-5-0-19	0.9709	0.9703
102857-5-0-2	0.9801	0.9150
102857-5-0-20	0.9603	0.9486
102857-5-0-21	0.9462	0.8643
102857-5-0-22	0.9448	0.9632
102857-5-0-23	0.9639	0.9592
102857-5-0-24	0.9783	0.9507
102857-5-0-25	0.9684	0.9458
102857-5-0-26	0.9517	0.9558
102857-5-0-27	0.9266	0.9653
102857-5-0-28	0.9684	0.9517
102857-5-0-29	0.9593	0.9623
102857-5-0-3	0.9548	0.9293
102857-5-0-30	0.9589	0.9121
102857-5-0-4	0.9327	0.9761
102857-5-0-5	0.9508	0.9619
102857-5-0-6	0.9671	0.9380
102857-5-0-7	0.9706	0.9366
102857-5-0-8	0.9326	0.9651
102857-5-0-9	0.9712	0.9297
103438-5-0-0	0.9562	0.5212
103438-5-0-1	0.7679	0.0361
103438-5-0-2	0.9380	0.0377
106014-5-0-0	0.2461	0.2088
106014-5-0-1	0.1253	0.0781
106014-5-0-2	0.1075	0.0849
106014-5-0-3	0.3229	0.1728
106014-5-0-4	0.2903	0.1352
115241-9-0-1	0.6869	0.3160
115241-9-0-14	0.8073	0.2540
115241-9-0-2	0.6991	0.3497
115241-9-0-20	0.7755	0.2952
115241-9-0-6	0.6615	0.3656
115241-9-0-8	0.6360	0.2880
115241-9-0-9	0.4588	0.2321
115418-9-0-11	0.7156	0.3716
115418-9-0-12	0.6442	0.2134
115418-9-0-15	0.6939	0.4537
115418-9-0-20	0.7140	0.4305
115418-9-0-29	0.6895	0.4172
115418-9-0-6	0.5736	0.3384
11722-3-0-0	0.9933	0.4356
11722-3-1-0	0.9933	0.1773
117889-9-0-12	0.6287	0.3198
117889-9-0-20	0.7709	0.4651
117889-9-0-30	0.6506	0.5337
117889-9-0-36	0.6355	0.3287
117889-9-0-39	0.6633	0.3675
117889-9-0-40	0.5980	0.2580
118278-4-0-0	0.1358	0.0223
118278-4-0-1	0.1908	0.1161
118278-4-0-10	0.3316	0.1651
118278-4-0-11	0.4290	0.4158
118278-4-0-12	0.3953	0.2114
118278-4-0-13	0.3347	0.2242
118278-4-0-2	0.1499	0.0505
118278-4-0-3	0.2213	0.0969
118278-4-0-4	0.3712	0.1906
118278-4-0-5	0.3948	0.1720
118278-4-0-6	0.0268	0.0377
118278-4-0-7	0.0171	0.0357
118278-4-0-8	0.0271	0.0351
118278-4-0-9	0.0721	0.0721
118558-5-0-0	0.4621	0.1488
118558-5-0-1	0.3032	0.0441
118558-5-0-2	0.3209	0.0966
118558-5-1-0	0.4369	0.1491
118558-5-1-1	0.5227	0.0565
118558-5-1-2	0.5987	0.0699
118558-5-2-0	0.3021	0.0728
118558-5-2-1	0.4206	0.1288
118558-5-2-2	0.6065	0.2249
118558-5-2-3	0.5358	0.3004
119067-0-0-0	0.9850	0.9619
119067-0-0-1	0.9884	0.9733
119067-0-0-2	0.9917	0.9888
128240-3-0-1	0.9805	0.4780
128240-3-0-20	0.9889	0.8034
128240-3-0-39	0.9747	0.6856
128240-3-0-42	0.9889	0.9885
128470-3-0-0	0.9591	0.8407
128470-3-0-1	0.9800	0.4694
128470-3-0-5	0.9933	0.3842
128470-3-0-8	0.9474	0.8239
129750-2-0-3	0.4798	0.0507
129750-2-0-34	0.7592	0.0119
129750-2-0-36	0.1904	0.0105
129750-2-0-37	0.9933	0.0813
129750-2-0-4	0.6153	0.0070
129750-2-0-45	0.7771	0.0147
129750-2-0-46	0.9933	0.0067
129750-2-0-48	0.4529	0.0708
136558-9-0-1	0.6811	0.2071
136558-9-0-2	0.8007	0.0105
136558-9-1-10	0.3551	0.1891
136558-9-1-21	0.4197	0.0673
136558-9-1-26	0.4512	0.0875
136558-9-1-39	0.4070	0.0306
138017-9-0-2	0.7508	0.6389
138017-9-0-9	0.6365	0.3545
138017-9-1-10	0.0983	0.0023
138017-9-1-16	0.1915	0.0423
138017-9-1-4	0.7067	0.3274
138017-9-1-6	0.6717	0.5091
141240-5-0-0	0.9825	0.9556
141240-5-1-0	0.9862	0.9761
142641-3-0-0	0.9821	0.0067
14468-3-0-2	0.9883	0.0313
14468-3-0-3	0.9933	0.0990
14468-3-1-0	0.9933	0.6926
14468-3-5-0	0.2364	0.0385
14470-2-0-10	0.7896	0.2563
14470-2-0-14	0.8663	0.3431
14470-2-0-21	0.8391	0.1085
14470-2-0-4	0.8476	0.3904
14470-2-0-56	0.7753	0.2428
14470-2-0-65	0.5161	0.2091
14470-2-0-70	0.9800	0.2011
14470-2-0-72	0.8861	0.1690
146244-4-0-0	0.8127	0.2842
147491-9-0-0	0.4614	0.2351
147491-9-0-5	0.6538	0.0365
147491-9-2-10	0.1882	0.0278
147491-9-2-25	0.7000	0.2495
147491-9-2-32	0.5695	0.0919
147491-9-2-6	0.6852	0.2200
155241-9-0-50	0.6919	0.2592
155241-9-0-56	0.7010	0.3070
155241-9-0-69	0.7192	0.3507
155241-9-0-79	0.7186	0.2756
155241-9-0-8	0.7618	0.4692
155241-9-0-88	0.7550	0.5679
155262-2-0-101	0.6776	0.2638
155262-2-0-11	0.6055	0.1218
155262-2-0-15	0.2858	0.0795
155262-2-0-2	0.3568	0.1312
155262-2-0-21	0.7491	0.2294
155262-2-0-48	0.0517	0.0636
155262-2-0-58	0.7469	0.0501
155262-2-0-63	0.2281	0.0733
155280-2-0-10	0.7099	0.1555
155280-2-0-11	0.7304	0.0958
155280-2-0-13	0.8483	0.2669
155280-2-0-15	0.8865	0.1525
155280-2-0-3	0.8177	0.2370
155280-2-0-5	0.6412	0.0654
155280-2-0-6	0.4088	0.0033
155280-2-0-7	0.4066	0.1427
155311-3-0-0	0.9755	0.9933
15544-5-0-0	0.9675	0.6489
15544-5-0-1	0.9372	0.3671
15544-5-0-10	0.9913	0.9464
15544-5-0-11	0.9629	0.7469
15544-5-0-12	0.9596	0.8098
15544-5-0-13	0.9778	0.7984
15544-5-0-14	0.9869	0.9213
15544-5-0-15	0.9744	0.9573
15544-5-0-16	0.9767	0.5155
15544-5-0-17	0.9720	0.4681
15544-5-0-18	0.9741	0.4618
15544-5-0-19	0.9601	0.6369
15544-5-0-2	0.9630	0.5703
15544-5-0-3	0.9593	0.8098
15544-5-0-4	0.9800	0.8709
15544-5-0-5	0.9713	0.6029
15544-5-0-6	0.9563	0.4430
15544-5-0-7	0.9671	0.8905
15544-5-0-8	0.9681	0.6960
15544-5-0-9	0.9708	0.8995
157207-6-0-0	0.9842	0.5517
157207-6-1-0	0.9630	0.7623
157207-6-10-0	0.9815	0.3524
157207-6-2-0	0.9971	0.3534
157207-6-3-0	0.9890	0.1828
157207-6-4-0	0.9890	0.5364
157207-6-5-0	0.8958	0.8128
157207-6-6-0	0.9848	0.3855
157207-6-7-0	0.9805	0.3349
157207-6-8-0	0.9892	0.5710
157207-6-9-0	0.9847	0.3596
157800-6-0-0	0.9757	0.3648
159709-6-0-0	0.9753	0.9309
159742-8-0-0	0.9246	0.9315
159742-8-0-1	0.9622	0.9188
159742-8-0-10	0.9649	0.9665
159742-8-0-11	0.9779	0.9488
159742-8-0-12	0.9798	0.7163
159742-8-0-13	0.9594	0.6382
159742-8-0-14	0.9096	0.6658
159742-8-0-2	0.9827	0.7893
159742-8-0-3	0.9303	0.9657
159742-8-0-4	0.9709	0.1710
159742-8-0-5	0.9843	0.5117
159742-8-0-6	0.9011	0.5782
159742-8-0-7	0.7994	0.6172
159742-8-0-8	0.8827	0.4787
159742-8-0-9	0.9666	0.5329
162134-7-0-0	0.9801	0.4258
162134-7-0-1	0.9885	0.8529
